time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2009-01-05,65.423,67.288,65.115,67.026,,
2009-01-06,67.026,68.317,65.892,67.74,,
2009-01-07,67.74,67.91,65.5065,66.011,,
2009-01-08,66.011,66.12,63.9205,64.9525,,
2009-01-09,64.9525,65.191,63.3085,63.546,,
2009-01-12,63.019,63.119,60.4455,60.82,,
2009-01-13,60.82,60.9325,58.5225,59.405,,
2009-01-14,59.405,61.1555,58.5385,58.8885,,
2009-01-15,58.8885,60.1305,58.1885,59.562,,
2009-01-16,59.562,61.61,59.528,61.071,,
2009-01-19,61.558,62.206,60.271,60.441,1,
2009-01-20,60.441,60.648,58.059,58.411,1,
2009-01-21,58.411,59.5415,56.2805,59.2205,1,
2009-01-22,59.2205,59.412,57.4305,58.26,1,
2009-01-23,58.26,58.663,56.4995,58.05,1,
2009-01-26,58.217,59.396,57.506,58.79,1,
2009-01-27,58.79,60.3105,58.1735,58.8185,1,
2009-01-28,58.8185,60.89,58.8065,60.147,1,
2009-01-29,60.147,60.426,58.4735,58.725,,
2009-01-30,58.725,58.823,56.8915,57.159,,
2009-02-02,57.303,57.35,55.5545,56.49,,
2009-02-03,56.49,58.438,56.2475,58.228,,
2009-02-04,58.228,58.516,56.5725,57.558,,
2009-02-05,57.558,60.7185,57.186,59.518,,
2009-02-06,59.518,62.682,58.8675,62.054,,
2009-02-09,61.837,62.7635,60.2625,62.056,,
2009-02-10,62.056,62.194,58.4495,59.24,,
2009-02-11,59.24,59.761,58.5565,59.3355,,
2009-02-12,59.3355,59.692,58.0945,59.331,,
2009-02-13,59.331,61.018,59.116,60.339,,
2009-02-16,59.772,60.025,59.374,59.659,,
2009-02-17,59.659,59.918,58.501,58.688,,
2009-02-18,58.688,60.1035,58.484,59.753,,
2009-02-19,59.753,61.5505,59.683,60.605,,
2009-02-20,60.605,60.9725,59.5945,60.233,,
2009-02-23,60.249,61.8635,59.7965,60.714,,
2009-02-24,60.714,63.259,60.2535,62.937,,
2009-02-25,62.937,63.609,62.478,63.0105,,
2009-02-26,63.0105,64.5925,62.946,63.788,,
2009-02-27,63.788,63.861,61.428,62.338,,
2009-03-02,62.474,62.544,61.0875,61.392,,
2009-03-03,61.392,63.4165,61.034,62.608,,
2009-03-04,62.608,64.7865,61.791,64.409,,
