time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,78.34,78.34,78.34,78.34,,
2004-06-01,78.34,78.34,74.655,76.055,,
2004-07-01,76.055,79.625,76.055,78.245,,
2004-08-02,78.155,79.39,76.865,76.88,,
2004-09-01,76.88,80.065,75.51,80.065,,
2004-10-01,80.065,80.985,78.79,79.38,,
2004-11-01,79.185,81.53,79.185,79.44,,
2004-12-01,79.44,80.395,78.86,80.135,,
2005-01-03,80.195,80.46,77.01,80.42,,
2005-02-01,80.42,83.545,79.865,82.85,,
2005-03-01,82.85,83.67,81.52,82.81,,
2005-04-01,82.81,83.93,81.785,81.805,,
2005-05-02,81.965,82.47,80.66,82.06,,
2005-06-01,82.06,85.02,81.14,84.58,,
2005-07-01,84.58,85.7,82.68,85.105,,
2005-08-01,85.115,86.375,82.66,83.54,,
2005-09-01,83.54,86.74,83.41,86.475,,
2005-10-03,86.505,87.62,85.59,87.09,,
2005-11-01,87.09,88.68,85.87,88.41,,
2005-12-01,88.41,91.36,84.54,86.305,,
2006-01-02,86.305,88.99,85.55,88.89,,
2006-02-01,88.89,89.43,85.5,85.94,,
2006-03-01,85.94,87.56,82.11,84.385,,
2006-04-03,84.345,87.87,83.82,86.455,,
2006-05-01,86.265,87.81,83.57,84.71,,
2006-06-01,84.71,85.66,83.5,85.015,,
2006-07-03,85.035,88.89,84.825,87.89,,
2006-08-01,87.89,89.7,87.22,89.66,,
2006-09-01,89.66,89.87,87.27,88.165,,-1
2006-10-02,88.075,90.84,87.55,90.5,,-1
2006-11-01,90.5,91.61,89.8,91.34,,-1
2006-12-01,91.34,94.21,90.08,93.895,,-1
2007-01-01,93.895,96.45,92.01,93.76,,-1
2007-02-01,93.76,95.94,92.62,93.4,,-1
2007-03-01,93.4,95.79,88.51,95.266,,-1
2007-04-02,95.2,100.035,95.02,99.208,,-1
2007-05-01,99.208,100.933,98.301,100.774,,
2007-06-01,100.774,105.376,100.664,104.607,,-1
2007-07-02,104.53,107.735,99.96,101.003,,-1
2007-08-01,101.003,103.64,86,94.765,,-1
2007-09-03,94.401,102.019,92.219,101.923,,-1
2007-10-01,101.92,107.851,99.354,107.818,,-1
2007-11-01,107.818,107.84,92.985,98.381,,-1
2007-12-03,98.045,100.167,95.266,97.75,,-1
2008-01-01,97.75,99.032,90.132,95.318,,-1
2008-02-01,95.318,100.522,94.17,96.555,,
2008-03-03,96.683,97.575,88.164,91.042,,
2008-04-01,91.042,98.76,90.545,98.02,,
2008-05-01,98.02,101.078,96.308,100.862,,
2008-06-02,100.35,103.702,99.278,101.81,,
2008-07-01,101.81,104.485,100.255,101.679,,
2008-08-01,101.679,101.699,92.957,93.364,,
2008-09-01,92.893,93.213,81.439,84.079,1,
2008-10-01,84.079,85.16,55.0735,65.751,1,
2008-11-03,65.883,70.53,56.866,62.545,1,
2008-12-01,62.393,64.602,57.686,63.71,1,
2009-01-01,63.71,68.317,56.2805,57.159,1,
2009-02-02,57.303,64.5925,55.5545,62.338,1,
2009-03-02,62.474,69.6255,61.034,68.402,1,
2009-04-01,68.402,73.4925,66.838,71.547,1,
2009-05-01,71.547,76.917,70.519,76.353,,
2009-06-01,76.513,80.453,74.041,77.707,,
2009-07-01,77.707,79.534,70.761,79.14,,
2009-08-03,79.205,82.01,76.6975,78.586,,
2009-09-01,78.586,80.0515,76.418,79.197,,
2009-10-01,79.197,85.326,76.323,81.041,,
2009-11-02,80.415,84.2115,76.5785,79.143,,
2009-12-01,79.143,83.835,78.584,83.48,,
2010-01-01,83.48,86.208,79.671,79.771,,
2010-02-01,79.112,82.811,76.201,79.656,,
2010-03-01,79.613,85.847,79.2005,85.723,,
2010-04-01,85.723,88.0585,83.9425,86.72,,-1
2010-05-03,86.716,87.9605,71.892,77.198,,-1
2010-06-01,77.198,80.8665,73.6745,74.348,,-1
2010-07-01,74.348,79.4335,72.6905,78.185,,-1
2010-08-02,78.191,79.3135,73.5785,74.99,,-1
2010-09-01,74.99,81.426,74.937,80.77,,-1
2010-10-01,80.77,81.8265,78.1895,79.084,,-1
2010-11-01,79.131,83.0045,79.043,80.234,,-1
2010-12-01,80.234,83.6855,79.7565,83.016,,
2011-01-03,82.874,83.3795,80.986,81.832,,
2011-02-01,81.832,84.4785,81.764,83.305,,
2011-03-01,83.305,86.1215,74.646,85.863,,
2011-04-01,85.863,90.033,85.831,89.042,,
2011-05-02,88.874,89.313,84.3265,87.001,,
2011-06-01,87.001,87.6115,84.0605,86.382,,
2011-07-01,86.382,87.79,83.154,84.377,,
2011-08-01,85.123,86.1835,76.523,82.079,,
2011-09-01,82.079,82.8285,73.392,74.448,,
2011-10-03,74.465,83.963,72.0575,82.311,,
2011-11-01,82.311,83.2065,74.788,79.817,,
2011-12-01,79.817,80.498,76.988,78.502,,
2012-01-02,78.663,82.8485,78.0955,81.01,,-1
2012-02-01,81.01,87.5435,80.5725,87.091,,-1
2012-03-01,87.091,88.637,84.613,85.65,,-1
2012-04-02,86.772,86.824,82.4945,83.244,,-1
2012-05-01,83.244,83.308,75.7605,76.228,,-1
2012-06-01,76.228,81.935,74.477,81.696,,-1
2012-07-02,81.966,82.4705,79.5325,82.054,,-1
2012-08-01,82.054,83.5735,80.6555,80.918,,-1
2012-09-03,80.584,83.09,79.6815,80.871,,
2012-10-01,80.823,83.4855,79.4105,82.762,,
2012-11-01,82.762,86.4395,81.973,86.006,,
2012-12-03,86.006,90.1655,85.3895,89.9105,,
2013-01-01,89.9105,95.668,89.9105,95.6085,,
2013-02-01,95.6085,97.445,92.9685,94.5515,,
2013-03-01,94.5515,99.979,94.4295,98.16,,
2013-04-01,98.16,105.432,96.916,101.0695,,
2013-05-01,101.0695,102.3315,96.0665,96.158,,
2013-06-03,96.158,97.371,88.938,90.6045,1,
2013-07-01,90.6045,93.075,87.8305,87.9135,1,
2013-08-01,87.9135,90.131,86.412,87.374,1,
2013-09-02,87.374,94.4485,87.374,91.5605,1,
2013-10-01,91.5605,95.684,90.7995,93.0055,1,
2013-11-01,93.0055,94.6155,92.249,93.283,1,
2013-12-02,93.283,94.2295,91.045,93.944,1,
2014-01-01,93.944,94.0765,88.45,89.2785,1,
2014-02-03,89.2785,92.985,88.2425,90.8505,,
2014-03-03,90.8505,95.74,90.058,95.6375,,
2014-04-01,95.6375,96.514,94.529,94.953,,
2014-05-01,94.953,96.1105,93.0415,94.7105,,
2014-06-02,94.7105,96.3295,94.2855,95.58,,
2014-07-01,95.58,96.5035,94.3935,95.549,,
2014-08-01,95.549,97.2685,93.93,97.209,,
2014-09-01,97.209,98.6815,95.1265,95.9125,,
2014-10-01,95.9125,98.902,91.763,98.8195,,
2014-11-03,98.8195,102.8465,98.0615,100.8905,,
2014-12-01,100.8905,101.368,95.2235,97.8455,,
2015-01-01,97.8455,98.1165,90.869,91.294,,
2015-02-02,91.294,93.966,89.376,93.438,,
2015-03-02,93.438,94.677,91.1145,91.388,,
2015-04-01,91.388,95.954,90.2035,94.356,,
2015-05-01,94.356,97.2995,93.627,94.9025,,
2015-06-01,94.9025,96.993,92.6875,94.3955,,
2015-07-01,94.3955,94.991,89.168,90.4675,,
2015-08-03,90.4675,92.696,82.09,86.237,,
2015-09-01,86.237,87.5135,82.124,84.123,,
2015-10-01,84.123,88.615,83.2695,86.088,,
2015-11-02,86.088,89.4195,85.649,88.974,,
2015-12-01,88.974,90.7285,86.2185,87.6715,,
2016-01-01,87.6715,87.842,79.217,85.8035,,
2016-02-01,85.8035,86.224,77.59,80.48,,
2016-03-01,80.48,86.707,79.812,86.2075,,
2016-04-01,86.2075,86.482,80.68,80.8585,,
2016-05-02,80.8585,81.958,78.182,80.092,,
2016-06-01,80.092,81.608,72.506,76.886,,
2016-07-01,76.886,81.512,74.552,77.582,,
2016-08-01,77.582,78.677,76.07,77.7505,,
2016-09-01,77.7505,79.132,75.973,77.62,,
2016-10-03,77.62,80.314,77.38,79.7605,,-1
2016-11-01,79.7605,84.624,76.79,84.52,,-1
2016-12-01,84.52,87.535,83.748,84.265,,-1
2017-01-02,84.265,87.092,84.265,85.555,,-1
2017-02-01,85.555,88.182,85.24,86.3585,,-1
