time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,1.15295,1.15345,1.12995,1.13145,,
2004-06-01,1.13145,1.13145,1.0912,1.0987,,
2004-07-01,1.0987,1.1168,1.09765,1.10355,,
2004-08-02,1.10375,1.10375,1.07415,1.0746,,
2004-09-01,1.0746,1.0753,1.0548,1.0732,,
2004-10-01,1.0732,1.09435,1.0591,1.09435,,
2004-11-01,1.08975,1.1117,1.08,1.08,,
2004-12-01,1.08,1.09015,1.0597,1.09015,,
2005-01-03,1.08845,1.0955,1.0717,1.09115,,
2005-02-01,1.09115,1.10485,1.08,1.08945,,
2005-03-01,1.08945,1.09065,1.0645,1.0853,,
2005-04-01,1.0853,1.0892,1.0638,1.06815,,
2005-05-02,1.06855,1.07475,1.05605,1.0722,,
2005-06-01,1.0722,1.09685,1.06945,1.09345,,
2005-07-01,1.09345,1.11995,1.09305,1.11185,,
2005-08-01,1.11325,1.1196,1.07755,1.0841,,
2005-09-01,1.0841,1.11185,1.0785,1.10245,,
2005-10-03,1.09935,1.10415,1.06405,1.06855,,
2005-11-01,1.06855,1.08165,1.04685,1.04945,,
2005-12-01,1.04945,1.08965,1.0432,1.07305,,
2006-01-02,1.07305,1.11125,1.07205,1.10135,,
2006-02-01,1.10135,1.12405,1.08365,1.1215,,
2006-03-01,1.1215,1.1736,1.1163,1.16455,,
2006-04-03,1.16285,1.20215,1.1593,1.18995,,
2006-05-01,1.18995,1.2429,1.17845,1.1859,,
2006-06-01,1.1859,1.2291,1.1765,1.21965,,
2006-07-03,1.22035,1.24425,1.191,1.2387,,
2006-08-01,1.2387,1.24525,1.1606,1.16365,,
2006-09-01,1.16365,1.19615,1.12145,1.14315,,-1
2006-10-02,1.14185,1.16645,1.12095,1.1541,,-1
2006-11-01,1.1541,1.16505,1.14455,1.1528,,-1
2006-12-01,1.1528,1.15775,1.1146,1.11975,,-1
2007-01-01,1.11975,1.13945,1.10575,1.12375,,-1
2007-02-01,1.12375,1.14625,1.1151,1.12345,,-1
2007-03-01,1.12345,1.14755,1.11995,1.13217,,-1
2007-04-02,1.13165,1.13772,1.11194,1.12097,,-1
2007-05-01,1.12097,1.13835,1.11264,1.12355,,
2007-06-01,1.12355,1.12665,1.09716,1.09915,,-1
2007-07-02,1.09926,1.12179,1.0912,1.11718,,-1
2007-08-01,1.11718,1.17684,1.11429,1.16643,,-1
2007-09-03,1.16575,1.20345,1.15995,1.17153,,-1
2007-10-01,1.16835,1.21081,1.16085,1.20768,,-1
2007-11-01,1.20768,1.2094,1.14122,1.15829,,-1
2007-12-03,1.1584,1.1584,1.11578,1.143,,-1
2008-01-01,1.143,1.16026,1.13315,1.13701,,-1
2008-02-01,1.13701,1.16921,1.12801,1.16548,,
2008-03-03,1.16629,1.17496,1.13404,1.16195,,
2008-04-01,1.16195,1.20758,1.15107,1.20603,,
2008-05-01,1.20603,1.24154,1.19136,1.22052,,
2008-06-02,1.21913,1.26924,1.21295,1.25753,,
2008-07-01,1.25753,1.29695,1.25387,1.28313,,
2008-08-01,1.28313,1.291,1.21639,1.22467,,
2008-09-01,1.22352,1.23563,1.17775,1.18298,1,
2008-10-01,1.18298,1.19158,1.06114,1.14686,1,
2008-11-03,1.14118,1.19642,1.12629,1.19252,1,
2008-12-01,1.19594,1.22912,1.16768,1.21242,1,
2009-01-01,1.21242,1.28066,1.17485,1.24806,1,
2009-02-02,1.25132,1.28273,1.24152,1.27582,1,
2009-03-02,1.27919,1.29481,1.20557,1.23601,1,
2009-04-01,1.23601,1.29411,1.20168,1.28393,1,
2009-05-01,1.28393,1.29283,1.24794,1.25182,,
2009-06-01,1.25377,1.28416,1.23793,1.24919,,
2009-07-01,1.24919,1.27017,1.23433,1.26357,,
2009-08-03,1.26601,1.26742,1.21268,1.23154,,
