time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,0.5397,0.5674,0.5395,0.5674,,
2002-06-03,0.5674,0.5759,0.5588,0.5638,,
2002-07-01,0.5644,0.5674,0.5362,0.54315,,
2002-08-01,0.54315,0.5536,0.5279,0.5507,,
2002-09-02,0.55,0.5523,0.5428,0.5429,,
2002-10-01,0.5429,0.559,0.5429,0.5547,,
2002-11-01,0.5547,0.5665,0.5547,0.5606,,
2002-12-02,0.5607,0.5669,0.559,0.5636,,
2003-01-01,0.5636,0.5926,0.5621,0.587,,
2003-02-03,0.5869,0.6083,0.5847,0.6083,,
2003-03-03,0.6078,0.6166,0.5897,0.6043,,
2003-04-01,0.6043,0.6266,0.5989,0.6266,,
2003-05-01,0.6266,0.6604,0.6266,0.6528,,
2003-06-02,0.6507,0.67385,0.6507,0.67385,,
2003-07-01,0.67385,0.68135,0.6468,0.64875,,
2003-08-01,0.64875,0.66065,0.63935,0.6472,,
2003-09-01,0.6481,0.67995,0.63665,0.67995,,
2003-10-01,0.67995,0.7079,0.6778,0.7079,,
2003-11-03,0.7075,0.7242,0.6985,0.7242,,
2003-12-01,0.7235,0.7502,0.7235,0.7502,,
2004-01-01,0.7502,0.779,0.7502,0.7641,,
2004-02-02,0.7647,0.7983,0.7582,0.774,,
2004-03-01,0.773,0.773,0.7321,0.7668,,
2004-04-01,0.7668,0.7681,0.7209,0.7209,,
2004-05-03,0.7218,0.7328,0.6858,0.71525,,
2004-06-01,0.71525,0.71525,0.68205,0.6993,1,
2004-07-01,0.6993,0.7322,0.6993,0.7028,1,
2004-08-02,0.7039,0.72475,0.6997,0.7042,1,
2004-09-01,0.7042,0.7277,0.6884,0.7277,1,
2004-10-01,0.7277,0.7467,0.7216,0.7467,1,
2004-11-01,0.7486,0.79135,0.7468,0.7721,1,
2004-12-01,0.7721,0.7825,0.7494,0.7825,1,
2005-01-03,0.7806,0.7839,0.7505,0.7757,1,
2005-02-01,0.7757,0.7959,0.7613,0.7919,,
2005-03-01,0.7919,0.7989,0.76695,0.7728,,-1
2005-04-01,0.7728,0.7841,0.7626,0.7813,,-1
2005-05-02,0.7804,0.7828,0.7531,0.7558,,-1
2005-06-01,0.7558,0.781,0.7476,0.7625,,-1
2005-07-01,0.7625,0.7689,0.7367,0.7566,,-1
2005-08-01,0.7561,0.7756,0.7458,0.7553,,-1
2005-09-01,0.7553,0.7761,0.7531,0.762,,-1
2005-10-03,0.7625,0.7645,0.7439,0.7482,,-1
2005-11-01,0.7482,0.7484,0.7262,0.7378,,
2005-12-01,0.7378,0.7579,0.72345,0.7329,,
2006-01-02,0.7329,0.7587,0.7315,0.7581,,
2006-02-01,0.7581,0.7589,0.7344,0.7423,,
2006-03-01,0.7423,0.7486,0.70145,0.7165,,
2006-04-03,0.7163,0.76065,0.7116,0.7596,,
2006-05-01,0.7591,0.7793,0.7466,0.7521,,
2006-06-01,0.7521,0.7547,0.727,0.7429,,
2006-07-03,0.7434,0.7676,0.74,0.7664,,
2006-08-01,0.7664,0.7716,0.7552,0.7636,,
2006-09-01,0.7636,0.7721,0.7434,0.7462,,-1
2006-10-02,0.7452,0.7754,0.7416,0.7736,,-1
2006-11-01,0.7736,0.7902,0.7616,0.7889,,-1
2006-12-01,0.7889,0.793,0.7781,0.7888,,-1
2007-01-01,0.7888,0.7979,0.7697,0.777,,-1
2007-02-01,0.777,0.7947,0.7708,0.7878,,-1
2007-03-01,0.7878,0.8127,0.7682,0.80854,,-1
2007-04-02,0.81,0.83925,0.80645,0.8301,,-1
2007-05-01,0.8301,0.83525,0.8163,0.82785,,
2007-06-01,0.82785,0.85218,0.82695,0.84928,,-1
2007-07-02,0.8491,0.88719,0.84598,0.8516,,-1
2007-08-01,0.8516,0.86625,0.76735,0.81853,,-1
2007-09-03,0.8161,0.88869,0.81595,0.88789,,-1
2007-10-01,0.88829,0.93482,0.87507,0.93412,,-1
2007-11-01,0.93412,0.94006,0.86534,0.8843,,-1
2007-12-03,0.88299,0.8908,0.85545,0.87509,,-1
2008-01-01,0.87509,0.90181,0.85145,0.89555,,-1
2008-02-01,0.89555,0.94978,0.88747,0.93088,,
2008-03-03,0.93316,0.94725,0.89538,0.91315,,
2008-04-01,0.91315,0.95423,0.903005,0.94355,,
2008-05-01,0.94355,0.96547,0.92755,0.95588,,
2008-06-02,0.95443,0.96677,0.93278,0.95854,,
2008-07-01,0.95854,0.98503,0.93975,0.94224,,
2008-08-01,0.94224,0.94224,0.84938,0.85794,,
2008-09-01,0.85653,0.858065,0.780135,0.792385,1,
2008-10-01,0.792385,0.80216,0.60093,0.6677,1,
2008-11-03,0.66771,0.70146,0.607455,0.65475,1,
2008-12-01,0.6534,0.713825,0.629035,0.703,1,
2009-01-01,0.703,0.72696,0.634605,0.63557,1,
2009-02-02,0.63655,0.684945,0.624885,0.63893,1,
2009-03-02,0.6393,0.7095,0.62857,0.69122,1,
2009-04-01,0.69122,0.73847,0.68558,0.7256,1,
2009-05-01,0.7256,0.80164,0.72422,0.80119,,
2009-06-01,0.80413,0.82648,0.778975,0.806445,,
2009-07-01,0.806445,0.83662,0.770315,0.83585,,
2009-08-03,0.8357,0.84784,0.81562,0.84397,,
2009-09-01,0.84397,0.88472,0.824065,0.88268,,
2009-10-01,0.88268,0.932815,0.856895,0.89956,,
2009-11-02,0.89671,0.94061,0.89068,0.915875,,
2009-12-01,0.915875,0.93221,0.87349,0.89775,,
2010-01-01,0.89775,0.932995,0.88339,0.88374,,
2010-02-01,0.87985,0.90713,0.85785,0.89541,,
2010-03-01,0.89609,0.92519,0.89354,0.917075,,
2010-04-01,0.917075,0.93887,0.91357,0.92431,,-1
2010-05-03,0.92373,0.927475,0.8067,0.84587,,-1
2010-06-01,0.84587,0.88594,0.808225,0.840725,,-1
2010-07-01,0.840725,0.90689,0.83163,0.90421,,-1
2010-08-02,0.90552,0.922185,0.87709,0.890625,,-1
2010-09-01,0.890625,0.97341,0.890095,0.967075,,-1
2010-10-01,0.967075,1.00026,0.95417,0.98357,,-1
2010-11-01,0.98541,1.01829,0.95444,0.958715,,-1
2010-12-01,0.958715,1.0257,0.95375,1.02324,,
2011-01-03,1.02031,1.022495,0.98044,0.9974,,
2011-02-01,0.9974,1.02002,0.99437,1.01855,,
2011-03-01,1.01855,1.037295,0.97065,1.03288,,
2011-04-01,1.03288,1.09777,1.028875,1.09705,,
2011-05-02,1.09631,1.10118,1.044125,1.067185,,
2011-06-01,1.067185,1.07748,1.039085,1.072165,,
2011-07-01,1.072165,1.108045,1.05255,1.09963,,
2011-08-01,1.10307,1.10653,0.99278,1.070655,,
2011-09-01,1.070655,1.076475,0.96227,0.96617,,
2011-10-03,0.96579,1.07534,0.93879,1.052975,,
2011-11-01,1.052975,1.05669,0.96639,1.028285,,
2011-12-01,1.028285,1.038,0.98615,1.02069,,
2012-01-02,1.02213,1.068765,1.01458,1.062165,,-1
2012-02-01,1.062165,1.08566,1.056965,1.073205,,-1
2012-03-01,1.073205,1.081745,1.03049,1.03484,,-1
2012-04-02,1.04497,1.04742,1.022635,1.042925,,-1
2012-05-01,1.042925,1.04303,0.967375,0.973345,,-1
2012-06-01,0.973345,1.0258,0.95824,1.02386,,-1
2012-07-02,1.0264,1.05385,1.010035,1.050335,,-1
2012-08-01,1.050335,1.06134,1.027685,1.03229,,-1
2012-09-03,1.02864,1.062465,1.01666,1.03786,,
2012-10-01,1.03651,1.04113,1.01496,1.037575,,
2012-11-01,1.037575,1.048995,1.028765,1.04264,,
2012-12-03,1.04264,1.05855,1.034515,1.03831,,
2013-01-01,1.03831,1.05987,1.03802,1.04243,,
2013-02-01,1.04243,1.045805,1.018325,1.02149,,
2013-03-01,1.02149,1.049725,1.011545,1.04196,,
2013-04-01,1.04196,1.05823,1.022115,1.03708,,
2013-05-01,1.03708,1.038215,0.95282,0.957095,,
2013-06-03,0.957095,0.979185,0.91132,0.913935,1,
2013-07-01,0.913935,0.931875,0.893645,0.898225,1,
2013-08-01,0.898225,0.92332,0.884815,0.89007,1,
2013-09-02,0.89007,0.952875,0.89007,0.93171,1,
2013-10-01,0.93171,0.975795,0.92889,0.945695,1,
2013-11-01,0.945695,0.954345,0.90557,0.91083,1,
2013-12-02,0.91083,0.916855,0.882095,0.89272,1,
2014-01-01,0.89272,0.90864,0.866035,0.8755,1,
2014-02-03,0.8755,0.90808,0.87305,0.89276,,
2014-03-03,0.89276,0.929545,0.88907,0.926425,,
2014-04-01,0.926425,0.94612,0.920575,0.928745,,
2014-05-01,0.928745,0.940945,0.920265,0.93095,,
2014-06-02,0.93095,0.94452,0.92287,0.943295,,
2014-07-01,0.943295,0.950515,0.927955,0.92951,,
2014-08-01,0.92951,0.93742,0.92368,0.933955,,
2014-09-01,0.933955,0.940195,0.86835,0.874695,,
2014-10-01,0.874695,0.89114,0.86428,0.879805,,
2014-11-03,0.879805,0.879805,0.848005,0.8506,,
2014-12-01,0.8506,0.854235,0.80882,0.816215,,
2015-01-01,0.816215,0.829525,0.772035,0.77681,,
2015-02-02,0.77681,0.79131,0.76264,0.780925,,
2015-03-02,0.780925,0.7938,0.756065,0.76065,,
2015-04-01,0.76065,0.807565,0.753335,0.790565,,
2015-05-01,0.790565,0.81636,0.761765,0.764445,,
2015-06-01,0.764445,0.78492,0.75876,0.770545,,
2015-07-01,0.770545,0.773895,0.723495,0.73024,,
2015-08-03,0.73024,0.743965,0.70429,0.71136,,
2015-09-01,0.71136,0.727975,0.69066,0.701685,,
2015-10-01,0.701685,0.7382,0.699845,0.71381,,
2015-11-02,0.71381,0.7283,0.70162,0.72272,,
2015-12-01,0.72272,0.73854,0.709715,0.729375,,
2016-01-01,0.729375,0.73012,0.68274,0.70836,,
2016-02-01,0.70836,0.72594,0.69738,0.714135,,
2016-03-01,0.714135,0.77232,0.710955,0.765725,,
2016-04-01,0.765725,0.78348,0.74919,0.76058,,
2016-05-02,0.76058,0.77196,0.71454,0.72326,,
2016-06-01,0.72326,0.76484,0.72016,0.745165,,
2016-07-01,0.745165,0.76762,0.74084,0.76009,,
2016-08-01,0.76009,0.77558,0.74897,0.751765,,
2016-09-01,0.751765,0.77322,0.74422,0.76593,,
2016-10-03,0.76593,0.77344,0.75067,0.76093,,-1
2016-11-01,0.76093,0.77782,0.73113,0.73844,,-1
