time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2003-10-13,0.6921,0.70485,0.6882,0.6995,,
2003-10-27,0.6992,0.7091,0.6985,0.7091,,
2003-11-10,0.7092,0.7237,0.7092,0.7237,,-1
2003-11-24,0.7233,0.7366,0.718,0.7366,,-1
2003-12-08,0.7365,0.7437,0.7365,0.7369,,-1
2003-12-22,0.7386,0.7586,0.7336,0.7586,,-1
2004-01-05,0.7579,0.7785,0.7579,0.7637,,-1
2004-01-19,0.7634,0.779,0.7552,0.7641,,-1
2004-02-02,0.7647,0.79,0.7582,0.79,,-1
2004-02-16,0.7893,0.7983,0.7691,0.774,,-1
2004-03-01,0.773,0.773,0.7321,0.7321,,
2004-03-15,0.7377,0.7535,0.7372,0.7467,,
2004-03-29,0.7462,0.7681,0.7462,0.7634,,
2004-04-12,0.7631,0.76615,0.7305,0.7338,,
2004-04-26,0.7313,0.735,0.7036,0.7036,,
2004-05-10,0.7018,0.7018,0.6858,0.6979,,
2004-05-24,0.6974,0.71705,0.6887,0.6956,,
2004-06-07,0.69675,0.7072,0.68205,0.6888,1,
2004-06-21,0.6893,0.7134,0.6877,0.7134,1,
2004-07-05,0.7133,0.7322,0.71175,0.7322,1,
2004-07-19,0.7321,0.7321,0.69945,0.7028,1,
2004-08-02,0.7039,0.717,0.70345,0.717,1,
2004-08-16,0.7158,0.72475,0.7027,0.7027,1,
2004-08-30,0.7013,0.7042,0.6884,0.6953,1,
2004-09-13,0.6963,0.7145,0.6955,0.7145,1,
2004-09-27,0.7148,0.7349,0.7136,0.7349,,
2004-10-11,0.73675,0.7373,0.7253,0.7373,,
2004-10-25,0.7418,0.7627,0.7418,0.7627,,
2004-11-08,0.7636,0.7836,0.7573,0.7836,,
2004-11-22,0.7841,0.79135,0.7721,0.7816,,
2004-12-06,0.7819,0.7819,0.7494,0.7638,,
2004-12-20,0.7636,0.7825,0.7636,0.7825,,
2005-01-03,0.7806,0.7839,0.754,0.7588,,
2005-01-17,0.7595,0.7803,0.7505,0.775,,
2005-01-31,0.7738,0.7864,0.7613,0.786,,-1
2005-02-14,0.7858,0.7959,0.7788,0.7864,,-1
2005-02-28,0.7869,0.7989,0.7772,0.7931,,-1
2005-03-14,0.7929,0.7958,0.7699,0.7715,,-1
2005-03-28,0.7715,0.7777,0.7626,0.7717,,-1
2005-04-11,0.7716,0.7832,0.7636,0.7813,,-1
2005-04-25,0.7816,0.7841,0.77235,0.7753,,-1
2005-05-09,0.7746,0.7792,0.7531,0.7561,,-1
2005-05-23,0.7549,0.7648,0.7476,0.7565,,
2005-06-06,0.7558,0.7783,0.7553,0.7779,,
2005-06-20,0.77695,0.781,0.7496,0.7519,,-1
2005-07-04,0.7527,0.7576,0.7367,0.7495,,-1
2005-07-18,0.7484,0.7689,0.7476,0.7566,,-1
2005-08-01,0.7561,0.7756,0.7552,0.7718,,-1
2005-08-15,0.7727,0.7744,0.7497,0.756,,-1
2005-08-29,0.756,0.7757,0.7458,0.7751,,-1
2005-09-12,0.7752,0.7761,0.7571,0.7571,,-1
2005-09-26,0.757,0.7645,0.7531,0.7569,,-1
2005-10-10,0.7562,0.7607,0.7439,0.7489,,
2005-10-24,0.7481,0.7602,0.7312,0.7332,,
