time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-02,0.5397,0.5397,0.5397,0.5397,NaN,NaN
2002-05-07,0.5397,0.544,0.5395,0.544,NaN,NaN
2002-05-10,0.544,0.5475,0.544,0.5475,NaN,NaN
2002-05-15,0.5475,0.5528,0.5475,0.5528,NaN,NaN
2002-05-20,0.5526,0.55895,0.5526,0.55895,NaN,NaN
2002-05-23,0.55895,0.55895,0.55635,0.5574,NaN,NaN
2002-05-28,0.5574,0.5641,0.5574,0.5641,NaN,NaN
2002-05-31,0.5641,0.5724,0.5641,0.5724,NaN,NaN
2002-06-05,0.5724,0.5759,0.5724,0.5759,NaN,NaN
2002-06-10,0.5713,0.5713,0.5702,0.5702,NaN,NaN
2002-06-13,0.5702,0.5702,0.5588,0.5588,NaN,NaN
2002-06-18,0.5588,0.5719,0.5588,0.5719,NaN,NaN
2002-06-21,0.5719,0.5748,0.5703,0.5728,NaN,NaN
2002-06-26,0.5728,0.5728,0.55965,0.5638,NaN,NaN
2002-07-01,0.5644,0.5644,0.5603,0.5603,NaN,NaN
2002-07-04,0.5603,0.5649,0.5562,0.5649,NaN,NaN
2002-07-09,0.5649,0.5674,0.5574,0.5574,NaN,NaN
2002-07-12,0.5574,0.5601,0.5572,0.5572,NaN,NaN
2002-07-17,0.5572,0.5572,0.5513,0.5568,NaN,NaN
2002-07-22,0.5565,0.5565,0.5383,0.5448,NaN,NaN
2002-07-25,0.5448,0.5448,0.5362,0.54125,NaN,NaN
2002-07-30,0.54125,0.54365,0.53955,0.53955,NaN,NaN
2002-08-02,0.53955,0.53955,0.5279,0.53025,NaN,NaN
2002-08-07,0.53025,0.53665,0.53025,0.5356,NaN,NaN
2002-08-12,0.5347,0.53945,0.5347,0.5379,NaN,NaN
2002-08-15,0.5379,0.5459,0.5379,0.5411,1,NaN
2002-08-20,0.5411,0.5465,0.5411,0.5417,1,NaN
2002-08-23,0.5417,0.5536,0.5417,0.5536,1,NaN
2002-08-28,0.5536,0.5536,0.5507,0.5507,1,NaN
2002-09-02,0.55,0.5515,0.5454,0.5454,1,NaN
2002-09-05,0.5454,0.5482,0.5428,0.5482,1,NaN
2002-09-10,0.5482,0.5523,0.5482,0.5523,1,NaN
2002-09-13,0.5523,0.5523,0.5479,0.5479,1,NaN
2002-09-18,0.5479,0.5496,0.5459,0.5459,NaN,NaN
2002-09-23,0.5462,0.5462,0.5439,0.546,NaN,NaN
2002-09-26,0.546,0.546,0.5429,0.5429,NaN,NaN
2002-10-01,0.5429,0.5464,0.5429,0.5464,NaN,NaN
2002-10-04,0.5464,0.5499,0.5463,0.5463,NaN,NaN
2002-10-09,0.5463,0.5495,0.5463,0.5495,NaN,NaN
2002-10-14,0.5473,0.549,0.5467,0.549,NaN,NaN
2002-10-17,0.549,0.5546,0.549,0.5546,NaN,NaN
2002-10-22,0.5546,0.5546,0.553,0.5543,NaN,NaN
2002-10-25,0.5543,0.559,0.5543,0.5573,NaN,NaN
2002-10-30,0.5573,0.5591,0.5533,0.5591,NaN,NaN
2002-11-04,0.5593,0.5636,0.5593,0.5636,NaN,-1
2002-11-07,0.5636,0.5665,0.5614,0.5614,NaN,-1
2002-11-12,0.5614,0.5634,0.5599,0.5634,NaN,-1
2002-11-15,0.5634,0.5636,0.5588,0.5588,NaN,-1
2002-11-20,0.5588,0.5634,0.5588,0.5634,NaN,-1
2002-11-25,0.5636,0.5636,0.5565,0.5565,NaN,-1
2002-11-28,0.5565,0.5607,0.5565,0.5599,NaN,-1
2002-12-03,0.5599,0.5613,0.559,0.5613,NaN,-1
2002-12-06,0.5613,0.5638,0.5593,0.5593,NaN,NaN
2002-12-11,0.5593,0.566,0.5593,0.5649,NaN,NaN
2002-12-16,0.5655,0.5669,0.565,0.565,NaN,NaN
2002-12-19,0.565,0.5655,0.5619,0.5619,NaN,-1
2002-12-24,0.5619,0.56405,0.5619,0.5633,NaN,-1
2002-12-27,0.5633,0.5636,0.5609,0.5636,NaN,-1
2003-01-01,0.5636,0.5672,0.5621,0.5672,NaN,-1
2003-01-06,0.5671,0.5765,0.5671,0.5765,NaN,-1
2003-01-09,0.5765,0.5852,0.5761,0.5852,NaN,-1
2003-01-14,0.5852,0.5877,0.5836,0.5877,NaN,-1
2003-01-17,0.5877,0.5918,0.5877,0.5889,NaN,-1
2003-01-22,0.5889,0.5926,0.5862,0.5926,NaN,NaN
2003-01-27,0.5914,0.5914,0.589,0.5897,NaN,-1
2003-01-30,0.5897,0.5897,0.5847,0.5847,NaN,-1
2003-02-04,0.5847,0.5917,0.5847,0.5917,NaN,-1
2003-02-07,0.5917,0.5917,0.5904,0.591,NaN,-1
2003-02-12,0.591,0.5957,0.5893,0.592,NaN,-1
2003-02-17,0.5913,0.5942,0.5897,0.5942,NaN,-1
2003-02-20,0.5942,0.6052,0.5942,0.6052,NaN,-1
2003-02-25,0.6052,0.6071,0.6051,0.6051,NaN,-1
2003-02-28,0.6051,0.6144,0.6051,0.6124,NaN,NaN
2003-03-05,0.6124,0.6166,0.6124,0.6138,NaN,NaN
2003-03-10,0.6126,0.6147,0.5957,0.5957,NaN,NaN
2003-03-13,0.5957,0.5983,0.5929,0.5929,NaN,-1
2003-03-18,0.5929,0.5942,0.5897,0.5933,NaN,-1
2003-03-21,0.5933,0.5964,0.5908,0.5964,NaN,-1
2003-03-26,0.5964,0.6014,0.5964,0.6009,NaN,-1
2003-03-31,0.6008,0.6045,0.6008,0.6022,NaN,-1
2003-04-03,0.6022,0.6022,0.5989,0.5989,NaN,-1
2003-04-08,0.5989,0.6062,0.5989,0.6062,NaN,-1
2003-04-11,0.6062,0.6063,0.6047,0.6063,NaN,-1
2003-04-16,0.6063,0.6146,0.6063,0.6146,NaN,NaN
2003-04-21,0.6147,0.6212,0.61435,0.619,1,NaN
2003-04-24,0.619,0.619,0.6163,0.6182,1,NaN
2003-04-29,0.6182,0.6311,0.6182,0.6311,1,NaN
2003-05-02,0.6311,0.6427,0.6306,0.6427,1,NaN
2003-05-07,0.6427,0.6443,0.6382,0.6443,1,NaN
2003-05-12,0.6459,0.6496,0.6459,0.6472,1,NaN
2003-05-15,0.6472,0.6593,0.6408,0.6543,1,NaN
2003-05-20,0.6543,0.6584,0.6543,0.6584,1,NaN
2003-05-23,0.6584,0.6604,0.6547,0.6547,NaN,NaN
2003-05-28,0.6547,0.6547,0.6511,0.6528,NaN,NaN
2003-06-02,0.6507,0.6636,0.6507,0.6636,NaN,NaN
2003-06-05,0.6636,0.6651,0.6573,0.6573,NaN,NaN
2003-06-10,0.6573,0.66535,0.65665,0.66535,NaN,NaN
2003-06-13,0.66535,0.6693,0.66535,0.6693,NaN,NaN
2003-06-18,0.6693,0.67335,0.6684,0.6684,NaN,NaN
2003-06-23,0.6678,0.6687,0.66375,0.6687,NaN,-1
2003-06-26,0.6687,0.67385,0.6638,0.67385,NaN,-1
2003-07-01,0.67385,0.68135,0.67385,0.68135,NaN,-1
2003-07-04,0.68135,0.68135,0.66085,0.66085,NaN,-1
2003-07-09,0.66085,0.66085,0.6574,0.6593,NaN,-1
2003-07-14,0.6574,0.65925,0.64965,0.65615,NaN,-1
2003-07-17,0.65615,0.65615,0.6468,0.65195,NaN,-1
2003-07-22,0.65195,0.66615,0.65105,0.66615,NaN,-1
2003-07-25,0.66615,0.66615,0.66275,0.66275,NaN,NaN
2003-07-30,0.66275,0.66275,0.64875,0.6516,1,NaN
2003-08-04,0.652,0.652,0.64615,0.64805,1,NaN
2003-08-07,0.64805,0.65835,0.64805,0.65835,1,NaN
2003-08-12,0.65835,0.65835,0.6564,0.6564,1,NaN
2003-08-15,0.6564,0.6603,0.65585,0.65585,1,NaN
2003-08-20,0.65585,0.66065,0.6526,0.6526,1,NaN
2003-08-25,0.6514,0.6514,0.63935,0.63935,1,NaN
2003-08-28,0.63935,0.6481,0.63935,0.64575,1,NaN
2003-09-02,0.64575,0.64575,0.63665,0.64245,NaN,NaN
2003-09-05,0.64245,0.65945,0.64245,0.65945,1,NaN
2003-09-10,0.65945,0.6635,0.65705,0.6635,1,NaN
2003-09-15,0.6632,0.6655,0.6631,0.6655,1,NaN
2003-09-18,0.6655,0.6778,0.6655,0.6778,1,NaN
2003-09-23,0.6778,0.6791,0.6756,0.6791,1,NaN
2003-09-26,0.6791,0.67995,0.6738,0.67995,1,NaN
2003-10-01,0.67995,0.68635,0.6792,0.6792,1,NaN
2003-10-06,0.6778,0.69065,0.6778,0.69055,1,NaN
2003-10-09,0.69055,0.6921,0.68985,0.68985,NaN,NaN
2003-10-14,0.68985,0.69015,0.6882,0.6882,NaN,-1
2003-10-17,0.6882,0.70005,0.6882,0.70005,NaN,-1
2003-10-22,0.70005,0.70485,0.6995,0.6995,NaN,-1
2003-10-27,0.6992,0.70535,0.6992,0.7034,NaN,-1
2003-10-30,0.7034,0.7079,0.6985,0.6985,NaN,-1
2003-11-04,0.6985,0.70865,0.6985,0.7059,NaN,-1
2003-11-07,0.7059,0.7154,0.7059,0.7151,NaN,-1
2003-11-12,0.7151,0.7205,0.7151,0.7204,NaN,-1
2003-11-17,0.7204,0.7236,0.7117,0.7219,NaN,NaN
2003-11-20,0.7219,0.7237,0.718,0.718,NaN,-1
2003-11-25,0.718,0.72295,0.718,0.7225,NaN,-1
2003-11-28,0.7225,0.73115,0.7225,0.73115,NaN,-1
2003-12-03,0.73115,0.7366,0.73115,0.7366,NaN,-1
