time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,80.43,80.43,80.43,80.43,NaN,NaN
2004-06-01,80.43,81.3,80.43,81.3,NaN,NaN
2004-06-04,81.3,82.25,81.25,81.25,NaN,NaN
2004-06-09,81.25,81.25,80.37,80.72,NaN,NaN
2004-06-14,80.79,80.79,80.03,80.18,NaN,NaN
2004-06-17,80.18,80.18,79.78,79.78,NaN,NaN
2004-06-22,79.78,80.48,79.66,79.66,NaN,NaN
2004-06-25,79.66,80.49,79.66,80.49,NaN,NaN
2004-06-30,80.49,81.81,80.49,81.81,NaN,NaN
2004-07-05,81.84,82.44,81.84,82.28,NaN,NaN
2004-07-08,82.28,82.68,81.91,82.18,NaN,NaN
2004-07-13,82.18,82.96,82.18,82.96,NaN,NaN
2004-07-16,82.96,83.1,82.73,82.73,NaN,NaN
2004-07-21,82.73,83.4,82.73,83.4,NaN,NaN
2004-07-26,83.36,84.05,82.49,84.05,NaN,NaN
2004-07-29,84.05,84.56,83.11,83.11,NaN,NaN
2004-08-03,83.11,84.8,83.11,84.8,NaN,NaN
2004-08-06,84.8,84.8,83.96,84.275,NaN,NaN
2004-08-11,84.275,84.56,83.3,84.56,NaN,NaN
2004-08-16,84.31,84.55,83.85,83.85,NaN,NaN
2004-08-19,83.85,84.31,83.85,84.02,NaN,NaN
2004-08-24,84.02,84.44,83.89,83.89,NaN,NaN
2004-08-27,83.89,83.89,83.16,83.16,NaN,NaN
2004-09-01,83.16,84.97,83.16,84.97,NaN,NaN
2004-09-06,84.98,84.98,84.76,84.76,NaN,NaN
2004-09-09,84.76,85.11,84.56,84.56,NaN,NaN
2004-09-14,84.56,84.91,84.56,84.91,NaN,NaN
2004-09-17,84.91,85.18,84.63,85.18,NaN,NaN
2004-09-22,85.18,86.83,85.18,86.83,NaN,NaN
2004-09-27,86.68,87.59,86.68,87.26,NaN,-1
2004-09-30,87.26,87.71,87.26,87.27,NaN,-1
2004-10-05,87.27,88.45,87.27,88.22,NaN,-1
2004-10-08,88.22,88.22,87.12,87.39,NaN,-1
2004-10-13,87.39,87.39,87.25,87.25,NaN,-1
2004-10-18,87.2,87.2,86.11,86.93,NaN,-1
2004-10-21,86.93,87.4,86.42,87.4,NaN,-1
2004-10-26,87.4,87.4,86.85,86.91,NaN,-1
2004-10-29,86.91,87.08,86.73,86.73,NaN,NaN
2004-11-03,86.73,88.16,86.73,88.16,NaN,NaN
2004-11-08,88.23,89.745,88.11,89.745,NaN,NaN
2004-11-11,89.745,89.745,87.72,87.72,NaN,NaN
2004-11-16,87.72,88.12,86.41,86.41,NaN,NaN
2004-11-19,86.41,87.16,86.37,87.16,NaN,NaN
2004-11-24,87.16,87.23,87.08,87.23,NaN,NaN
2004-11-29,87.16,87.16,86.69,86.72,NaN,NaN
2004-12-02,86.72,86.72,85.64,85.96,NaN,NaN
2004-12-07,85.96,85.96,85.16,85.67,NaN,NaN
2004-12-10,85.67,85.98,85.4,85.43,1,NaN
2004-12-15,85.43,85.43,84.95,84.96,1,NaN
2004-12-20,84.65,84.77,83.95,83.95,1,NaN
2004-12-23,83.95,84.525,83.95,84.525,1,NaN
2004-12-28,84.525,85.845,84.525,85.575,1,NaN
2004-12-31,85.575,85.575,85.37,85.37,1,NaN
2005-01-03,85.43,85.695,84.73,84.975,1,NaN
2005-01-06,84.975,85.65,84.61,85.305,1,NaN
2005-01-11,85.305,85.72,84.54,85.16,NaN,NaN
2005-01-14,85.16,85.29,83.52,83.63,NaN,NaN
2005-01-19,83.63,84.71,83.25,84.04,NaN,NaN
2005-01-24,84.14,84.77,83.24,83.65,NaN,NaN
2005-01-27,83.65,83.91,82.72,83.63,NaN,NaN
2005-02-01,83.63,84.3,83.45,84.21,NaN,NaN
2005-02-04,84.21,84.97,82.93,84.9,NaN,NaN
2005-02-09,84.9,85.55,84.44,85.51,NaN,NaN
2005-02-14,85.29,85.47,84.59,85.21,NaN,NaN
2005-02-17,85.21,86.08,85.05,85.61,NaN,NaN
2005-02-22,85.61,85.61,83.92,85.07,NaN,NaN
2005-02-25,85.07,85.13,83.85,84.12,NaN,NaN
2005-03-02,84.12,85.15,84.02,85.09,NaN,NaN
2005-03-07,85.05,86.63,84.85,86.11,NaN,NaN
2005-03-10,86.11,87.12,85.88,86.85,NaN,NaN
2005-03-15,86.85,87.3,86.21,87.02,NaN,NaN
2005-03-18,87.02,87.61,86.6,87.38,NaN,NaN
2005-03-23,87.38,87.755,86.85,87.32,NaN,NaN
2005-03-28,87.28,88.98,87.28,88.39,NaN,-1
2005-03-31,88.39,88.87,87.89,88.62,NaN,-1
2005-04-05,88.62,89.14,88.5,88.83,NaN,-1
2005-04-08,88.83,88.9,86.96,87.07,NaN,-1
2005-04-13,87.07,87.36,86.37,86.48,NaN,-1
2005-04-18,86.43,86.62,85.72,86.04,NaN,-1
2005-04-21,86.04,86.785,85.19,85.42,NaN,-1
2005-04-26,85.42,85.61,84.31,84.75,NaN,-1
2005-04-29,84.75,84.79,83.12,83.94,NaN,NaN
2005-05-04,83.94,84.65,83.33,84.56,NaN,NaN
2005-05-09,84.64,85.61,84.52,84.73,NaN,NaN
2005-05-12,84.73,85.56,84.06,84.1,NaN,NaN
2005-05-17,84.1,85.51,83.95,85.49,NaN,NaN
2005-05-20,85.49,85.77,84.97,85.46,NaN,NaN
2005-05-25,85.46,86.22,85.03,86.05,NaN,NaN
2005-05-30,85.87,87.24,85.61,87.12,NaN,NaN
2005-06-02,87.12,87.17,85.715,85.92,NaN,NaN
2005-06-07,85.92,86.03,85.27,85.47,NaN,NaN
2005-06-10,85.47,87.44,85.32,87.4,NaN,NaN
2005-06-15,87.4,88.45,87.17,88.32,NaN,NaN
2005-06-20,88.35,88.97,87.77,88.18,NaN,NaN
2005-06-23,88.18,89.07,87.64,88.82,NaN,NaN
2005-06-28,88.82,90.64,88.72,90.54,NaN,NaN
2005-07-01,90.54,90.58,89.43,89.84,NaN,-1
2005-07-06,89.84,92.14,89.71,92.03,NaN,-1
2005-07-11,92,93.08,91.5,92.61,NaN,-1
2005-07-14,92.61,93.22,91.69,92.07,NaN,-1
2005-07-19,92.07,93.07,90.43,90.62,NaN,-1
2005-07-22,90.62,91.98,90.57,91.49,NaN,-1
2005-07-27,91.49,91.99,90.55,91.95,NaN,-1
2005-08-01,92.1,92.74,91.275,91.305,NaN,-1
2005-08-04,91.305,92.45,91.25,92.345,NaN,NaN
2005-08-09,92.345,92.48,90.99,91.4,NaN,NaN
2005-08-12,91.4,91.82,90.695,91.4,NaN,-1
2005-08-17,91.4,91.575,90.385,91.2,NaN,-1
2005-08-22,91.2,92.675,90.515,92.555,NaN,-1
2005-08-25,92.555,92.92,91.585,92.345,NaN,-1
2005-08-30,92.345,93.825,92.205,92.79,NaN,-1
