time,open,high,low,close
2004-05-31T11:00:00+02:00,80.43,80.43,80.43,80.43
2004-06-01T11:00:00+02:00,80.43,80.84,80.43,80.84
2004-06-02T11:00:00+02:00,80.84,80.84,80.72,80.72
2004-06-03T11:00:00+02:00,80.72,81.3,80.72,81.3
2004-06-04T11:00:00+02:00,81.3,82.25,81.3,82.25
2004-06-07T11:00:00+02:00,82.1,82.1,81.34,81.34
2004-06-08T11:00:00+02:00,81.34,81.34,81.25,81.25
2004-06-09T11:00:00+02:00,81.25,81.25,81.22,81.22
2004-06-10T11:00:00+02:00,81.22,81.22,80.37,80.37
2004-06-11T11:00:00+02:00,80.37,80.72,80.37,80.72
2004-06-14T11:00:00+02:00,80.79,80.79,80.75,80.75
2004-06-15T11:00:00+02:00,80.75,80.75,80.03,80.03
2004-06-16T11:00:00+02:00,80.03,80.18,80.03,80.18
2004-06-17T11:00:00+02:00,80.18,80.18,79.95,79.95
2004-06-18T11:00:00+02:00,79.95,79.95,79.89,79.89
2004-06-21T11:00:00+02:00,79.8,79.8,79.78,79.78
2004-06-22T11:00:00+02:00,79.78,80.48,79.78,80.48
2004-06-23T11:00:00+02:00,80.48,80.48,79.78,79.78
2004-06-24T11:00:00+02:00,79.78,79.78,79.66,79.66
2004-06-25T11:00:00+02:00,79.66,79.69,79.66,79.69
2004-06-28T11:00:00+02:00,79.72,80.04,79.72,80.04
2004-06-29T11:00:00+02:00,80.04,80.49,80.04,80.49
2004-06-30T11:00:00+02:00,80.49,81.61,80.49,81.61
2004-07-01T11:00:00+02:00,81.61,81.61,81.33,81.33
2004-07-02T11:00:00+02:00,81.33,81.81,81.33,81.81
2004-07-05T11:00:00+02:00,81.84,82.26,81.84,82.26
2004-07-06T11:00:00+02:00,82.26,82.44,82.26,82.44
2004-07-07T11:00:00+02:00,82.44,82.44,82.28,82.28
2004-07-08T11:00:00+02:00,82.28,82.68,82.28,82.68
2004-07-09T11:00:00+02:00,82.68,82.68,82.06,82.06
2004-07-12T11:00:00+02:00,81.91,82.18,81.91,82.18
2004-07-13T11:00:00+02:00,82.18,82.42,82.18,82.42
2004-07-14T11:00:00+02:00,82.42,82.55,82.42,82.55
2004-07-15T11:00:00+02:00,82.55,82.96,82.55,82.96
2004-07-16T11:00:00+02:00,82.96,82.96,82.88,82.88
2004-07-19T11:00:00+02:00,83.1,83.1,82.77,82.77
2004-07-20T11:00:00+02:00,82.77,82.77,82.73,82.73
