time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,87.32,89.685,87.32,89.685,NaN,NaN
2004-06-07,89.595,89.595,87.375,87.375,NaN,NaN
2004-06-14,87.435,88.385,86.925,87.475,NaN,NaN
2004-06-21,87.445,87.445,86.07,86.285,NaN,NaN
2004-06-28,86.275,87.835,85.485,87.835,NaN,NaN
2004-07-05,87.975,88.925,87.975,88.475,NaN,NaN
2004-07-12,88.235,88.805,87.915,88.715,NaN,NaN
2004-07-19,88.775,88.775,86.935,86.935,NaN,NaN
2004-07-26,86.995,87.555,86.875,86.875,NaN,NaN
2004-08-02,87.095,88.345,86.51,88.345,NaN,NaN
2004-08-09,88.345,89.405,87.94,89.405,NaN,NaN
2004-08-16,89.085,89.085,87.275,87.275,NaN,NaN
2004-08-23,87.305,87.305,85.535,85.535,NaN,NaN
2004-08-30,85.485,86.915,85.485,86.905,NaN,NaN
2004-09-06,86.875,87.155,86.3,87.155,NaN,NaN
2004-09-13,87.085,87.425,86.37,86.615,NaN,NaN
2004-09-20,86.665,87.905,86.43,87.725,NaN,NaN
2004-09-27,87.695,88.475,87.695,88.475,NaN,NaN
2004-10-04,88.495,88.495,87.555,87.555,NaN,NaN
2004-10-11,87.675,88.605,87.365,88.605,NaN,NaN
2004-10-18,88.605,88.72,88.15,88.26,NaN,NaN
2004-10-25,88.705,89.2,88.225,88.56,NaN,NaN
2004-11-01,88.655,89.665,88.155,89.665,NaN,NaN
2004-11-08,89.575,90.76,89.325,90.085,NaN,NaN
2004-11-15,90.175,90.175,88.755,88.755,NaN,NaN
2004-11-22,88.845,90.065,88.755,90.065,NaN,NaN
2004-11-29,90.025,90.295,89.65,90.275,NaN,NaN
2004-12-06,90.145,90.92,90.145,90.575,NaN,NaN
2004-12-13,90.685,91.44,90.035,90.035,NaN,NaN
2004-12-20,90.015,90.705,90.015,90.705,NaN,NaN
2004-12-27,90.725,91.65,89.885,89.885,NaN,NaN
2005-01-03,90.065,90.265,88.19,88.445,NaN,NaN
2005-01-10,88.485,88.65,86.155,86.495,NaN,NaN
2005-01-17,86.405,87.235,86.165,86.645,NaN,NaN
2005-01-24,86.675,87.645,86.47,87.045,NaN,NaN
2005-01-31,87.205,87.37,85.805,85.935,NaN,NaN
2005-02-07,86.105,87.705,85.545,87.325,1,NaN
2005-02-14,87.185,89.475,86.965,89.305,1,NaN
2005-02-21,89.195,90.595,88.81,90.575,1,NaN
2005-02-28,90.605,90.605,89.015,89.595,1,NaN
2005-03-07,89.625,90.415,89.285,90.415,1,NaN
2005-03-14,90.275,90.83,89.495,90.015,1,NaN
2005-03-21,89.965,89.995,88.265,88.655,1,NaN
2005-03-28,88.665,89.965,88.53,89.435,1,NaN
2005-04-04,89.375,90.485,89.255,90.395,NaN,NaN
2005-04-11,90.405,90.57,88.86,89.835,NaN,NaN
2005-04-18,89.635,91.115,89.415,89.755,NaN,NaN
2005-04-25,89.195,89.5,87.585,87.665,NaN,NaN
2005-05-02,87.825,88.095,86.83,87.055,NaN,NaN
2005-05-09,87.105,88.225,87.035,87.705,NaN,NaN
2005-05-16,87.635,88.19,87.075,87.665,NaN,NaN
2005-05-23,87.665,87.965,87.205,87.725,NaN,NaN
2005-05-30,87.585,87.705,85.895,85.985,NaN,NaN
2005-06-06,85.945,86.115,85.345,85.635,NaN,NaN
2005-06-13,85.575,86.455,85.315,86.325,NaN,NaN
2005-06-20,86.125,86.22,84.815,85.585,NaN,NaN
2005-06-27,85.675,86.625,85.665,86.235,NaN,NaN
2005-07-04,86.055,86.875,85.525,86.335,NaN,NaN
2005-07-11,86.325,87.285,86.15,86.565,NaN,NaN
2005-07-18,86.605,87.895,85.57,85.875,NaN,NaN
2005-07-25,85.845,87.475,85.715,87.235,NaN,NaN
2005-08-01,87.325,88.77,87.205,88.695,NaN,NaN
2005-08-08,88.705,89.155,87.615,87.695,NaN,NaN
2005-08-15,87.935,87.935,86.585,86.605,NaN,NaN
2005-08-22,86.685,87.805,86.015,87.545,NaN,NaN
2005-08-29,87.615,89.405,87.175,89.275,NaN,NaN
2005-09-05,89.265,89.385,88.165,88.225,NaN,NaN
2005-09-12,87.575,88.105,86.91,87.715,NaN,NaN
2005-09-19,87.445,87.945,86.725,87.045,NaN,NaN
2005-09-26,87.005,88.075,86.69,87.725,NaN,NaN
2005-10-03,87.725,89.245,87.455,89.075,NaN,NaN
2005-10-10,88.875,89.245,88.315,88.785,NaN,NaN
2005-10-17,88.885,90.055,88.695,89.705,NaN,NaN
2005-10-24,89.585,90.705,89.355,90.355,NaN,NaN
2005-10-31,90.355,91.495,90.055,90.505,NaN,NaN
2005-11-07,90.385,90.405,89.205,90.015,NaN,NaN
2005-11-14,89.925,90.655,89.545,90.635,NaN,NaN
2005-11-21,90.695,90.925,90.025,90.725,NaN,NaN
2005-11-28,90.635,91.785,90.565,91.605,NaN,NaN
2005-12-05,91.815,92.795,91.735,92.625,NaN,NaN
2005-12-12,92.445,93.155,89.575,89.655,NaN,NaN
2005-12-19,89.705,90.4,88.33,88.585,NaN,NaN
2005-12-26,88.585,89.885,88.385,89.635,NaN,NaN
2006-01-02,89.635,91.135,89.385,90.135,NaN,NaN
2006-01-09,90.155,90.165,88.565,89.435,NaN,NaN
2006-01-16,89.545,90.385,89.345,90.335,NaN,NaN
2006-01-23,90.345,91.805,90.175,91.315,NaN,NaN
2006-01-30,91.435,92.245,91.135,91.875,NaN,NaN
2006-02-06,91.895,91.965,90.005,90.195,NaN,NaN
2006-02-13,90.105,90.465,89.475,90.135,NaN,NaN
2006-02-20,90.175,90.915,88.645,88.755,NaN,NaN
2006-02-27,88.735,89.835,87.69,89.775,NaN,NaN
2006-03-06,89.745,90.625,89.385,90.335,NaN,NaN
2006-03-13,90.305,90.825,89.665,89.905,NaN,NaN
2006-03-20,89.855,90.305,89.235,89.605,NaN,NaN
2006-03-27,89.735,90.645,88.885,90.315,NaN,NaN
2006-04-03,90.295,91.755,90.085,90.905,NaN,NaN
2006-04-10,90.815,91.485,90.71,91.405,NaN,NaN
2006-04-17,91.395,92.75,91.27,91.415,NaN,NaN
2006-04-24,90.875,91.955,89.885,91.865,NaN,NaN
2006-05-01,91.815,92.835,91.25,91.815,NaN,NaN
2006-05-08,91.425,91.995,90.48,91.885,NaN,NaN
2006-05-15,91.625,92.075,90.385,91.805,NaN,NaN
2006-05-22,91.795,92.925,91.555,91.935,NaN,NaN
2006-05-29,91.835,92.715,91.6,92.485,NaN,NaN
2006-06-05,92.555,93.295,92.295,92.585,NaN,NaN
2006-06-12,92.555,93.645,92.405,93.535,NaN,NaN
2006-06-19,93.545,93.735,92.465,93.295,NaN,NaN
2006-06-26,93.355,93.675,92.805,93.575,NaN,NaN
2006-07-03,93.395,94.09,93.145,93.205,NaN,NaN
2006-07-10,93.265,94.325,92.495,94.085,NaN,NaN
2006-07-17,94.195,94.355,93.405,93.945,NaN,NaN
2006-07-24,93.975,94.065,92.925,92.995,NaN,NaN
2006-07-31,93.105,93.705,92.645,93.545,NaN,NaN
2006-08-07,93.405,94.265,93.205,93.555,NaN,NaN
2006-08-14,93.705,94.415,93.605,93.905,NaN,NaN
2006-08-21,93.905,94.925,93.875,94.605,NaN,NaN
2006-08-28,94.625,95.69,94.405,95.165,NaN,NaN
2006-09-04,95.225,95.235,93.275,93.725,NaN,NaN
2006-09-11,93.685,94.765,93.145,93.655,NaN,NaN
2006-09-18,93.285,94.545,93.165,94.295,NaN,NaN
2006-09-25,94.295,94.635,93.605,94.495,NaN,NaN
2006-10-02,94.495,94.895,93.685,94.445,NaN,NaN
2006-10-09,94.355,94.71,93.805,93.975,NaN,NaN
2006-10-16,93.985,94.385,93.325,94.315,NaN,NaN
2006-10-23,94.425,94.695,93.915,94.185,NaN,NaN
2006-10-30,94.055,94.315,93.645,94.125,NaN,NaN
2006-11-06,94.195,95.055,93.975,94.735,NaN,NaN
2006-11-13,94.835,95.045,94.395,94.655,NaN,NaN
2006-11-20,94.755,95.865,94.68,95.825,NaN,NaN
2006-11-27,96.06,97.035,95.855,96.755,NaN,NaN
2006-12-04,96.735,96.93,95.915,96.525,NaN,NaN
2006-12-11,96.485,97.615,96.255,96.755,NaN,NaN
2006-12-18,96.565,97.655,96.355,97.385,NaN,NaN
2006-12-25,97.375,97.725,96.635,97.665,NaN,NaN
2007-01-01,97.665,98.085,95.705,95.935,NaN,NaN
2007-01-08,96.065,96.895,95.595,96.475,NaN,NaN
2007-01-15,96.515,97.445,96.215,97.095,NaN,NaN
2007-01-22,97.15,98.015,96.325,96.965,NaN,NaN
2007-01-29,96.925,97.545,96.535,97.075,NaN,NaN
2007-02-05,97.015,97.655,96.155,97.635,NaN,NaN
2007-02-12,97.535,97.915,96.335,96.695,NaN,NaN
2007-02-19,96.845,98.385,96.71,98.225,NaN,NaN
2007-02-26,98.195,98.335,95.575,96.025,NaN,NaN
2007-03-05,95.965,95.995,94.275,95.835,NaN,NaN
2007-03-12,96.065,96.975,95.115,96.685,NaN,NaN
2007-03-19,96.555,97.355,96.41,96.895,NaN,NaN
2007-03-26,96.855,97.475,95.875,96.935,NaN,NaN
2007-04-02,96.84,97.82,96.724,97.579,NaN,NaN
2007-04-09,97.595,98.412,97.082,98.173,NaN,NaN
2007-04-16,98.381,98.845,97.715,98.207,NaN,NaN
2007-04-23,98.299,99.253,97.735,99.225,NaN,NaN
2007-04-30,98.999,99.342,98.515,99.184,NaN,NaN
2007-05-07,99.219,99.288,98.073,98.602,NaN,NaN
2007-05-14,98.77,99.162,98.354,98.689,NaN,NaN
2007-05-21,98.745,99.223,98.404,99.133,NaN,NaN
2007-05-28,99.158,99.64,98.695,99.273,NaN,NaN
2007-06-04,99.254,99.812,98.32,98.556,NaN,NaN
2007-06-11,98.57,99.484,97.72,99.448,NaN,NaN
2007-06-18,99.415,100.834,99.33,100.779,NaN,NaN
2007-06-25,100.727,100.914,99.459,100.842,NaN,NaN
2007-07-02,100.853,101.327,100.506,101.264,NaN,NaN
2007-07-09,101.332,101.867,100.69,101.39,NaN,NaN
2007-07-16,101.44,101.83,100.752,100.986,NaN,NaN
2007-07-23,101.25,101.3,97.82,98.159,NaN,NaN
2007-07-30,98.005,99.618,97.55,99.143,NaN,NaN
2007-08-06,99.115,100.27,98.076,98.761,NaN,NaN
2007-08-13,98.615,98.85,92.177,94.656,NaN,NaN
2007-08-20,94.645,96.992,94.26,96.983,NaN,NaN
2007-08-27,96.972,97.252,94.682,95.795,NaN,NaN
2007-09-03,95.764,96.297,95.077,95.385,NaN,NaN
2007-09-10,95.2,97.341,94.905,96.992,NaN,NaN
2007-09-17,96.86,98.587,96.58,98.504,NaN,NaN
2007-09-24,98.48,98.923,97.594,98.651,NaN,NaN
2007-10-01,98.72,99.374,98.32,99.284,NaN,NaN
2007-10-08,99.42,99.887,98.497,99.273,NaN,NaN
2007-10-15,99.2,99.98,97.97,98.204,NaN,NaN
2007-10-22,98.044,98.437,96.453,98.075,NaN,NaN
2007-10-29,98.192,99.872,97.997,99.507,NaN,NaN
2007-11-05,99.515,100.696,98.515,98.63,NaN,NaN
2007-11-12,98.235,99.795,96.797,99.389,NaN,NaN
2007-11-19,99.246,99.646,97.703,98.244,NaN,NaN
2007-11-26,98.225,99.185,97.592,98.272,NaN,NaN
2007-12-03,98.187,99.039,97.462,99.01,NaN,NaN
2007-12-10,98.78,99.413,97.69,98.247,NaN,NaN
2007-12-17,98.144,98.825,97.509,98.731,NaN,NaN
2007-12-24,98.712,100.364,98.373,99.732,NaN,NaN
2007-12-31,99.772,99.925,97.345,97.98,NaN,NaN
2008-01-07,97.97,99.363,97.478,98.836,NaN,NaN
2008-01-14,98.673,99.127,96.619,97.283,NaN,NaN
2008-01-21,97.044,98.766,95.128,97.305,NaN,NaN
2008-01-28,97.422,98.9195,96.942,97.733,NaN,NaN
2008-02-04,97.855,98.255,96.328,97.289,NaN,NaN
2008-02-11,97.375,98.808,96.551,98.614,NaN,NaN
2008-02-18,98.621,98.895,97.932,98.752,NaN,NaN
2008-02-25,98.897,100.534,98.565,99.638,NaN,NaN
2008-03-03,99.615,100.601,98.773,100.141,NaN,NaN
2008-03-10,100.184,100.752,98.93,99.246,NaN,NaN
2008-03-17,99.391,100.261,97.345,98.691,NaN,NaN
2008-03-24,98.528,100.745,97.854,99.711,NaN,NaN
2008-03-31,99.729,101.705,99.369,100.865,NaN,NaN
2008-04-07,100.919,101.837,100.703,100.895,NaN,NaN
2008-04-14,100.82,102.269,100.335,101.826,NaN,NaN
2008-04-21,102.012,102.785,100.379,100.929,NaN,NaN
2008-04-28,100.861,101.377,99.054,99.699,NaN,NaN
2008-05-05,99.675,100.07,98.275,98.808,NaN,NaN
2008-05-12,98.925,99.913,98.464,99.347,NaN,NaN
2008-05-19,99.465,101.07,98.899,100.947,NaN,NaN
2008-05-26,100.814,101.335,100.221,101.254,NaN,NaN
2008-06-02,100.965,103.143,100.269,103.01,NaN,NaN
2008-06-09,102.787,103.829,102.592,103.346,NaN,NaN
2008-06-16,103.4,104.29,102.989,103.659,NaN,NaN
2008-06-23,103.555,104.692,102.855,104.212,NaN,NaN
2008-06-30,104.214,105.085,103.444,104.171,NaN,NaN
2008-07-07,104.14,104.793,103.669,104.592,NaN,NaN
2008-07-14,104.576,104.739,102.922,104.575,NaN,NaN
2008-07-21,104.528,104.787,103.146,104.064,NaN,NaN
2008-07-28,104.01,104.252,102.342,102.596,NaN,NaN
2008-08-04,102.607,103.793,101.757,101.806,NaN,NaN
2008-08-11,101.645,102.178,99.721,100.826,NaN,NaN
2008-08-18,100.755,100.939,99.043,100.186,NaN,NaN
2008-08-25,100.171,100.313,98.513,98.794,NaN,NaN
2008-09-01,98.666,98.838,95.028,96.289,NaN,NaN
2008-09-08,96.988,97.702,93.075,95.512,NaN,NaN
2008-09-15,94.485,97.326,92.9645,97.204,NaN,NaN
2008-09-22,96.653,98.632,96.332,97.216,NaN,NaN
2008-09-29,97.056,97.436,92.1305,93.274,NaN,NaN
2008-10-06,92.432,92.954,86.553,88.428,1,NaN
2008-10-13,89.298,91.256,87.213,89.417,1,NaN
2008-10-20,89.454,90.3635,78.763,80.801,1,NaN
2008-10-27,79.972,88.064,78.827,84.996,1,NaN
2008-11-03,85.211,86.722,82.03,83.352,1,NaN
2008-11-10,84.656,84.9135,79.3655,81.209,1,NaN
2008-11-17,79.926,81.545,76.246,78.482,1,NaN
2008-11-24,78.43,81.628,77.848,78.733,1,NaN
2008-12-01,78.728,78.785,75.0745,76.089,NaN,NaN
2008-12-08,76.113,78.003,74.728,77.463,1,NaN
2008-12-15,77.613,85.492,77.063,80.912,1,NaN
2008-12-22,80.875,84.986,80.715,84.818,1,NaN
2008-12-29,84.945,87.062,84.236,85.055,1,NaN
2009-01-05,85.123,86.07,80.87,81.197,1,NaN
2009-01-12,81.043,81.403,79.043,81.098,1,NaN
2009-01-19,81.613,82.053,75.415,76.969,1,NaN
2009-01-26,76.866,79.445,75.91,77.505,1,NaN
2009-02-02,77.405,79.5,76.1715,79.132,NaN,NaN
2009-02-09,79.112,79.764,77.068,79.138,NaN,NaN
2009-02-16,78.733,81.12,78.0975,80.679,NaN,NaN
2009-02-23,80.58,84.7735,80.3885,83.4,NaN,NaN
2009-03-02,83.462,85.1535,82.368,84.828,NaN,NaN
2009-03-09,84.894,85.888,81.333,82.661,NaN,NaN
2009-03-16,82.518,85.571,82.034,85.108,NaN,NaN
2009-03-23,85.012,87.762,84.897,85.541,NaN,NaN
2009-03-30,85.471,88.784,83.3935,88.685,NaN,NaN
2009-04-06,88.616,89.995,86.433,86.83,NaN,NaN
2009-04-13,86.91,88.641,84.7075,85.115,NaN,NaN
2009-04-20,85.153,85.6185,83.49,85.302,NaN,NaN
2009-04-27,85.041,87.6425,82.687,87.274,NaN,NaN
2009-05-04,87.374,89.119,86.122,89.036,NaN,NaN
2009-05-11,89.312,89.466,84.525,84.896,NaN,NaN
