time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,87.32,87.32,87.32,87.32,NaN,NaN
2004-06-01,87.32,88.75,87.32,88.64,NaN,NaN
2004-06-04,88.64,89.685,88.555,88.575,NaN,NaN
2004-06-09,88.575,88.575,87.375,87.375,NaN,NaN
2004-06-14,87.435,88.385,86.925,86.925,NaN,NaN
2004-06-17,86.925,87.535,86.925,87.405,NaN,NaN
2004-06-22,87.405,87.435,86.07,86.07,NaN,NaN
2004-06-25,86.07,86.405,85.485,85.485,NaN,NaN
2004-06-30,85.485,87.835,85.485,87.835,NaN,NaN
2004-07-05,87.975,88.545,87.975,88.545,NaN,NaN
2004-07-08,88.545,88.925,88.235,88.395,NaN,NaN
2004-07-13,88.395,88.805,87.915,88.805,NaN,NaN
2004-07-16,88.805,88.805,87.35,87.35,NaN,NaN
2004-07-21,87.35,87.925,86.935,86.935,NaN,NaN
2004-07-26,86.995,87.555,86.955,87.555,NaN,NaN
2004-07-29,87.555,87.555,86.555,86.555,NaN,NaN
2004-08-03,86.555,87.675,86.51,87.675,NaN,NaN
2004-08-06,87.675,88.345,87.675,88.19,NaN,NaN
2004-08-11,88.19,89.405,87.94,89.405,NaN,NaN
2004-08-16,89.085,89.085,87.845,87.845,NaN,NaN
2004-08-19,87.845,87.955,86.505,86.505,NaN,NaN
2004-08-24,86.505,86.535,86.145,86.185,NaN,NaN
2004-08-27,86.185,86.215,85.485,86.215,NaN,NaN
2004-09-01,86.215,86.915,86.215,86.905,NaN,NaN
2004-09-06,86.875,86.875,86.3,86.73,NaN,NaN
2004-09-09,86.73,87.425,86.73,87.425,NaN,NaN
2004-09-14,87.425,87.425,86.37,86.37,NaN,NaN
2004-09-17,86.37,87.48,86.37,87.48,NaN,NaN
2004-09-22,87.48,87.905,87.48,87.725,NaN,NaN
2004-09-27,87.695,88.46,87.695,88.05,NaN,NaN
2004-09-30,88.05,88.495,87.76,87.76,NaN,NaN
2004-10-05,87.76,88.07,87.76,87.97,NaN,NaN
2004-10-08,87.97,87.97,87.365,87.365,NaN,NaN
2004-10-13,87.365,88.605,87.365,88.605,NaN,NaN
2004-10-18,88.605,88.72,88.15,88.66,NaN,NaN
2004-10-21,88.66,89.2,88.26,89.2,NaN,NaN
2004-10-26,89.2,89.2,88.225,88.56,NaN,NaN
2004-10-29,88.655,88.655,88.155,88.155,NaN,NaN
2004-11-03,88.155,89.665,88.155,89.665,NaN,NaN
2004-11-08,89.575,90.76,89.325,90.76,NaN,NaN
2004-11-11,90.76,90.76,89.315,89.315,NaN,NaN
2004-11-16,89.315,89.54,89.035,89.035,NaN,NaN
2004-11-19,89.035,89.185,88.755,89.185,NaN,NaN
2004-11-24,89.185,90.065,89.185,90.065,NaN,NaN
2004-11-29,90.025,90.295,89.94,89.94,NaN,NaN
2004-12-02,89.94,90.415,89.65,90.415,NaN,NaN
2004-12-07,90.415,90.92,90.175,90.92,NaN,NaN
2004-12-10,90.92,91.44,90.575,91.44,NaN,NaN
2004-12-15,91.44,91.44,90.035,90.035,NaN,NaN
2004-12-20,90.015,90.605,90.015,90.425,NaN,NaN
2004-12-23,90.425,90.725,90.425,90.71,NaN,NaN
2004-12-28,90.71,91.65,90.71,91.1,NaN,NaN
2004-12-31,91.1,91.1,89.885,89.885,NaN,NaN
2005-01-03,90.065,90.265,88.81,89.13,NaN,NaN
2005-01-06,89.13,89.54,88.06,88.23,NaN,NaN
2005-01-11,88.23,88.635,87.165,87.41,NaN,NaN
2005-01-14,87.41,87.47,86.155,86.235,NaN,NaN
2005-01-19,86.235,87.235,86.165,86.645,NaN,NaN
2005-01-24,86.675,87.575,86.47,87.05,1,NaN
2005-01-27,87.05,87.645,86.63,87.225,1,NaN
2005-02-01,87.225,87.37,86.805,86.905,1,NaN
2005-02-04,86.905,86.985,85.545,86.625,1,NaN
2005-02-09,86.625,87.705,86.33,87.325,1,NaN
2005-02-14,87.185,88.865,86.965,88.775,1,NaN
2005-02-17,88.775,89.495,88.62,89.32,1,NaN
2005-02-22,89.32,90.515,88.81,90.135,1,NaN
2005-02-25,90.135,90.605,89.455,89.59,NaN,NaN
2005-03-02,89.59,89.785,89.015,89.595,NaN,NaN
2005-03-07,89.625,90.225,89.285,89.705,NaN,NaN
2005-03-10,89.705,90.83,89.645,90.415,NaN,NaN
2005-03-15,90.415,90.555,89.495,90.38,NaN,NaN
2005-03-18,90.38,90.58,88.5,88.91,NaN,NaN
2005-03-23,88.91,89.185,88.265,88.655,NaN,NaN
2005-03-28,88.665,89.965,88.53,89.615,NaN,NaN
2005-03-31,89.615,89.905,89.145,89.525,NaN,NaN
2005-04-05,89.525,90.375,89.47,90.005,NaN,NaN
2005-04-08,90.005,90.57,89.6,89.895,NaN,NaN
2005-04-13,89.895,89.92,88.86,89.835,NaN,NaN
2005-04-18,89.635,90.775,89.545,90.715,NaN,NaN
2005-04-21,90.715,91.115,88.745,89.01,NaN,NaN
2005-04-26,89.01,89.5,88.665,88.985,NaN,NaN
2005-04-29,88.985,89.085,87.505,87.68,NaN,NaN
2005-05-04,87.68,88.06,86.83,87.055,NaN,NaN
2005-05-09,87.105,88.225,87.035,87.745,NaN,NaN
2005-05-12,87.745,88.015,87.315,87.385,NaN,NaN
2005-05-17,87.385,88.19,87.075,88.115,NaN,NaN
2005-05-20,88.115,88.155,87.315,87.605,NaN,NaN
2005-05-25,87.605,87.965,87.205,87.725,NaN,NaN
2005-05-30,87.585,87.705,86.405,86.485,NaN,NaN
2005-06-02,86.485,86.765,85.475,85.605,NaN,NaN
2005-06-07,85.605,86.115,85.345,85.635,NaN,NaN
2005-06-10,85.635,86.385,85.315,85.705,NaN,NaN
2005-06-15,85.705,86.455,85.485,86.325,NaN,NaN
2005-06-20,86.125,86.22,85.255,85.585,NaN,NaN
2005-06-23,85.585,86.35,84.815,86.13,NaN,NaN
2005-06-28,86.13,86.625,85.755,86.56,NaN,NaN
2005-07-01,86.56,86.57,85.525,85.685,NaN,NaN
2005-07-06,85.685,86.875,85.565,86.335,NaN,NaN
