time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,1.6596,1.6759,1.65935,1.65935,,
2004-06-07,1.66165,1.6644,1.63705,1.65415,,
2004-06-21,1.65515,1.65515,1.6206,1.63065,,
2004-07-05,1.63115,1.6372,1.6254,1.63285,,
2004-07-19,1.62945,1.62945,1.59555,1.60015,,
2004-08-02,1.601,1.63115,1.5859,1.62015,,
2004-08-16,1.61935,1.61935,1.5766,1.57735,,
2004-08-30,1.57815,1.5991,1.5585,1.58375,,
2004-09-13,1.58385,1.5958,1.56395,1.56395,,
2004-09-27,1.56625,1.5683,1.5468,1.55325,,
2004-10-11,1.55365,1.5747,1.5475,1.56495,,
2004-10-25,1.56475,1.56475,1.55,1.55295,,
2004-11-08,1.54955,1.5633,1.53965,1.55405,,
2004-11-22,1.55575,1.60395,1.5476,1.60395,,
2004-12-06,1.60175,1.6436,1.60175,1.63045,,
2004-12-20,1.63685,1.66545,1.62765,1.62765,,
2005-01-03,1.62955,1.6353,1.5831,1.59625,,
2005-01-17,1.59505,1.6222,1.5873,1.61515,,
2005-01-31,1.61555,1.6206,1.5903,1.59065,,
2005-02-14,1.59215,1.6547,1.59015,1.64045,,
2005-02-28,1.64115,1.64265,1.6093,1.62355,,
2005-03-14,1.62295,1.62375,1.5704,1.57865,,
2005-03-28,1.57945,1.58985,1.5625,1.58935,,
2005-04-11,1.58915,1.6282,1.5849,1.61325,,
2005-04-25,1.61115,1.6253,1.5893,1.59265,,
2005-05-09,1.59195,1.60795,1.5827,1.59005,,
2005-05-23,1.58925,1.5955,1.51855,1.52555,,
2005-06-06,1.52515,1.5398,1.493,1.51035,,
2005-06-20,1.5049,1.50795,1.4773,1.48545,,-1
2005-07-04,1.48585,1.4891,1.4516,1.46915,,-1
2005-07-18,1.46915,1.499,1.4599,1.48305,,-1
2005-08-01,1.48155,1.5142,1.4752,1.48955,,-1
2005-08-15,1.49185,1.49205,1.458,1.47465,,-1
2005-08-29,1.47195,1.495,1.4519,1.4618,,-1
2005-09-12,1.4604,1.46175,1.4079,1.4088,,-1
2005-09-26,1.4107,1.44065,1.38535,1.4241,,-1
2005-10-10,1.4233,1.4354,1.40105,1.4199,,
2005-10-24,1.4184,1.42835,1.38975,1.398,,
2005-11-07,1.3993,1.42475,1.38675,1.3995,,
2005-11-21,1.3991,1.40695,1.35755,1.3618,,
2005-12-05,1.3601,1.3938,1.35465,1.3925,,
2005-12-19,1.3945,1.405,1.37115,1.377,,
2006-01-02,1.3765,1.4213,1.3727,1.4092,,
2006-01-16,1.4081,1.4253,1.38775,1.3904,,
2006-01-30,1.3905,1.3933,1.36825,1.3723,,
2006-02-13,1.3726,1.37985,1.3623,1.3642,,
2006-02-27,1.3648,1.3874,1.34955,1.3822,,
2006-03-13,1.382,1.4226,1.3817,1.4051,,
