time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,1.6596,1.6596,1.6596,1.6596,NaN,NaN
2004-06-01,1.6596,1.6759,1.6596,1.6664,NaN,NaN
2004-06-04,1.6664,1.6664,1.6557,1.6557,NaN,NaN
2004-06-09,1.6557,1.6557,1.63725,1.63725,NaN,NaN
2004-06-14,1.63705,1.6644,1.63705,1.6492,NaN,NaN
2004-06-17,1.6492,1.65515,1.6492,1.654,NaN,NaN
2004-06-22,1.654,1.654,1.637,1.637,NaN,NaN
2004-06-25,1.637,1.64355,1.6243,1.6243,NaN,NaN
2004-06-30,1.6243,1.63065,1.6206,1.63065,NaN,NaN
2004-07-05,1.63115,1.6335,1.62975,1.6335,NaN,NaN
2004-07-08,1.6335,1.63625,1.6327,1.6349,NaN,NaN
2004-07-13,1.6349,1.6372,1.6254,1.63495,NaN,NaN
2004-07-16,1.63495,1.63495,1.6199,1.6199,NaN,NaN
2004-07-21,1.6199,1.62,1.59725,1.59725,NaN,NaN
2004-07-26,1.59935,1.6185,1.59935,1.6016,NaN,NaN
2004-07-29,1.6016,1.60235,1.59555,1.60235,NaN,NaN
2004-08-03,1.60235,1.60235,1.5859,1.58945,NaN,NaN
2004-08-06,1.58945,1.61705,1.58945,1.6162,NaN,NaN
2004-08-11,1.6162,1.63115,1.6162,1.62015,NaN,NaN
2004-08-16,1.61935,1.61935,1.6085,1.6085,NaN,NaN
2004-08-19,1.6085,1.6085,1.5875,1.5875,NaN,NaN
2004-08-24,1.5875,1.5875,1.5766,1.58235,NaN,NaN
2004-08-27,1.58235,1.5991,1.57735,1.5991,NaN,NaN
2004-09-01,1.5991,1.5991,1.56805,1.56805,NaN,NaN
2004-09-06,1.56765,1.5717,1.5585,1.5717,NaN,NaN
2004-09-09,1.5717,1.5958,1.5717,1.5958,NaN,NaN
2004-09-14,1.5958,1.5958,1.5723,1.5723,NaN,NaN
2004-09-17,1.5723,1.5881,1.5723,1.5881,NaN,NaN
2004-09-22,1.5881,1.5881,1.56395,1.56395,NaN,NaN
2004-09-27,1.56625,1.5676,1.5644,1.5672,NaN,NaN
2004-09-30,1.5672,1.5683,1.5627,1.5627,NaN,NaN
2004-10-05,1.5627,1.5627,1.5468,1.5487,NaN,NaN
2004-10-08,1.5487,1.5549,1.5475,1.5475,NaN,NaN
2004-10-13,1.5475,1.56215,1.5475,1.56215,NaN,NaN
2004-10-18,1.56315,1.5747,1.56315,1.5678,NaN,NaN
2004-10-21,1.5678,1.5688,1.564,1.564,NaN,NaN
2004-10-26,1.564,1.5641,1.5582,1.5586,NaN,NaN
2004-10-29,1.5586,1.56035,1.5579,1.5579,NaN,NaN
2004-11-03,1.5579,1.5579,1.55,1.55295,NaN,NaN
2004-11-08,1.54955,1.54955,1.53965,1.53965,NaN,NaN
2004-11-11,1.53965,1.5542,1.53965,1.5542,NaN,NaN
2004-11-16,1.5542,1.5633,1.5495,1.5633,NaN,NaN
2004-11-19,1.5633,1.5633,1.5476,1.5515,NaN,NaN
2004-11-24,1.5515,1.56335,1.5515,1.56335,NaN,NaN
2004-11-29,1.56405,1.5772,1.56405,1.5772,NaN,NaN
2004-12-02,1.5772,1.6092,1.5772,1.6092,NaN,NaN
2004-12-07,1.6092,1.6253,1.6092,1.6253,NaN,NaN
2004-12-10,1.6253,1.6436,1.61895,1.6436,NaN,NaN
2004-12-15,1.6436,1.6436,1.63045,1.63045,NaN,NaN
2004-12-20,1.63685,1.66245,1.63685,1.66245,NaN,NaN
2004-12-23,1.66245,1.66545,1.65975,1.65975,NaN,NaN
2004-12-28,1.65975,1.65975,1.64335,1.64335,NaN,NaN
2004-12-31,1.64335,1.64335,1.62765,1.62765,NaN,NaN
2005-01-03,1.62955,1.6353,1.6161,1.6252,NaN,NaN
2005-01-06,1.6252,1.633,1.5948,1.5993,NaN,NaN
2005-01-11,1.5993,1.6059,1.5848,1.5902,NaN,NaN
2005-01-14,1.5902,1.6006,1.5831,1.5919,NaN,NaN
2005-01-19,1.5919,1.6018,1.589,1.59375,NaN,NaN
2005-01-24,1.59305,1.6162,1.589,1.6108,NaN,NaN
2005-01-27,1.6108,1.6222,1.6092,1.6166,NaN,NaN
2005-02-01,1.6166,1.6201,1.6063,1.6099,NaN,NaN
2005-02-04,1.6099,1.61765,1.5903,1.591,NaN,NaN
2005-02-09,1.591,1.6046,1.5904,1.59065,NaN,NaN
2005-02-14,1.59215,1.617,1.59015,1.6119,NaN,NaN
2005-02-17,1.6119,1.6155,1.6035,1.6115,NaN,NaN
2005-02-22,1.6115,1.6547,1.6107,1.6351,NaN,NaN
2005-02-25,1.6351,1.64265,1.6261,1.6367,NaN,NaN
2005-03-02,1.6367,1.6394,1.6256,1.63015,NaN,NaN
2005-03-07,1.63045,1.6328,1.6093,1.6165,NaN,NaN
2005-03-10,1.6165,1.6263,1.6103,1.6139,NaN,NaN
2005-03-15,1.6139,1.6185,1.6011,1.607,NaN,NaN
2005-03-18,1.607,1.6089,1.57895,1.58175,NaN,NaN
2005-03-23,1.58175,1.5857,1.5704,1.57865,NaN,NaN
2005-03-28,1.57945,1.57945,1.5625,1.5715,NaN,NaN
2005-03-31,1.5715,1.577,1.5652,1.57,NaN,NaN
2005-04-05,1.57,1.5787,1.5637,1.572,NaN,NaN
2005-04-08,1.572,1.6065,1.5675,1.59925,NaN,NaN
2005-04-13,1.59925,1.61215,1.58805,1.61085,NaN,NaN
2005-04-18,1.60815,1.6282,1.6058,1.6255,NaN,NaN
2005-04-21,1.6255,1.6259,1.6044,1.60905,NaN,NaN
2005-04-26,1.60905,1.62,1.60655,1.6145,NaN,NaN
2005-04-29,1.6145,1.6253,1.6104,1.61135,NaN,NaN
2005-05-04,1.61135,1.62235,1.5893,1.59265,NaN,NaN
2005-05-09,1.59195,1.6041,1.5859,1.59975,NaN,NaN
2005-05-12,1.59975,1.60795,1.5827,1.6047,NaN,NaN
2005-05-17,1.6047,1.6078,1.5908,1.5918,NaN,NaN
2005-05-20,1.5918,1.592,1.5803,1.585,NaN,NaN
2005-05-25,1.585,1.5955,1.5746,1.57845,NaN,NaN
2005-05-30,1.57485,1.5778,1.5193,1.52045,NaN,NaN
2005-06-02,1.52045,1.5387,1.51855,1.5258,NaN,NaN
2005-06-07,1.5258,1.5388,1.5235,1.5373,NaN,NaN
2005-06-10,1.5373,1.5398,1.5061,1.5071,NaN,NaN
2005-06-15,1.5071,1.5133,1.493,1.51035,NaN,NaN
2005-06-20,1.5049,1.50795,1.4906,1.4971,NaN,NaN
2005-06-23,1.4971,1.5076,1.4773,1.4962,NaN,NaN
2005-06-28,1.4962,1.5009,1.4776,1.48325,NaN,NaN
2005-07-01,1.48325,1.4897,1.4732,1.48155,NaN,NaN
2005-07-06,1.48155,1.4852,1.4534,1.45865,NaN,NaN
2005-07-11,1.45945,1.4792,1.4553,1.4608,NaN,NaN
2005-07-14,1.4608,1.4758,1.4516,1.4657,NaN,NaN
2005-07-19,1.4657,1.48935,1.4599,1.48125,NaN,NaN
2005-07-22,1.48125,1.4851,1.4646,1.4779,NaN,NaN
2005-07-27,1.4779,1.499,1.4757,1.48305,NaN,NaN
2005-08-01,1.48155,1.50105,1.4752,1.50095,NaN,NaN
2005-08-04,1.50095,1.5142,1.4936,1.50055,NaN,NaN
2005-08-09,1.50055,1.50925,1.49205,1.4968,NaN,NaN
2005-08-12,1.4968,1.5012,1.4754,1.4815,NaN,NaN
2005-08-17,1.4815,1.491,1.47175,1.47205,NaN,NaN
2005-08-22,1.47305,1.4788,1.4593,1.4615,NaN,NaN
2005-08-25,1.4615,1.4761,1.458,1.4655,NaN,NaN
2005-08-30,1.4655,1.4803,1.4519,1.4796,NaN,NaN
