time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,1.45515,1.46705,1.45085,1.4643,,
2002-06-03,1.4647,1.47805,1.4647,1.4687,,
2002-07-01,1.4687,1.4726,1.4456,1.4521,,
2002-08-01,1.4521,1.47245,1.4491,1.4707,,
2002-09-02,1.4718,1.4718,1.4565,1.4565,,
2002-10-01,1.4565,1.47075,1.4565,1.4629,,
2002-11-01,1.4629,1.4757,1.4617,1.4746,,
2002-12-02,1.47505,1.4774,1.45075,1.45315,,
2003-01-01,1.45315,1.4695,1.4517,1.4683,,
2003-02-03,1.46835,1.4714,1.4607,1.4607,,
2003-03-03,1.46125,1.47815,1.4573,1.4755,,
2003-04-01,1.4755,1.5146,1.4755,1.5146,,
2003-05-01,1.5146,1.5292,1.5041,1.5292,,
2003-06-02,1.52885,1.55475,1.52855,1.55475,,
2003-07-01,1.55475,1.55475,1.534,1.53975,,
2003-08-01,1.53975,1.54835,1.52985,1.5379,,
2003-09-01,1.5391,1.5586,1.53355,1.53785,,
2003-10-01,1.53785,1.55335,1.53785,1.5529,,
2003-11-03,1.5524,1.5731,1.54345,1.5483,,
2003-12-01,1.5488,1.56055,1.54715,1.5603,,
2004-01-01,1.5603,1.5691,1.5592,1.5685,,
2004-02-02,1.5677,1.5786,1.5675,1.5769,,
2004-03-01,1.5765,1.58245,1.5483,1.5585,,
2004-04-01,1.5585,1.5671,1.54645,1.5518,,
2004-05-03,1.5519,1.5534,1.5272,1.5285,,
2004-06-01,1.5285,1.52975,1.5076,1.52305,1,
2004-07-01,1.52305,1.54205,1.5175,1.5405,1,
2004-08-02,1.5378,1.54445,1.5323,1.5429,1,
2004-09-01,1.5429,1.5529,1.5328,1.5497,1,
2004-10-01,1.5497,1.5539,1.5296,1.5296,1,
2004-11-01,1.5284,1.53285,1.50985,1.5152,1,
2004-12-01,1.5152,1.5466,1.5152,1.5461,1,
2005-01-03,1.5453,1.5546,1.5402,1.55015,1,
2005-02-01,1.55015,1.56335,1.53515,1.53855,,
2005-03-01,1.53855,1.55775,1.5344,1.55125,,-1
2005-04-01,1.55125,1.5573,1.5355,1.5384,,-1
2005-05-02,1.5388,1.5502,1.5359,1.5359,,-1
2005-06-01,1.5359,1.5523,1.5295,1.5514,,-1
2005-07-01,1.5514,1.56595,1.5445,1.5631,,-1
2005-08-01,1.5628,1.56395,1.54275,1.5469,,-1
2005-09-01,1.5469,1.559,1.5401,1.5562,,-1
2005-10-03,1.5545,1.5568,1.54195,1.5451,,-1
2005-11-01,1.5451,1.5518,1.536,1.55025,,
2005-12-01,1.55025,1.55985,1.5359,1.5567,,
2006-01-02,1.5567,1.5567,1.5412,1.55355,,
2006-02-01,1.55355,1.5678,1.5522,1.56375,,
2006-03-01,1.56375,1.5818,1.5585,1.5803,,
2006-04-03,1.5803,1.58575,1.5636,1.5651,,
2006-05-01,1.5645,1.56595,1.5453,1.5617,,
2006-06-01,1.5617,1.5686,1.5497,1.5643,,
2006-07-03,1.5652,1.57875,1.5591,1.57195,,
2006-08-01,1.57195,1.5829,1.57115,1.57685,,
2006-09-01,1.57685,1.5967,1.57555,1.5849,,-1
2006-10-02,1.5863,1.5968,1.5826,1.58785,,-1
2006-11-01,1.58785,1.6013,1.5811,1.58645,,-1
2006-12-01,1.58645,1.61035,1.58615,1.6092,,-1
2007-01-01,1.6092,1.62615,1.6062,1.62135,,-1
2007-02-01,1.62135,1.6291,1.60845,1.61345,,-1
2007-03-01,1.61345,1.6268,1.59325,1.62345,,-1
2007-04-02,1.6229,1.64873,1.6209,1.64769,,-1
2007-05-01,1.64769,1.66131,1.64151,1.64838,,
2007-06-01,1.64838,1.66727,1.64201,1.65408,,-1
2007-07-02,1.6535,1.66877,1.64141,1.6437,,-1
2007-08-01,1.6437,1.65345,1.61781,1.64705,,-1
2007-09-03,1.6472,1.66185,1.6333,1.66033,,-1
2007-10-01,1.65973,1.6828,1.65883,1.67773,,-1
2007-11-01,1.67773,1.67893,1.62999,1.65655,,-1
2007-12-03,1.6555,1.67295,1.64532,1.65382,,-1
2008-01-01,1.65382,1.65573,1.58262,1.60724,,-1
2008-02-01,1.60724,1.62309,1.5802,1.58035,,
2008-03-03,1.58007,1.58792,1.53324,1.56776,,
2008-04-01,1.56776,1.6248,1.56651,1.61626,,
2008-05-01,1.61626,1.63771,1.60663,1.62092,,
2008-06-02,1.62127,1.6251,1.60252,1.60868,,
2008-07-01,1.60868,1.636925,1.59918,1.63372,,
2008-08-01,1.63372,1.63497,1.60961,1.61616,,
2008-09-01,1.61498,1.61663,1.56689,1.58132,1,
2008-10-01,1.58132,1.58272,1.42994,1.47398,1,
2008-11-03,1.47587,1.55294,1.471395,1.53979,1,
2008-12-01,1.54177,1.58856,1.47575,1.49446,1,
2009-01-01,1.49446,1.519985,1.46553,1.48647,1,
2009-02-02,1.48486,1.5157,1.46979,1.48234,1,
2009-03-02,1.4792,1.544975,1.4578,1.50984,1,
2009-04-01,1.50984,1.530035,1.501225,1.50893,1,
2009-05-01,1.50893,1.523455,1.500595,1.51052,,
2009-06-01,1.50905,1.538385,1.500795,1.5245,,
2009-07-01,1.5245,1.534645,1.511025,1.52318,,
2009-08-03,1.52333,1.536415,1.513475,1.51781,,
2009-09-01,1.51781,1.52392,1.50727,1.517,,
2009-10-01,1.517,1.520365,1.5084,1.51078,,
2009-11-02,1.50981,1.514555,1.501155,1.50829,,
2009-12-01,1.50829,1.513995,1.48196,1.48329,,
2010-01-01,1.48329,1.48902,1.463585,1.47055,,
2010-02-01,1.47026,1.48551,1.455935,1.46305,,
2010-03-01,1.4632,1.465575,1.420875,1.42388,,
2010-04-01,1.42388,1.44662,1.414455,1.43266,,-1
2010-05-03,1.43388,1.45888,1.39999,1.42102,,-1
2010-06-01,1.42102,1.42245,1.31665,1.31841,,-1
2010-07-01,1.31841,1.3818,1.30738,1.35881,,-1
2010-08-02,1.35925,1.392495,1.285215,1.2871,,-1
2010-09-01,1.2871,1.340885,1.27661,1.339595,,-1
2010-10-01,1.339595,1.37385,1.32643,1.37007,,-1
2010-11-01,1.37163,1.383445,1.29323,1.30282,,-1
2010-12-01,1.30282,1.3206,1.24017,1.25214,,
2011-01-03,1.24775,1.30692,1.24151,1.29273,,
2011-02-01,1.29273,1.32053,1.27064,1.282325,,
2011-03-01,1.282325,1.30403,1.24271,1.30114,,
2011-04-01,1.30114,1.324325,1.273,1.28125,,
2011-05-02,1.28199,1.28799,1.21013,1.2296,,
2011-06-01,1.2296,1.23184,1.1806,1.218645,,
2011-07-01,1.218645,1.234535,1.12982,1.13133,,
2011-08-01,1.13809,1.19733,1.00707,1.158245,,
2011-09-01,1.158245,1.234445,1.10025,1.21576,,
2011-10-03,1.21528,1.247375,1.212235,1.21528,,
