time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,1.45515,1.45515,1.45285,1.454,NaN,NaN
2002-05-13,1.4544,1.45715,1.4544,1.4552,NaN,NaN
2002-05-20,1.4547,1.4573,1.45085,1.4573,NaN,NaN
2002-05-27,1.4575,1.46705,1.4571,1.4643,NaN,NaN
2002-06-03,1.4647,1.47435,1.4647,1.4704,NaN,NaN
2002-06-10,1.47,1.47805,1.47,1.4758,NaN,NaN
2002-06-17,1.4755,1.47585,1.4669,1.4669,NaN,NaN
2002-06-24,1.4664,1.4704,1.4664,1.4687,NaN,NaN
2002-07-01,1.4687,1.4699,1.46425,1.4671,NaN,NaN
2002-07-08,1.4677,1.4726,1.4666,1.4698,NaN,NaN
2002-07-15,1.4702,1.4702,1.4592,1.4592,NaN,NaN
2002-07-22,1.4577,1.4577,1.4457,1.447,NaN,NaN
2002-07-29,1.4456,1.458,1.4456,1.4504,NaN,NaN
2002-08-05,1.4494,1.4632,1.4494,1.4584,NaN,NaN
2002-08-12,1.4575,1.4663,1.4575,1.4663,NaN,NaN
2002-08-19,1.4658,1.47245,1.4658,1.4721,NaN,NaN
2002-08-26,1.4713,1.47155,1.46735,1.4707,NaN,NaN
2002-09-02,1.4718,1.4718,1.46075,1.46075,NaN,NaN
2002-09-09,1.4573,1.4689,1.4573,1.468,NaN,NaN
2002-09-16,1.467,1.4701,1.4621,1.4648,NaN,NaN
2002-09-23,1.4641,1.4674,1.463,1.4652,NaN,NaN
2002-09-30,1.4649,1.4649,1.4565,1.4618,NaN,NaN
2002-10-07,1.4615,1.4663,1.4615,1.463,NaN,NaN
2002-10-14,1.4626,1.4698,1.46215,1.4698,NaN,NaN
2002-10-21,1.4697,1.47075,1.4671,1.4671,NaN,NaN
2002-10-28,1.4674,1.4674,1.4621,1.4621,NaN,NaN
2002-11-04,1.4631,1.4634,1.462,1.462,NaN,NaN
2002-11-11,1.4622,1.4669,1.4617,1.4655,NaN,NaN
2002-11-18,1.46565,1.4723,1.46565,1.4723,NaN,NaN
2002-11-25,1.47245,1.4757,1.47245,1.4746,NaN,NaN
2002-12-02,1.47505,1.47505,1.4713,1.4715,NaN,NaN
2002-12-09,1.4716,1.4774,1.4716,1.4774,NaN,NaN
2002-12-16,1.47665,1.47665,1.4618,1.4625,NaN,NaN
2002-12-23,1.46265,1.46265,1.45075,1.4512,NaN,NaN
2002-12-30,1.45135,1.4571,1.45135,1.4571,NaN,NaN
2003-01-06,1.4566,1.4596,1.4566,1.4596,NaN,NaN
2003-01-13,1.4596,1.46285,1.4596,1.4602,NaN,NaN
2003-01-20,1.46055,1.4653,1.46055,1.4653,NaN,NaN
2003-01-27,1.46705,1.4695,1.46705,1.4683,NaN,NaN
2003-02-03,1.46835,1.46835,1.4658,1.4667,NaN,NaN
2003-02-10,1.46655,1.4702,1.4665,1.4702,NaN,NaN
