time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2003-10-13,1.5493,1.55255,1.54445,1.5469,,
2003-10-27,1.5472,1.57165,1.5472,1.5709,,
2003-11-10,1.5706,1.5731,1.5467,1.5467,,-1
2003-11-24,1.5472,1.5587,1.54345,1.5507,,-1
2003-12-08,1.5509,1.5557,1.54715,1.5541,,-1
2003-12-22,1.5541,1.56055,1.5532,1.5594,,-1
2004-01-05,1.56,1.5687,1.5592,1.5687,,-1
2004-01-19,1.568,1.5691,1.5626,1.5685,,-1
2004-02-02,1.5677,1.5777,1.5675,1.5777,,-1
2004-02-16,1.5768,1.5786,1.5741,1.5769,,-1
2004-03-01,1.5765,1.58245,1.5673,1.5686,,
2004-03-15,1.5653,1.56775,1.5483,1.5579,,
2004-03-29,1.5573,1.5671,1.54975,1.5504,,
2004-04-12,1.5499,1.5577,1.54875,1.5577,,
2004-04-26,1.5584,1.5584,1.54645,1.547,,
2004-05-10,1.5471,1.5471,1.5338,1.5369,,
2004-05-24,1.5371,1.5401,1.5224,1.5224,,
2004-06-07,1.5226,1.5242,1.5076,1.5107,1,
2004-06-21,1.51,1.52975,1.50975,1.5189,1,
2004-07-05,1.5175,1.5276,1.5175,1.5254,1,
2004-07-19,1.5251,1.54205,1.5251,1.5405,1,
2004-08-02,1.5378,1.54445,1.5323,1.5323,1,
2004-08-16,1.5324,1.54175,1.5324,1.5405,1,
2004-08-30,1.5408,1.543,1.5328,1.543,1,
2004-09-13,1.5424,1.5482,1.54235,1.5482,1,
2004-09-27,1.5479,1.5539,1.5479,1.5523,,
2004-10-11,1.5513,1.5513,1.5357,1.5357,,
2004-10-25,1.5343,1.5343,1.527,1.527,,
2004-11-08,1.5264,1.5267,1.5131,1.5131,,
2004-11-22,1.5131,1.5277,1.50985,1.5217,,
2004-12-06,1.5222,1.5387,1.5222,1.5387,,
2004-12-20,1.5395,1.5466,1.5386,1.5461,,
2005-01-03,1.5453,1.5546,1.5412,1.5468,,
2005-01-17,1.5471,1.5507,1.5402,1.547,,
2005-01-31,1.5478,1.56335,1.5467,1.5577,,-1
2005-02-14,1.5572,1.558,1.53515,1.5389,,-1
2005-02-28,1.5386,1.55395,1.5344,1.548,,-1
2005-03-14,1.5484,1.55775,1.5441,1.5548,,-1
2005-03-28,1.5548,1.5559,1.5469,1.5485,,-1
2005-04-11,1.5481,1.5573,1.53895,1.5431,,-1
2005-04-25,1.5429,1.5499,1.5355,1.547,,-1
2005-05-09,1.5469,1.5502,1.5415,1.5497,,-1
2005-05-23,1.5492,1.54995,1.5301,1.5325,,
2005-06-06,1.5325,1.5467,1.5295,1.5452,,
2005-06-20,1.54365,1.5549,1.5378,1.5504,,-1
2005-07-04,1.5497,1.5607,1.5445,1.5597,,-1
2005-07-18,1.5597,1.56595,1.5587,1.5631,,-1
2005-08-01,1.5628,1.56395,1.5508,1.552,,-1
2005-08-15,1.5512,1.5558,1.5448,1.5469,,-1
2005-08-29,1.5465,1.5521,1.5401,1.5428,,-1
2005-09-12,1.5432,1.5572,1.54245,1.5559,,-1
2005-09-26,1.5554,1.559,1.54495,1.5499,,-1
2005-10-10,1.5508,1.5568,1.5432,1.5446,,
2005-10-24,1.54445,1.54885,1.5415,1.5444,,
2005-11-07,1.5458,1.5498,1.536,1.5475,,
2005-11-21,1.5478,1.5518,1.5425,1.5425,,
2005-12-05,1.5431,1.5504,1.5359,1.5498,,
2005-12-19,1.5498,1.55985,1.54905,1.5567,,
2006-01-02,1.5567,1.5567,1.5412,1.5504,,
2006-01-16,1.5495,1.5544,1.5462,1.5532,,
2006-01-30,1.5529,1.5581,1.5516,1.5559,,
2006-02-13,1.5559,1.56465,1.5545,1.5644,,
2006-02-27,1.5639,1.5698,1.5585,1.5693,,
2006-03-13,1.5688,1.5786,1.56305,1.5778,,
2006-03-27,1.5775,1.58575,1.57045,1.5738,,
2006-04-10,1.575,1.5788,1.5636,1.5742,,
2006-04-24,1.5734,1.5825,1.5577,1.5606,,
2006-05-08,1.5607,1.5625,1.5453,1.5545,,
2006-05-22,1.5532,1.5654,1.5472,1.5608,,
2006-06-05,1.5602,1.5643,1.5497,1.557,,
2006-06-19,1.5571,1.5686,1.55545,1.5643,,
2006-07-03,1.5652,1.5709,1.55975,1.5616,,
2006-07-17,1.5605,1.57875,1.5591,1.5728,,
2006-07-31,1.5722,1.5817,1.5696,1.5812,,
2006-08-14,1.5794,1.5829,1.5762,1.5811,,
2006-08-28,1.5812,1.585,1.57455,1.5813,,
2006-09-11,1.581,1.5967,1.5786,1.5801,,
2006-09-25,1.5804,1.5914,1.57555,1.588,,
2006-10-09,1.588,1.5968,1.58605,1.5886,,-1
2006-10-23,1.5871,1.59595,1.58595,1.5945,,-1
2006-11-06,1.5944,1.6013,1.5913,1.5959,,-1
2006-11-20,1.5959,1.59725,1.5811,1.5915,,-1
2006-12-04,1.5913,1.6002,1.58645,1.5977,,-1
2006-12-18,1.5983,1.61035,1.59715,1.6092,,-1
2007-01-01,1.6092,1.6175,1.6062,1.6119,,-1
2007-01-15,1.6123,1.6226,1.6113,1.6193,,-1
2007-01-29,1.6191,1.62735,1.60845,1.6227,,
2007-02-12,1.6223,1.6291,1.6198,1.6233,,
2007-02-26,1.6231,1.6242,1.59325,1.6194,,
2007-03-12,1.6181,1.62185,1.6031,1.6192,,
2007-03-26,1.6194,1.6356,1.6147,1.63481,,
2007-04-09,1.63455,1.6466,1.63212,1.64241,,
2007-04-23,1.64277,1.65352,1.63683,1.64695,,
2007-05-07,1.6463,1.6583,1.64151,1.6579,,
2007-05-21,1.65811,1.66131,1.64444,1.65381,,
2007-06-04,1.65319,1.66281,1.64201,1.66197,,
2007-06-18,1.6615,1.66727,1.64908,1.65408,,-1
2007-07-02,1.6535,1.66063,1.64629,1.65758,,-1
2007-07-16,1.6574,1.66877,1.64669,1.64752,,-1
2007-07-30,1.64645,1.65345,1.63073,1.64154,,-1
2007-08-13,1.64125,1.64445,1.61781,1.64193,,-1
2007-08-27,1.6422,1.64985,1.6317,1.63644,,-1
2007-09-10,1.63575,1.65601,1.6333,1.65239,,-1
2007-09-24,1.65152,1.6674,1.64691,1.6657,,-1
2007-10-08,1.6643,1.6828,1.66372,1.66764,,
2007-10-22,1.66706,1.68085,1.66314,1.67399,,
2007-11-05,1.67407,1.67427,1.63506,1.63885,,
2007-11-19,1.63872,1.65889,1.62999,1.65655,1,
2007-12-03,1.6555,1.67295,1.64532,1.66354,1,
2007-12-17,1.66385,1.66873,1.65312,1.65809,1,
2007-12-31,1.66025,1.66081,1.63244,1.6342,1,
2008-01-07,1.63363,1.64516,1.60547,1.60613,1,
2008-01-21,1.60609,1.61874,1.58262,1.61277,1,
