time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-02,1.45515,1.45515,1.45515,1.45515,NaN,NaN
2002-05-07,1.45515,1.45515,1.45285,1.45285,NaN,NaN
2002-05-10,1.45285,1.45715,1.45285,1.45715,NaN,NaN
2002-05-15,1.45715,1.45715,1.4552,1.4552,NaN,NaN
2002-05-20,1.4547,1.4547,1.45085,1.45265,NaN,NaN
2002-05-23,1.45265,1.4575,1.45265,1.4571,NaN,NaN
2002-05-28,1.4571,1.46705,1.4571,1.46355,NaN,NaN
2002-05-31,1.46355,1.46995,1.46355,1.46995,NaN,NaN
2002-06-05,1.46995,1.47435,1.46995,1.4704,NaN,NaN
2002-06-10,1.47,1.47805,1.47,1.47805,NaN,NaN
2002-06-13,1.47805,1.47805,1.47455,1.47555,NaN,NaN
2002-06-18,1.47555,1.47585,1.4703,1.4703,NaN,NaN
2002-06-21,1.4703,1.4703,1.4664,1.4676,NaN,NaN
2002-06-26,1.4676,1.4704,1.4676,1.4687,NaN,NaN
2002-07-01,1.4687,1.4699,1.46425,1.46425,NaN,NaN
2002-07-04,1.46425,1.4699,1.46425,1.4699,NaN,NaN
2002-07-09,1.4699,1.4726,1.4666,1.4666,NaN,NaN
2002-07-12,1.4666,1.4702,1.4666,1.4666,NaN,NaN
2002-07-17,1.4666,1.4666,1.4592,1.4592,NaN,NaN
2002-07-22,1.4577,1.4577,1.4516,1.4516,NaN,NaN
2002-07-25,1.4516,1.458,1.4456,1.458,NaN,NaN
2002-07-30,1.458,1.458,1.4491,1.4491,NaN,NaN
2002-08-02,1.4491,1.4582,1.4491,1.4582,NaN,NaN
2002-08-07,1.4582,1.4632,1.4582,1.4584,NaN,NaN
2002-08-12,1.4575,1.462,1.4575,1.46195,NaN,NaN
2002-08-15,1.46195,1.46775,1.46195,1.46775,NaN,NaN
2002-08-20,1.46775,1.47245,1.46775,1.47245,NaN,NaN
2002-08-23,1.47245,1.47245,1.46735,1.46735,NaN,NaN
2002-08-28,1.46735,1.4714,1.46735,1.4707,NaN,NaN
2002-09-02,1.4718,1.4718,1.46375,1.46375,NaN,NaN
2002-09-05,1.46375,1.46375,1.4573,1.45865,NaN,NaN
2002-09-10,1.45865,1.4689,1.45865,1.4689,NaN,NaN
2002-09-13,1.4689,1.4701,1.467,1.4701,NaN,NaN
2002-09-18,1.4701,1.4701,1.4621,1.4648,NaN,NaN
2002-09-23,1.4641,1.4645,1.463,1.4641,NaN,NaN
2002-09-26,1.4641,1.4674,1.4565,1.4565,NaN,NaN
2002-10-01,1.4565,1.4626,1.4565,1.4604,NaN,NaN
2002-10-04,1.4604,1.4663,1.4604,1.4663,NaN,NaN
2002-10-09,1.4663,1.4663,1.463,1.463,NaN,NaN
2002-10-14,1.4626,1.4669,1.46215,1.4666,NaN,NaN
2002-10-17,1.4666,1.47075,1.4666,1.47075,NaN,NaN
2002-10-22,1.47075,1.47075,1.4675,1.4675,NaN,NaN
2002-10-25,1.4675,1.4675,1.4652,1.4654,NaN,NaN
2002-10-30,1.4654,1.4654,1.4621,1.4621,NaN,NaN
2002-11-04,1.4631,1.4631,1.46265,1.4628,NaN,NaN
2002-11-07,1.4628,1.4635,1.462,1.4635,NaN,NaN
2002-11-12,1.4635,1.4669,1.4617,1.4669,NaN,NaN
2002-11-15,1.4669,1.4683,1.4655,1.4683,NaN,NaN
2002-11-20,1.4683,1.4723,1.4683,1.4723,NaN,NaN
2002-11-25,1.47245,1.475,1.47245,1.475,NaN,NaN
2002-11-28,1.475,1.4757,1.4723,1.4723,NaN,NaN
2002-12-03,1.4723,1.4726,1.4713,1.4717,NaN,NaN
2002-12-06,1.4717,1.47365,1.4715,1.47365,NaN,NaN
2002-12-11,1.47365,1.4774,1.47365,1.4774,NaN,NaN
2002-12-16,1.47665,1.47665,1.4631,1.4631,NaN,NaN
2002-12-19,1.4631,1.4631,1.4563,1.4563,NaN,NaN
2002-12-24,1.4563,1.4563,1.45075,1.45375,NaN,NaN
2002-12-27,1.45375,1.45375,1.4512,1.45315,NaN,NaN
2003-01-01,1.45315,1.4571,1.4517,1.4571,NaN,NaN
2003-01-06,1.4566,1.4581,1.4566,1.4571,NaN,NaN
2003-01-09,1.4571,1.4614,1.4571,1.4614,NaN,NaN
2003-01-14,1.4614,1.46285,1.4597,1.4597,NaN,NaN
2003-01-17,1.4597,1.4617,1.4597,1.4617,NaN,NaN
2003-01-22,1.4617,1.4653,1.4617,1.4653,NaN,NaN
2003-01-27,1.46705,1.4695,1.46705,1.4694,NaN,NaN
2003-01-30,1.4694,1.4694,1.4675,1.4675,NaN,NaN
2003-02-04,1.4675,1.4675,1.4658,1.4668,NaN,NaN
2003-02-07,1.4668,1.46755,1.4665,1.46755,NaN,NaN
2003-02-12,1.46755,1.4702,1.46755,1.4702,NaN,NaN
2003-02-17,1.47065,1.4714,1.47025,1.47025,NaN,NaN
2003-02-20,1.47025,1.47025,1.4636,1.4636,NaN,NaN
2003-02-25,1.4636,1.4636,1.4608,1.4626,NaN,NaN
2003-02-28,1.4626,1.4626,1.4573,1.4581,NaN,NaN
2003-03-05,1.4581,1.4701,1.4581,1.4701,NaN,NaN
2003-03-10,1.46955,1.46955,1.4652,1.4687,NaN,NaN
2003-03-13,1.4687,1.4687,1.46715,1.4678,NaN,NaN
2003-03-18,1.4678,1.4728,1.4678,1.4728,NaN,NaN
2003-03-21,1.4728,1.4764,1.4728,1.4733,NaN,NaN
2003-03-26,1.4733,1.47815,1.4733,1.4767,NaN,NaN
2003-03-31,1.47685,1.4853,1.4755,1.4853,NaN,NaN
2003-04-03,1.4853,1.48875,1.4831,1.4844,NaN,NaN
2003-04-08,1.4844,1.4968,1.4844,1.4968,NaN,NaN
2003-04-11,1.4968,1.5034,1.4968,1.5034,NaN,NaN
2003-04-16,1.5034,1.5034,1.4962,1.50335,NaN,NaN
2003-04-21,1.50275,1.5084,1.50275,1.5072,NaN,NaN
2003-04-24,1.5072,1.5072,1.50145,1.5067,NaN,NaN
2003-04-29,1.5067,1.5146,1.5067,1.5103,NaN,NaN
2003-05-02,1.5103,1.51535,1.50915,1.51415,NaN,NaN
2003-05-07,1.51415,1.51415,1.5041,1.5095,NaN,NaN
2003-05-12,1.51045,1.516,1.51045,1.5132,NaN,NaN
2003-05-15,1.5132,1.5141,1.50815,1.51185,NaN,NaN
2003-05-20,1.51185,1.51465,1.51185,1.51465,NaN,NaN
2003-05-23,1.51465,1.52825,1.51465,1.52105,NaN,NaN
2003-05-28,1.52105,1.5292,1.52105,1.5292,NaN,NaN
2003-06-02,1.52885,1.53805,1.52855,1.53515,NaN,NaN
2003-06-05,1.53515,1.5446,1.53515,1.54145,NaN,NaN
2003-06-10,1.54145,1.54145,1.53755,1.54135,NaN,NaN
2003-06-13,1.54135,1.54325,1.5397,1.5427,NaN,NaN
2003-06-18,1.5427,1.5458,1.5408,1.5415,NaN,NaN
2003-06-23,1.54255,1.54255,1.52925,1.53215,NaN,NaN
2003-06-26,1.53215,1.55475,1.53215,1.55475,NaN,NaN
2003-07-01,1.55475,1.55475,1.55095,1.55095,NaN,NaN
2003-07-04,1.55095,1.55405,1.5487,1.54915,NaN,NaN
2003-07-09,1.54915,1.554,1.54345,1.554,NaN,NaN
2003-07-14,1.5545,1.5545,1.54255,1.54255,NaN,NaN
2003-07-17,1.54255,1.54255,1.534,1.53645,NaN,NaN
2003-07-22,1.53645,1.54625,1.53645,1.54425,NaN,NaN
2003-07-25,1.54425,1.5474,1.54425,1.54715,NaN,NaN
2003-07-30,1.54715,1.54925,1.5387,1.5387,NaN,NaN
2003-08-04,1.5384,1.5384,1.52985,1.53405,NaN,NaN
2003-08-07,1.53405,1.54295,1.53405,1.54295,NaN,NaN
2003-08-12,1.54295,1.54675,1.54295,1.54365,NaN,NaN
2003-08-15,1.54365,1.54835,1.54365,1.54675,NaN,NaN
2003-08-20,1.54675,1.54675,1.5416,1.5416,NaN,NaN
2003-08-25,1.5418,1.5418,1.53365,1.53855,NaN,NaN
2003-08-28,1.53855,1.53915,1.53615,1.53615,NaN,NaN
2003-09-02,1.53615,1.53735,1.53355,1.53735,NaN,NaN
2003-09-05,1.53735,1.5475,1.5352,1.5475,NaN,NaN
2003-09-10,1.5475,1.557,1.5475,1.557,NaN,NaN
2003-09-15,1.5561,1.55755,1.55325,1.5567,NaN,NaN
2003-09-18,1.5567,1.5586,1.55265,1.55265,NaN,NaN
2003-09-23,1.55265,1.55525,1.5439,1.5439,NaN,NaN
2003-09-26,1.5439,1.5439,1.53695,1.53785,NaN,NaN
2003-10-01,1.53785,1.5481,1.53785,1.5481,NaN,NaN
2003-10-06,1.5463,1.55035,1.54625,1.55035,NaN,NaN
2003-10-09,1.55035,1.55035,1.54745,1.54835,NaN,NaN
2003-10-14,1.54835,1.54835,1.54445,1.5477,NaN,NaN
2003-10-17,1.5477,1.55255,1.5477,1.55255,NaN,NaN
2003-10-22,1.55255,1.55255,1.5469,1.5469,NaN,NaN
2003-10-27,1.5472,1.55335,1.5472,1.5523,NaN,NaN
