time,open,high,low,close
2002-05-06T11:00:00+02:00,1.45515,1.45515,1.45515,1.45515
2002-05-07T11:00:00+02:00,1.45515,1.45515,1.45365,1.45365
2002-05-08T11:00:00+02:00,1.45365,1.45515,1.45365,1.45515
2002-05-09T11:00:00+02:00,1.45515,1.45515,1.45285,1.45285
2002-05-10T11:00:00+02:00,1.45285,1.454,1.45285,1.454
2002-05-13T11:00:00+02:00,1.4544,1.45445,1.4544,1.45445
2002-05-14T11:00:00+02:00,1.45445,1.45715,1.45445,1.45715
2002-05-15T11:00:00+02:00,1.45715,1.45715,1.45545,1.45545
2002-05-16T11:00:00+02:00,1.45545,1.45625,1.45545,1.45625
2002-05-17T11:00:00+02:00,1.45625,1.45625,1.4552,1.4552
2002-05-20T11:00:00+02:00,1.4547,1.4547,1.45265,1.45265
2002-05-21T11:00:00+02:00,1.45265,1.45265,1.45085,1.45085
2002-05-22T11:00:00+02:00,1.45085,1.45265,1.45085,1.45265
2002-05-23T11:00:00+02:00,1.45265,1.45415,1.45265,1.45415
2002-05-24T11:00:00+02:00,1.45415,1.4573,1.45415,1.4573
2002-05-27T11:00:00+02:00,1.4575,1.4575,1.4571,1.4571
2002-05-28T11:00:00+02:00,1.4571,1.46165,1.4571,1.46165
2002-05-29T11:00:00+02:00,1.46165,1.46705,1.46165,1.46705
2002-05-30T11:00:00+02:00,1.46705,1.46705,1.46355,1.46355
2002-05-31T11:00:00+02:00,1.46355,1.4643,1.46355,1.4643
2002-06-03T11:00:00+02:00,1.4647,1.46825,1.4647,1.46825
2002-06-04T11:00:00+02:00,1.46825,1.46995,1.46825,1.46995
2002-06-05T11:00:00+02:00,1.46995,1.47005,1.46995,1.47005
2002-06-06T11:00:00+02:00,1.47005,1.47435,1.47005,1.47435
2002-06-07T11:00:00+02:00,1.47435,1.47435,1.4704,1.4704
2002-06-10T11:00:00+02:00,1.47,1.47235,1.47,1.47235
2002-06-11T11:00:00+02:00,1.47235,1.47485,1.47235,1.47485
2002-06-12T11:00:00+02:00,1.47485,1.47805,1.47485,1.47805
2002-06-13T11:00:00+02:00,1.47805,1.47805,1.47455,1.47455
2002-06-14T11:00:00+02:00,1.47455,1.4758,1.47455,1.4758
2002-06-17T11:00:00+02:00,1.4755,1.47555,1.4755,1.47555
2002-06-18T11:00:00+02:00,1.47555,1.47585,1.47555,1.47585
2002-06-19T11:00:00+02:00,1.47585,1.47585,1.4707,1.4707
2002-06-20T11:00:00+02:00,1.4707,1.4707,1.4703,1.4703
2002-06-21T11:00:00+02:00,1.4703,1.4703,1.4669,1.4669
2002-06-24T11:00:00+02:00,1.4664,1.4671,1.4664,1.4671
2002-06-25T11:00:00+02:00,1.4671,1.4676,1.4671,1.4676
2002-06-26T11:00:00+02:00,1.4676,1.4676,1.4676,1.4676
2002-06-27T11:00:00+02:00,1.4676,1.4704,1.4676,1.4704
2002-06-28T11:00:00+02:00,1.4704,1.4704,1.4687,1.4687
2002-07-01T11:00:00+02:00,1.4687,1.4699,1.4687,1.4699
2002-07-02T11:00:00+02:00,1.4699,1.4699,1.4666,1.4666
2002-07-03T11:00:00+02:00,1.4666,1.4666,1.46425,1.46425
2002-07-04T11:00:00+02:00,1.46425,1.4644,1.46425,1.4644
2002-07-05T11:00:00+02:00,1.4644,1.4671,1.4644,1.4671
2002-07-08T11:00:00+02:00,1.4677,1.4699,1.4677,1.4699
2002-07-09T11:00:00+02:00,1.4699,1.4726,1.4699,1.4726
2002-07-10T11:00:00+02:00,1.4726,1.4726,1.4702,1.4702
2002-07-11T11:00:00+02:00,1.4702,1.4702,1.4666,1.4666
2002-07-12T11:00:00+02:00,1.4666,1.4698,1.4666,1.4698
2002-07-15T11:00:00+02:00,1.4702,1.4702,1.4669,1.4669
2002-07-16T11:00:00+02:00,1.4669,1.4669,1.4666,1.4666
2002-07-17T11:00:00+02:00,1.4666,1.4666,1.4654,1.4654
2002-07-18T11:00:00+02:00,1.4654,1.4654,1.46465,1.46465
2002-07-19T11:00:00+02:00,1.46465,1.46465,1.4592,1.4592
2002-07-22T11:00:00+02:00,1.4577,1.4577,1.4542,1.4542
2002-07-23T11:00:00+02:00,1.4542,1.4542,1.4527,1.4527
2002-07-24T11:00:00+02:00,1.4527,1.4527,1.4516,1.4516
2002-07-25T11:00:00+02:00,1.4516,1.4516,1.4457,1.4457
2002-07-26T11:00:00+02:00,1.4457,1.447,1.4457,1.447
2002-07-29T11:00:00+02:00,1.4456,1.458,1.4456,1.458
2002-07-30T11:00:00+02:00,1.458,1.458,1.4572,1.4572
2002-07-31T11:00:00+02:00,1.4572,1.4572,1.4521,1.4521
2002-08-01T11:00:00+02:00,1.4521,1.4521,1.4491,1.4491
2002-08-02T11:00:00+02:00,1.4491,1.4504,1.4491,1.4504
2002-08-05T11:00:00+02:00,1.4494,1.4533,1.4494,1.4533
2002-08-06T11:00:00+02:00,1.4533,1.4582,1.4533,1.4582
2002-08-07T11:00:00+02:00,1.4582,1.4582,1.4582,1.4582
2002-08-08T11:00:00+02:00,1.4582,1.4632,1.4582,1.4632
2002-08-09T11:00:00+02:00,1.4632,1.4632,1.4584,1.4584
2002-08-12T11:00:00+02:00,1.4575,1.462,1.4575,1.462
2002-08-13T11:00:00+02:00,1.462,1.462,1.4616,1.4616
2002-08-14T11:00:00+02:00,1.4616,1.46195,1.4616,1.46195
2002-08-15T11:00:00+02:00,1.46195,1.46295,1.46195,1.46295
2002-08-16T11:00:00+02:00,1.46295,1.4663,1.46295,1.4663
2002-08-19T11:00:00+02:00,1.4658,1.46775,1.4658,1.46775
2002-08-20T11:00:00+02:00,1.46775,1.46855,1.46775,1.46855
2002-08-21T11:00:00+02:00,1.46855,1.46855,1.46845,1.46845
2002-08-22T11:00:00+02:00,1.46845,1.47245,1.46845,1.47245
2002-08-23T11:00:00+02:00,1.47245,1.47245,1.4721,1.4721
2002-08-26T11:00:00+02:00,1.4713,1.47155,1.4713,1.47155
2002-08-27T11:00:00+02:00,1.47155,1.47155,1.46735,1.46735
2002-08-28T11:00:00+02:00,1.46735,1.4702,1.46735,1.4702
2002-08-29T11:00:00+02:00,1.4702,1.4714,1.4702,1.4714
2002-08-30T11:00:00+02:00,1.4714,1.4714,1.4707,1.4707
2002-09-02T11:00:00+02:00,1.4718,1.4718,1.4715,1.4715
2002-09-03T11:00:00+02:00,1.4715,1.4715,1.4662,1.4662
2002-09-04T11:00:00+02:00,1.4662,1.4662,1.46375,1.46375
2002-09-05T11:00:00+02:00,1.46375,1.46375,1.46075,1.46075
2002-09-09T11:00:00+02:00,1.4573,1.45865,1.4573,1.45865
2002-09-10T11:00:00+02:00,1.45865,1.46005,1.45865,1.46005
2002-09-12T11:00:00+02:00,1.46005,1.4689,1.46005,1.4689
2002-09-13T11:00:00+02:00,1.4689,1.4689,1.468,1.468
2002-09-16T11:00:00+02:00,1.467,1.4687,1.467,1.4687
2002-09-17T11:00:00+02:00,1.4687,1.4701,1.4687,1.4701
2002-09-18T11:00:00+02:00,1.4701,1.4701,1.4685,1.4685
2002-09-19T11:00:00+02:00,1.4685,1.4685,1.4621,1.4621
2002-09-20T11:00:00+02:00,1.4621,1.4648,1.4621,1.4648
2002-09-23T11:00:00+02:00,1.4641,1.4645,1.4641,1.4645
2002-09-24T11:00:00+02:00,1.4645,1.4645,1.463,1.463
2002-09-25T11:00:00+02:00,1.463,1.4641,1.463,1.4641
2002-09-26T11:00:00+02:00,1.4641,1.4674,1.4641,1.4674
2002-09-27T11:00:00+02:00,1.4674,1.4674,1.4652,1.4652
2002-09-30T11:00:00+02:00,1.4649,1.4649,1.4565,1.4565
2002-10-01T11:00:00+02:00,1.4565,1.4626,1.4565,1.4626
2002-10-02T11:00:00+02:00,1.4626,1.4626,1.4584,1.4584
2002-10-03T11:00:00+02:00,1.4584,1.4604,1.4584,1.4604
2002-10-04T11:00:00+02:00,1.4604,1.4618,1.4604,1.4618
2002-10-07T11:00:00+02:00,1.4615,1.4631,1.4615,1.4631
2002-10-08T11:00:00+02:00,1.4631,1.4663,1.4631,1.4663
2002-10-09T11:00:00+02:00,1.4663,1.4663,1.4639,1.4639
2002-10-10T11:00:00+02:00,1.4639,1.4639,1.4638,1.4638
2002-10-11T11:00:00+02:00,1.4638,1.4638,1.463,1.463
2002-10-14T11:00:00+02:00,1.4626,1.4626,1.46215,1.46215
2002-10-15T11:00:00+02:00,1.46215,1.4669,1.46215,1.4669
2002-10-16T11:00:00+02:00,1.4669,1.4669,1.4666,1.4666
2002-10-17T11:00:00+02:00,1.4666,1.4678,1.4666,1.4678
2002-10-18T11:00:00+02:00,1.4678,1.4698,1.4678,1.4698
2002-10-21T11:00:00+02:00,1.4697,1.47075,1.4697,1.47075
2002-10-22T11:00:00+02:00,1.47075,1.47075,1.46855,1.46855
2002-10-23T11:00:00+02:00,1.46855,1.46855,1.4681,1.4681
2002-10-24T11:00:00+02:00,1.4681,1.4681,1.4675,1.4675
2002-10-25T11:00:00+02:00,1.4675,1.4675,1.4671,1.4671
2002-10-28T11:00:00+01:00,1.4674,1.4674,1.4652,1.4652
2002-10-29T11:00:00+01:00,1.4652,1.4654,1.4652,1.4654
2002-10-30T11:00:00+01:00,1.4654,1.4654,1.465,1.465
2002-10-31T11:00:00+01:00,1.465,1.465,1.4629,1.4629
2002-11-01T11:00:00+01:00,1.4629,1.4629,1.4621,1.4621
2002-11-04T11:00:00+01:00,1.4631,1.4631,1.46265,1.46265
2002-11-05T11:00:00+01:00,1.46265,1.46295,1.46265,1.46295
2002-11-06T11:00:00+01:00,1.46295,1.46295,1.4628,1.4628
2002-11-07T11:00:00+01:00,1.4628,1.4634,1.4628,1.4634
2002-11-08T11:00:00+01:00,1.4634,1.4634,1.462,1.462
2002-11-11T11:00:00+01:00,1.4622,1.4635,1.4622,1.4635
2002-11-12T11:00:00+01:00,1.4635,1.4635,1.4617,1.4617
2002-11-13T11:00:00+01:00,1.4617,1.46655,1.4617,1.46655
2002-11-14T11:00:00+01:00,1.46655,1.4669,1.46655,1.4669
2002-11-15T11:00:00+01:00,1.4669,1.4669,1.4655,1.4655
2002-11-18T11:00:00+01:00,1.46565,1.467,1.46565,1.467
2002-11-19T11:00:00+01:00,1.467,1.4683,1.467,1.4683
2002-11-20T11:00:00+01:00,1.4683,1.4687,1.4683,1.4687
2002-11-21T11:00:00+01:00,1.4687,1.4698,1.4687,1.4698
