time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,0.62375,0.6245,0.62125,0.6245,NaN,NaN
2002-05-13,0.6246,0.6315,0.62245,0.6315,NaN,NaN
2002-05-20,0.631,0.63455,0.63015,0.632,NaN,NaN
2002-05-27,0.6321,0.6411,0.6319,0.6411,NaN,NaN
2002-06-03,0.6408,0.64885,0.6408,0.6466,NaN,NaN
2002-06-10,0.6463,0.64675,0.6402,0.6402,NaN,NaN
2002-06-17,0.6396,0.6486,0.63835,0.6486,NaN,NaN
2002-06-24,0.6489,0.64915,0.64295,0.6468,NaN,NaN
2002-07-01,0.6464,0.64655,0.6392,0.6392,NaN,NaN
2002-07-08,0.6403,0.64155,0.63635,0.6381,NaN,NaN
2002-07-15,0.638,0.64295,0.638,0.6413,NaN,NaN
2002-07-22,0.6409,0.6409,0.6309,0.6309,NaN,NaN
2002-07-29,0.6306,0.6306,0.62475,0.6283,NaN,NaN
2002-08-05,0.6284,0.6365,0.62785,0.6365,NaN,NaN
2002-08-12,0.6362,0.64,0.6362,0.64,NaN,NaN
2002-08-19,0.6392,0.64055,0.63705,0.64,NaN,NaN
2002-08-26,0.6401,0.6407,0.6334,0.6334,NaN,NaN
2002-09-02,0.6335,0.6371,0.6335,0.6337,NaN,NaN
2002-09-09,0.63,0.63,0.6263,0.6263,NaN,NaN
2002-09-16,0.6258,0.634,0.6258,0.6318,NaN,NaN
2002-09-23,0.6316,0.6316,0.6268,0.6282,NaN,NaN
2002-09-30,0.6284,0.6294,0.6254,0.6254,NaN,NaN
2002-10-07,0.6261,0.6326,0.6261,0.632,NaN,NaN
2002-10-14,0.6321,0.6337,0.6262,0.6287,NaN,NaN
2002-10-21,0.6287,0.6324,0.6287,0.6295,NaN,NaN
2002-10-28,0.6311,0.6374,0.631,0.6374,NaN,NaN
2002-11-04,0.6371,0.6411,0.6368,0.6368,NaN,NaN
2002-11-11,0.6367,0.6386,0.63515,0.6386,NaN,NaN
2002-11-18,0.63905,0.63905,0.631,0.631,NaN,NaN
2002-11-25,0.631,0.64095,0.631,0.6389,NaN,NaN
2002-12-02,0.6388,0.6408,0.63465,0.6408,NaN,NaN
2002-12-09,0.6404,0.64385,0.63945,0.6436,NaN,NaN
2002-12-16,0.6441,0.6441,0.64055,0.6406,NaN,NaN
2002-12-23,0.6412,0.6507,0.6412,0.6507,NaN,NaN
2002-12-30,0.6502,0.6514,0.6471,0.6471,NaN,NaN
2003-01-06,0.6474,0.6577,0.6474,0.6577,NaN,NaN
2003-01-13,0.6584,0.6614,0.65745,0.6614,NaN,NaN
2003-01-20,0.661,0.66425,0.661,0.6629,NaN,NaN
2003-01-27,0.6639,0.6639,0.6536,0.6536,NaN,NaN
2003-02-03,0.6547,0.6635,0.6547,0.6635,NaN,NaN
2003-02-10,0.6624,0.66895,0.66005,0.6686,NaN,NaN
2003-02-17,0.6682,0.6815,0.6682,0.6815,NaN,NaN
2003-02-24,0.6814,0.6862,0.68015,0.6862,NaN,NaN
2003-03-03,0.6853,0.69015,0.68425,0.6867,NaN,NaN
2003-03-10,0.6864,0.69015,0.67485,0.6784,NaN,NaN
2003-03-17,0.6786,0.67895,0.6735,0.6735,NaN,NaN
2003-03-24,0.6762,0.6847,0.67595,0.6847,NaN,NaN
2003-03-31,0.6858,0.69145,0.68425,0.6875,NaN,NaN
2003-04-07,0.6866,0.68915,0.6849,0.6849,NaN,NaN
2003-04-14,0.6844,0.6925,0.6844,0.6925,NaN,NaN
2003-04-21,0.6928,0.69535,0.69125,0.6933,NaN,NaN
2003-04-28,0.6928,0.6996,0.69175,0.6996,NaN,NaN
2003-05-05,0.7001,0.71775,0.7001,0.7158,NaN,NaN
2003-05-12,0.7169,0.71815,0.70185,0.7144,NaN,NaN
2003-05-19,0.7173,0.7236,0.71115,0.7236,NaN,NaN
2003-05-26,0.7245,0.72495,0.71695,0.7201,NaN,NaN
2003-06-02,0.7198,0.72055,0.7041,0.7041,NaN,NaN
2003-06-09,0.7058,0.7117,0.70525,0.7092,NaN,NaN
2003-06-16,0.7099,0.7099,0.69655,0.6977,NaN,NaN
2003-06-23,0.6972,0.6972,0.68785,0.6928,NaN,NaN
2003-06-30,0.6933,0.69535,0.68895,0.6894,NaN,NaN
2003-07-07,0.689,0.69615,0.68615,0.6925,NaN,NaN
2003-07-14,0.6932,0.7088,0.6932,0.7088,NaN,NaN
2003-07-21,0.7128,0.71465,0.70915,0.71,NaN,NaN
2003-07-28,0.7088,0.7088,0.69735,0.6998,NaN,NaN
2003-08-04,0.7004,0.7054,0.7004,0.7054,NaN,NaN
2003-08-11,0.7045,0.70615,0.70285,0.7058,NaN,NaN
2003-08-18,0.7054,0.7054,0.6907,0.6907,NaN,NaN
2003-08-25,0.6899,0.6962,0.68975,0.6962,NaN,NaN
2003-09-01,0.6963,0.6992,0.68965,0.6992,NaN,NaN
2003-09-08,0.6981,0.70575,0.6981,0.7045,NaN,NaN
2003-09-15,0.7021,0.70485,0.6947,0.6947,NaN,NaN
2003-09-22,0.6945,0.69475,0.6909,0.6909,NaN,NaN
2003-09-29,0.6912,0.702,0.6912,0.696,NaN,NaN
2003-10-06,0.6961,0.71045,0.6961,0.7091,NaN,NaN
2003-10-13,0.7096,0.7096,0.6926,0.6957,NaN,NaN
2003-10-20,0.6977,0.69795,0.695,0.695,NaN,NaN
2003-10-27,0.6948,0.6948,0.6836,0.6836,NaN,NaN
2003-11-03,0.6834,0.6889,0.68325,0.6889,NaN,NaN
2003-11-10,0.6875,0.6983,0.6875,0.6983,NaN,NaN
2003-11-17,0.6983,0.7019,0.6945,0.6996,NaN,NaN
2003-11-24,0.6993,0.6993,0.69375,0.6966,NaN,NaN
2003-12-01,0.6962,0.7035,0.6962,0.7035,NaN,NaN
2003-12-08,0.7032,0.70545,0.6997,0.7039,NaN,NaN
2003-12-15,0.69925,0.705,0.69925,0.7008,NaN,NaN
2003-12-22,0.702,0.70295,0.7011,0.7019,NaN,NaN
2003-12-29,0.7026,0.7063,0.7023,0.7023,NaN,NaN
2004-01-05,0.7025,0.7025,0.6947,0.6947,NaN,NaN
2004-01-12,0.6951,0.6951,0.6888,0.6888,NaN,NaN
2004-01-19,0.6882,0.6929,0.6882,0.689,NaN,NaN
2004-01-26,0.6898,0.6915,0.6834,0.6837,NaN,NaN
2004-02-02,0.6841,0.6878,0.682,0.6878,NaN,NaN
2004-02-09,0.6848,0.6848,0.6759,0.6759,NaN,NaN
2004-02-16,0.6764,0.6764,0.6714,0.6734,NaN,NaN
2004-02-23,0.6729,0.6729,0.6677,0.669,NaN,NaN
2004-03-01,0.6684,0.6704,0.66425,0.6704,NaN,NaN
2004-03-08,0.6703,0.6809,0.6703,0.678,NaN,NaN
2004-03-15,0.6786,0.67965,0.6704,0.6704,NaN,NaN
2004-03-22,0.67,0.6715,0.6651,0.6683,NaN,NaN
