time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-01,116.76,117.105,114.205,116.01,,
2002-06-03,115.93,119.17,115.93,118.5,,
2002-07-01,118.68,118.68,115.7,117.215,,
2002-08-01,117.215,117.46,114.95,116.23,,
2002-09-02,116.35,121.24,116.2,120.14,,
2002-10-01,120.14,122.69,120.14,121.28,,
2002-11-01,121.28,122.85,120.8,121.86,,
2002-12-02,121.92,125.1,121.92,125.06,,
2003-01-01,125.06,129.04,124.35,129.04,,
2003-02-03,129.1,130.71,126.22,127.55,,
2003-03-03,127.44,129.38,126.01,128.88,,
2003-04-01,128.88,132.94,128.03,132.94,,
2003-05-01,132.94,140.59,132.26,140.59,,
2003-06-02,140.14,140.14,135.71,137.78,,
2003-07-01,137.78,138.06,131.89,135.41,,
2003-08-01,135.41,136.69,127.42,128.44,,
2003-09-01,128.37,132.56,125.71,129.98,,
2003-10-01,129.98,129.98,126.315,127.33,,
2003-11-03,127.35,131.43,124.715,131.43,,
2003-12-01,131.42,134.47,130.745,134.47,,
2004-01-01,134.47,136.94,131.505,131.95,,
2004-02-02,131.88,137.215,131.255,136.15,,
2004-03-01,136.21,138.73,128.265,128.455,,
2004-04-01,128.455,132.37,126.085,132.37,,
2004-05-03,132.3,137.495,131.795,133.475,,
2004-06-01,133.475,136.53,130.375,132.675,1,
2004-07-01,132.675,135.645,131.815,133.85,1,
2004-08-02,133.95,136.99,131.73,132.995,1,
2004-09-01,132.995,137.275,132.395,136.835,1,
2004-10-01,136.835,137.26,135.215,135.455,1,
2004-11-01,135.5,138.175,134.29,136.795,1,
2004-12-01,136.795,141.305,136.775,138.96,1,
2005-01-03,139.17,139.35,132.9965,135.1935,1,
2005-02-01,135.1935,139.434,133.5635,138.4005,,
2005-03-01,138.4005,140.7125,137.3165,138.8905,,-1
2005-04-01,138.8905,140.5175,134.8005,134.83,,-1
2005-05-02,135.09,136.2465,133.0535,133.5725,,-1
2005-06-01,133.5725,134.4165,130.6185,134.3035,,-1
2005-07-01,134.3035,137.2235,132.5255,136.36,,-1
2005-08-01,136.46,138.855,133.5325,136.5905,,-1
2005-09-01,136.5905,137.8455,134.543,136.49,,-1
2005-10-03,136.36,140.1925,135.8485,139.5915,,-1
2005-11-01,139.5915,141.3475,137.5105,141.2275,,
2005-12-01,141.2275,143.6175,137.595,139.52,,
2006-01-02,139.69,142.6775,137.1025,142.4675,,
2006-02-01,142.4675,143.415,137.18,138.0065,,
2006-03-01,138.0065,143.0105,137.7855,142.72,,
2006-04-03,142.69,145.5005,141.4905,143.75,,
2006-05-01,143.535,144.8275,140.1915,144.2885,,
2006-06-01,144.2885,146.6565,143.6545,146.381,,
2006-07-03,146.23,148.0485,145.0095,146.3955,,
2006-08-01,146.3955,150.7355,145.8985,150.4385,,
2006-09-01,150.4385,150.4935,147.5525,149.769,,-1
2006-10-02,149.89,150.7495,148.4165,149.2765,,-1
2006-11-01,149.2765,153.4575,148.8675,153.3485,,-1
2006-12-01,153.3485,157.223,152.4525,157.153,,-1
2007-01-01,157.153,158.6335,153.6685,157.2845,,-1
2007-02-01,157.2845,159.6305,155.2525,156.8405,,-1
2007-03-01,156.8405,158.0215,150.7605,157.353,,-1
2007-04-02,157.18,163.301,156.944,163.0435,,-1
2007-05-01,163.0435,164.293,161.0575,163.7625,,
2007-06-01,163.7625,166.947,161.5135,166.792,,-1
2007-07-02,166.73,168.9565,160.655,162.3115,,-1
2007-08-01,162.3115,165.395,149.247,157.763,,-1
2007-09-03,157.755,163.966,155.157,163.794,,-1
2007-10-01,163.832,167.738,160.484,167.232,,-1
2007-11-01,167.232,167.652,158.695,162.793,,-1
2007-12-03,162.562,166.6665,160.9125,162.995,,-1
2008-01-01,162.995,164.0835,152.123,158.177,,-1
2008-02-01,158.177,161.4155,154.061,157.452,,
2008-03-03,157.428,159.233,151.722,157.401,,
2008-04-01,157.401,164.979,156.3295,162.2605,,
2008-05-01,162.2605,164.4805,158.6055,164.129,,
2008-06-02,163.66,169.4625,161.733,167.3135,,
2008-07-01,167.3135,169.9695,165.3245,168.3825,,
2008-08-01,168.3825,169.476,159.208,159.666,,
2008-09-01,159.336,159.623,147.035,149.5575,1,
2008-10-01,149.5575,150.603,113.654,125.267,1,
2008-11-03,125.743,130.9865,116.418,121.21,1,
2008-12-01,121.378,131.052,115.8715,126.638,1,
2009-01-01,126.638,128.568,112.065,115.222,1,
2009-02-02,114.949,126.0945,113.1445,123.633,1,
2009-03-02,123.463,134.543,121.736,131.127,1,
2009-04-01,131.127,137.4315,124.3845,130.482,1,
2009-05-01,130.482,135.6895,126.977,134.997,,
2009-06-01,134.603,139.216,131.43,135.214,,
2009-07-01,135.214,136.8945,127.013,134.991,,
2009-08-03,135.216,138.7285,132.1635,133.472,,
2009-09-01,133.472,135.488,129.794,131.345,,
2009-10-01,131.345,138.484,129.028,132.569,,
2009-11-02,131.95,135.738,126.887,129.649,,
2009-12-01,129.649,134.568,127.397,133.269,,
2010-01-01,133.269,134.378,124.824,125.135,,
2010-02-01,124.617,126.982,119.6575,121.281,,
2010-03-01,121.066,126.5715,119.773,126.265,,
2010-04-01,126.265,127.928,122.373,124.781,,-1
2010-05-03,125.342,125.4485,108.834,112.3215,,-1
2010-06-01,112.3215,114.1515,107.3185,108.217,,-1
2010-07-01,108.217,114.7405,107.5025,112.851,,-1
2010-08-02,112.804,114.1875,105.435,106.759,,-1
2010-09-01,106.759,114.2215,105.7985,113.88,,-1
2010-10-01,113.88,115.6855,111.5325,112.14,,-1
2010-11-01,112.127,115.4235,108.349,108.648,,-1
