time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2003-10-13,128.12,129.11,127.395,128.7,,
2003-10-27,128.57,128.57,125.735,126.07,,
2003-11-10,125.84,129.885,124.715,129.61,,-1
2003-11-24,129.65,131.43,128.735,131.02,,-1
2003-12-08,130.95,133.76,130.95,133.47,,-1
2003-12-22,133.57,134.7,133.065,134.66,,-1
2004-01-05,134.73,136.94,132.05,132.05,,-1
2004-01-19,132.15,135.095,131.505,131.95,,-1
2004-02-02,131.88,135.135,131.255,134.38,,-1
2004-02-16,134.51,137.215,134.51,136.15,,-1
2004-03-01,136.21,138.73,134.235,135.52,,
2004-03-15,135.5,135.5,128.48,128.48,,
2004-03-29,128.3,128.74,126.085,128.74,,
2004-04-12,128.52,130.395,127.275,129.09,,
2004-04-26,128.82,133.33,128.82,133.33,,
2004-05-10,133.37,137.495,133.37,134.56,,
2004-05-24,134.29,136.53,133.475,136.53,,
2004-06-07,136.41,136.41,132.145,132.15,1,
2004-06-21,132.04,133.4,130.375,133.4,1,
2004-07-05,133.51,135.645,133.51,135.32,1,
2004-07-19,135.37,135.37,133.22,133.85,1,
2004-08-02,133.95,136.99,133.155,136.99,1,
2004-08-16,136.525,136.575,131.78,131.78,1,
2004-08-30,131.73,134.48,131.73,134.48,1,
2004-09-13,134.32,135.955,133.485,135.8,1,
2004-09-27,135.75,137.275,135.75,135.9,,
2004-10-11,135.98,136.515,135.215,136.04,,
2004-10-25,136.09,136.93,135.115,136.93,,
2004-11-08,136.73,138.175,134.29,134.29,,
2004-11-22,134.42,137.35,134.42,137.35,,
2004-12-06,137.21,140.395,137.21,138.54,,
2004-12-20,138.56,141.305,138.56,138.96,,
2005-01-03,139.17,139.35,133.3135,133.785,,
2005-01-17,133.675,135.4665,132.9965,134.645,,
2005-01-31,134.975,136.3625,133.5635,136.015,,-1
2005-02-14,135.765,139.394,135.38,139.374,,-1
2005-02-28,139.404,140.0505,137.3195,139.955,,-1
2005-03-14,139.775,140.7125,137.3165,137.825,,-1
2005-03-28,137.845,140.1375,137.6435,139.973,,-1
2005-04-11,139.973,140.5175,138.1205,138.49,,-1
2005-04-25,137.62,138.0425,134.4105,134.67,,-1
2005-05-09,134.74,136.2465,134.5435,135.83,,-1
2005-05-23,135.815,136.0245,131.67,131.77,,
2005-06-06,131.7,133.4765,130.7235,133.38,,
2005-06-20,133.04,134.4165,130.6185,133.67,,-1
2005-07-04,133.33,136.0475,132.5255,134.99,,-1
2005-07-18,135.08,137.2235,133.5735,136.36,,-1
2005-08-01,136.46,138.855,135.7575,136.095,,-1
2005-08-15,136.4,136.4,133.5325,135.41,,-1
2005-08-29,135.49,137.8455,135.0605,136.1,,-1
2005-09-12,135.521,136.529,134.543,135.432,,-1
2005-09-26,135.332,138.1955,135.002,138.05,,-1
2005-10-10,137.835,139.1475,136.9925,138.54,,
2005-10-24,138.36,141.1775,137.9755,139.78,,
2005-11-07,139.69,140.25,137.5105,140.24,,
2005-11-21,140.34,141.7675,139.2905,141.34,,
2005-12-05,141.64,143.6175,138.2135,138.94,,
2005-12-19,138.99,140.07,137.595,139.52,,
2006-01-02,139.69,140.8905,137.1025,138.64,,
2006-01-16,138.74,142.4535,138.44,141.86,,
2006-01-30,141.97,143.415,140.0025,140.32,,
2006-02-13,140.18,141.6825,138.645,138.83,,
2006-02-27,138.75,141.8635,137.18,141.73,,
2006-03-13,141.64,142.4805,140.6875,141.37,,
2006-03-27,141.535,144.8925,139.7205,143.065,,
2006-04-10,143.005,145.5005,142.8345,143.885,,
2006-04-24,142.99,144.8275,141.4905,143.28,,
2006-05-08,142.72,142.96,140.1915,142.705,,
2006-05-22,142.57,144.8045,142.443,144.356,,
2006-06-05,144.409,145.7105,143.6545,145.629,,
2006-06-19,145.662,146.6565,144.1975,146.381,,
2006-07-03,146.23,147.4165,145.0095,146.907,,
2006-07-17,146.99,148.0485,146.1225,146.274,,
2006-07-31,146.393,148.6145,145.7305,147.963,,
2006-08-14,147.99,149.7965,147.892,149.573,,
2006-08-28,149.65,150.7355,147.5525,148.2,,
2006-09-11,148.12,150.2615,147.763,149.004,,
2006-09-25,148.955,150.4765,147.7115,149.983,,
2006-10-09,149.79,150.291,148.4165,149.824,,-1
2006-10-23,149.845,150.7495,148.8675,150.08,,-1
2006-11-06,150.185,151.4805,149.87,151.051,,-1
2006-11-20,151.215,154.1015,150.3375,153.98,,-1
2006-12-04,153.9,155.5755,152.4525,154.579,,-1
2006-12-18,154.327,157.223,154.1005,157.153,,-1
2007-01-01,157.153,158.0585,153.6685,155.501,,-1
2007-01-15,155.615,158.6335,155.094,156.976,,-1
2007-01-29,156.921,158.3795,155.2525,158.332,,
2007-02-12,158.24,159.6305,156.2405,159.407,,
2007-02-26,159.373,159.568,150.7605,155.195,,
2007-03-12,155.458,157.6475,152.6555,156.908,,
2007-03-26,156.865,159.727,155.3505,159.546,,
2007-04-09,159.52,162.426,159.0575,161.29,,
2007-04-23,161.477,163.6005,160.2275,163.346,,
2007-05-07,163.384,163.896,161.0575,163.62,,
2007-05-21,163.718,164.293,162.1825,164.173,,
2007-06-04,164.08,165.274,161.5135,165.266,,
2007-06-18,165.19,166.947,164.24,166.792,,-1
2007-07-02,166.73,168.9565,166.145,168.065,,-1
2007-07-16,168.12,168.878,161.519,161.72,,-1
2007-07-30,161.37,165.395,159.957,162.125,,-1
2007-08-13,161.82,162.268,149.247,159.252,,-1
2007-08-27,159.225,159.696,154.5505,156.102,,-1
2007-09-10,155.72,162.84,155.157,162.746,,-1
2007-09-24,162.635,165.409,161.017,165.364,,-1
2007-10-08,165.46,167.738,163.697,163.787,,
2007-10-22,163.534,167.271,160.484,166.605,,
2007-11-05,166.597,167.652,158.695,162.879,,
2007-11-19,162.64,163.855,159.3705,162.793,1,
2007-12-03,162.562,165.311,160.9125,163.451,1,
2007-12-17,163.322,166.6665,161.7485,165.339,1,
2007-12-31,165.614,165.779,159.7535,160.112,1,
2008-01-07,160.055,162.297,155.69,156.215,1,
2008-01-21,155.879,159.4885,152.123,157.625,1,
2008-02-04,157.736,158.884,154.061,158.292,1,
2008-02-18,158.316,161.4155,157.446,157.452,1,
2008-03-03,157.428,159.233,154.835,155.304,,
2008-03-17,155.374,158.357,151.722,156.744,,
2008-03-31,156.676,161.7205,156.064,159.679,,
2008-04-14,159.213,164.979,158.25,163.186,,
2008-04-28,163.07,163.895,158.6055,159.243,,
2008-05-12,159.256,163.862,158.617,162.955,,
2008-05-26,162.845,166.1625,161.733,165.551,,
2008-06-09,165.263,168.132,165.005,167.529,,
2008-06-23,167.365,169.4625,166.082,167.751,,
2008-07-07,167.588,169.677,165.3245,169.492,,
2008-07-21,169.374,169.9695,166.987,167.592,,
2008-08-04,167.652,169.476,161.3905,162.315,,
2008-08-18,162.256,163.1,159.208,159.666,,
2008-09-01,159.336,159.623,147.5325,153.498,,
2008-09-15,151.466,156.8385,147.035,154.918,,
2008-09-29,154.452,155.103,132.243,134.979,,
2008-10-13,136.807,141.753,113.7895,119.012,,
2008-10-27,117.539,131.079,113.654,124.941,,
2008-11-10,127.325,128.435,116.418,120.73,,
2008-11-24,120.712,126.241,115.8715,118.079,,
2008-12-08,118.201,131.052,117.458,124.25,,
2008-12-22,124.173,129.739,123.99,127.835,,
2009-01-05,127.849,128.568,116.2325,120.386,,
2009-01-19,121.413,122.215,112.065,115.222,,
2009-02-02,114.949,120.0325,113.1445,118.121,,
2009-02-16,117.248,126.0945,115.639,123.633,,
2009-03-02,123.463,127.655,121.736,126.657,,
2009-03-16,126.468,134.543,125.62,130.054,,
