time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,1.9279,1.98005,1.9279,1.97425,NaN,NaN
2004-06-07,1.9726,1.9726,1.90915,1.90915,NaN,NaN
2004-06-14,1.90885,1.93735,1.9061,1.93665,NaN,NaN
2004-06-21,1.93585,1.9372,1.91555,1.91555,NaN,NaN
2004-06-28,1.91385,1.9172,1.8974,1.90265,NaN,NaN
2004-07-05,1.90205,1.90205,1.88415,1.88945,NaN,NaN
2004-07-12,1.88935,1.8989,1.8767,1.88885,NaN,NaN
2004-07-19,1.88655,1.9151,1.8849,1.90275,NaN,NaN
2004-07-26,1.90525,1.9217,1.88715,1.88715,NaN,NaN
2004-08-02,1.8895,1.8895,1.8643,1.88315,NaN,NaN
2004-08-09,1.88205,1.88205,1.85685,1.85685,NaN,NaN
2004-08-16,1.86245,1.86245,1.83195,1.83195,NaN,NaN
2004-08-23,1.83175,1.8649,1.83175,1.83915,NaN,NaN
2004-08-30,1.83975,1.8768,1.83975,1.86675,NaN,NaN
2004-09-06,1.86485,1.8753,1.8573,1.87275,NaN,NaN
2004-09-13,1.86965,1.86965,1.84495,1.84495,NaN,NaN
2004-09-20,1.84455,1.8585,1.83565,1.83565,NaN,NaN
2004-09-27,1.83755,1.8468,1.83475,1.83995,NaN,NaN
2004-10-04,1.84515,1.84515,1.81075,1.81075,NaN,NaN
2004-10-11,1.81575,1.8247,1.81335,1.81335,NaN,NaN
2004-10-18,1.81895,1.82545,1.81895,1.8223,NaN,NaN
2004-10-25,1.8204,1.86505,1.8204,1.86505,NaN,NaN
2004-11-01,1.86565,1.86565,1.85535,1.8653,NaN,NaN
2004-11-08,1.8634,1.88615,1.8634,1.87125,NaN,NaN
2004-11-15,1.87015,1.87015,1.8353,1.8375,NaN,NaN
2004-11-22,1.8354,1.8543,1.8354,1.8543,NaN,NaN
2004-11-29,1.8527,1.8657,1.8527,1.8657,NaN,NaN
2004-12-06,1.862,1.8774,1.862,1.8774,NaN,NaN
2004-12-13,1.8827,1.8827,1.8612,1.8612,NaN,NaN
2004-12-20,1.8652,1.8953,1.8652,1.8859,NaN,NaN
2004-12-27,1.8873,1.905,1.8849,1.8894,NaN,NaN
2005-01-03,1.8854,1.9033,1.86815,1.878,NaN,NaN
2005-01-10,1.88025,1.8898,1.8673,1.8749,NaN,NaN
2005-01-17,1.8738,1.88695,1.8231,1.8244,NaN,NaN
2005-01-24,1.8285,1.8358,1.8147,1.829,NaN,NaN
2005-01-31,1.8339,1.8391,1.8096,1.8115,NaN,NaN
2005-02-07,1.8136,1.8319,1.7991,1.8017,NaN,NaN
2005-02-14,1.8041,1.8287,1.8024,1.8075,NaN,NaN
2005-02-21,1.8046,1.837,1.7946,1.8335,NaN,NaN
2005-02-28,1.8352,1.8365,1.795,1.806,NaN,NaN
2005-03-07,1.8052,1.83165,1.793,1.819,NaN,NaN
2005-03-14,1.8205,1.8213,1.78415,1.7891,NaN,NaN
2005-03-21,1.7918,1.8227,1.7803,1.814,NaN,NaN
2005-03-28,1.8148,1.83385,1.8119,1.8223,NaN,NaN
2005-04-04,1.8198,1.8273,1.7956,1.8055,NaN,NaN
2005-04-11,1.8052,1.8075,1.7695,1.805,1,NaN
2005-04-18,1.8019,1.8222,1.7813,1.7846,1,NaN
2005-04-25,1.7838,1.7999,1.75615,1.7594,1,NaN
2005-05-02,1.7612,1.77885,1.7455,1.7484,1,NaN
2005-05-09,1.7505,1.7766,1.7479,1.7745,1,NaN
2005-05-16,1.7732,1.7919,1.7696,1.7711,1,NaN
2005-05-23,1.7736,1.7761,1.7541,1.7587,1,NaN
2005-05-30,1.7548,1.7598,1.7418,1.7478,1,NaN
2005-06-06,1.7484,1.7495,1.7091,1.7166,NaN,NaN
2005-06-13,1.715,1.7192,1.6878,1.7133,1,NaN
2005-06-20,1.7056,1.7181,1.6878,1.7141,1,NaN
2005-06-27,1.7134,1.75715,1.7102,1.74855,1,NaN
2005-07-04,1.74705,1.7846,1.74535,1.77725,1,NaN
2005-07-11,1.77415,1.805,1.77145,1.78485,1,NaN
2005-07-18,1.78905,1.8003,1.75565,1.75955,1,NaN
2005-07-25,1.76425,1.78395,1.75525,1.78105,1,NaN
2005-08-01,1.78415,1.79605,1.77205,1.78885,1,NaN
2005-08-08,1.79065,1.79155,1.7538,1.759,NaN,NaN
2005-08-15,1.7596,1.7599,1.7435,1.75015,NaN,NaN
2005-08-22,1.75275,1.7699,1.749,1.7678,NaN,NaN
2005-08-29,1.7685,1.78345,1.76065,1.7734,NaN,NaN
2005-09-05,1.7761,1.7784,1.7529,1.7529,NaN,NaN
2005-09-12,1.7498,1.7536,1.7236,1.7357,NaN,NaN
2005-09-19,1.73745,1.76045,1.7301,1.74985,NaN,NaN
2005-09-26,1.75455,1.77205,1.73385,1.73955,NaN,NaN
2005-10-03,1.73625,1.7518,1.7056,1.7435,NaN,NaN
2005-10-10,1.74395,1.74535,1.7181,1.7334,NaN,NaN
