time,open,high,low,close
2004-05-31 19:00:00+02:00,1.9279,1.9279,1.9279,1.9279
2004-06-01 19:00:00+02:00,1.9279,1.9483,1.9279,1.9483
2004-06-02 19:00:00+02:00,1.9483,1.96555,1.9483,1.96555
2004-06-03 19:00:00+02:00,1.96555,1.98005,1.96555,1.98005
2004-06-04 19:00:00+02:00,1.98005,1.98005,1.97425,1.97425
2004-06-07 19:00:00+02:00,1.9726,1.9726,1.9437,1.9437
2004-06-08 19:00:00+02:00,1.9437,1.9548,1.9437,1.9548
2004-06-09 19:00:00+02:00,1.9548,1.9548,1.94995,1.94995
2004-06-10 19:00:00+02:00,1.94995,1.94995,1.9113,1.9113
2004-06-11 19:00:00+02:00,1.9113,1.9113,1.90915,1.90915
2004-06-14 19:00:00+02:00,1.90885,1.9316,1.90885,1.9316
2004-06-15 19:00:00+02:00,1.9316,1.9316,1.9061,1.9061
2004-06-16 19:00:00+02:00,1.9061,1.9099,1.9061,1.9099
2004-06-17 19:00:00+02:00,1.9099,1.93735,1.9099,1.93735
2004-06-18 19:00:00+02:00,1.93735,1.93735,1.93665,1.93665
2004-06-21 19:00:00+02:00,1.93585,1.93585,1.9271,1.9271
2004-06-22 19:00:00+02:00,1.9271,1.9276,1.9271,1.9276
2004-06-23 19:00:00+02:00,1.9276,1.9372,1.9276,1.9372
2004-06-24 19:00:00+02:00,1.9372,1.9372,1.917,1.917
2004-06-25 19:00:00+02:00,1.917,1.917,1.91555,1.91555
2004-06-28 19:00:00+02:00,1.91385,1.91385,1.9009,1.9009
2004-06-29 19:00:00+02:00,1.9009,1.9149,1.9009,1.9149
2004-06-30 19:00:00+02:00,1.9149,1.9172,1.9149,1.9172
2004-07-01 19:00:00+02:00,1.9172,1.9172,1.8974,1.8974
2004-07-02 19:00:00+02:00,1.8974,1.90265,1.8974,1.90265
2004-07-05 19:00:00+02:00,1.90205,1.90205,1.8988,1.8988
2004-07-06 19:00:00+02:00,1.8988,1.8988,1.8916,1.8916
2004-07-07 19:00:00+02:00,1.8916,1.8916,1.88415,1.88415
2004-07-08 19:00:00+02:00,1.88415,1.8878,1.88415,1.8878
2004-07-09 19:00:00+02:00,1.8878,1.88945,1.8878,1.88945
2004-07-12 19:00:00+02:00,1.88935,1.88935,1.8776,1.8776
2004-07-13 19:00:00+02:00,1.8776,1.8776,1.8767,1.8767
2004-07-14 19:00:00+02:00,1.8767,1.898,1.8767,1.898
2004-07-15 19:00:00+02:00,1.898,1.8989,1.898,1.8989
2004-07-16 19:00:00+02:00,1.8989,1.8989,1.88885,1.88885
2004-07-19 19:00:00+02:00,1.88655,1.8975,1.88655,1.8975
2004-07-20 19:00:00+02:00,1.8975,1.8975,1.8849,1.8849
2004-07-21 19:00:00+02:00,1.8849,1.9151,1.8849,1.9151
2004-07-22 19:00:00+02:00,1.9151,1.9151,1.9096,1.9096
2004-07-23 19:00:00+02:00,1.9096,1.9096,1.90275,1.90275
2004-07-26 19:00:00+02:00,1.90525,1.909,1.90525,1.909
2004-07-27 19:00:00+02:00,1.909,1.9217,1.909,1.9217
2004-07-28 19:00:00+02:00,1.9217,1.9217,1.9168,1.9168
2004-07-29 19:00:00+02:00,1.9168,1.9168,1.9012,1.9012
2004-07-30 19:00:00+02:00,1.9012,1.9012,1.88715,1.88715
2004-08-02 19:00:00+02:00,1.8895,1.8895,1.8792,1.8792
2004-08-03 19:00:00+02:00,1.8792,1.8792,1.8643,1.8643
2004-08-04 19:00:00+02:00,1.8643,1.8679,1.8643,1.8679
2004-08-05 19:00:00+02:00,1.8679,1.8723,1.8679,1.8723
2004-08-06 19:00:00+02:00,1.8723,1.88315,1.8723,1.88315
2004-08-09 19:00:00+02:00,1.88205,1.88205,1.8799,1.8799
2004-08-10 19:00:00+02:00,1.8799,1.8799,1.875,1.875
2004-08-11 19:00:00+02:00,1.875,1.875,1.8656,1.8656
2004-08-12 19:00:00+02:00,1.8656,1.8656,1.8609,1.8609
2004-08-13 19:00:00+02:00,1.8609,1.8609,1.85685,1.85685
2004-08-16 19:00:00+02:00,1.86245,1.86245,1.8594,1.8594
2004-08-17 19:00:00+02:00,1.8594,1.861,1.8594,1.861
2004-08-18 19:00:00+02:00,1.861,1.861,1.8569,1.8569
2004-08-19 19:00:00+02:00,1.8569,1.8569,1.8408,1.8408
2004-08-20 19:00:00+02:00,1.8408,1.8408,1.83195,1.83195
2004-08-23 19:00:00+02:00,1.83175,1.8353,1.83175,1.8353
2004-08-24 19:00:00+02:00,1.8353,1.8649,1.8353,1.8649
2004-08-25 19:00:00+02:00,1.8649,1.8649,1.8607,1.8607
2004-08-26 19:00:00+02:00,1.8607,1.8607,1.8576,1.8576
2004-08-27 19:00:00+02:00,1.8576,1.8576,1.83915,1.83915
2004-08-30 19:00:00+02:00,1.83975,1.8522,1.83975,1.8522
2004-08-31 19:00:00+02:00,1.8522,1.85885,1.8522,1.85885
2004-09-01 19:00:00+02:00,1.85885,1.8594,1.85885,1.8594
2004-09-02 19:00:00+02:00,1.8594,1.8768,1.8594,1.8768
2004-09-03 19:00:00+02:00,1.8768,1.8768,1.86675,1.86675
2004-09-06 19:00:00+02:00,1.86485,1.86485,1.8573,1.8573
2004-09-07 19:00:00+02:00,1.8573,1.8702,1.8573,1.8702
2004-09-08 19:00:00+02:00,1.8702,1.8753,1.8702,1.8753
2004-09-09 19:00:00+02:00,1.8753,1.8753,1.8715,1.8715
2004-09-10 19:00:00+02:00,1.8715,1.87275,1.8715,1.87275
2004-09-13 19:00:00+02:00,1.86965,1.86965,1.8659,1.8659
2004-09-14 19:00:00+02:00,1.8659,1.8659,1.8516,1.8516
2004-09-15 19:00:00+02:00,1.8516,1.8516,1.84935,1.84935
2004-09-16 19:00:00+02:00,1.84935,1.84935,1.8453,1.8453
2004-09-17 19:00:00+02:00,1.8453,1.8453,1.84495,1.84495
2004-09-20 19:00:00+02:00,1.84455,1.84455,1.8417,1.8417
2004-09-21 19:00:00+02:00,1.8417,1.8585,1.8417,1.8585
2004-09-22 19:00:00+02:00,1.8585,1.8585,1.8509,1.8509
2004-09-23 19:00:00+02:00,1.8509,1.8509,1.8422,1.8422
2004-09-24 19:00:00+02:00,1.8422,1.8422,1.83565,1.83565
2004-09-27 19:00:00+02:00,1.83755,1.8468,1.83755,1.8468
2004-09-28 19:00:00+02:00,1.8468,1.8468,1.8416,1.8416
2004-09-29 19:00:00+02:00,1.8416,1.8416,1.84085,1.84085
2004-09-30 19:00:00+02:00,1.84085,1.84085,1.83475,1.83475
2004-10-01 19:00:00+02:00,1.83475,1.83995,1.83475,1.83995
2004-10-04 19:00:00+02:00,1.84515,1.84515,1.8353,1.8353
2004-10-05 19:00:00+02:00,1.8353,1.8353,1.8263,1.8263
2004-10-06 19:00:00+02:00,1.8263,1.8263,1.8191,1.8191
2004-10-07 19:00:00+02:00,1.8191,1.8191,1.81485,1.81485
2004-10-08 19:00:00+02:00,1.81485,1.81485,1.81075,1.81075
2004-10-11 19:00:00+02:00,1.81575,1.81815,1.81575,1.81815
2004-10-12 19:00:00+02:00,1.81815,1.81815,1.81615,1.81615
2004-10-13 19:00:00+02:00,1.81615,1.8247,1.81615,1.8247
2004-10-14 19:00:00+02:00,1.8247,1.8247,1.82045,1.82045
2004-10-15 19:00:00+02:00,1.82045,1.82045,1.81335,1.81335
2004-10-18 19:00:00+02:00,1.81895,1.82415,1.81895,1.82415
2004-10-19 19:00:00+02:00,1.82415,1.82545,1.82415,1.82545
