time,open,high,low,close
2004-01-19 19:00:00+01:00,1.2382,1.2382,1.2352,1.2352
2004-01-20 19:00:00+01:00,1.2352,1.2578,1.2352,1.2578
2004-01-21 19:00:00+01:00,1.2578,1.2631,1.2578,1.2631
2004-01-22 19:00:00+01:00,1.2631,1.271,1.2631,1.271
2004-01-23 19:00:00+01:00,1.271,1.271,1.2588,1.2588
2004-01-26 19:00:00+01:00,1.2583,1.2583,1.2472,1.2472
2004-01-27 19:00:00+01:00,1.2472,1.2639,1.2472,1.2639
2004-01-28 19:00:00+01:00,1.2639,1.2639,1.24895,1.24895
2004-01-29 19:00:00+01:00,1.24895,1.24895,1.2414,1.2414
2004-01-30 19:00:00+01:00,1.2414,1.2475,1.2414,1.2475
2004-02-02 19:00:00+01:00,1.2479,1.2479,1.2427,1.2427
2004-02-03 19:00:00+01:00,1.2427,1.2533,1.2427,1.2533
2004-02-04 19:00:00+01:00,1.2533,1.2533,1.2531,1.2531
2004-02-05 19:00:00+01:00,1.2531,1.254,1.2531,1.254
2004-02-06 19:00:00+01:00,1.254,1.2702,1.254,1.2702
2004-02-09 19:00:00+01:00,1.26275,1.2684,1.26275,1.2684
2004-02-10 19:00:00+01:00,1.2684,1.2699,1.2684,1.2699
2004-02-11 19:00:00+01:00,1.2699,1.2826,1.2699,1.2826
2004-02-12 19:00:00+01:00,1.2826,1.2826,1.2804,1.2804
2004-02-13 19:00:00+01:00,1.2804,1.2804,1.2742,1.2742
2004-02-16 19:00:00+01:00,1.2751,1.2771,1.2751,1.2771
2004-02-17 19:00:00+01:00,1.2771,1.2837,1.2771,1.2837
2004-02-18 19:00:00+01:00,1.2837,1.2837,1.2663,1.2663
2004-02-19 19:00:00+01:00,1.2663,1.2708,1.2663,1.2708
2004-02-20 19:00:00+01:00,1.2708,1.2708,1.2527,1.2527
2004-02-23 19:00:00+01:00,1.2507,1.2555,1.2507,1.2555
2004-02-24 19:00:00+01:00,1.2555,1.2685,1.2555,1.2685
2004-02-25 19:00:00+01:00,1.2685,1.2685,1.2494,1.2494
2004-02-26 19:00:00+01:00,1.2494,1.2494,1.2433,1.2433
2004-02-27 19:00:00+01:00,1.2433,1.2494,1.2433,1.2494
2004-03-01 19:00:00+01:00,1.2485,1.2485,1.2444,1.2444
2004-03-02 19:00:00+01:00,1.2444,1.2444,1.2217,1.2217
2004-03-03 19:00:00+01:00,1.2217,1.2217,1.2198,1.2198
2004-03-04 19:00:00+01:00,1.2198,1.2198,1.2192,1.2192
2004-03-05 19:00:00+01:00,1.2192,1.2375,1.2192,1.2375
2004-03-08 19:00:00+01:00,1.2384,1.2408,1.2384,1.2408
2004-03-09 19:00:00+01:00,1.2408,1.2408,1.23135,1.23135
2004-03-10 19:00:00+01:00,1.23135,1.23135,1.2243,1.2243
2004-03-11 19:00:00+01:00,1.2243,1.2337,1.2243,1.2337
2004-03-12 19:00:00+01:00,1.2337,1.2337,1.2222,1.2222
2004-03-15 19:00:00+01:00,1.2236,1.22705,1.2236,1.22705
2004-03-16 19:00:00+01:00,1.22705,1.22705,1.2264,1.2264
2004-03-17 19:00:00+01:00,1.2264,1.2264,1.2236,1.2236
2004-03-18 19:00:00+01:00,1.2236,1.239,1.2236,1.239
2004-03-19 19:00:00+01:00,1.239,1.239,1.2276,1.2276
2004-03-22 19:00:00+01:00,1.2282,1.2333,1.2282,1.2333
2004-03-23 19:00:00+01:00,1.2333,1.2333,1.2328,1.2328
2004-03-24 19:00:00+01:00,1.2328,1.2328,1.2127,1.2127
2004-03-25 19:00:00+01:00,1.2127,1.2136,1.2127,1.2136
