time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,2.5614,2.67235,2.5614,2.6453,NaN,NaN
2004-06-07,2.6423,2.65195,2.6036,2.62895,NaN,NaN
2004-06-14,2.62375,2.6897,2.62375,2.66885,NaN,NaN
2004-06-21,2.66695,2.66695,2.607,2.607,NaN,NaN
2004-06-28,2.6081,2.6185,2.5662,2.5662,NaN,NaN
2004-07-05,2.5681,2.5825,2.56615,2.5749,NaN,NaN
2004-07-12,2.5718,2.5718,2.5582,2.5582,NaN,NaN
2004-07-19,2.5574,2.5818,2.5466,2.5818,NaN,NaN
2004-07-26,2.5842,2.60755,2.5842,2.5891,NaN,NaN
2004-08-02,2.5894,2.5976,2.5798,2.5798,NaN,NaN
2004-08-09,2.5806,2.5806,2.54965,2.5709,NaN,NaN
2004-08-16,2.5747,2.5747,2.5142,2.5142,NaN,NaN
2004-08-23,2.5153,2.5534,2.5153,2.5485,NaN,NaN
2004-08-30,2.5537,2.56995,2.5488,2.56995,NaN,NaN
2004-09-06,2.56795,2.59445,2.5528,2.5838,NaN,NaN
2004-09-13,2.5815,2.5815,2.5549,2.5691,NaN,NaN
2004-09-20,2.5666,2.5666,2.5177,2.5274,NaN,NaN
2004-09-27,2.5266,2.5349,2.4773,2.4773,NaN,NaN
2004-10-04,2.4845,2.4845,2.4418,2.4418,NaN,NaN
2004-10-11,2.4372,2.4712,2.4372,2.467,NaN,NaN
2004-10-18,2.4684,2.481,2.4684,2.4696,NaN,NaN
2004-10-25,2.4647,2.46565,2.45065,2.4548,NaN,NaN
2004-11-01,2.4559,2.46165,2.4335,2.4335,NaN,NaN
2004-11-08,2.4289,2.45065,2.40905,2.4128,NaN,NaN
2004-11-15,2.4126,2.4126,2.3706,2.3706,NaN,NaN
2004-11-22,2.3702,2.3962,2.3702,2.3962,NaN,NaN
2004-11-29,2.3952,2.48675,2.3952,2.4862,NaN,NaN
2004-12-06,2.486,2.55445,2.486,2.5495,NaN,NaN
2004-12-13,2.5516,2.5516,2.53715,2.5407,NaN,NaN
2004-12-20,2.5468,2.5468,2.5025,2.5025,NaN,NaN
2004-12-27,2.4987,2.4987,2.452,2.452,NaN,NaN
2005-01-03,2.4589,2.47645,2.43865,2.4701,NaN,NaN
2005-01-10,2.47,2.48185,2.45085,2.4652,NaN,NaN
2005-01-17,2.4619,2.48305,2.42975,2.4398,NaN,NaN
2005-01-24,2.4426,2.44735,2.42155,2.4361,NaN,NaN
2005-01-31,2.4389,2.45075,2.42125,2.435,NaN,NaN
2005-02-07,2.4374,2.4437,2.37255,2.3774,NaN,NaN
2005-02-14,2.3787,2.42285,2.372,2.4024,1,NaN
2005-02-21,2.3998,2.44405,2.3979,2.4409,1,NaN
2005-02-28,2.4375,2.45865,2.42195,2.4315,1,NaN
2005-03-07,2.436,2.44475,2.41145,2.4282,1,NaN
2005-03-14,2.4288,2.44015,2.4134,2.4175,1,NaN
2005-03-21,2.4188,2.428,2.39685,2.4244,1,NaN
2005-03-28,2.4244,2.44925,2.4145,2.4406,1,NaN
2005-04-04,2.4417,2.46425,2.43155,2.4434,1,NaN
2005-04-11,2.443,2.4645,2.42645,2.4632,NaN,NaN
2005-04-18,2.4626,2.49845,2.4458,2.4503,NaN,NaN
2005-04-25,2.4502,2.45885,2.43885,2.4431,NaN,NaN
2005-05-02,2.4441,2.45075,2.42645,2.4389,NaN,NaN
2005-05-09,2.4406,2.4449,2.41345,2.4305,NaN,NaN
2005-05-16,2.43,2.44745,2.41445,2.4165,NaN,NaN
2005-05-23,2.4193,2.41975,2.38795,2.3906,NaN,NaN
2005-05-30,2.3953,2.42495,2.38995,2.4,NaN,NaN
2005-06-06,2.3992,2.40095,2.36825,2.3808,NaN,NaN
2005-06-13,2.377,2.38155,2.34475,2.3536,NaN,NaN
2005-06-20,2.3497,2.3763,2.33635,2.3713,NaN,NaN
2005-06-27,2.3715,2.38415,2.33605,2.3508,1,NaN
2005-07-04,2.3465,2.37985,2.33705,2.3428,1,NaN
2005-07-11,2.3407,2.35485,2.33325,2.3376,1,NaN
2005-07-18,2.3403,2.34205,2.26655,2.2783,1,NaN
2005-07-25,2.2809,2.32405,2.27505,2.3233,1,NaN
2005-08-01,2.3231,2.32745,2.29835,2.3157,1,NaN
2005-08-08,2.3159,2.35325,2.3084,2.3514,1,NaN
2005-08-15,2.351,2.39405,2.34285,2.3886,1,NaN
2005-08-22,2.3898,2.39175,2.36745,2.3812,NaN,NaN
2005-08-29,2.3841,2.41175,2.38175,2.4073,NaN,NaN
2005-09-05,2.4071,2.4096,2.3721,2.373,NaN,NaN
2005-09-12,2.374,2.38,2.3457,2.355,NaN,NaN
2005-09-19,2.3554,2.36305,2.33825,2.3451,NaN,NaN
2005-09-26,2.33965,2.35375,2.30995,2.3154,NaN,NaN
2005-10-03,2.3121,2.34855,2.29585,2.3269,NaN,NaN
2005-10-10,2.3274,2.35525,2.30625,2.3509,1,NaN
2005-10-17,2.3467,2.37175,2.33245,2.3616,1,NaN
2005-10-24,2.3608,2.37415,2.34745,2.3675,1,NaN
2005-10-31,2.3668,2.39945,2.36275,2.3865,1,NaN
2005-11-07,2.3888,2.39285,2.36265,2.3773,1,NaN
2005-11-14,2.3786,2.39085,2.33835,2.3429,1,NaN
2005-11-21,2.3446,2.34495,2.32605,2.3303,1,NaN
2005-11-28,2.3319,2.34595,2.314,2.3166,1,NaN
2005-12-05,2.3183,2.34075,2.30115,2.3379,NaN,NaN
2005-12-12,2.3377,2.3882,2.3328,2.3836,NaN,NaN
2005-12-19,2.3767,2.399,2.3676,2.3791,NaN,NaN
2005-12-26,2.3792,2.38985,2.33935,2.3511,NaN,NaN
2006-01-02,2.3489,2.36615,2.34135,2.348,NaN,NaN
2006-01-09,2.3487,2.35935,2.33055,2.352,NaN,NaN
2006-01-16,2.3548,2.36985,2.3331,2.3674,NaN,NaN
2006-01-23,2.3643,2.38425,2.35065,2.3581,NaN,NaN
2006-01-30,2.3586,2.36595,2.34315,2.3531,NaN,NaN
2006-02-06,2.3508,2.36915,2.34505,2.3646,NaN,NaN
2006-02-13,2.3648,2.3673,2.33635,2.3564,NaN,NaN
2006-02-20,2.3557,2.37445,2.35025,2.361,NaN,NaN
2006-02-27,2.361,2.36475,2.33585,2.3551,NaN,NaN
2006-03-06,2.3578,2.37305,2.3512,2.3585,NaN,NaN
2006-03-13,2.3566,2.41855,2.35165,2.4154,NaN,NaN
2006-03-20,2.4116,2.46175,2.4115,2.458,NaN,NaN
2006-03-27,2.4586,2.48485,2.42275,2.4248,NaN,-1
2006-04-03,2.4248,2.4444,2.385,2.3993,NaN,-1
2006-04-10,2.4015,2.41575,2.37575,2.4056,NaN,-1
2006-04-17,2.409,2.41795,2.38735,2.3954,NaN,-1
2006-04-24,2.3931,2.40545,2.36705,2.4036,NaN,-1
2006-05-01,2.4032,2.42065,2.38275,2.4066,NaN,-1
2006-05-08,2.4084,2.45475,2.3974,2.4518,NaN,-1
2006-05-15,2.4469,2.48795,2.4465,2.4792,NaN,-1
2006-05-22,2.4805,2.51355,2.44605,2.4546,NaN,NaN
2006-05-29,2.4574,2.51545,2.44695,2.5023,NaN,NaN
2006-06-05,2.5061,2.51735,2.4556,2.4602,NaN,NaN
2006-06-12,2.4612,2.50935,2.456,2.5077,NaN,NaN
2006-06-19,2.5069,2.5127,2.48025,2.4837,NaN,NaN
2006-06-26,2.4878,2.50015,2.46295,2.4879,NaN,NaN
2006-07-03,2.4847,2.4896,2.4541,2.4628,NaN,NaN
2006-07-10,2.462,2.4681,2.4274,2.4407,NaN,NaN
2006-07-17,2.4411,2.47365,2.42445,2.4705,NaN,NaN
2006-07-24,2.47025,2.47355,2.4249,2.428,NaN,NaN
2006-07-31,2.4282,2.49775,2.4275,2.4927,NaN,NaN
2006-08-07,2.4903,2.51505,2.45855,2.4665,NaN,NaN
2006-08-14,2.4709,2.49165,2.4628,2.4775,NaN,NaN
2006-08-21,2.4782,2.4995,2.46645,2.4921,NaN,NaN
2006-08-28,2.4943,2.5038,2.4823,2.4841,NaN,NaN
2006-09-04,2.4852,2.4862,2.44935,2.4738,NaN,NaN
2006-09-11,2.4758,2.50745,2.4733,2.4985,NaN,NaN
2006-09-18,2.4976,2.5355,2.48735,2.5316,NaN,NaN
2006-09-25,2.5331,2.53765,2.49725,2.5091,NaN,NaN
2006-10-02,2.5178,2.54215,2.50795,2.519,NaN,NaN
2006-10-09,2.5191,2.52215,2.4696,2.4712,NaN,NaN
2006-10-16,2.4716,2.48755,2.4657,2.4827,NaN,NaN
2006-10-23,2.4825,2.4831,2.45985,2.4698,NaN,NaN
2006-10-30,2.467,2.4773,2.45935,2.4697,NaN,NaN
2006-11-06,2.4707,2.4966,2.4576,2.4894,NaN,NaN
2006-11-13,2.4893,2.4992,2.4552,2.4636,NaN,NaN
2006-11-20,2.4641,2.4875,2.4597,2.4807,NaN,NaN
2006-11-27,2.489,2.5137,2.47835,2.511,NaN,NaN
2006-12-04,2.5022,2.5196,2.47925,2.4883,NaN,NaN
2006-12-11,2.4866,2.5131,2.486,2.4974,NaN,NaN
2006-12-18,2.4987,2.521,2.4913,2.4982,NaN,NaN
2006-12-25,2.5165,2.5165,2.4766,2.4831,NaN,NaN
2007-01-01,2.4831,2.4871,2.45745,2.4774,NaN,NaN
2007-01-08,2.4776,2.5085,2.46945,2.4995,NaN,NaN
2007-01-15,2.4985,2.5147,2.49255,2.4994,NaN,NaN
2007-01-22,2.50055,2.54355,2.49665,2.5319,NaN,NaN
2007-01-29,2.5334,2.5499,2.5245,2.5368,NaN,NaN
2007-02-05,2.5389,2.5444,2.4978,2.5116,NaN,NaN
2007-02-12,2.5109,2.52685,2.4772,2.4776,NaN,NaN
2007-02-19,2.48075,2.4916,2.4665,2.4799,NaN,NaN
2007-02-26,2.4822,2.5021,2.4701,2.4842,NaN,NaN
2007-03-05,2.4883,2.49885,2.4709,2.4767,NaN,NaN
2007-03-12,2.4783,2.4812,2.4376,2.4399,NaN,NaN
2007-03-19,2.4434,2.4536,2.42055,2.4369,NaN,NaN
2007-03-26,2.4344,2.4443,2.4193,2.43397,NaN,NaN
2007-04-02,2.43087,2.44678,2.40117,2.40787,NaN,NaN
2007-04-09,2.40758,2.41089,2.37791,2.38338,NaN,NaN
2007-04-16,2.38238,2.41577,2.37817,2.39046,NaN,NaN
2007-04-23,2.39392,2.42568,2.39295,2.40692,NaN,NaN
2007-04-30,2.40916,2.43399,2.40125,2.42533,NaN,NaN
2007-05-07,2.42754,2.42959,2.37956,2.38305,NaN,NaN
2007-05-14,2.3838,2.40673,2.37326,2.39989,NaN,NaN
2007-05-21,2.39518,2.42894,2.39353,2.42528,NaN,NaN
2007-05-28,2.42365,2.42924,2.37914,2.37973,NaN,NaN
2007-06-04,2.37984,2.39153,2.32927,2.33168,NaN,NaN
2007-06-11,2.33359,2.36051,2.32956,2.34661,NaN,NaN
2007-06-18,2.35284,2.36436,2.34451,2.36007,1,NaN
2007-06-25,2.35769,2.39162,2.35001,2.36506,1,NaN
2007-07-02,2.36598,2.36618,2.34183,2.3434,1,NaN
2007-07-09,2.34509,2.36307,2.33341,2.3351,1,NaN
2007-07-16,2.335,2.34778,2.32465,2.33586,1,NaN
2007-07-23,2.33712,2.38171,2.31062,2.3762,1,NaN
2007-07-30,2.37845,2.39503,2.35583,2.38765,1,NaN
2007-08-06,2.39062,2.40279,2.35096,2.39574,1,NaN
2007-08-13,2.39133,2.56532,2.38018,2.48389,NaN,NaN
2007-08-20,2.48673,2.50596,2.43236,2.43496,NaN,NaN
2007-08-27,2.43028,2.48593,2.42107,2.46417,NaN,NaN
2007-09-03,2.47225,2.4724,2.4319,2.45427,NaN,NaN
2007-09-10,2.45443,2.48192,2.37964,2.38403,NaN,NaN
2007-09-17,2.38126,2.40243,2.3111,2.3311,NaN,NaN
2007-09-24,2.33217,2.34283,2.2886,2.30579,NaN,NaN
2007-10-01,2.3033,2.31683,2.26773,2.27513,1,NaN
2007-10-08,2.26987,2.28316,2.24418,2.25094,1,NaN
2007-10-15,2.24918,2.3052,2.24323,2.30451,1,NaN
2007-10-22,2.3044,2.32034,2.23421,2.23446,1,NaN
2007-10-29,2.23524,2.28268,2.2188,2.26312,1,NaN
2007-11-05,2.26813,2.30313,2.23134,2.29288,1,NaN
2007-11-12,2.30301,2.35188,2.27926,2.30108,1,NaN
2007-11-19,2.29206,2.38351,2.28345,2.35002,1,NaN
2007-11-26,2.33977,2.38911,2.31807,2.32493,NaN,NaN
2007-12-03,2.32694,2.36868,2.3014,2.31776,NaN,NaN
2007-12-10,2.32268,2.3508,2.2911,2.34444,NaN,NaN
2007-12-17,2.33554,2.36101,2.28091,2.28693,NaN,NaN
2007-12-24,2.28497,2.28951,2.26593,2.27916,NaN,NaN
2007-12-31,2.27445,2.28823,2.23044,2.26343,NaN,NaN
2008-01-07,2.26464,2.27427,2.17462,2.1962,NaN,NaN
2008-01-14,2.20224,2.26387,2.16971,2.22421,1,NaN
2008-01-21,2.22709,2.28098,2.21845,2.25472,1,NaN
2008-01-28,2.25927,2.25931,2.17269,2.17324,1,NaN
2008-02-04,2.17609,2.20053,2.16331,2.17286,1,NaN
2008-02-11,2.17206,2.19892,2.14783,2.15744,1,NaN
2008-02-18,2.1551,2.15771,2.11115,2.12907,1,NaN
2008-02-25,2.13156,2.1379,2.09526,2.13688,1,NaN
2008-03-03,2.13135,2.17538,2.10668,2.17253,1,NaN
2008-03-10,2.17402,2.20127,2.14543,2.15467,NaN,NaN
2008-03-17,2.15134,2.21379,2.13323,2.19648,NaN,NaN
2008-03-24,2.19846,2.20275,2.15824,2.17432,NaN,NaN
2008-03-31,2.17833,2.19079,2.15735,2.16003,NaN,NaN
2008-04-07,2.16408,2.16813,2.11034,2.12215,NaN,NaN
2008-04-14,2.11997,2.15393,2.09613,2.13765,1,NaN
