time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,2.49475,2.517,2.48655,2.48655,NaN,NaN
2004-06-07,2.48815,2.5072,2.47755,2.48075,NaN,NaN
2004-06-14,2.47835,2.5153,2.47835,2.50545,NaN,NaN
2004-06-21,2.50635,2.50635,2.4547,2.46545,NaN,NaN
2004-06-28,2.46565,2.4682,2.42385,2.42385,NaN,NaN
2004-07-05,2.42455,2.45075,2.42455,2.45075,NaN,NaN
2004-07-12,2.45095,2.45635,2.4485,2.45635,NaN,NaN
2004-07-19,2.45215,2.45215,2.41955,2.41955,NaN,NaN
2004-07-26,2.42195,2.4537,2.4066,2.42245,NaN,NaN
2004-08-02,2.42145,2.43455,2.402,2.41675,NaN,NaN
2004-08-09,2.41735,2.4262,2.41325,2.41345,NaN,NaN
2004-08-16,2.41345,2.41345,2.36255,2.36255,NaN,NaN
2004-08-23,2.36355,2.364,2.342,2.35135,NaN,NaN
2004-08-30,2.35185,2.3663,2.31015,2.31015,NaN,NaN
2004-09-06,2.30965,2.32015,2.2823,2.32015,NaN,NaN
2004-09-13,2.32095,2.3382,2.3035,2.32665,NaN,NaN
2004-09-20,2.32545,2.32545,2.2989,2.30075,NaN,NaN
2004-09-27,2.30305,2.3055,2.26845,2.26845,NaN,NaN
2004-10-04,2.27045,2.27045,2.2401,2.24615,NaN,NaN
2004-10-11,2.24595,2.26055,2.24595,2.26055,NaN,NaN
2004-10-18,2.26105,2.2726,2.25555,2.25555,NaN,NaN
2004-10-25,2.25415,2.25415,2.23715,2.23715,NaN,NaN
2004-11-01,2.23945,2.2521,2.22295,2.22295,NaN,NaN
2004-11-08,2.21545,2.2288,2.2031,2.21495,NaN,NaN
2004-11-15,2.21495,2.2328,2.21495,2.21615,NaN,NaN
2004-11-22,2.21815,2.22795,2.2062,2.22795,NaN,NaN
2004-11-29,2.22945,2.31615,2.22945,2.31615,NaN,NaN
2004-12-06,2.31525,2.3518,2.31525,2.34665,NaN,NaN
