time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,2.33145,2.34295,2.3291,2.3291,NaN,NaN
2002-05-13,2.3291,2.34135,2.3044,2.3044,NaN,NaN
2002-05-20,2.3056,2.3056,2.2894,2.2965,NaN,NaN
2002-05-27,2.3061,2.3061,2.2841,2.2841,NaN,NaN
2002-06-03,2.2858,2.2858,2.2725,2.2745,NaN,NaN
2002-06-10,2.2744,2.3053,2.2744,2.3053,NaN,NaN
2002-06-17,2.3068,2.3125,2.2618,2.2618,NaN,NaN
2002-06-24,2.2621,2.2831,2.2611,2.2704,NaN,NaN
2002-07-01,2.271,2.2951,2.271,2.2951,NaN,NaN
2002-07-08,2.2923,2.3053,2.2922,2.3029,NaN,NaN
2002-07-15,2.3056,2.3056,2.2755,2.2755,NaN,NaN
2002-07-22,2.2745,2.2965,2.2745,2.2936,NaN,NaN
2002-07-29,2.2939,2.3326,2.2939,2.308,NaN,NaN
2002-08-05,2.3074,2.3206,2.2913,2.2913,NaN,NaN
2002-08-12,2.2909,2.29335,2.2841,2.2913,NaN,NaN
2002-08-19,2.2931,2.31205,2.29275,2.3005,NaN,NaN
2002-08-26,2.2989,2.322,2.29005,2.322,NaN,NaN
2002-09-02,2.3227,2.3227,2.3012,2.30535,NaN,NaN
2002-09-09,2.3135,2.3439,2.3135,2.3439,NaN,NaN
2002-09-16,2.3443,2.3443,2.30615,2.3184,NaN,NaN
2002-09-23,2.3192,2.34095,2.3192,2.3324,NaN,NaN
2002-09-30,2.3312,2.3374,2.31405,2.3374,NaN,NaN
2002-10-07,2.3344,2.3344,2.31405,2.3153,NaN,NaN
2002-10-14,2.3143,2.34445,2.30745,2.3375,NaN,NaN
2002-10-21,2.3376,2.3376,2.32215,2.3309,NaN,NaN
2002-10-28,2.3254,2.3254,2.2936,2.2936,NaN,NaN
2002-11-04,2.2963,2.2963,2.28195,2.2956,NaN,NaN
2002-11-11,2.2963,2.3094,2.2947,2.2947,NaN,NaN
2002-11-18,2.2942,2.3334,2.2942,2.3334,NaN,NaN
2002-11-25,2.3331,2.3331,2.302,2.3085,NaN,NaN
2002-12-02,2.3097,2.31815,2.2965,2.2965,NaN,NaN
2002-12-09,2.2981,2.30485,2.29385,2.2955,NaN,NaN
2002-12-16,2.2928,2.29655,2.27875,2.2828,NaN,NaN
2002-12-23,2.2809,2.2809,2.2298,2.2298,NaN,NaN
2002-12-30,2.2317,2.2513,2.2281,2.2513,NaN,NaN
2003-01-06,2.2497,2.2497,2.2193,2.2193,NaN,NaN
2003-01-13,2.2171,2.2254,2.2079,2.2079,NaN,NaN
2003-01-20,2.21,2.2118,2.1994,2.2106,NaN,NaN
2003-01-27,2.2098,2.2465,2.2098,2.2465,NaN,NaN
2003-02-03,2.2428,2.2428,2.2103,2.2103,NaN,NaN
2003-02-10,2.2137,2.2219,2.1942,2.1991,NaN,NaN
2003-02-17,2.2009,2.2009,2.1564,2.1564,NaN,NaN
2003-02-24,2.158,2.158,2.129,2.129,NaN,NaN
2003-03-03,2.1324,2.1407,2.1118,2.1407,1,NaN
2003-03-10,2.1415,2.1751,2.1228,2.1636,1,NaN
2003-03-17,2.1612,2.1922,2.1612,2.1922,1,NaN
2003-03-24,2.18,2.18,2.1571,2.1571,1,NaN
2003-03-31,2.1535,2.16785,2.1363,2.1625,1,NaN
2003-04-07,2.1674,2.1874,2.15645,2.1874,1,NaN
2003-04-14,2.1883,2.1883,2.1665,2.1708,1,NaN
2003-04-21,2.1689,2.1805,2.1633,2.1674,1,NaN
2003-04-28,2.1671,2.1782,2.1565,2.1565,NaN,NaN
2003-05-05,2.1565,2.1565,2.1036,2.1087,NaN,NaN
2003-05-12,2.1069,2.1489,2.1069,2.1191,NaN,NaN
2003-05-19,2.1109,2.1272,2.107,2.107,NaN,NaN
2003-05-26,2.1081,2.1258,2.1078,2.1234,NaN,NaN
2003-06-02,2.1238,2.1924,2.1238,2.1924,NaN,NaN
2003-06-09,2.1883,2.1883,2.1655,2.1709,NaN,NaN
2003-06-16,2.1704,2.2195,2.1704,2.2089,NaN,NaN
2003-06-23,2.2118,2.2445,2.2084,2.2275,NaN,NaN
2003-06-30,2.2267,2.2506,2.2267,2.2478,NaN,NaN
2003-07-07,2.2478,2.2649,2.2247,2.2441,NaN,NaN
2003-07-14,2.2424,2.2424,2.1666,2.1666,NaN,NaN
2003-07-21,2.152,2.1796,2.152,2.1796,NaN,NaN
2003-07-28,2.1808,2.208,2.1808,2.1989,NaN,NaN
2003-08-04,2.1966,2.1966,2.1701,2.1795,NaN,NaN
2003-08-11,2.182,2.1968,2.182,2.1883,NaN,NaN
2003-08-18,2.1899,2.2323,2.1899,2.2323,NaN,NaN
2003-08-25,2.2349,2.2349,2.2091,2.2091,NaN,NaN
2003-09-01,2.2105,2.2239,2.1954,2.1954,NaN,NaN
2003-09-08,2.1993,2.2099,2.1927,2.2099,NaN,NaN
2003-09-15,2.216,2.2398,2.206,2.2388,NaN,NaN
2003-09-22,2.2404,2.2439,2.2294,2.2316,NaN,NaN
2003-09-29,2.2304,2.2304,2.1922,2.2245,NaN,NaN
2003-10-06,2.221,2.221,2.1823,2.1848,NaN,NaN
2003-10-13,2.1836,2.2345,2.1836,2.2294,NaN,NaN
2003-10-20,2.2246,2.2286,2.2217,2.2259,NaN,NaN
2003-10-27,2.2269,2.2717,2.2269,2.2717,NaN,NaN
2003-11-03,2.2716,2.2971,2.2716,2.2802,NaN,NaN
2003-11-10,2.2846,2.2878,2.2389,2.2389,NaN,NaN
2003-11-17,2.2394,2.2407,2.2036,2.211,NaN,NaN
2003-11-24,2.2125,2.2401,2.2125,2.2229,NaN,NaN
2003-12-01,2.2248,2.2306,2.2043,2.2043,NaN,NaN
2003-12-08,2.2057,2.2149,2.1953,2.2034,NaN,NaN
2003-12-15,2.22145,2.22145,2.2018,2.2177,NaN,NaN
2003-12-22,2.2136,2.2211,2.2136,2.2211,NaN,NaN
2003-12-29,2.2178,2.2205,2.2085,2.2205,NaN,NaN
2004-01-05,2.2207,2.2557,2.2207,2.2557,NaN,NaN
2004-01-12,2.2541,2.2774,2.2541,2.2774,NaN,NaN
2004-01-19,2.2783,2.2783,2.2643,2.2695,NaN,NaN
2004-01-26,2.2664,2.2943,2.2664,2.2943,NaN,NaN
2004-02-02,2.2918,2.2982,2.2791,2.2791,NaN,NaN
2004-02-09,2.2894,2.3345,2.2894,2.3345,NaN,NaN
2004-02-16,2.3313,2.3465,2.3313,2.3442,NaN,NaN
2004-02-23,2.346,2.3606,2.346,2.3566,NaN,NaN
2004-03-01,2.3586,2.3827,2.3555,2.3555,NaN,NaN
