time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-04-29,2.33145,2.34295,2.3291,2.3291,,
2002-05-13,2.3291,2.34135,2.2894,2.2965,,
2002-05-27,2.3061,2.3061,2.2725,2.2745,,
2002-06-10,2.2744,2.3125,2.2618,2.2618,,
2002-06-24,2.2621,2.2951,2.2611,2.2951,,
2002-07-08,2.2923,2.3056,2.2755,2.2755,,
2002-07-22,2.2745,2.3326,2.2745,2.308,,
2002-08-05,2.3074,2.3206,2.2841,2.2913,,
2002-08-19,2.2931,2.322,2.29005,2.322,,
2002-09-02,2.3227,2.3439,2.3012,2.3439,,
2002-09-16,2.3443,2.3443,2.30615,2.3324,,
2002-09-30,2.3312,2.3374,2.31405,2.3153,,
2002-10-14,2.3143,2.34445,2.30745,2.3309,,
2002-10-28,2.3254,2.3254,2.28195,2.2956,,
2002-11-11,2.2963,2.3334,2.2942,2.3334,,
2002-11-25,2.3331,2.3331,2.2965,2.2965,,
2002-12-09,2.2981,2.30485,2.27875,2.2828,,
2002-12-23,2.2809,2.2809,2.2281,2.2513,,
2003-01-06,2.2497,2.2497,2.2079,2.2079,,
2003-01-20,2.21,2.2465,2.1994,2.2465,,
2003-02-03,2.2428,2.2428,2.1942,2.1991,,
2003-02-17,2.2009,2.2009,2.129,2.129,,
2003-03-03,2.1324,2.1751,2.1118,2.1636,,
2003-03-17,2.1612,2.1922,2.1571,2.1571,,
2003-03-31,2.1535,2.1874,2.1363,2.1874,,
2003-04-14,2.1883,2.1883,2.1633,2.1674,,-1
2003-04-28,2.1671,2.1782,2.1036,2.1087,,-1
2003-05-12,2.1069,2.1489,2.1069,2.107,,-1
2003-05-26,2.1081,2.1924,2.1078,2.1924,,-1
2003-06-09,2.1883,2.2195,2.1655,2.2089,,-1
2003-06-23,2.2118,2.2506,2.2084,2.2478,,-1
2003-07-07,2.2478,2.2649,2.1666,2.1666,,-1
2003-07-21,2.152,2.208,2.152,2.1989,,-1
2003-08-04,2.1966,2.1968,2.1701,2.1883,,
2003-08-18,2.1899,2.2349,2.1899,2.2091,,
2003-09-01,2.2105,2.2239,2.1927,2.2099,,
2003-09-15,2.216,2.2439,2.206,2.2316,,
2003-09-29,2.2304,2.2304,2.1823,2.1848,,
2003-10-13,2.1836,2.2345,2.1836,2.2259,,
2003-10-27,2.2269,2.2971,2.2269,2.2802,,
2003-11-10,2.2846,2.2878,2.2036,2.211,,-1
2003-11-24,2.2125,2.2401,2.2043,2.2043,,-1
2003-12-08,2.2057,2.22145,2.1953,2.2177,,-1
2003-12-22,2.2136,2.2211,2.2085,2.2205,,-1
2004-01-05,2.2207,2.2774,2.2207,2.2774,,-1
2004-01-19,2.2783,2.2943,2.2643,2.2943,,-1
2004-02-02,2.2918,2.3345,2.2791,2.3345,,-1
2004-02-16,2.3313,2.3606,2.3313,2.3566,,-1
2004-03-01,2.3586,2.3827,2.301,2.3136,,
2004-03-15,2.3066,2.3317,2.3026,2.3317,,
2004-03-29,2.33,2.3774,2.33,2.3517,,
2004-04-12,2.3509,2.36415,2.3212,2.3288,,
2004-04-26,2.3359,2.3359,2.28505,2.3262,,
2004-05-10,2.3259,2.3259,2.25685,2.2931,,
2004-05-24,2.2922,2.30755,2.2812,2.2812,,
2004-06-07,2.28,2.3145,2.27265,2.2882,1,
2004-06-21,2.2872,2.2883,2.2577,2.2577,1,
2004-07-05,2.2554,2.295405,2.2554,2.2949,1,
2004-07-19,2.295,2.3322,2.293,2.3322,1,
2004-08-02,2.324,2.337505,2.2826,2.2826,1,
2004-08-16,2.2826,2.2961,2.269705,2.2958,1,
2004-08-30,2.2964,2.2982,2.2467,2.2607,1,
2004-09-13,2.2615,2.2776,2.252105,2.2776,1,
2004-09-27,2.2764,2.282605,2.2448,2.2448,,
2004-10-11,2.2425,2.2499,2.21445,2.225205,,
2004-10-25,2.2099,2.21565,2.1857,2.1857,,
2004-11-08,2.1826,2.19835,2.1577,2.1577,,
2004-11-22,2.1565,2.215655,2.155105,2.1975,,
2004-12-06,2.2002,2.2473,2.2002,2.2473,,
2004-12-20,2.2455,2.2455,2.1742,2.1861,,
2005-01-03,2.18895,2.2234,2.176155,2.2069,,
2005-01-17,2.2073,2.24235,2.19385,2.2402,,
2005-01-31,2.2413,2.27717,2.23375,2.2623,,-1
2005-02-14,2.2607,2.26625,2.20848,2.23021,,-1
2005-02-28,2.22841,2.2573,2.2134,2.21515,,-1
2005-03-14,2.215,2.24753,2.2127,2.24435,,-1
2005-03-28,2.2433,2.27623,2.2396,2.2577,,-1
2005-04-11,2.2567,2.28867,2.24935,2.2611,,-1
2005-04-25,2.2619,2.28525,2.2588,2.282,,-1
2005-05-09,2.2818,2.2832,2.2351,2.2544,,-1
2005-05-23,2.2545,2.2804,2.24255,2.274,,
2005-06-06,2.2725,2.32255,2.2677,2.3028,,
2005-06-20,2.3065,2.331155,2.28235,2.2915,,-1
2005-07-04,2.29165,2.296255,2.24315,2.2702,,-1
2005-07-18,2.27115,2.2755,2.2346,2.2665,,-1
2005-08-01,2.2643,2.26885,2.236005,2.2638,,-1
2005-08-15,2.2617,2.29305,2.2602,2.266,,-1
2005-08-29,2.2666,2.29115,2.25275,2.2868,,-1
2005-09-12,2.2889,2.30813,2.2835,2.29455,,-1
2005-09-26,2.28935,2.29845,2.2495,2.2506,,-1
2005-10-10,2.2528,2.29285,2.24515,2.2853,,
2005-10-24,2.2846,2.29035,2.26458,2.2877,,
2005-11-07,2.2881,2.29442,2.257,2.2574,,
2005-11-21,2.2578,2.28715,2.25195,2.2816,,
2005-12-05,2.2838,2.2942,2.2643,2.287,,
2005-12-19,2.2798,2.302125,2.25665,2.2638,,
2006-01-02,2.2622,2.2754,2.23701,2.2691,,
2006-01-16,2.2664,2.2719,2.245005,2.2708,,
2006-01-30,2.2687,2.29295,2.2575,2.2795,,
2006-02-13,2.2803,2.2998,2.2674,2.2993,,
2006-02-27,2.2976,2.30555,2.2696,2.2744,,
2006-03-13,2.2726,2.28931,2.26169,2.284,,
2006-03-27,2.28355,2.289805,2.24585,2.2671,,
2006-04-10,2.2676,2.27869,2.2587,2.2733,,
2006-04-24,2.2725,2.28418,2.25595,2.2798,,
2006-05-08,2.2804,2.292165,2.2648,2.28677,,
2006-05-22,2.28441,2.28631,2.267825,2.2738,,
2006-06-05,2.27248,2.28294,2.258485,2.27916,,
2006-06-19,2.27874,2.28845,2.2561,2.26034,,
2006-07-03,2.26205,2.27212,2.252055,2.26933,,
2006-07-17,2.26773,2.31204,2.26588,2.29694,,
2006-07-31,2.29432,2.35041,2.29332,2.34908,,
2006-08-14,2.34713,2.34998,2.31208,2.33927,,
2006-08-28,2.33905,2.34965,2.32338,2.32722,,
2006-09-11,2.32745,2.37772,2.31567,2.34863,,
2006-09-25,2.34745,2.36608,2.3357,2.35741,,
2006-10-09,2.35705,2.3785,2.34946,2.37107,,-1
2006-10-23,2.3688,2.38723,2.366905,2.38355,,-1
2006-11-06,2.38475,2.38599,2.35217,2.35696,,-1
2006-11-20,2.3574,2.366715,2.33335,2.36345,,-1
2006-12-04,2.35855,2.38707,2.34138,2.38455,,-1
2006-12-18,2.38574,2.40171,2.37913,2.3881,,-1
2007-01-01,2.3881,2.445545,2.38223,2.44345,,-1
2007-01-15,2.44446,2.47605,2.44149,2.45644,,-1
2007-01-29,2.45646,2.46693,2.43122,2.43175,,
2007-02-12,2.43299,2.44259,2.39783,2.42028,,
2007-02-26,2.42087,2.42193,2.32937,2.3856,,
2007-03-12,2.38467,2.39233,2.33538,2.39102,,
2007-03-26,2.39122,2.41462,2.37541,2.40187,,
2007-04-09,2.40191,2.42828,2.39623,2.41976,,
2007-04-23,2.4222,2.43077,2.4006,2.41377,,
2007-05-07,2.41351,2.43135,2.40624,2.42363,,
2007-05-21,2.42232,2.44431,2.418,2.43798,,
2007-06-04,2.43785,2.45904,2.4154,2.45299,,
2007-06-18,2.45415,2.475635,2.44886,2.45357,,-1
2007-07-02,2.45209,2.45686,2.43101,2.44649,,-1
2007-07-16,2.44445,2.49677,2.44103,2.4461,,-1
2007-07-30,2.4459,2.45778,2.40589,2.42554,,-1
2007-08-13,2.4237,2.433405,2.3765,2.41824,,-1
2007-08-27,2.4179,2.44291,2.40131,2.41144,,-1
2007-09-10,2.40865,2.41885,2.34914,2.36901,,-1
2007-09-24,2.36865,2.407405,2.350865,2.40624,,-1
2007-10-08,2.40284,2.42094,2.38494,2.39261,,
2007-10-22,2.38973,2.41991,2.37937,2.41134,,
2007-11-05,2.4093,2.41085,2.28272,2.29664,,
2007-11-19,2.2949,2.32973,2.26008,2.32782,1,
2007-12-03,2.32352,2.3363,2.276975,2.32568,1,
2007-12-17,2.32927,2.3322,2.24336,2.24887,1,
2007-12-31,2.25061,2.26279,2.179425,2.18806,1,
2008-01-07,2.18638,2.21413,2.1239,2.14789,1,
2008-01-21,2.15291,2.17863,2.11854,2.14113,1,
2008-02-04,2.1399,2.1843,2.12555,2.14428,1,
2008-02-18,2.14027,2.15828,2.06814,2.06995,1,
2008-03-03,2.06792,2.07737,2.015595,2.01624,,
2008-03-17,2.0121,2.03308,1.93725,1.98474,,
2008-03-31,1.98373,2.02585,1.95856,1.97128,,
2008-04-14,1.97687,2.06297,1.96111,2.05427,,
2008-04-28,2.05495,2.096745,2.02412,2.03419,,
2008-05-12,2.03287,2.059825,2.018025,2.02767,,
2008-05-26,2.02853,2.07872,2.0068,2.0077,,
2008-06-09,2.00543,2.066105,2.00155,2.04653,,
2008-06-23,2.0428,2.057225,2.01098,2.03242,,
2008-07-07,2.03232,2.047945,2.0109,2.04444,,
2008-07-21,2.0436,2.08098,2.03201,2.07331,,
2008-08-04,2.07219,2.07967,2.02447,2.04547,,
2008-08-18,2.04518,2.05323,1.99901,2.00576,,
2008-09-01,1.99448,2.031455,1.94968,2.02783,,
2008-09-15,2.0161,2.036495,1.97585,2.01171,,
2008-09-29,2.00688,2.01821,1.88622,1.94055,,
2008-10-13,1.93521,1.99418,1.759065,1.85631,,
2008-10-27,1.85024,1.89775,1.77137,1.8438,,
2008-11-10,1.85583,1.86711,1.74345,1.82483,,
2008-11-24,1.82343,1.87247,1.7485,1.79216,,
2008-12-08,1.79695,1.81983,1.60943,1.64831,,
2008-12-22,1.64684,1.6523,1.51246,1.57055,,
2009-01-05,1.57055,1.69501,1.55211,1.64848,,
2009-01-19,1.6536,1.68747,1.564615,1.68705,,
2009-02-02,1.68302,1.74847,1.63514,1.66617,,
2009-02-16,1.6556,1.70429,1.651485,1.67485,,
2009-03-02,1.67381,1.67735,1.58485,1.65967,,
2009-03-16,1.66015,1.68403,1.60762,1.63848,,
2009-03-30,1.63653,1.70113,1.62317,1.6943,,
2009-04-13,1.69035,1.73177,1.66249,1.67218,,
2009-04-27,1.67043,1.72524,1.66476,1.68469,,
2009-05-11,1.68175,1.73871,1.665275,1.72979,,
2009-05-25,1.72494,1.7714,1.71199,1.73506,,
2009-06-08,1.73326,1.788805,1.72597,1.78378,,
2009-06-22,1.78395,1.811505,1.74737,1.77473,,
2009-07-06,1.77616,1.77872,1.73912,1.75898,,
2009-07-20,1.75874,1.802735,1.74482,1.7855,,
2009-08-03,1.78523,1.80918,1.7676,1.77321,,
2009-08-17,1.77336,1.783675,1.715415,1.72408,,
2009-08-31,1.7229,1.74412,1.715785,1.72972,,
2009-09-14,1.72845,1.73033,1.637405,1.63899,,
2009-09-28,1.64015,1.673425,1.62239,1.63432,,
2009-10-12,1.63386,1.67954,1.611875,1.64496,,
2009-10-26,1.64394,1.695305,1.63832,1.69007,,
2009-11-09,1.69072,1.711305,1.66582,1.68002,,
2009-11-23,1.68051,1.681245,1.646845,1.67482,,
2009-12-07,1.67032,1.7026,1.661325,1.68455,,
2009-12-21,1.67597,1.689185,1.6433,1.67384,,
2010-01-04,1.67077,1.678165,1.63153,1.66779,,
2010-01-18,1.67118,1.71138,1.67118,1.69591,,
2010-02-01,1.69105,1.70136,1.65931,1.68865,,
2010-02-15,1.68851,1.693135,1.631385,1.63534,,
2010-03-01,1.62766,1.63137,1.59935,1.6084,,-1
2010-03-15,1.60477,1.622215,1.58287,1.58679,,-1
2010-03-29,1.58002,1.65159,1.57937,1.63819,,-1
2010-04-12,1.62841,1.66446,1.61852,1.6489,,-1
2010-04-26,1.65419,1.69166,1.609285,1.64049,,-1
2010-05-10,1.63788,1.669385,1.626525,1.6624,,-1
2010-05-24,1.66419,1.70774,1.658765,1.67985,,-1
2010-06-07,1.67818,1.692425,1.63968,1.64319,,-1
2010-06-21,1.64108,1.658475,1.594945,1.615,,
2010-07-05,1.61669,1.61861,1.58333,1.60766,,
2010-07-19,1.60255,1.65641,1.585305,1.63378,,
2010-08-02,1.63451,1.67599,1.63046,1.63865,,
2010-08-16,1.64036,1.64054,1.583055,1.59623,,
2010-08-30,1.59621,1.603015,1.54272,1.56639,,
2010-09-13,1.56686,1.60061,1.536845,1.55558,,
2010-09-27,1.55393,1.566085,1.51864,1.53665,,
2010-10-11,1.53247,1.542285,1.50946,1.53214,,
2010-10-25,1.52797,1.596725,1.52252,1.55573,,
2010-11-08,1.55771,1.600665,1.541985,1.58584,,
2010-11-22,1.58573,1.592315,1.531885,1.53596,,
2010-12-06,1.53771,1.56227,1.49171,1.50468,,
2010-12-20,1.5023,1.50671,1.44001,1.46071,,
2011-01-03,1.45506,1.53714,1.444105,1.52902,,
2011-01-17,1.52726,1.54289,1.486125,1.49389,,
2011-01-31,1.4918,1.562255,1.48995,1.55756,,
2011-02-14,1.55804,1.56928,1.489195,1.49615,,
2011-02-28,1.49572,1.520305,1.485425,1.49498,,
2011-03-14,1.49197,1.498045,1.42837,1.47571,,
2011-03-28,1.4751,1.5183,1.46264,1.48504,,
2011-04-11,1.48571,1.495145,1.451915,1.4632,,
2011-04-25,1.46378,1.46527,1.41115,1.43892,,
2011-05-09,1.4375,1.45523,1.41743,1.42445,,
2011-05-23,1.42684,1.42977,1.361775,1.36959,,
2011-06-06,1.37117,1.39062,1.361555,1.37537,,
2011-06-20,1.37317,1.37427,1.326325,1.36161,,
2011-07-04,1.36261,1.36986,1.30546,1.31523,,
2011-07-18,1.30387,1.344105,1.28882,1.29079,,
2011-08-01,1.30145,1.3093,1.14685,1.26602,,-1
2011-08-15,1.2753,1.324005,1.269275,1.31983,,-1
2011-08-29,1.32002,1.40758,1.25218,1.40334,,-1
2011-09-12,1.40626,1.41498,1.37093,1.39822,,-1
2011-09-26,1.40002,1.44488,1.39726,1.44274,,-1
2011-10-10,1.44304,1.44323,1.39973,1.40778,,-1
2011-10-24,1.40968,1.42718,1.380935,1.41823,,-1
2011-11-07,1.4259,1.45709,1.42468,1.44865,,-1
2011-11-21,1.44901,1.4497,1.422545,1.4369,,
2011-12-05,1.43917,1.47609,1.43598,1.45515,,
2011-12-19,1.45583,1.47355,1.447405,1.4585,,
2012-01-02,1.45547,1.480115,1.444305,1.4584,,
2012-01-16,1.4598,1.46607,1.43415,1.43566,,-1
2012-01-30,1.43552,1.45971,1.43482,1.44413,,-1
2012-02-13,1.44418,1.458735,1.417795,1.42225,,-1
2012-02-27,1.42182,1.450095,1.4194,1.4402,,-1
2012-03-12,1.44134,1.462135,1.43133,1.44099,,-1
2012-03-26,1.44138,1.459645,1.436465,1.45535,,-1
2012-04-09,1.4569,1.47256,1.452695,1.46548,,-1
2012-04-23,1.46938,1.48403,1.46167,1.4827,,-1
2012-05-07,1.48946,1.510705,1.48652,1.48692,,
2012-05-21,1.48658,1.506485,1.48242,1.4841,,
2012-06-04,1.48563,1.49886,1.47262,1.4933,,
2012-06-18,1.486,1.50424,1.48112,1.48969,,
2012-07-02,1.4874,1.528655,1.48707,1.52715,,
2012-07-16,1.52509,1.54838,1.52456,1.53557,,
2012-07-30,1.53686,1.54166,1.50841,1.53274,,
2012-08-13,1.53142,1.537315,1.513605,1.51748,,
2012-08-27,1.51839,1.52979,1.509265,1.51196,,
2012-09-10,1.51149,1.51813,1.499195,1.51429,,
2012-09-24,1.51485,1.52489,1.49866,1.49978,,
2012-10-08,1.50024,1.50735,1.48321,1.48529,,
2012-10-22,1.48653,1.51241,1.48219,1.5069,,
2012-11-05,1.50758,1.51483,1.49254,1.50142,,
2012-11-19,1.50128,1.50468,1.4823,1.48619,,
2012-12-03,1.48619,1.50673,1.481765,1.48443,,
2012-12-17,1.481885,1.48888,1.469385,1.475935,,
2012-12-31,1.47792,1.495475,1.47434,1.485865,,
2013-01-07,1.486325,1.500525,1.4691,1.482535,,
2013-01-21,1.481975,1.483405,1.41955,1.42492,,
2013-02-04,1.42554,1.4537,1.41828,1.43057,,
2013-02-18,1.43057,1.43347,1.39667,1.41793,,
2013-03-04,1.41793,1.431935,1.403045,1.418795,,
2013-03-18,1.418795,1.44757,1.418795,1.44304,,
2013-04-01,1.44304,1.44648,1.42176,1.4229,,
2013-04-15,1.4229,1.464545,1.407425,1.45897,,
2013-04-29,1.45897,1.47707,1.441275,1.46987,,
2013-05-13,1.46987,1.482055,1.450475,1.45415,,
2013-05-27,1.45415,1.470555,1.440685,1.45612,,
2013-06-10,1.45612,1.46059,1.43113,1.44083,,
2013-06-24,1.44083,1.45126,1.4282,1.43488,1,
2013-07-08,1.43488,1.449275,1.41953,1.4365,1,
2013-07-22,1.4365,1.44301,1.40457,1.42115,1,
2013-08-05,1.42115,1.45921,1.411605,1.447815,1,
2013-08-19,1.447815,1.451535,1.420055,1.44173,1,
2013-09-02,1.44173,1.481245,1.44173,1.47572,1,
2013-09-16,1.47572,1.48056,1.454165,1.46208,1,
2013-09-30,1.46208,1.469905,1.44739,1.45464,1,
2013-10-14,1.45464,1.46421,1.43761,1.44314,,
2013-10-28,1.44314,1.482125,1.43836,1.47584,,
2013-11-11,1.47584,1.481215,1.45657,1.47129,,
2013-11-25,1.47129,1.4924,1.456915,1.45805,,
2013-12-09,1.45805,1.471365,1.43799,1.4639,1,
2013-12-23,1.4639,1.4877,1.45666,1.486315,1,
2014-01-06,1.486315,1.50259,1.47268,1.495,1,
2014-01-20,1.495,1.512395,1.472135,1.48998,1,
2014-02-03,1.48998,1.496485,1.462745,1.49472,1,
2014-02-17,1.49472,1.49767,1.469525,1.47366,1,
2014-03-03,1.47366,1.48659,1.44684,1.45244,1,
2014-03-17,1.45244,1.47912,1.44763,1.47556,1,
2014-03-31,1.47556,1.482845,1.463535,1.465585,,
2014-04-14,1.465585,1.49038,1.465585,1.481025,,
2014-04-28,1.481025,1.494685,1.47659,1.49366,,
2014-05-12,1.49366,1.511705,1.49051,1.50839,,
2014-05-26,1.50839,1.51313,1.49698,1.501485,,-1
2014-06-09,1.501485,1.530215,1.50084,1.522815,,-1
2014-06-23,1.522815,1.53549,1.513895,1.534465,,-1
2014-07-07,1.534465,1.5404,1.52147,1.535075,,-1
2014-07-21,1.535075,1.543345,1.52249,1.52353,,-1
2014-08-04,1.52353,1.53617,1.505675,1.506795,,-1
2014-08-18,1.506795,1.5248,1.506795,1.524275,,-1
2014-09-01,1.524275,1.52867,1.497435,1.518435,,-1
2014-09-15,1.518435,1.55089,1.509395,1.54593,,
2014-09-29,1.54593,1.553595,1.5318,1.538935,,
2014-10-13,1.538935,1.539245,1.49934,1.53157,,
2014-10-27,1.53157,1.54547,1.52362,1.53317,,
2014-11-10,1.53317,1.54113,1.49428,1.51852,,
2014-11-24,1.51852,1.53609,1.50732,1.52511,,
2014-12-08,1.52511,1.540115,1.4999,1.537915,,
2014-12-22,1.537915,1.55289,1.52861,1.535215,,
2015-01-05,1.535215,1.554695,1.26846,1.29676,,
2015-01-19,1.29676,1.399115,1.28387,1.38777,,
2015-02-02,1.38777,1.437805,1.386765,1.43529,,
2015-02-16,1.43529,1.47667,1.42713,1.47213,,
2015-03-02,1.47213,1.519455,1.465955,1.48231,,
2015-03-16,1.48231,1.49617,1.41873,1.430385,,
2015-03-30,1.430385,1.44521,1.41476,1.433255,,
2015-04-13,1.433255,1.460985,1.41979,1.44879,,
2015-04-27,1.44879,1.47104,1.381755,1.43763,,
2015-05-11,1.43763,1.468435,1.43273,1.46082,,
2015-05-25,1.46082,1.46755,1.42523,1.434765,1,
2015-06-08,1.434765,1.467645,1.41412,1.45757,1,
2015-06-22,1.45757,1.48347,1.450585,1.46369,1,
2015-07-06,1.46369,1.50292,1.44672,1.50076,1,
2015-07-20,1.50076,1.51809,1.479105,1.50929,1,
2015-08-03,1.50929,1.541085,1.505715,1.526685,1,
2015-08-17,1.526685,1.53673,1.46048,1.48141,1,
2015-08-31,1.48141,1.510925,1.46634,1.495455,1,
2015-09-14,1.495455,1.511895,1.47619,1.48633,,
2015-09-28,1.48633,1.49278,1.46744,1.47329,,
2015-10-12,1.47329,1.503235,1.45371,1.49894,,
2015-10-26,1.49894,1.535285,1.495525,1.51356,,
2015-11-09,1.51356,1.55728,1.50702,1.54739,,
2015-11-23,1.54739,1.554565,1.49659,1.50594,,
2015-12-07,1.50594,1.5125,1.476045,1.47796,,-1
2015-12-21,1.47796,1.48524,1.46006,1.473435,,-1
2016-01-04,1.473435,1.483675,1.42247,1.42776,,-1
2016-01-18,1.42776,1.46632,1.4121,1.457,,-1
2016-02-01,1.457,1.47676,1.392635,1.41699,,-1
2016-02-15,1.41699,1.43179,1.372675,1.38248,,-1
2016-02-29,1.38248,1.42839,1.379835,1.4131,,-1
2016-03-14,1.4131,1.42041,1.37205,1.38161,,-1
2016-03-28,1.38161,1.39512,1.34155,1.34693,,
2016-04-11,1.34693,1.412325,1.343995,1.4094,,
2016-04-25,1.4094,1.42148,1.38183,1.4032,,
2016-05-09,1.4032,1.44916,1.39434,1.436075,,
2016-05-23,1.436075,1.46134,1.416075,1.41676,,
2016-06-06,1.41676,1.42236,1.352555,1.37787,,
2016-06-20,1.37787,1.44746,1.285115,1.29165,,
2016-07-04,1.29165,1.32068,1.251485,1.29581,,
2016-07-18,1.29581,1.31049,1.276745,1.28261,,
2016-08-01,1.28261,1.29933,1.25768,1.25929,,
2016-08-15,1.25929,1.285495,1.24494,1.28487,,
2016-08-29,1.28487,1.31215,1.279075,1.29432,,
2016-09-12,1.29432,1.297155,1.254935,1.25777,,
2016-09-26,1.25777,1.26781,1.14678,1.21559,,
2016-10-10,1.21559,1.22019,1.195645,1.21515,,
2016-10-24,1.21515,1.221575,1.19002,1.212285,,-1
2016-11-07,1.212285,1.256325,1.19628,1.24693,,-1
2016-11-21,1.24693,1.287225,1.242795,1.28681,,-1
2016-12-05,1.28681,1.291505,1.26815,1.28199,,-1
2016-12-19,1.28199,1.28316,1.23506,1.25776,,-1
2017-01-02,1.25776,1.2662,1.22368,1.22914,,-1
2017-01-16,1.22914,1.2651,1.2112,1.25385,,-1
2017-01-30,1.25385,1.25812,1.23389,1.25172,,-1
2017-02-13,1.25172,1.26598,1.23815,1.2558,,
2017-02-27,1.2558,1.25715,1.22704,1.23013,,
2017-03-13,1.23013,1.24446,1.22154,1.236635,,
2017-03-27,1.236635,1.2595,1.22857,1.24843,,
2017-04-10,1.24843,1.28541,1.24843,1.27602,,
2017-04-24,1.27602,1.28935,1.26912,1.28165,,
2017-05-08,1.28165,1.30694,1.26253,1.2681,,
2017-05-22,1.2681,1.26922,1.23954,1.24093,1,
2017-06-05,1.24093,1.25396,1.22418,1.24452,1,
2017-06-19,1.24452,1.24954,1.22664,1.24829,1,
2017-07-03,1.24829,1.2639,1.23396,1.26213,1,
2017-07-17,1.26213,1.27538,1.22704,1.2724,1,
2017-07-31,1.2724,1.2854,1.2436,1.25171,1,
