time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-04-29,187.78,187.78,186.81,186.81,,
2002-05-13,186.79,186.79,181.215,181.75,,
2002-05-27,181.79,181.945,180.795,181.58,,
2002-06-10,181.56,185.415,181.56,181.7,,
2002-06-24,181.71,184.145,181.71,183.24,,
2002-07-08,182.72,183.385,181.5,182.8,,
2002-07-22,182.66,189.185,182.66,186.67,,
2002-08-05,186.61,186.815,180.24,181.18,,
2002-08-19,181.14,183.49,181.14,183.49,,
2002-09-02,183.66,188.86,182.87,188.86,,
2002-09-16,189.04,192.31,188.07,191.27,,
2002-09-30,191.45,194.735,190.91,193.71,,
2002-10-14,193.9,194.1,192.68,192.76,,
2002-10-28,192.2,192.785,190.36,190.59,,
2002-11-11,190.61,194.05,189.7,194.05,,
2002-11-25,194.12,196.21,188.74,194.72,,
2002-12-09,194.77,194.91,191.49,193.06,,
2002-12-23,192.74,192.74,191.305,192.69,,
2003-01-06,192.72,193.24,189.54,189.86,,
2003-01-20,189.93,197.44,189.7,197.44,,
2003-02-03,197.2,197.63,194.26,194.26,,
2003-02-17,194.05,194.05,184.63,185.88,,
2003-03-03,185.96,189.86,185.64,187.31,,
2003-03-17,187.49,189.97,186.07,188.55,,
2003-03-31,188.67,189.29,186.21,189.29,,
2003-04-14,189.22,191.25,187.83,191.25,,-1
2003-04-28,191.48,191.48,185.94,188.42,,-1
2003-05-12,188.56,192.21,187.96,191.09,,-1
2003-05-26,190.82,197.11,190.82,197.11,,-1
2003-06-09,196.825,198.95,194.55,196.84,,-1
2003-06-23,196.75,198.545,196.175,196.78,,-1
2003-07-07,196.77,196.77,187.88,188.4,,-1
2003-07-21,187.37,194.745,187.37,193.57,,-1
2003-08-04,193.62,193.915,190.22,190.22,,
2003-08-18,190.38,190.38,184.06,184.49,,
2003-09-01,184.36,187.96,182.07,187.96,,
2003-09-15,188.28,188.28,184.435,185.38,,
2003-09-29,185.27,185.3,180.8,180.8,,
2003-10-13,180.56,185.61,180.56,185.18,,
2003-10-27,185.04,186.315,183.01,183.01,,
2003-11-10,183.05,185.62,181.08,185.26,,-1
2003-11-24,185.3,188.78,185.3,186.23,,-1
2003-12-08,186.27,190.83,186.02,190.45,,-1
2003-12-22,190.22,191.76,189.345,191.76,,-1
2004-01-05,191.81,197.03,191.7,191.7,,-1
2004-01-19,192.01,195.77,191.21,193,,-1
2004-02-02,192.88,199.33,192.14,198.83,,-1
2004-02-16,198.86,204.55,198.86,203.46,,-1
2004-03-01,203.8,207.01,199.89,199.89,,
2004-03-15,199.68,199.68,191.95,192.26,,
2004-03-29,191.95,195.28,191.025,195.28,,
2004-04-12,194.97,196.135,193,193,,
2004-04-26,193.12,200.49,193.12,200.49,,
2004-05-10,200.51,202.335,198.755,200.71,,
2004-05-24,200.33,204.58,200.33,204.58,,
2004-06-07,204.26,204.26,200.15,200.15,1,
2004-06-21,200,200,195.535,198.3,1,
2004-07-05,198.41,203.57,198.41,203.57,1,
2004-07-19,203.7,203.755,201.39,202.61,1,
2004-08-02,202.43,204.06,201.945,204.06,1,
2004-08-16,203.365,203.365,196.4,196.4,1,
2004-08-30,196.29,197.27,193.885,197.03,1,
2004-09-13,196.96,199.79,195.505,199.79,1,
2004-09-27,199.62,201.925,196.52,196.52,,
2004-10-11,196.56,197.24,195.475,196.385,,
2004-10-25,196.02,196.515,194.38,196,,
2004-11-08,195.5,197.925,191.49,191.49,,
2004-11-22,191.56,198.635,191.56,198.37,,
2004-12-06,198.33,203.545,198.33,202.34,,
2004-12-20,202.12,202.485,196.47,196.47,,
2005-01-03,197.15,197.3,190.075,190.88,,
2005-01-17,190.71,195.36,189.555,194.98,,
2005-01-31,195.465,198.005,194.539,197.545,,-1
2005-02-14,197.1,202.012,196.395,201.982,,-1
2005-02-28,201.897,202.065,199.575,200.265,,-1
2005-03-14,199.96,201.602,197.5275,198.955,,-1
2005-03-28,198.9,204.505,198.5555,204.095,,-1
2005-04-11,204.055,205.355,202.46,202.935,,-1
2005-04-25,201.775,202.685,197.95,198.645,,-1
2005-05-09,198.755,199.465,195.5885,197.615,,-1
2005-05-23,197.635,197.705,195.235,195.525,,
2005-06-06,195.295,199.32,194.16,198.78,,
2005-06-20,198.59,200.415,197.055,197.585,,-1
2005-07-04,197.22,197.71,194.505,196.495,,-1
2005-07-18,196.695,197.845,192.66,197.745,,-1
2005-08-01,197.73,200.2955,196.895,198.495,,-1
2005-08-15,198.865,199.365,196.79,198.355,,-1
2005-08-29,198.59,203.495,198.255,201.745,,-1
2005-09-12,201.365,202.28,198.695,199.72,,-1
2005-09-26,199.17,202.0455,198.9285,200.455,,-1
2005-10-10,200.21,205.615,199.205,204.985,,
2005-10-24,204.675,208.155,203.7605,207.045,,
2005-11-07,206.785,207.155,203.75,204.595,,
2005-11-21,204.605,209.7,203.485,209.005,,
2005-12-05,209.645,213.06,203.9505,205.035,,
2005-12-19,204.495,206.5655,201.155,202.885,,
2006-01-02,202.995,204.775,200.555,202.925,,
2006-01-16,202.935,208.195,202.035,207.345,,
2006-01-30,207.405,211.175,204.785,205.585,,
2006-02-13,205.445,207.78,202.935,204.055,,
2006-02-27,203.845,206.1,201.675,205.435,,
2006-03-13,205.235,206.2005,202.785,204.645,,
2006-03-27,204.905,206.883,203.2055,206.085,,
2006-04-10,205.925,210.829,205.735,207.805,,
2006-04-24,206.54,211.115,203.845,209.315,,
2006-05-08,208.455,210.21,205.429,209.932,,
2006-05-22,209.714,211.492,208.595,210.28,,
2006-06-05,210.31,213.255,209.5915,213.181,,
2006-06-19,213.189,213.736,209.856,211.514,,
2006-07-03,211.27,213.774,209.567,213.474,,
2006-07-17,213.586,216.585,212.597,213.644,,
2006-07-31,213.666,220.333,212.978,219.803,,
2006-08-14,219.954,221.661,217.479,221.296,,
2006-08-28,221.33,223.846,217.365,218.121,,
2006-09-11,218.025,222.256,217.613,221.478,,
2006-09-25,221.435,222.957,219.952,222.644,,
2006-10-09,222.375,223.7955,221.24,223.635,,-1
2006-10-23,223.646,224.5905,222.46,224.362,,-1
2006-11-06,224.615,225.315,222.51,223.087,,-1
2006-11-20,223.352,229.07,222.358,228.674,,-1
2006-12-04,228.15,231.832,225.685,230.708,,-1
2006-12-18,230.346,233.9245,229.43,233.21,,-1
2007-01-01,233.21,235.965,228.085,235.73,,-1
2007-01-15,235.932,241.51,234.998,238.153,,-1
2007-01-29,238.084,240.075,235.374,237.25,,
2007-02-12,237.301,238.541,232.132,237.723,,
2007-02-26,237.707,237.846,221.123,228.633,,
2007-03-12,229.088,232.375,222.64,231.688,,
2007-03-26,231.632,235.114,228.798,234.372,,
2007-04-09,234.412,239.46,233.681,237.637,,
2007-04-23,238.105,239.777,236.01,239.413,,
2007-05-07,239.465,239.915,236.462,239.186,,
2007-05-21,239.19,242.115,239.023,242.054,,
2007-06-04,241.968,244.369,237.684,243.946,,
2007-06-18,243.99,247.9535,243.918,247.411,,-1
2007-07-02,247.34,248.9755,245.093,248.038,,-1
2007-07-16,247.98,251.115,239.747,240.106,,-1
2007-07-30,239.735,244.0905,236.31,239.549,,-1
2007-08-13,238.965,239.795,219.328,234.508,,-1
2007-08-27,234.47,235.555,227.47,230.014,,-1
2007-09-10,229.31,234.7995,228.223,233.334,,-1
2007-09-24,233.26,239.008,229.775,238.873,,-1
2007-10-08,238.877,240.697,234.819,234.96,,
2007-10-22,234.46,241.3935,230.315,239.973,,
2007-11-05,239.79,239.805,223.9555,228.271,,
2007-11-19,227.76,229.3625,221.3155,228.755,1,
2007-12-03,228.137,230.3735,223.7185,228.57,1,
2007-12-17,228.64,229.151,223.5795,224.2,1,
2007-12-31,224.487,224.924,213.4985,214.391,1,
2008-01-07,214.17,217.353,207.012,208.942,1,
2008-01-21,208.92,214.042,204.6285,209.259,1,
2008-02-04,209.4,213.8905,205.906,211.457,1,
2008-02-18,211.076,213.524,205.9855,206.345,1,
2008-03-03,206.075,207.998,199.8925,200.083,,
2008-03-17,200.03,201.833,192.527,197.909,,
2008-03-31,197.84,205.1585,196.884,198.913,,
2008-04-14,199.333,209.0175,198.0895,207.368,,
2008-04-28,207.313,209.063,199.8135,200.985,,
2008-05-12,201.036,206.5455,200.2,204.666,,
2008-05-26,204.492,209.407,203.9875,206.79,,
2008-06-09,206.146,213.3135,205.794,212.087,,
2008-06-23,211.555,213.9305,209.4385,211.716,,
2008-07-07,211.647,213.829,208.0185,213.739,,
2008-07-21,213.599,215.8865,211.631,212.703,,
2008-08-04,212.63,213.9595,202.5515,206.251,,
2008-08-18,206.082,206.265,197.6545,198.163,,
2008-09-01,196.795,196.919,185.916,193.657,,
2008-09-15,190.509,197.4545,184.516,195.536,,
2008-09-29,194.733,195.477,166.011,171.59,,
2008-10-13,172.805,181.385,139.0565,150.027,,
2008-10-27,148.042,165.066,140.663,153.689,,
2008-11-10,157.112,157.574,137.683,143.237,,
2008-11-24,143.035,148.6405,133.289,136.37,,
2008-12-08,136.776,140.7895,132.325,133.073,,
2008-12-22,133.17,134.718,129.876,133.573,,
2009-01-05,133.685,141.5675,128.832,133.684,,
2009-01-19,134.948,135.903,118.822,130.755,,
2009-02-02,130.275,137.376,125.3325,131.86,,
2009-02-16,130.345,141.795,129.6325,139.688,,
2009-03-02,139.718,141.4995,131.4735,137.246,,
2009-03-16,137,145.083,134.93,140.157,,
2009-03-30,139.874,151.534,135.7185,147.016,,
2009-04-13,146.903,149.883,140.617,142.635,,
2009-04-27,142.025,150.909,139.037,149.979,,
2009-05-11,150.184,151.1055,143.0415,151.028,,
2009-05-25,150.607,160.4885,149.578,157.699,,
2009-06-08,157.371,162.601,154.9735,158.803,,
