time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2010-01-14,2.19862,2.20447,2.18812,2.19958,,
2010-01-15,2.19958,2.2167,2.19514,2.20408,,
2010-01-18,2.21616,2.22106,2.20431,2.21164,,
2010-01-19,2.21164,2.22724,2.20651,2.22471,,
2010-01-20,2.22471,2.26606,2.22403,2.25733,,
2010-01-21,2.25733,2.28211,2.24554,2.28077,,
2010-01-22,2.28077,2.2823,2.25884,2.27031,,
2010-01-25,2.2617,2.27781,2.2468,2.27572,,
2010-01-26,2.27572,2.2964,2.26843,2.2794,,
2010-01-27,2.2794,2.29871,2.27488,2.28879,,
2010-01-28,2.28879,2.29567,2.27812,2.28934,,
2010-01-29,2.28934,2.29862,2.26851,2.28057,,
2010-02-01,2.27679,2.27791,2.24889,2.25236,,
2010-02-02,2.25236,2.26647,2.24188,2.24295,,
2010-02-03,2.24295,2.26774,2.23798,2.26241,,
2010-02-04,2.26241,2.29924,2.26155,2.29246,,
2010-02-05,2.29246,2.29701,2.26655,2.26854,,
2010-02-08,2.26546,2.28479,2.25427,2.28197,,
2010-02-09,2.28197,2.28435,2.25168,2.25781,,
2010-02-10,2.25781,2.2704,2.24438,2.25125,,
2010-02-11,2.25125,2.25418,2.22343,2.2473,,
2010-02-12,2.2473,2.25983,2.24343,2.25075,,
2010-02-15,2.25364,2.25397,2.24177,2.24804,,
2010-02-16,2.24804,2.24903,2.22104,2.23318,,
2010-02-17,2.23318,2.23901,2.22623,2.22671,,
2010-02-18,2.22671,2.23729,2.21147,2.22418,,
2010-02-19,2.22418,2.22775,2.20619,2.21201,,
2010-02-22,2.20844,2.213715,2.200585,2.207025,,
2010-02-23,2.207025,2.23561,2.193345,2.22862,,
2010-02-24,2.22862,2.243725,2.21984,2.222215,,
2010-02-25,2.222215,2.23228,2.20539,2.20673,,
2010-02-26,2.20673,2.208915,2.170155,2.18259,,
2010-03-01,2.16848,2.174235,2.12966,2.142435,,
2010-03-02,2.142435,2.154045,2.13634,2.150955,,
2010-03-03,2.150955,2.183885,2.149625,2.174055,,
2010-03-04,2.174055,2.1959,2.172755,2.1894,,
2010-03-05,2.1894,2.192915,2.161535,2.172245,,
2010-03-08,2.174335,2.174335,2.145915,2.149615,,-1
2010-03-09,2.149615,2.15245,2.131905,2.13392,,-1
2010-03-10,2.13392,2.13654,2.106915,2.13324,,-1
2010-03-11,2.13324,2.156715,2.131855,2.150315,,-1
2010-03-12,2.150315,2.169485,2.14501,2.166625,,-1
2010-03-15,2.15848,2.16455,2.14295,2.146355,,-1
2010-03-16,2.146355,2.153985,2.129615,2.147225,,-1
2010-03-17,2.147225,2.15664,2.13306,2.146225,,-1
2010-03-18,2.146225,2.14847,2.13006,2.13327,,
2010-03-19,2.13327,2.135895,2.115635,2.11977,,
2010-03-22,2.12511,2.14164,2.11604,2.137565,,
2010-03-23,2.137565,2.139935,2.122935,2.12687,,
2010-03-24,2.12687,2.135915,2.11595,2.117745,,
2010-03-25,2.117745,2.124615,2.098425,2.105285,,
2010-03-26,2.105285,2.12124,2.091905,2.117435,,
2010-03-29,2.114845,2.125165,2.10687,2.11229,,
2010-03-30,2.11229,2.129285,2.108725,2.122135,,
2010-03-31,2.122135,2.1454,2.120305,2.13679,,
2010-04-01,2.13679,2.16401,2.133805,2.15962,,
2010-04-02,2.15962,2.162535,2.15018,2.154315,,
2010-04-05,2.162375,2.177055,2.158585,2.17526,,
2010-04-06,2.17526,2.176435,2.15917,2.16044,,
2010-04-07,2.16044,2.16947,2.144775,2.15591,,
2010-04-08,2.15591,2.16889,2.15274,2.16052,,
2010-04-09,2.16052,2.163735,2.14322,2.146335,,
2010-04-12,2.15035,2.168295,2.14534,2.157735,,
2010-04-13,2.157735,2.16565,2.15075,2.1551,,
2010-04-14,2.1551,2.172715,2.154,2.16457,,
2010-04-15,2.16457,2.179775,2.1587,2.17664,,
2010-04-16,2.17664,2.17791,2.15944,2.168745,,
2010-04-19,2.159685,2.16433,2.1465,2.156565,,-1
2010-04-20,2.156565,2.168945,2.146635,2.158145,,-1
2010-04-21,2.158145,2.175245,2.15664,2.17115,,-1
2010-04-22,2.17115,2.173425,2.16091,2.163535,,-1
2010-04-23,2.163535,2.168255,2.14129,2.14363,,-1
2010-04-26,2.146745,2.152645,2.13227,2.13712,,-1
2010-04-27,2.13712,2.149915,2.123945,2.1457,,-1
2010-04-28,2.1457,2.1457,2.104565,2.110015,,-1
2010-04-29,2.110015,2.123785,2.101715,2.117045,,
2010-04-30,2.117045,2.121675,2.0856,2.100955,,-1
2010-05-03,2.10641,2.109435,2.082935,2.086475,,-1
2010-05-04,2.086475,2.109125,2.080055,2.102525,,-1
2010-05-05,2.102525,2.1127,2.09757,2.10551,,-1
2010-05-06,2.10551,2.10588,2.069695,2.087225,,-1
2010-05-07,2.087225,2.106145,2.03729,2.07226,,-1
2010-05-10,2.06333,2.08336,2.03821,2.054405,,-1
2010-05-11,2.054405,2.089775,2.050135,2.087645,,-1
2010-05-12,2.087645,2.095465,2.06955,2.078285,,
2010-05-13,2.078285,2.079715,2.0365,2.04421,,
2010-05-14,2.04421,2.06207,2.03615,2.05561,,
2010-05-17,2.05385,2.08382,2.03375,2.076935,,
2010-05-18,2.076935,2.079425,2.05769,2.06529,,
2010-05-19,2.06529,2.149845,2.064765,2.131145,,
2010-05-20,2.131145,2.1635,2.095145,2.15621,,
2010-05-21,2.15621,2.16388,2.12151,2.130715,,
2010-05-24,2.135565,2.156315,2.13145,2.155885,,
2010-05-25,2.155885,2.17633,2.140925,2.149765,,
2010-05-26,2.149765,2.18217,2.135815,2.17018,,
2010-05-27,2.17018,2.17083,2.12034,2.132425,,
2010-05-28,2.132425,2.1484,2.123225,2.129365,,
2010-05-31,2.127355,2.16963,2.11401,2.13646,,
2010-06-01,2.13646,2.172055,2.12922,2.170635,,
2010-06-02,2.170635,2.186115,2.14747,2.149315,,
2010-06-03,2.149315,2.155585,2.13051,2.134485,,
2010-06-04,2.134485,2.165765,2.13175,2.15534,,
2010-06-07,2.15523,2.203015,2.14893,2.19664,,
2010-06-08,2.19664,2.199915,2.15836,2.168645,,
2010-06-09,2.168645,2.183005,2.161465,2.17756,,
2010-06-10,2.17756,2.17757,2.13261,2.143015,,
2010-06-11,2.143015,2.163455,2.101895,2.108885,,
2010-06-14,2.109165,2.123655,2.103085,2.122145,,
2010-06-15,2.122145,2.136815,2.11716,2.11847,,
2010-06-16,2.11847,2.133975,2.110225,2.110715,,
2010-06-17,2.110715,2.115825,2.10115,2.104265,,
2010-06-18,2.104265,2.111875,2.094565,2.09718,,
2010-06-21,2.08257,2.09785,2.07441,2.083705,1,
2010-06-22,2.083705,2.10492,2.075525,2.104065,1,
2010-06-23,2.104065,2.109345,2.08805,2.0955,1,
2010-06-24,2.0955,2.12984,2.095005,2.10828,1,
2010-06-25,2.10828,2.12631,2.099805,2.10988,1,
2010-06-28,2.10656,2.13476,2.10343,2.13237,1,
2010-06-29,2.13237,2.179255,2.13007,2.17701,1,
2010-06-30,2.17701,2.183485,2.15875,2.182645,1,
2010-07-01,2.182645,2.2111,2.176215,2.19762,,
2010-07-02,2.19762,2.20885,2.17831,2.20706,1,
2010-07-05,2.20789,2.215785,2.18891,2.198665,1,
2010-07-06,2.198665,2.21147,2.17662,2.1835,1,
2010-07-07,2.1835,2.19292,2.156345,2.160265,1,
2010-07-08,2.160265,2.162005,2.13324,2.13806,1,
2010-07-09,2.13806,2.14783,2.11603,2.119295,1,
2010-07-12,2.121405,2.127755,2.11023,2.11197,1,
2010-07-13,2.11197,2.12504,2.104105,2.109065,1,
2010-07-14,2.109065,2.128305,2.1068,2.10855,,
2010-07-15,2.10855,2.14141,2.10606,2.119175,,
2010-07-16,2.119175,2.15901,2.118565,2.153,,
2010-07-19,2.155175,2.1756,2.151,2.15732,,
2010-07-20,2.15732,2.160735,2.127485,2.128705,,
2010-07-21,2.128705,2.13813,2.114145,2.128465,,
2010-07-22,2.128465,2.13851,2.09938,2.10537,,
2010-07-23,2.10537,2.130045,2.09927,2.120835,,
2010-07-26,2.12168,2.129325,2.106255,2.11123,,
2010-07-27,2.11123,2.128925,2.098575,2.126545,,
2010-07-28,2.126545,2.150385,2.125685,2.14492,,
2010-07-29,2.14492,2.164715,2.14035,2.156975,,
2010-07-30,2.156975,2.170875,2.14956,2.160825,,
2010-08-02,2.163525,2.173585,2.15157,2.16799,,
2010-08-03,2.16799,2.18079,2.16075,2.17302,,
2010-08-04,2.17302,2.17997,2.158875,2.161535,,
2010-08-05,2.161535,2.18983,2.15998,2.175105,,
2010-08-06,2.175105,2.19362,2.168265,2.173935,,
2010-08-09,2.17589,2.195435,2.17582,2.18025,,
2010-08-10,2.18025,2.195585,2.175935,2.18933,,
2010-08-11,2.18933,2.19947,2.18011,2.19122,,
2010-08-12,2.19122,2.206345,2.18821,2.19802,,
2010-08-13,2.19802,2.212125,2.17622,2.208935,,
2010-08-16,2.207035,2.22575,2.19973,2.21488,,-1
2010-08-17,2.21488,2.22142,2.180085,2.188895,,-1
2010-08-18,2.188895,2.189665,2.174235,2.18295,,-1
2010-08-19,2.18295,2.211895,2.17279,2.20648,,-1
2010-08-20,2.20648,2.21291,2.1959,2.198015,,-1
2010-08-23,2.20247,2.212245,2.18556,2.194885,,-1
2010-08-24,2.194885,2.198985,2.183495,2.192,,-1
2010-08-25,2.192,2.22106,2.18531,2.21049,,-1
2010-08-26,2.21049,2.2166,2.195775,2.209125,,
2010-08-27,2.209125,2.21114,2.173,2.1846,,
2010-08-30,2.175925,2.194005,2.175375,2.18655,,
2010-08-31,2.18655,2.210135,2.18513,2.195475,,
2010-09-01,2.195475,2.19878,2.166875,2.17056,,
2010-09-02,2.17056,2.175265,2.143765,2.15511,,
2010-09-03,2.15511,2.1607,2.138785,2.14389,,
2010-09-06,2.14597,2.150665,2.119465,2.12829,1,
2010-09-07,2.12829,2.141275,2.119715,2.134015,1,
2010-09-08,2.134015,2.152805,2.133185,2.140485,1,
2010-09-09,2.140485,2.146955,2.117955,2.129225,1,
2010-09-10,2.129225,2.13075,2.10615,2.107885,1,
2010-09-13,2.100405,2.11919,2.098295,2.101525,1,
2010-09-14,2.101525,2.12102,2.09898,2.1161,1,
2010-09-15,2.1161,2.138385,2.109765,2.13567,1,
2010-09-16,2.13567,2.16399,2.135105,2.158005,,
2010-09-17,2.158005,2.158325,2.14258,2.153995,,
2010-09-20,2.151915,2.15858,2.125165,2.127585,,
2010-09-21,2.127585,2.144965,2.12405,2.12541,,
2010-09-22,2.12541,2.13273,2.112215,2.121155,,
2010-09-23,2.121155,2.15798,2.118115,2.150915,,
2010-09-24,2.150915,2.16134,2.144455,2.15589,,
2010-09-27,2.150835,2.159665,2.145215,2.15499,,
2010-09-28,2.15499,2.163445,2.134525,2.13717,,
2010-09-29,2.13717,2.148075,2.13109,2.13908,,
2010-09-30,2.13908,2.156365,2.129305,2.140305,,
2010-10-01,2.140305,2.146675,2.12173,2.12522,,
2010-10-04,2.122055,2.140835,2.122015,2.134145,,
2010-10-05,2.134145,2.14784,2.120385,2.120855,,
2010-10-06,2.120855,2.13278,2.10681,2.11192,,
2010-10-07,2.11192,2.12684,2.09827,2.11643,,
2010-10-08,2.11643,2.137825,2.106955,2.11203,,
2010-10-11,2.1082,2.122765,2.10669,2.112785,,
2010-10-12,2.112785,2.12365,2.088495,2.093445,,
2010-10-13,2.093445,2.099485,2.073965,2.090305,,
2010-10-14,2.090305,2.116445,2.08906,2.108855,,
2010-10-15,2.108855,2.12521,2.10762,2.11483,,
