time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,2.89815,2.98045,2.89815,2.95835,NaN,NaN
2004-06-07,2.9536,2.96205,2.89285,2.89285,NaN,NaN
2004-06-14,2.88995,2.94885,2.872,2.93335,NaN,NaN
2004-06-21,2.93145,2.93145,2.87355,2.87355,NaN,NaN
2004-06-28,2.87215,2.87215,2.82825,2.82825,NaN,NaN
2004-07-05,2.82725,2.8361,2.819,2.82995,NaN,NaN
2004-07-12,2.83045,2.8481,2.8179,2.84145,NaN,NaN
2004-07-19,2.83895,2.88245,2.8325,2.88245,NaN,NaN
2004-07-26,2.88525,2.90315,2.85695,2.85695,NaN,NaN
2004-08-02,2.85775,2.85775,2.82345,2.82345,NaN,NaN
2004-08-09,2.82325,2.82325,2.76605,2.76605,NaN,NaN
2004-08-16,2.77435,2.77435,2.70635,2.70635,NaN,NaN
2004-08-23,2.70765,2.7665,2.70765,2.74155,NaN,NaN
2004-08-30,2.74175,2.76055,2.735,2.75015,NaN,NaN
2004-09-06,2.74745,2.7493,2.737,2.74355,NaN,NaN
2004-09-13,2.73965,2.73965,2.70465,2.71455,NaN,NaN
2004-09-20,2.71345,2.71345,2.6967,2.70045,NaN,NaN
2004-09-27,2.70195,2.7175,2.66525,2.66525,NaN,NaN
2004-10-04,2.67565,2.67565,2.61855,2.61855,NaN,NaN
2004-10-11,2.62475,2.6518,2.62415,2.62415,NaN,NaN
2004-10-18,2.63105,2.6368,2.6252,2.6264,NaN,NaN
2004-10-25,2.6223,2.68595,2.6223,2.68595,NaN,NaN
2004-11-01,2.67765,2.6821,2.66995,2.6701,NaN,NaN
2004-11-08,2.6642,2.70175,2.6642,2.67785,NaN,NaN
2004-11-15,2.67385,2.67385,2.6204,2.6204,NaN,NaN
2004-11-22,2.6169,2.64605,2.6169,2.6425,NaN,NaN
2004-11-29,2.6409,2.694,2.6409,2.694,NaN,NaN
2004-12-06,2.6915,2.7185,2.6915,2.7185,NaN,NaN
2004-12-13,2.7247,2.7247,2.7059,2.7183,NaN,-1
2004-12-20,2.7206,2.7206,2.6818,2.6818,NaN,-1
2004-12-27,2.6816,2.68575,2.6719,2.6719,NaN,-1
2005-01-03,2.6703,2.7032,2.6588,2.6918,NaN,-1
2005-01-10,2.69325,2.70775,2.66085,2.675,NaN,-1
2005-01-17,2.6734,2.69885,2.61905,2.6266,NaN,-1
2005-01-24,2.634,2.6559,2.61455,2.6487,NaN,-1
2005-01-31,2.6558,2.6569,2.63575,2.6406,NaN,-1
2005-02-07,2.6426,2.66545,2.60995,2.6167,NaN,NaN
2005-02-14,2.6187,2.65625,2.61285,2.6193,NaN,NaN
2005-02-21,2.6185,2.66325,2.60515,2.6571,NaN,NaN
2005-02-28,2.6585,2.6603,2.6079,2.6236,NaN,NaN
2005-03-07,2.6237,2.6333,2.5898,2.6031,NaN,-1
2005-03-14,2.6045,2.6071,2.5723,2.5804,NaN,-1
2005-03-21,2.5845,2.62645,2.5643,2.6185,NaN,-1
2005-03-28,2.6185,2.66555,2.6179,2.6562,NaN,-1
2005-04-04,2.6543,2.67185,2.61775,2.6324,NaN,-1
2005-04-11,2.6312,2.6472,2.59775,2.6438,NaN,-1
2005-04-18,2.6416,2.66595,2.6096,2.6149,NaN,-1
2005-04-25,2.6148,2.6499,2.6026,2.6091,NaN,-1
2005-05-02,2.6118,2.61635,2.5744,2.579,NaN,NaN
2005-05-09,2.5822,2.6095,2.55915,2.5995,NaN,NaN
2005-05-16,2.5986,2.61905,2.57195,2.5766,NaN,NaN
2005-05-23,2.5806,2.58515,2.5474,2.5493,1,NaN
2005-05-30,2.5547,2.60415,2.55045,2.5933,1,NaN
2005-06-06,2.5934,2.5957,2.55075,2.5673,1,NaN
2005-06-13,2.5661,2.5676,2.54145,2.5532,1,NaN
2005-06-20,2.54755,2.58935,2.53695,2.5865,1,NaN
2005-06-27,2.5842,2.60155,2.5665,2.58455,1,NaN
2005-07-04,2.58365,2.61755,2.56255,2.58145,1,NaN
2005-07-11,2.57655,2.62565,2.57285,2.59825,1,NaN
2005-07-18,2.60485,2.60565,2.52725,2.53605,NaN,NaN
2005-07-25,2.54245,2.58575,2.53395,2.58275,1,NaN
2005-08-01,2.58495,2.5891,2.56455,2.57545,1,NaN
2005-08-08,2.57925,2.5878,2.55495,2.5655,1,NaN
2005-08-15,2.5655,2.5929,2.5526,2.58465,1,NaN
2005-08-22,2.58815,2.59555,2.56905,2.5895,1,NaN
2005-08-29,2.5919,2.61425,2.5847,2.6066,1,NaN
2005-09-05,2.6069,2.61485,2.5922,2.5983,1,NaN
2005-09-12,2.5953,2.6027,2.55055,2.5648,1,NaN
2005-09-19,2.57565,2.5962,2.56685,2.58065,NaN,NaN
2005-09-26,2.58375,2.6062,2.53865,2.55175,NaN,NaN
2005-10-03,2.54545,2.55725,2.51655,2.5319,NaN,NaN
2005-10-10,2.53345,2.54315,2.49985,2.5389,NaN,NaN
2005-10-17,2.5377,2.54105,2.5041,2.5262,NaN,NaN
2005-10-24,2.5259,2.53925,2.51075,2.5203,NaN,NaN
2005-10-31,2.5229,2.57645,2.51965,2.56005,NaN,NaN
2005-11-07,2.56395,2.6409,2.49235,2.53495,NaN,NaN
2005-11-14,2.53905,2.5633,2.49355,2.49895,NaN,NaN
2005-11-21,2.50205,2.5044,2.4586,2.4596,NaN,NaN
2005-11-28,2.4613,2.46775,2.4261,2.4303,NaN,NaN
2005-12-05,2.4305,2.50715,2.4136,2.4951,NaN,NaN
2005-12-12,2.4928,2.57505,2.484,2.56615,1,NaN
2005-12-19,2.56365,2.5961,2.54365,2.57105,1,NaN
2005-12-26,2.57115,2.57665,2.5108,2.52245,1,NaN
2006-01-02,2.52015,2.57285,2.51755,2.56015,1,NaN
2006-01-09,2.55935,2.56355,2.52205,2.5439,1,NaN
2006-01-16,2.5428,2.6104,2.52715,2.60605,1,NaN
2006-01-23,2.60425,2.6374,2.58945,2.59335,1,NaN
2006-01-30,2.59875,2.6051,2.5607,2.56255,1,NaN
2006-02-06,2.56165,2.5859,2.5531,2.56985,NaN,NaN
2006-02-13,2.57195,2.6208,2.5558,2.60665,NaN,NaN
2006-02-20,2.60865,2.6563,2.5973,2.63385,NaN,NaN
2006-02-27,2.64765,2.65335,2.6154,2.63615,NaN,NaN
2006-03-06,2.63785,2.7076,2.6337,2.69135,NaN,NaN
2006-03-13,2.68215,2.784,2.6817,2.76655,NaN,NaN
2006-03-20,2.76155,2.8669,2.76145,2.8633,NaN,NaN
2006-03-27,2.8544,2.90815,2.81745,2.8241,NaN,NaN
2006-04-03,2.8206,2.90145,2.80815,2.8644,NaN,NaN
2006-04-10,2.8641,2.87555,2.79635,2.83195,NaN,NaN
2006-04-17,2.8375,2.85165,2.8013,2.81625,NaN,NaN
2006-04-24,2.81765,2.87145,2.8087,2.85995,NaN,NaN
2006-05-01,2.86075,2.9023,2.85295,2.89885,NaN,NaN
2006-05-08,2.89805,3.03345,2.895,3.01865,NaN,NaN
2006-05-15,3.01135,3.06035,3.00425,3.03045,NaN,NaN
2006-05-22,3.03285,3.05445,2.9135,2.93365,NaN,NaN
2006-05-29,2.93415,2.99595,2.9232,2.98535,NaN,NaN
2006-06-05,2.98645,2.9894,2.9011,2.90525,NaN,NaN
2006-06-12,2.90645,3.00255,2.90585,2.9971,NaN,NaN
2006-06-19,2.9982,3.01525,2.95765,2.9895,NaN,NaN
2006-06-26,2.9947,3.06805,2.9879,3.0344,NaN,NaN
2006-07-03,3.0331,3.04715,3.01495,3.0297,NaN,NaN
2006-07-10,3.0305,3.03115,2.95575,2.96445,NaN,NaN
2006-07-17,2.96505,2.98485,2.9046,2.98045,NaN,NaN
2006-07-24,2.9787,3.02365,2.93765,3.0168,NaN,NaN
2006-07-31,3.01125,3.06915,3.00425,3.05215,NaN,NaN
2006-08-07,3.04625,3.06865,2.974,2.98355,NaN,NaN
2006-08-14,2.99205,3.00865,2.9338,2.94195,NaN,NaN
2006-08-21,2.94275,2.98225,2.94015,2.96375,NaN,NaN
2006-08-28,2.96695,2.978,2.8971,2.90665,NaN,NaN
2006-09-04,2.91205,2.9552,2.8875,2.92545,NaN,NaN
2006-09-11,2.93045,2.94045,2.8264,2.84035,NaN,NaN
2006-09-18,2.83365,2.899,2.819,2.87085,NaN,NaN
2006-09-25,2.87375,2.8891,2.8259,2.86815,NaN,NaN
2006-10-02,2.87375,2.8831,2.8205,2.84075,NaN,NaN
2006-10-09,2.83885,2.8592,2.8047,2.82305,NaN,NaN
2006-10-16,2.82365,2.8383,2.8064,2.81775,NaN,NaN
2006-10-23,2.81585,2.8873,2.8082,2.86365,1,NaN
2006-10-30,2.86305,2.8733,2.827,2.83845,1,NaN
