time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-24,2.89815,2.98045,2.89815,2.95835,,
2004-06-07,2.9536,2.96205,2.872,2.93335,,
2004-06-21,2.93145,2.93145,2.82825,2.82825,,
2004-07-05,2.82725,2.8481,2.8179,2.84145,,
2004-07-19,2.83895,2.90315,2.8325,2.85695,,
2004-08-02,2.85775,2.85775,2.76605,2.76605,,
2004-08-16,2.77435,2.77435,2.70635,2.74155,,
2004-08-30,2.74175,2.76055,2.735,2.74355,,
2004-09-13,2.73965,2.73965,2.6967,2.70045,,
2004-09-27,2.70195,2.7175,2.61855,2.61855,,
2004-10-11,2.62475,2.6518,2.62415,2.6264,,
2004-10-25,2.6223,2.68595,2.6223,2.6701,,
2004-11-08,2.6642,2.70175,2.6204,2.6204,,
2004-11-22,2.6169,2.694,2.6169,2.694,,
2004-12-06,2.6915,2.7247,2.6915,2.7183,,
2004-12-20,2.7206,2.7206,2.6719,2.6719,,
2005-01-03,2.6703,2.70775,2.6588,2.675,,
2005-01-17,2.6734,2.69885,2.61455,2.6487,,
2005-01-31,2.6558,2.66545,2.60995,2.6167,,
2005-02-14,2.6187,2.66325,2.60515,2.6571,,
2005-02-28,2.6585,2.6603,2.5898,2.6031,,
2005-03-14,2.6045,2.62645,2.5643,2.6185,,
2005-03-28,2.6185,2.67185,2.61775,2.6324,,
2005-04-11,2.6312,2.66595,2.59775,2.6149,,
2005-04-25,2.6148,2.6499,2.5744,2.579,,
2005-05-09,2.5822,2.61905,2.55915,2.5766,,
2005-05-23,2.5806,2.60415,2.5474,2.5933,,
2005-06-06,2.5934,2.5957,2.54145,2.5532,,
2005-06-20,2.54755,2.60155,2.53695,2.58455,,-1
2005-07-04,2.58365,2.62565,2.56255,2.59825,,-1
2005-07-18,2.60485,2.60565,2.52725,2.58275,,-1
2005-08-01,2.58495,2.5891,2.55495,2.5655,,-1
2005-08-15,2.5655,2.59555,2.5526,2.5895,,-1
2005-08-29,2.5919,2.61485,2.5847,2.5983,,-1
2005-09-12,2.5953,2.6027,2.55055,2.58065,,-1
2005-09-26,2.58375,2.6062,2.51655,2.5319,,-1
2005-10-10,2.53345,2.54315,2.49985,2.5262,,
2005-10-24,2.5259,2.57645,2.51075,2.56005,,
2005-11-07,2.56395,2.6409,2.49235,2.49895,,
2005-11-21,2.50205,2.5044,2.4261,2.4303,,
2005-12-05,2.4305,2.57505,2.4136,2.56615,,
2005-12-19,2.56365,2.5961,2.5108,2.52245,,
2006-01-02,2.52015,2.57285,2.51755,2.5439,,
2006-01-16,2.5428,2.6374,2.52715,2.59335,,
2006-01-30,2.59875,2.6051,2.5531,2.56985,,
2006-02-13,2.57195,2.6563,2.5558,2.63385,,
2006-02-27,2.64765,2.7076,2.6154,2.69135,,
2006-03-13,2.68215,2.8669,2.6817,2.8633,,
2006-03-27,2.8544,2.90815,2.80815,2.8644,,
2006-04-10,2.8641,2.87555,2.79635,2.81625,,
2006-04-24,2.81765,2.9023,2.8087,2.89885,,
2006-05-08,2.89805,3.06035,2.895,3.03045,,
2006-05-22,3.03285,3.05445,2.9135,2.98535,,
2006-06-05,2.98645,3.00255,2.9011,2.9971,,
2006-06-19,2.9982,3.06805,2.95765,3.0344,,
2006-07-03,3.0331,3.04715,2.95575,2.96445,,
2006-07-17,2.96505,3.02365,2.9046,3.0168,,
2006-07-31,3.01125,3.06915,2.974,2.98355,,
2006-08-14,2.99205,3.00865,2.9338,2.96375,,
2006-08-28,2.96695,2.978,2.8875,2.92545,,
2006-09-11,2.93045,2.94045,2.819,2.87085,,
2006-09-25,2.87375,2.8891,2.8205,2.84075,,
2006-10-09,2.83885,2.8592,2.8047,2.81775,,-1
2006-10-23,2.81585,2.8873,2.8082,2.83845,,-1
2006-11-06,2.83995,2.88705,2.8323,2.84885,,-1
2006-11-20,2.84975,2.9001,2.8271,2.87795,,-1
2006-12-04,2.87535,2.8872,2.82375,2.83015,,-1
2006-12-18,2.83295,2.8409,2.77005,2.7806,,-1
2007-01-01,2.7806,2.83955,2.753,2.83685,,-1
2007-01-15,2.82975,2.85595,2.79805,2.814,,-1
2007-01-29,2.8154,2.9071,2.80415,2.85095,,
2007-02-12,2.85615,2.86155,2.7593,2.7786,,
2007-02-26,2.7747,2.8551,2.7569,2.79765,,
2007-03-12,2.79225,2.8196,2.7462,2.7583,,
2007-03-26,2.7559,2.7741,2.71509,2.72806,,
2007-04-09,2.72354,2.73315,2.67645,2.67784,,
2007-04-23,2.67979,2.71723,2.67637,2.70497,,
2007-05-07,2.71131,2.72681,2.67608,2.70274,,
2007-05-21,2.70183,2.74372,2.65701,2.66061,,
2007-06-04,2.65797,2.67201,2.57555,2.61725,,
2007-06-18,2.63364,2.6395,2.58755,2.59942,,-1
2007-07-02,2.60197,2.62651,2.55578,2.58427,,-1
2007-07-16,2.58771,2.65531,2.54424,2.64676,,-1
2007-07-30,2.65689,2.72646,2.62549,2.7148,,-1
2007-08-13,2.70515,2.96252,2.70278,2.79214,,-1
2007-08-27,2.77981,2.95358,2.77378,2.93547,,-1
2007-09-10,2.94425,2.97173,2.69374,2.71471,,-1
2007-09-24,2.71931,2.75197,2.66262,2.68268,,-1
2007-10-08,2.67158,2.74997,2.61342,2.74624,,
2007-10-22,2.75428,2.77737,2.65815,2.72967,,
2007-11-05,2.72928,2.77868,2.65602,2.71229,,
2007-11-19,2.70582,2.76553,2.6652,2.69021,1,
2007-12-03,2.69489,2.71497,2.5835,2.6369,1,
2007-12-17,2.62614,2.68724,2.57254,2.57786,1,
