time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,2.89815,2.89815,2.89815,2.89815,NaN,NaN
2004-06-01,2.89815,2.98045,2.89815,2.98045,NaN,NaN
2004-06-04,2.98045,2.98045,2.90475,2.92505,NaN,NaN
2004-06-09,2.92505,2.96205,2.89285,2.89285,NaN,NaN
2004-06-14,2.88995,2.90575,2.872,2.90575,NaN,NaN
2004-06-17,2.90575,2.94885,2.90575,2.91365,NaN,NaN
2004-06-22,2.91365,2.91365,2.87455,2.87455,NaN,NaN
2004-06-25,2.87455,2.87455,2.85525,2.86465,NaN,NaN
2004-06-30,2.86465,2.86465,2.82825,2.82825,NaN,NaN
2004-07-05,2.82725,2.8361,2.8263,2.8263,NaN,NaN
2004-07-08,2.8263,2.83045,2.8179,2.8179,NaN,NaN
2004-07-13,2.8179,2.8481,2.8179,2.8481,NaN,NaN
2004-07-16,2.8481,2.8481,2.8325,2.8325,NaN,NaN
2004-07-21,2.8325,2.88245,2.8325,2.88245,NaN,NaN
2004-07-26,2.88525,2.90315,2.88525,2.90155,NaN,NaN
2004-07-29,2.90155,2.90155,2.85535,2.85535,NaN,NaN
2004-08-03,2.85535,2.85535,2.8235,2.8329,NaN,NaN
2004-08-06,2.8329,2.8329,2.7996,2.7996,NaN,NaN
2004-08-11,2.7996,2.7996,2.76605,2.76605,NaN,NaN
2004-08-16,2.77435,2.77435,2.7451,2.7451,NaN,NaN
2004-08-19,2.7451,2.7451,2.70635,2.733,NaN,NaN
2004-08-24,2.733,2.7665,2.733,2.7576,NaN,NaN
2004-08-27,2.7576,2.7602,2.74155,2.7502,NaN,NaN
2004-09-01,2.7502,2.76055,2.735,2.75015,NaN,NaN
2004-09-06,2.74745,2.7493,2.7387,2.7493,NaN,NaN
2004-09-09,2.7493,2.7493,2.7341,2.7341,NaN,NaN
2004-09-14,2.7341,2.7341,2.70465,2.7155,NaN,NaN
2004-09-17,2.7155,2.7155,2.7018,2.7067,NaN,NaN
2004-09-22,2.7067,2.7067,2.6967,2.70045,NaN,NaN
2004-09-27,2.70195,2.7175,2.68575,2.68575,NaN,NaN
2004-09-30,2.68575,2.68575,2.6648,2.6648,NaN,NaN
2004-10-05,2.6648,2.6648,2.6327,2.6327,NaN,NaN
2004-10-08,2.6327,2.6398,2.61855,2.6398,NaN,NaN
2004-10-13,2.6398,2.6518,2.62415,2.62415,NaN,NaN
2004-10-18,2.63105,2.6321,2.6252,2.6321,NaN,NaN
2004-10-21,2.6321,2.6368,2.6223,2.62845,NaN,NaN
2004-10-26,2.62845,2.67805,2.62845,2.67805,NaN,NaN
2004-10-29,2.67805,2.68595,2.67765,2.6821,NaN,NaN
2004-11-03,2.6821,2.6821,2.66995,2.6701,NaN,NaN
2004-11-08,2.6642,2.70175,2.6642,2.70175,NaN,NaN
2004-11-11,2.70175,2.70175,2.63645,2.63645,NaN,NaN
2004-11-16,2.63645,2.64845,2.62125,2.62125,NaN,NaN
2004-11-19,2.62125,2.62305,2.6169,2.62305,NaN,NaN
2004-11-24,2.62305,2.64605,2.62305,2.6425,NaN,NaN
2004-11-29,2.6409,2.69275,2.6409,2.69275,NaN,NaN
2004-12-02,2.69275,2.69575,2.68825,2.69575,NaN,NaN
2004-12-07,2.69575,2.71435,2.69575,2.71435,NaN,NaN
2004-12-10,2.71435,2.7247,2.71235,2.72,NaN,-1
2004-12-15,2.72,2.72,2.7059,2.7183,NaN,-1
2004-12-20,2.7206,2.7206,2.68835,2.68835,NaN,-1
2004-12-23,2.68835,2.6994,2.67845,2.67845,NaN,-1
2004-12-28,2.67845,2.68575,2.67435,2.6803,NaN,-1
2004-12-31,2.6803,2.6803,2.6719,2.6719,NaN,-1
2005-01-03,2.6703,2.7032,2.6588,2.69345,NaN,-1
2005-01-06,2.69345,2.70605,2.67045,2.70305,NaN,-1
2005-01-11,2.70305,2.70775,2.66085,2.67135,NaN,NaN
2005-01-14,2.67135,2.69885,2.66175,2.68185,NaN,NaN
2005-01-19,2.68185,2.68395,2.61905,2.6266,NaN,NaN
2005-01-24,2.634,2.64075,2.61455,2.62885,NaN,NaN
2005-01-27,2.62885,2.6569,2.62375,2.64955,NaN,NaN
2005-02-01,2.64955,2.65605,2.63575,2.64995,NaN,NaN
2005-02-04,2.64995,2.66545,2.63575,2.65255,NaN,NaN
2005-02-09,2.65255,2.66175,2.60995,2.6167,NaN,NaN
2005-02-14,2.6187,2.65625,2.61755,2.64195,NaN,NaN
2005-02-17,2.64195,2.64485,2.60515,2.6152,NaN,NaN
2005-02-22,2.6152,2.65455,2.60565,2.64785,NaN,NaN
2005-02-25,2.64785,2.66325,2.63415,2.64145,NaN,NaN
2005-03-02,2.64145,2.65355,2.6079,2.6236,NaN,NaN
2005-03-07,2.6237,2.6333,2.5969,2.6061,NaN,-1
2005-03-10,2.6061,2.6214,2.5896,2.5931,NaN,-1
2005-03-15,2.5931,2.6036,2.58,2.5906,NaN,-1
2005-03-18,2.5906,2.5966,2.5643,2.5785,NaN,-1
2005-03-23,2.5785,2.62645,2.5774,2.6185,NaN,-1
2005-03-28,2.6185,2.65865,2.6179,2.65365,NaN,-1
2005-03-31,2.65365,2.66555,2.63625,2.65015,NaN,-1
2005-04-05,2.65015,2.67185,2.61845,2.62695,NaN,-1
2005-04-08,2.62695,2.63525,2.61345,2.6228,NaN,NaN
2005-04-13,2.6228,2.6472,2.59775,2.6438,1,NaN
2005-04-18,2.6416,2.66595,2.6327,2.6372,1,NaN
2005-04-21,2.6372,2.64615,2.6082,2.62245,1,NaN
2005-04-26,2.62245,2.6499,2.60935,2.6165,1,NaN
2005-04-29,2.6165,2.62765,2.59145,2.60445,1,NaN
2005-05-04,2.60445,2.60885,2.5744,2.579,1,NaN
2005-05-09,2.5822,2.5887,2.55915,2.5665,1,NaN
2005-05-12,2.5665,2.61905,2.562,2.60275,1,NaN
2005-05-17,2.60275,2.60365,2.57385,2.58075,NaN,NaN
2005-05-20,2.58075,2.59575,2.55865,2.56175,1,NaN
2005-05-25,2.56175,2.57215,2.5474,2.5493,1,NaN
2005-05-30,2.5547,2.60415,2.55045,2.5945,1,NaN
2005-06-02,2.5945,2.60345,2.56435,2.57285,1,NaN
2005-06-07,2.57285,2.57625,2.55075,2.5561,1,NaN
2005-06-10,2.5561,2.57225,2.54375,2.55315,1,NaN
2005-06-15,2.55315,2.56125,2.54145,2.5532,1,NaN
