time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,1.4688,1.4688,1.45585,1.4639,NaN,NaN
2002-05-13,1.4638,1.4638,1.4503,1.4582,NaN,NaN
2002-05-20,1.4581,1.4599,1.4551,1.4573,NaN,NaN
2002-05-27,1.4573,1.4652,1.4568,1.4568,NaN,NaN
2002-06-03,1.4563,1.4634,1.4563,1.4601,NaN,NaN
2002-06-10,1.4595,1.4769,1.4595,1.4769,NaN,NaN
2002-06-17,1.4778,1.4986,1.4778,1.4974,NaN,NaN
2002-06-24,1.4974,1.5334,1.4974,1.5334,NaN,NaN
2002-07-01,1.5331,1.53595,1.5223,1.5223,NaN,NaN
2002-07-08,1.5222,1.55475,1.5222,1.5536,NaN,NaN
2002-07-15,1.5536,1.5776,1.5536,1.5776,NaN,NaN
2002-07-22,1.577,1.58415,1.5633,1.5648,NaN,NaN
2002-07-29,1.56475,1.57415,1.56125,1.57,NaN,NaN
2002-08-05,1.5703,1.5703,1.5244,1.5244,NaN,NaN
2002-08-12,1.5241,1.5391,1.5241,1.5391,NaN,NaN
2002-08-19,1.5391,1.5391,1.5204,1.5204,NaN,NaN
2002-08-26,1.5201,1.5508,1.5201,1.5508,NaN,NaN
2002-09-02,1.5507,1.5651,1.5481,1.5651,NaN,NaN
2002-09-09,1.5582,1.5616,1.5514,1.5514,NaN,NaN
2002-09-16,1.5511,1.5562,1.5409,1.5547,NaN,NaN
2002-09-23,1.5533,1.5611,1.5513,1.5611,NaN,NaN
2002-09-30,1.5614,1.5706,1.5614,1.5657,NaN,NaN
2002-10-07,1.5647,1.56675,1.5533,1.5625,NaN,NaN
2002-10-14,1.5622,1.5622,1.5462,1.5462,NaN,NaN
2002-10-21,1.5463,1.5542,1.5421,1.5506,NaN,NaN
2002-10-28,1.5475,1.5647,1.5475,1.5637,NaN,NaN
2002-11-04,1.5648,1.5907,1.5575,1.5907,NaN,NaN
2002-11-11,1.5906,1.5906,1.5793,1.5804,NaN,NaN
2002-11-18,1.5796,1.5817,1.5724,1.5801,NaN,-1
2002-11-25,1.5794,1.5794,1.5471,1.5566,NaN,-1
2002-12-02,1.5571,1.5758,1.5571,1.5758,NaN,-1
2002-12-09,1.5791,1.5894,1.5708,1.5894,NaN,-1
2002-12-16,1.5895,1.6041,1.5895,1.6027,NaN,-1
2002-12-23,1.6025,1.6038,1.59395,1.6038,NaN,-1
2002-12-30,1.6032,1.6105,1.59395,1.6094,NaN,-1
2003-01-06,1.6098,1.6123,1.6046,1.6084,NaN,-1
2003-01-13,1.6065,1.6132,1.5998,1.6132,NaN,NaN
2003-01-20,1.6122,1.6337,1.6079,1.6337,NaN,NaN
2003-01-27,1.6332,1.654,1.6332,1.6472,NaN,NaN
