time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2003-10-09,1.6626,1.6665,1.6626,1.6665,NaN,NaN
2003-10-14,1.6665,1.6729,1.6665,1.6729,NaN,NaN
2003-10-17,1.6729,1.6788,1.6709,1.6748,NaN,-1
2003-10-22,1.6748,1.6953,1.6748,1.6953,NaN,-1
2003-10-27,1.6937,1.69915,1.6937,1.69915,NaN,-1
2003-10-30,1.69915,1.69915,1.67605,1.67605,NaN,-1
2003-11-04,1.67605,1.67955,1.66735,1.66735,NaN,-1
2003-11-07,1.66735,1.6749,1.66495,1.66495,NaN,-1
2003-11-12,1.66495,1.6873,1.66495,1.6873,NaN,-1
2003-11-17,1.6879,1.70215,1.6879,1.69815,NaN,-1
2003-11-20,1.69815,1.7042,1.69565,1.69565,NaN,NaN
2003-11-25,1.69565,1.7142,1.69565,1.7142,NaN,-1
2003-11-28,1.7142,1.7291,1.7142,1.7291,NaN,-1
2003-12-03,1.7291,1.7294,1.72175,1.7294,NaN,-1
2003-12-08,1.7298,1.74635,1.7298,1.74345,NaN,-1
2003-12-11,1.74345,1.7466,1.73875,1.74615,NaN,-1
2003-12-16,1.74615,1.77385,1.74615,1.77385,NaN,-1
2003-12-19,1.77385,1.77385,1.7632,1.7632,NaN,-1
2003-12-24,1.7632,1.7757,1.7632,1.7711,NaN,-1
2003-12-29,1.7716,1.7811,1.7716,1.7811,NaN,NaN
2004-01-01,1.7811,1.80595,1.7811,1.80595,NaN,-1
2004-01-06,1.80595,1.83275,1.80595,1.83275,NaN,-1
2004-01-09,1.83275,1.8485,1.83275,1.84615,NaN,-1
2004-01-14,1.84615,1.84615,1.7963,1.7963,NaN,-1
2004-01-19,1.7994,1.83045,1.7828,1.83045,NaN,-1
2004-01-22,1.83045,1.84505,1.81365,1.81365,NaN,-1
2004-01-27,1.81365,1.82795,1.81365,1.8164,NaN,-1
2004-01-30,1.8164,1.83725,1.8164,1.83725,NaN,-1
2004-02-04,1.83725,1.8468,1.83285,1.8468,NaN,NaN
