time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,0.860845,0.860845,0.860845,0.860845,,
2004-06-01,0.860845,0.873175,0.840125,0.848035,,
2004-07-01,0.848035,0.8707,0.835455,0.847925,,
2004-08-02,0.84735,0.87658,0.846525,0.860255,,
2004-09-01,0.860255,0.860255,0.833335,0.85481,,
2004-10-01,0.85481,0.862665,0.832915,0.832915,,
2004-11-01,0.83633,0.851825,0.81626,0.848035,,
2004-12-01,0.848035,0.884015,0.848035,0.8614,,
2005-01-03,0.864305,0.888455,0.84239,0.881135,,
2005-02-01,0.881135,0.904115,0.869565,0.89658,,
2005-03-01,0.89658,0.91021,0.857305,0.861695,,
2005-04-01,0.861695,0.92349,0.857085,0.920475,,
2005-05-02,0.91954,0.92285,0.882065,0.884485,,
2005-06-01,0.884485,0.89702,0.850125,0.854045,,
2005-07-01,0.854045,0.85507,0.80903,0.83264,,
2005-08-01,0.830425,0.85215,0.817795,0.826655,,
2005-09-01,0.826655,0.846525,0.79662,0.804245,,
2005-10-03,0.805085,0.83654,0.801665,0.82802,,
2005-11-01,0.82802,0.832295,0.784435,0.81907,,
2005-12-01,0.81907,0.833195,0.782965,0.79387,,
2006-01-02,0.79387,0.81347,0.77815,0.784195,,
2006-02-01,0.784195,0.79321,0.751175,0.75262,,
2006-03-01,0.75262,0.75913,0.701705,0.718935,,
2006-04-03,0.7194,0.724455,0.695145,0.71304,,
2006-05-01,0.71212,0.715845,0.68554,0.69884,,
2006-06-01,0.69884,0.708645,0.662255,0.680015,,
2006-07-03,0.679415,0.71574,0.67038,0.699815,,
2006-08-01,0.699815,0.726505,0.69461,0.723985,,
2006-09-01,0.723985,0.75103,0.70824,0.72974,,-1
2006-10-02,0.72969,0.758725,0.725345,0.75216,,-1
2006-11-01,0.75216,0.783085,0.748815,0.780455,,-1
2006-12-01,0.780455,0.823585,0.77791,0.82129,,-1
2007-01-01,0.82129,0.83302,0.803245,0.81347,,-1
2007-02-01,0.81347,0.825835,0.79856,0.82028,,-1
2007-03-01,0.82028,0.834865,0.79422,0.82414,,-1
2007-04-02,0.82447,0.84667,0.82079,0.821645,,-1
2007-05-01,0.821645,0.8248,0.77723,0.787555,,
2007-06-01,0.787555,0.82389,0.786615,0.82309,,-1
2007-07-02,0.82085,0.84825,0.805235,0.81309,,-1
2007-08-01,0.81309,0.81427,0.71621,0.740795,,-1
2007-09-03,0.73873,0.7589,0.72055,0.752005,,-1
2007-10-01,0.75536,0.762255,0.71498,0.72929,,-1
2007-11-01,0.72929,0.77428,0.71082,0.76347,,-1
2007-12-03,0.762315,0.80244,0.75039,0.764765,,-1
2008-01-01,0.764765,0.808135,0.759905,0.790035,,-1
2008-02-01,0.790035,0.821005,0.779745,0.788985,,
2008-03-03,0.78841,0.823505,0.776325,0.805725,,
2008-04-01,0.805725,0.817675,0.78218,0.788385,,
2008-05-01,0.788385,0.80047,0.754955,0.77786,,
2008-06-02,0.779015,0.794575,0.762865,0.77862,,
2008-07-01,0.77862,0.77864,0.747045,0.75253,,
2008-08-01,0.75253,0.75989,0.72317,0.74543,,
2008-09-01,0.743785,0.74504,0.692585,0.71298,1,
2008-10-01,0.71298,0.75805,0.643335,0.7064,1,
2008-11-03,0.7079,0.7152,0.66285,0.68068,1,
2008-12-01,0.67583,0.7231,0.65426,0.70682,1,
2009-01-01,0.70682,0.71704,0.6218,0.62573,1,
2009-02-02,0.6248,0.665045,0.614785,0.63931,1,
2009-03-02,0.63781,0.721395,0.62805,0.705,1,
2009-04-01,0.705,0.73225,0.67285,0.67399,1,
2009-05-01,0.67399,0.707085,0.67153,0.69871,,
2009-06-01,0.69935,0.75606,0.68672,0.75063,,
2009-07-01,0.75063,0.75185,0.70471,0.71311,,
2009-08-03,0.71096,0.754445,0.709255,0.74936,,
2009-09-01,0.74936,0.78977,0.740965,0.77337,,
2009-10-01,0.77337,0.80295,0.756125,0.77792,,
2009-11-02,0.77587,0.78944,0.74693,0.75632,,
2009-12-01,0.75632,0.77319,0.735625,0.76127,,
2010-01-01,0.76127,0.77065,0.7462,0.7504,,
2010-02-01,0.74995,0.75522,0.7246,0.73431,,
2010-03-01,0.73723,0.73823,0.70656,0.72156,,
2010-04-01,0.72156,0.74212,0.69795,0.73987,,-1
2010-05-03,0.74024,0.75808,0.699195,0.71078,,-1
2010-06-01,0.71078,0.742915,0.69457,0.7284,,-1
2010-07-01,0.7284,0.76079,0.72411,0.74759,,-1
2010-08-02,0.74699,0.75423,0.72924,0.74493,,-1
2010-09-01,0.74493,0.76376,0.74161,0.75581,,-1
2010-10-01,0.75581,0.78258,0.75371,0.78134,,-1
2010-11-01,0.78076,0.79942,0.75721,0.76236,,-1
2010-12-01,0.76236,0.7788,0.73944,0.77873,,
2011-01-03,0.77218,0.776695,0.746385,0.77373,,
2011-02-01,0.77373,0.776275,0.73072,0.73108,,
2011-03-01,0.73108,0.742835,0.70582,0.73911,,
2011-04-01,0.73911,0.7705,0.73516,0.76572,,
2011-05-02,0.7654,0.80503,0.75374,0.79784,,
2011-06-01,0.79784,0.809225,0.784725,0.79879,,
2011-07-01,0.79879,0.84189,0.78753,0.84015,,
2011-08-01,0.84026,0.842095,0.79572,0.8352,,
2011-09-01,0.8352,0.836775,0.79219,0.79972,,
2011-10-03,0.79873,0.81861,0.79054,0.80739,,
2011-11-01,0.80739,0.81252,0.771965,0.79409,,
2011-12-01,0.79409,0.79528,0.77592,0.7944,,
2012-01-02,0.79408,0.8297,0.78958,0.829,,-1
2012-02-01,0.829,0.84048,0.8248,0.82575,,-1
2012-03-01,0.82575,0.82807,0.800255,0.81722,,-1
2012-04-02,0.82041,0.82775,0.79855,0.80807,,-1
2012-05-01,0.80807,0.80884,0.76367,0.77831,,-1
2012-06-01,0.77831,0.819635,0.77556,0.81466,,-1
2012-07-02,0.81382,0.81887,0.79855,0.81121,,-1
2012-08-01,0.81121,0.82186,0.79031,0.79245,,-1
2012-09-03,0.79068,0.81818,0.781045,0.81675,,
2012-10-01,0.8158,0.823535,0.796665,0.82207,,
2012-11-01,0.82207,0.82706,0.808985,0.81586,,
2012-12-03,0.81586,0.83555,0.81042,0.82213,,
2013-01-01,0.82213,0.846805,0.812535,0.83655,,
2013-02-01,0.83655,0.86167,0.82903,0.850155,,
2013-03-01,0.850155,0.860705,0.83747,0.85183,,
2013-04-01,0.85183,0.87816,0.848995,0.86241,,
2013-05-01,0.86241,0.86368,0.82197,0.82373,,
2013-06-03,0.82373,0.835335,0.79491,0.81425,1,
2013-07-01,0.81425,0.83257,0.805695,0.82061,1,
2013-08-01,0.82061,0.84284,0.804805,0.81434,1,
2013-09-02,0.81434,0.86374,0.81434,0.85673,1,
2013-10-01,0.85673,0.87778,0.84791,0.861805,1,
2013-11-01,0.861805,0.87832,0.856125,0.86119,1,
2013-12-02,0.86119,0.88644,0.86119,0.875655,1,
2014-01-01,0.875655,0.928455,0.86652,0.89993,1,
2014-02-03,0.89993,0.938505,0.89403,0.92783,,
2014-03-03,0.92783,0.965695,0.922165,0.95858,,
2014-04-01,0.95858,0.96254,0.93565,0.9446,,
2014-05-01,0.9446,0.95917,0.91691,0.921585,,
2014-06-02,0.921585,0.94743,0.918155,0.93459,,
2014-07-01,0.93459,0.947925,0.91881,0.927025,,
2014-08-01,0.927025,0.932655,0.90668,0.909675,,
2014-09-01,0.909675,0.912265,0.861555,0.87434,,
2014-10-01,0.87434,0.905235,0.86714,0.87797,,
2014-11-03,0.87797,0.90125,0.871455,0.89539,,
2014-12-01,0.89539,0.915215,0.87302,0.905245,,
2015-01-01,0.905245,0.94499,0.89972,0.92385,,
2015-02-02,0.92385,0.949435,0.90315,0.94601,,
2015-03-02,0.94601,0.962015,0.917685,0.947525,,
2015-04-01,0.947525,0.955825,0.91205,0.919595,,
