time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-31,0.860845,0.860845,0.84051,0.84051,NaN,NaN
2004-06-07,0.842355,0.86159,0.840125,0.85752,NaN,NaN
2004-06-14,0.857595,0.873175,0.85295,0.854155,NaN,NaN
2004-06-21,0.85496,0.858255,0.849075,0.85804,NaN,NaN
2004-06-28,0.85848,0.864415,0.848035,0.85701,NaN,NaN
2004-07-05,0.857595,0.866965,0.857595,0.866025,NaN,NaN
2004-07-12,0.865955,0.8707,0.86103,0.864455,NaN,NaN
2004-07-19,0.86378,0.86378,0.839455,0.839455,NaN,NaN
2004-07-26,0.839455,0.847925,0.835455,0.847925,NaN,NaN
2004-08-02,0.84735,0.85598,0.84735,0.85598,NaN,NaN
2004-08-09,0.8562,0.87658,0.8562,0.872525,NaN,NaN
2004-08-16,0.869415,0.87298,0.866255,0.87298,NaN,NaN
2004-08-23,0.872905,0.872905,0.846525,0.85767,NaN,NaN
2004-08-30,0.85782,0.860255,0.84002,0.84002,NaN,NaN
2004-09-06,0.84065,0.845705,0.833335,0.845705,NaN,NaN
2004-09-13,0.847135,0.85712,0.847135,0.85712,NaN,NaN
2004-09-20,0.85697,0.85697,0.849765,0.852005,NaN,NaN
2004-09-27,0.85237,0.85481,0.847095,0.851135,NaN,NaN
2004-10-04,0.84854,0.85778,0.84854,0.85778,NaN,NaN
2004-10-11,0.855655,0.8614,0.84998,0.8614,NaN,NaN
2004-10-18,0.8594,0.862665,0.85881,0.85881,NaN,NaN
2004-10-25,0.85955,0.85955,0.832915,0.832915,NaN,NaN
2004-11-01,0.83633,0.8397,0.8325,0.8325,NaN,NaN
2004-11-08,0.83157,0.83157,0.81626,0.82713,NaN,NaN
2004-11-15,0.828845,0.851825,0.828845,0.84574,NaN,NaN
2004-11-22,0.8476,0.8476,0.839245,0.843095,NaN,NaN
2004-11-29,0.844165,0.8597,0.844165,0.8597,NaN,NaN
2004-12-06,0.86022,0.869225,0.86022,0.86326,NaN,NaN
2004-12-13,0.85992,0.87974,0.85992,0.87604,NaN,NaN
2004-12-20,0.877575,0.884015,0.87413,0.88285,NaN,NaN
2004-12-27,0.88246,0.88246,0.8614,0.8614,NaN,NaN
2005-01-03,0.864305,0.86813,0.852225,0.85609,NaN,NaN
2005-01-10,0.856675,0.85756,0.84239,0.851425,NaN,NaN
2005-01-17,0.85121,0.87654,0.843135,0.87359,NaN,NaN
2005-01-24,0.87123,0.888455,0.866965,0.88308,NaN,NaN
2005-01-31,0.8809,0.89067,0.877,0.887705,NaN,NaN
2005-02-07,0.886055,0.887745,0.869565,0.88285,NaN,NaN
2005-02-14,0.88246,0.89218,0.878155,0.89055,NaN,NaN
2005-02-21,0.89055,0.904115,0.889045,0.89469,NaN,NaN
2005-02-28,0.89421,0.91021,0.89302,0.90261,NaN,NaN
2005-03-07,0.90318,0.907565,0.88063,0.89254,NaN,NaN
2005-03-14,0.891505,0.89811,0.88798,0.89574,NaN,-1
2005-03-21,0.89437,0.89714,0.86494,0.87025,NaN,-1
2005-03-28,0.87032,0.87032,0.857305,0.86044,NaN,-1
2005-04-04,0.86088,0.88199,0.857085,0.88028,NaN,-1
2005-04-11,0.88028,0.901105,0.879935,0.89246,NaN,-1
2005-04-18,0.89246,0.906905,0.887195,0.903995,NaN,-1
2005-04-25,0.90318,0.92349,0.89706,0.920475,NaN,-1
2005-05-02,0.91954,0.92285,0.906945,0.910915,NaN,-1
2005-05-09,0.909425,0.91395,0.8933,0.900735,NaN,NaN
2005-05-16,0.901225,0.903385,0.889365,0.897825,NaN,-1
2005-05-23,0.89606,0.906125,0.89099,0.897505,NaN,-1
2005-05-30,0.897505,0.898875,0.868695,0.872905,NaN,-1
2005-06-06,0.8723,0.89702,0.87169,0.883705,NaN,-1
2005-06-13,0.88339,0.89274,0.879625,0.88152,NaN,-1
2005-06-20,0.88234,0.887075,0.867455,0.87032,NaN,-1
2005-06-27,0.87108,0.87723,0.84385,0.849545,NaN,-1
2005-07-04,0.85056,0.85128,0.8182,0.82075,NaN,-1
2005-07-11,0.82257,0.829735,0.80903,0.82311,NaN,NaN
2005-07-18,0.82122,0.84016,0.819335,0.83612,NaN,NaN
2005-07-25,0.833475,0.84499,0.829015,0.83264,NaN,NaN
2005-08-01,0.830425,0.84563,0.827475,0.840335,NaN,NaN
2005-08-08,0.838715,0.85175,0.837975,0.84681,NaN,NaN
2005-08-15,0.84782,0.85215,0.83935,0.841115,NaN,NaN
2005-08-22,0.840405,0.84399,0.826655,0.83417,NaN,NaN
2005-08-29,0.832295,0.841045,0.817795,0.83942,NaN,NaN
2005-09-05,0.838995,0.846525,0.829185,0.83389,1,NaN
2005-09-12,0.834585,0.83998,0.827405,0.831325,1,NaN
2005-09-19,0.827575,0.828195,0.801795,0.805155,1,NaN
2005-09-26,0.803925,0.81573,0.79662,0.804245,1,NaN
2005-10-03,0.805085,0.829185,0.801665,0.816795,1,NaN
2005-10-10,0.816125,0.827675,0.811755,0.82672,1,NaN
2005-10-17,0.82672,0.832985,0.81706,0.83174,1,NaN
2005-10-24,0.83091,0.83654,0.81813,0.828295,1,NaN
2005-10-31,0.828435,0.829395,0.80257,0.808995,NaN,NaN
2005-11-07,0.80782,0.832295,0.784435,0.817665,NaN,NaN
2005-11-14,0.816325,0.819335,0.8088,0.81706,NaN,NaN
2005-11-21,0.81586,0.821155,0.8088,0.81553,NaN,NaN
2005-11-28,0.81354,0.830085,0.81195,0.82857,NaN,NaN
2005-12-05,0.828295,0.833195,0.807625,0.814,NaN,NaN
2005-12-12,0.81281,0.82048,0.79491,0.800705,NaN,NaN
2005-12-19,0.80032,0.806905,0.782965,0.785885,NaN,NaN
2005-12-26,0.785885,0.80154,0.784775,0.79387,NaN,NaN
2006-01-02,0.79387,0.807035,0.784625,0.806125,NaN,NaN
2006-01-09,0.805865,0.81347,0.804315,0.81077,1,NaN
2006-01-16,0.809915,0.81268,0.780155,0.78318,1,NaN
2006-01-23,0.783975,0.796305,0.77815,0.78342,1,NaN
2006-01-30,0.78165,0.79321,0.77845,0.787125,1,NaN
2006-02-06,0.787185,0.787305,0.77489,0.78244,1,NaN
2006-02-13,0.78232,0.78672,0.764815,0.768845,1,NaN
2006-02-20,0.76802,0.77137,0.75423,0.761235,1,NaN
2006-02-27,0.7572,0.75913,0.751175,0.75543,1,NaN
2006-03-06,0.755145,0.757835,0.74148,0.744405,NaN,NaN
2006-03-13,0.746575,0.747635,0.728355,0.735595,1,NaN
2006-03-20,0.737,0.737,0.7097,0.7103,1,NaN
2006-03-27,0.71319,0.72033,0.701705,0.718935,1,NaN
2006-04-03,0.7194,0.72304,0.69742,0.69908,1,NaN
2006-04-10,0.699225,0.7195,0.695145,0.71228,1,NaN
2006-04-17,0.71086,0.724455,0.710355,0.720175,1,NaN
2006-04-24,0.72023,0.723455,0.70487,0.71304,1,NaN
2006-05-01,0.71212,0.715845,0.704895,0.708995,1,NaN
2006-05-08,0.71048,0.711185,0.68554,0.696305,NaN,NaN
2006-05-15,0.697815,0.701015,0.687475,0.69341,NaN,NaN
2006-05-22,0.69336,0.71482,0.6907,0.70099,NaN,NaN
2006-05-29,0.70114,0.707035,0.688065,0.69408,NaN,NaN
2006-06-05,0.69452,0.708645,0.69293,0.700895,NaN,NaN
2006-06-12,0.70055,0.700745,0.684205,0.69341,NaN,NaN
2006-06-19,0.69307,0.69874,0.678055,0.68257,NaN,NaN
2006-06-26,0.67951,0.68348,0.662255,0.680015,NaN,NaN
2006-07-03,0.679415,0.68169,0.67038,0.68025,NaN,NaN
2006-07-10,0.68025,0.70272,0.6802,0.699915,NaN,NaN
2006-07-17,0.69967,0.714005,0.699325,0.7096,NaN,NaN
2006-07-24,0.70995,0.71574,0.6966,0.698985,NaN,NaN
2006-07-31,0.699225,0.707185,0.691825,0.704745,NaN,-1
