time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-03,69.235,69.235,69.235,69.235,,
2004-06-01,69.235,69.88,67.73,69.21,,
2004-07-01,69.21,71.785,69.21,70.915,,
2004-08-02,70.82,73.775,70.82,71.545,,
2004-09-01,71.545,74.585,70.8,74.585,,
2004-10-01,74.585,75.285,72.635,72.635,,
2004-11-01,72.665,73.77,72.665,73.58,,
2004-12-01,73.58,74.89,73.545,73.545,,
2005-01-03,73.835,74.295,70.795,73.69,,
2005-02-01,73.69,76.865,73.34,76.035,,
2005-03-01,76.035,78.065,75.52,76.27,,
2005-04-01,76.27,78.425,76.01,76.625,,
2005-05-02,76.685,77.455,75.35,76.52,,
2005-06-01,76.52,78.4,75.235,77.33,,
2005-07-01,77.33,77.33,75.115,76.565,,
2005-08-01,76.485,77.86,76.24,76.995,,
2005-09-01,76.995,78.715,76.685,78.475,,
2005-10-03,78.545,81.785,78.535,81.545,,
2005-11-01,81.545,84.295,77.635,84.185,,
2005-12-01,84.185,87.155,78.045,80.435,,
2006-01-02,80.47,80.725,77.515,80.685,,
2006-02-01,80.685,82.025,76.185,76.635,,
2006-03-01,76.635,78.085,70.53,72.455,,
2006-04-03,72.535,74.76,70.685,72.665,,
2006-05-01,72.505,73.165,67.815,71.465,,
2006-06-01,71.465,72.415,68.875,69.705,,
2006-07-03,69.655,73.565,69.345,70.94,,
2006-08-01,70.94,77.045,70.445,77.015,,
2006-09-01,77.015,78.675,74.005,77.145,,-1
2006-10-02,77.145,79.525,76.73,78.405,,-1
2006-11-01,78.405,79.495,77.395,79.255,,-1
2006-12-01,79.255,84.215,78.355,83.875,,-1
2007-01-01,83.875,85.475,81,83.425,,-1
2007-02-01,83.425,85.835,81.485,83.135,,-1
2007-03-01,83.135,85.165,77.465,84.145,,-1
2007-04-02,84.126,89.029,83.787,88.502,,-1
2007-05-01,88.502,89.863,86.886,89.695,,
2007-06-01,89.695,95.541,89.608,95.179,,-1
2007-07-02,95.059,97.791,89.238,90.43,,-1
2007-08-01,90.43,92.235,74.313,81.236,,-1
2007-09-03,80.959,87.361,76.983,87.044,,-1
2007-10-01,87.242,91.468,83.641,89.276,,-1
2007-11-01,89.276,90.088,80.328,85.038,,-1
2007-12-03,84.664,89.125,83.196,85.571,,-1
2008-01-01,85.571,86.508,78.185,83.836,,-1
2008-02-01,83.836,88.112,82.766,82.845,,
2008-03-03,82.893,83.687,76.755,78.35,,
2008-04-01,78.35,82.926,78.012,81.25,,
2008-05-01,81.25,83.042,78.533,82.623,,
2008-06-02,82.33,82.688,80.247,80.951,,
2008-07-01,80.951,82.018,78.948,79.249,,
2008-08-01,79.249,79.263,73.99,76.232,,
2008-09-01,75.936,75.952,67.256,71.071,1,
2008-10-01,71.071,72.059,49.2435,57.359,1,
2008-11-03,57.713,61.5805,48.668,52.448,1,
2008-12-01,52.171,54.154,47.791,52.476,1,
2009-01-01,52.476,56.3365,45.07,45.763,1,
2009-02-02,45.782,50.511,44.225,48.883,1,
2009-03-02,48.813,57.163,47.735,55.362,1,
2009-04-01,55.362,60.385,52.9125,55.741,1,
2009-05-01,55.741,61.384,55.213,61.027,,
2009-06-01,61.033,63.3975,59.4485,62.224,,
2009-07-01,62.224,63.1015,56.8905,62.656,,
2009-08-03,62.58,65.937,62.424,63.803,,
2009-09-01,63.803,66.392,61.7275,64.874,,
2009-10-01,64.874,69.7415,63.073,64.641,,
2009-11-02,64.237,67.0895,59.9025,61.871,,
2009-12-01,61.871,67.799,61.7415,67.238,,
2010-01-01,67.238,68.687,62.7635,63.276,,
2010-02-01,62.965,64.6865,60.4845,62.111,,
2010-03-01,62.118,66.42,60.6155,66.416,,
2010-04-01,66.416,69.009,64.7855,68.203,,-1
2010-05-03,68.289,69.3705,58.6735,62.091,,-1
2010-06-01,62.091,65.3145,59.9045,60.54,,-1
2010-07-01,60.54,64.69,59.5785,62.777,,-1
2010-08-02,62.703,63.7215,58.4305,58.857,,-1
2010-09-01,58.857,62.989,58.774,61.329,,-1
2010-10-01,61.329,62.665,60.4395,61.629,,-1
2010-11-01,61.51,65.3845,61.3985,62.138,,-1
2010-12-01,62.138,63.5165,61.724,63.304,,
2011-01-03,63.048,64.2565,62.4635,63.416,,
2011-02-01,63.416,63.9175,60.8535,61.535,,
2011-03-01,61.535,63.5095,54.959,63.302,,
2011-04-01,63.302,66.716,63.2315,65.75,,
2011-05-02,65.63,67.429,62.552,67.163,,
2011-06-01,67.163,67.2835,64.344,66.803,,
2011-07-01,66.803,68.265,64.12,67.503,,
2011-08-01,67.979,68.8895,61.4005,65.475,,
2011-09-01,65.475,65.7725,58.2625,58.667,,
2011-10-03,58.703,64.588,57.344,63.057,,
2011-11-01,63.057,63.8345,57.0355,60.577,,
2011-12-01,60.577,61.149,58.2555,59.791,,
2012-01-02,59.801,63.8135,59.484,63.061,,-1
2012-02-01,63.061,68.346,62.5825,67.688,,-1
2012-03-01,67.688,69.137,65.3095,67.819,,-1
2012-04-02,68.393,68.446,65.0915,65.316,,-1
2012-05-01,65.316,65.6095,58.7005,59.014,,-1
2012-06-01,59.014,64.221,57.97,63.948,,-1
2012-07-02,63.941,64.3995,61.0085,63.174,,-1
2012-08-01,63.174,64.7215,62.6185,62.982,,-1
2012-09-03,62.702,65.7055,62.0435,64.699,,
