time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2004-05-27,69.235,69.235,69.235,69.235,NaN,NaN
2004-06-01,69.235,69.535,68.29,68.425,NaN,NaN
2004-06-04,68.425,69.445,68.425,68.825,NaN,NaN
2004-06-09,68.825,69.25,68.235,69.215,NaN,NaN
2004-06-14,69.275,69.88,69.24,69.24,NaN,NaN
2004-06-17,69.24,69.24,68.195,68.475,NaN,NaN
2004-06-22,68.475,68.64,67.73,68.03,NaN,NaN
2004-06-25,68.03,69.195,68.03,68.275,NaN,NaN
2004-06-30,68.275,70.115,68.275,70.115,NaN,NaN
2004-07-05,70.185,71.335,70.185,71.335,NaN,NaN
2004-07-08,71.335,71.55,70.925,71.55,NaN,NaN
2004-07-13,71.55,71.55,71.205,71.435,NaN,NaN
2004-07-16,71.435,71.785,70.98,71.1,NaN,NaN
2004-07-21,71.1,71.1,70.005,70.005,NaN,NaN
2004-07-26,69.975,70.23,69.61,70.23,NaN,NaN
2004-07-29,70.23,70.965,70.23,70.86,NaN,NaN
2004-08-03,70.86,71.99,70.86,71.99,NaN,NaN
2004-08-06,71.99,72.64,71.99,72.64,NaN,NaN
2004-08-11,72.64,73.775,72.64,73.775,NaN,NaN
2004-08-16,73.295,73.46,72.64,72.64,NaN,NaN
2004-08-19,72.64,73.46,72.64,72.67,NaN,NaN
2004-08-24,72.67,72.67,71.02,71.455,NaN,NaN
2004-08-27,71.455,71.645,71.455,71.545,NaN,NaN
2004-09-01,71.545,71.81,71.015,71.375,NaN,NaN
2004-09-06,71.435,71.54,70.8,71.04,NaN,NaN
2004-09-09,71.04,72.32,71.04,72.32,NaN,NaN
2004-09-14,72.32,72.57,72.275,72.35,NaN,NaN
2004-09-17,72.35,72.78,72.35,72.78,NaN,NaN
2004-09-22,72.78,73.975,72.78,73.975,NaN,NaN
2004-09-27,73.875,74.56,73.875,74.285,NaN,NaN
2004-09-30,74.285,74.585,74.285,74.31,NaN,NaN
2004-10-05,74.31,75.285,74.31,75.285,NaN,NaN
2004-10-08,75.285,75.285,74.465,74.465,NaN,NaN
2004-10-13,74.465,75.155,74.27,75.155,NaN,NaN
2004-10-18,74.935,74.935,74.29,74.77,NaN,NaN
2004-10-21,74.77,74.77,74.49,74.76,NaN,NaN
2004-10-26,74.76,74.76,72.635,72.635,NaN,NaN
2004-10-29,72.665,72.82,72.665,72.82,NaN,NaN
2004-11-03,72.82,73.395,72.82,73.395,NaN,NaN
2004-11-08,73.37,73.37,72.91,73.255,NaN,NaN
2004-11-11,73.255,73.77,73.185,73.77,NaN,NaN
2004-11-16,73.77,73.77,73.605,73.605,NaN,NaN
2004-11-19,73.605,73.605,73.085,73.59,NaN,NaN
2004-11-24,73.59,73.59,73.085,73.545,NaN,NaN
2004-11-29,73.585,73.67,73.58,73.67,NaN,NaN
2004-12-02,73.67,74.235,73.635,74.235,NaN,NaN
2004-12-07,74.235,74.395,73.8,74.23,NaN,NaN
2004-12-10,74.23,74.84,73.935,74.84,1,NaN
2004-12-15,74.84,74.89,74.435,74.435,1,NaN
2004-12-20,74.285,74.59,74.1,74.21,1,NaN
2004-12-23,74.21,74.43,73.825,74.43,1,NaN
2004-12-28,74.43,74.43,74.08,74.08,1,NaN
2004-12-31,74.08,74.08,73.545,73.545,1,NaN
2005-01-03,73.835,73.845,72.7,72.79,1,NaN
2005-01-06,72.79,73.59,72.25,72.4,1,NaN
2005-01-11,72.4,72.765,71.555,72.145,NaN,NaN
2005-01-14,72.145,72.225,70.795,71.165,NaN,NaN
2005-01-19,71.165,73.815,71.065,73.415,NaN,NaN
2005-01-24,73.305,74.295,73.145,73.81,1,NaN
