time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-09-02,0.4688,0.472,0.4688,0.4693,,
2002-10-01,0.4693,0.4891,0.4693,0.48625,,
2002-11-01,0.48625,0.5032,0.48625,0.4984,,
2002-12-02,0.4993,0.5215,0.4984,0.5215,,
2003-01-01,0.5215,0.55345,0.5215,0.5448,,
2003-02-03,0.5432,0.5662,0.5432,0.5596,,
2003-03-03,0.5584,0.56705,0.54735,0.55475,,
2003-04-01,0.55475,0.5614,0.5378,0.56085,,
2003-05-01,0.56085,0.5867,0.56085,0.5776,,
2003-06-02,0.5755,0.58755,0.57295,0.58755,,
2003-07-01,0.58755,0.60075,0.5714,0.58125,,
2003-08-01,0.58125,0.5904,0.56955,0.5783,,
2003-09-01,0.5783,0.59595,0.56545,0.59515,,
2003-10-01,0.59515,0.6137,0.5923,0.6137,,
2003-11-03,0.6131,0.6429,0.60745,0.6397,,
2003-12-01,0.6407,0.6563,0.6407,0.6563,,
2004-01-01,0.6563,0.68295,0.6551,0.6739,,
2004-02-02,0.6739,0.70945,0.67345,0.6871,,
2004-03-01,0.6866,0.68905,0.644,0.66835,,
2004-04-01,0.66835,0.66875,0.62115,0.6258,,
2004-05-03,0.627,0.636,0.5977,0.63215,,
2004-06-01,0.63215,0.641,0.6175,0.6363,,
2004-07-01,0.6363,0.66085,0.62745,0.6369,,
2004-08-02,0.6378,0.6725,0.6378,0.6554,,
2004-09-01,0.6554,0.6777,0.646,0.6777,,
2004-10-01,0.6777,0.70045,0.66955,0.6833,,
2004-11-01,0.6866,0.717,0.6836,0.71505,,
2004-12-01,0.71505,0.72235,0.7018,0.71865,,
2005-01-03,0.7188,0.7193,0.6904,0.71065,,
2005-02-01,0.71065,0.7304,0.6957,0.7267,,-1
2005-03-01,0.7267,0.74655,0.70395,0.71185,,-1
2005-04-01,0.71185,0.7351,0.7015,0.7316,,-1
2005-05-02,0.7316,0.7378,0.7033,0.70485,,-1
2005-06-01,0.70485,0.7192,0.69275,0.69715,,-1
2005-07-01,0.69715,0.69785,0.66835,0.6806,,-1
2005-08-01,0.6806,0.711,0.6781,0.69595,,-1
2005-09-01,0.69595,0.71235,0.67805,0.6914,,-1
2005-10-03,0.6914,0.70905,0.68815,0.70055,,
2005-11-01,0.70055,0.70715,0.66025,0.70265,,
2005-12-01,0.70265,0.72005,0.6704,0.6831,,
2006-01-02,0.6831,0.70035,0.67585,0.68845,,
2006-02-01,0.68845,0.69195,0.65635,0.66195,,
2006-03-01,0.66195,0.66885,0.59945,0.6152,,
2006-04-03,0.6152,0.6388,0.60125,0.6384,,
2006-05-01,0.6384,0.64445,0.61445,0.63445,,
2006-06-01,0.63445,0.63555,0.59275,0.6091,,
2006-07-03,0.6091,0.62835,0.60265,0.61865,,
2006-08-01,0.61865,0.65645,0.61535,0.65605,,
2006-09-01,0.65605,0.67255,0.6344,0.6528,,-1
2006-10-02,0.653,0.67165,0.64875,0.67025,,-1
2006-11-01,0.67025,0.68615,0.65745,0.68435,,-1
2006-12-01,0.68435,0.70735,0.68195,0.7044,,-1
2007-01-01,0.7044,0.70975,0.6812,0.69115,,-1
2007-02-01,0.69115,0.7122,0.6769,0.70115,,-1
2007-03-01,0.70115,0.7211,0.67225,0.71415,,-1
2007-04-02,0.71415,0.7492,0.71315,0.74045,,-1
2007-05-01,0.74045,0.74456,0.72368,0.73681,,
2007-06-01,0.73681,0.77394,0.73613,0.77271,,-1
2007-07-02,0.77209,0.81088,0.7552,0.76235,,-1
2007-08-01,0.76235,0.771625,0.66457,0.70168,,-1
2007-09-03,0.70168,0.75883,0.68265,0.7578,,-1
2007-10-01,0.7578,0.77875,0.73664,0.77336,,-1
2007-11-01,0.77336,0.7893,0.74365,0.76435,,-1
2007-12-03,0.76435,0.79384,0.75087,0.76599,,-1
2008-01-01,0.76599,0.7933,0.7385,0.78775,,-1
2008-02-01,0.78775,0.821405,0.77823,0.79865,,
2008-03-03,0.79865,0.82156,0.78466,0.78588,,
2008-04-01,0.78588,0.80342,0.77276,0.78215,,
2008-05-01,0.78215,0.79366,0.753955,0.78303,,
2008-06-02,0.78303,0.7893,0.74476,0.76216,,
2008-07-01,0.76216,0.77628,0.73106,0.73439,,
2008-08-01,0.73439,0.73451,0.68264,0.70058,,
2008-09-01,0.70058,0.70058,0.643675,0.66975,1,
2008-10-01,0.66975,0.67886,0.53515,0.5826,1,
2008-11-03,0.5826,0.61306,0.51923,0.54901,1,
2008-12-01,0.54634,0.60828,0.52021,0.579,1,
2009-01-01,0.579,0.603505,0.50473,0.50888,1,
2009-02-02,0.50888,0.54459,0.49618,0.50088,1,
2009-03-02,0.50088,0.58035,0.48943,0.55947,1,
2009-04-01,0.55947,0.59838,0.54875,0.56525,1,
2009-05-01,0.56525,0.64177,0.5628,0.64002,,
2009-06-01,0.64137,0.65946,0.6153,0.64575,,
2009-07-01,0.64575,0.66342,0.61953,0.66175,,
2009-08-03,0.66175,0.68974,0.65921,0.68525,,
2009-09-01,0.68525,0.73079,0.66862,0.7231,,
2009-10-01,0.7231,0.76366,0.70796,0.71751,,
2009-11-02,0.7162,0.75242,0.702575,0.71598,,
2009-12-01,0.71598,0.73198,0.69723,0.72285,,
2010-01-01,0.72285,0.74426,0.70086,0.701,,
2010-02-01,0.70024,0.71518,0.680875,0.69812,,
2010-03-01,0.69812,0.71787,0.68522,0.7106,,
2010-04-01,0.7106,0.732605,0.69658,0.72686,,-1
2010-05-03,0.72686,0.73238,0.65618,0.68048,,-1
2010-06-01,0.68048,0.71607,0.65736,0.68468,,-1
2010-07-01,0.68468,0.73966,0.679535,0.72605,,-1
2010-08-02,0.72605,0.73564,0.6948,0.69909,,-1
2010-09-01,0.69909,0.7417,0.69804,0.73429,,-1
2010-10-01,0.73429,0.76682,0.73292,0.76646,,-1
2010-11-01,0.76646,0.79762,0.73979,0.74252,,-1
2010-12-01,0.74252,0.78145,0.734415,0.78026,,
2011-01-03,0.77623,0.77943,0.75259,0.77295,,
