time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-09-23,0.4688,0.472,0.4688,0.4712,NaN,NaN
2002-09-30,0.4703,0.4791,0.4693,0.4791,NaN,NaN
2002-10-07,0.4788,0.48355,0.4788,0.47955,NaN,NaN
2002-10-14,0.4804,0.48175,0.47845,0.4814,NaN,NaN
2002-10-21,0.4815,0.4872,0.4815,0.4872,NaN,NaN
2002-10-28,0.4872,0.492,0.48305,0.492,NaN,NaN
2002-11-04,0.4917,0.4997,0.4917,0.4966,NaN,NaN
2002-11-11,0.4954,0.5001,0.4933,0.5,NaN,NaN
2002-11-18,0.5,0.5032,0.4972,0.5032,NaN,NaN
2002-11-25,0.503,0.503,0.49425,0.4984,NaN,NaN
2002-12-02,0.4993,0.5019,0.4984,0.5019,NaN,NaN
2002-12-09,0.5022,0.5142,0.5016,0.5142,NaN,NaN
2002-12-16,0.5135,0.51785,0.5135,0.516,NaN,NaN
2002-12-23,0.5168,0.5196,0.51565,0.5196,NaN,NaN
2002-12-30,0.5192,0.5286,0.5192,0.5286,NaN,NaN
2003-01-06,0.5274,0.5388,0.5274,0.5388,NaN,NaN
2003-01-13,0.5378,0.5518,0.5378,0.5518,NaN,NaN
2003-01-20,0.5525,0.55345,0.54225,0.5502,NaN,NaN
2003-01-27,0.549,0.54945,0.5448,0.5448,NaN,NaN
2003-02-03,0.5432,0.5497,0.5432,0.5497,NaN,NaN
2003-02-10,0.5505,0.55375,0.54905,0.5528,NaN,NaN
2003-02-17,0.5528,0.55845,0.54965,0.5581,NaN,NaN
2003-02-24,0.5583,0.5662,0.5583,0.5596,NaN,NaN
2003-03-03,0.5584,0.56705,0.5584,0.5625,NaN,NaN
2003-03-10,0.5625,0.5625,0.54735,0.5515,NaN,NaN
2003-03-17,0.5516,0.55315,0.54795,0.5501,NaN,NaN
2003-03-24,0.5518,0.5518,0.54755,0.5508,NaN,NaN
2003-03-31,0.5511,0.55475,0.5407,0.5407,NaN,NaN
2003-04-07,0.5378,0.54785,0.5378,0.5458,NaN,NaN
2003-04-14,0.5449,0.55745,0.5449,0.5566,NaN,NaN
2003-04-21,0.5566,0.5614,0.55385,0.5548,NaN,NaN
2003-04-28,0.556,0.5641,0.55575,0.5641,NaN,NaN
2003-05-05,0.5635,0.5762,0.5635,0.5762,NaN,NaN
2003-05-12,0.5788,0.5816,0.57135,0.5816,NaN,NaN
2003-05-19,0.5859,0.5867,0.58135,0.5849,NaN,NaN
2003-05-26,0.5843,0.58565,0.5776,0.5776,NaN,NaN
2003-06-02,0.5755,0.58035,0.5755,0.5768,NaN,NaN
2003-06-09,0.5766,0.581,0.57295,0.581,NaN,NaN
2003-06-16,0.5815,0.58525,0.5815,0.5838,NaN,NaN
2003-06-23,0.5835,0.58675,0.5789,0.582,NaN,NaN
2003-06-30,0.5831,0.59595,0.5831,0.59595,NaN,NaN
2003-07-07,0.595,0.60075,0.5887,0.5915,NaN,NaN
2003-07-14,0.5907,0.5907,0.5731,0.5731,NaN,NaN
2003-07-21,0.5714,0.5878,0.5714,0.5878,NaN,NaN
2003-07-28,0.5853,0.5877,0.58125,0.5845,NaN,NaN
2003-08-04,0.5844,0.5844,0.57895,0.5817,NaN,NaN
2003-08-11,0.5808,0.5904,0.5808,0.5904,NaN,NaN
2003-08-18,0.5904,0.5904,0.58435,0.5857,NaN,NaN
2003-08-25,0.5837,0.5837,0.56955,0.5783,NaN,NaN
2003-09-01,0.5783,0.5783,0.56545,0.5769,NaN,NaN
2003-09-08,0.5769,0.58495,0.57665,0.5834,NaN,NaN
2003-09-15,0.584,0.5923,0.584,0.5923,NaN,NaN
2003-09-22,0.5949,0.59595,0.5887,0.5887,NaN,NaN
2003-09-29,0.5887,0.59975,0.5887,0.5923,NaN,NaN
2003-10-06,0.59445,0.6004,0.59445,0.6004,NaN,NaN
2003-10-13,0.6011,0.6011,0.59455,0.5968,NaN,NaN
2003-10-20,0.5983,0.6094,0.59575,0.6094,NaN,NaN
2003-10-27,0.6081,0.6137,0.6081,0.6137,NaN,NaN
2003-11-03,0.6131,0.6176,0.60745,0.6176,NaN,NaN
2003-11-10,0.6163,0.6313,0.6163,0.6313,NaN,NaN
2003-11-17,0.6309,0.6429,0.62665,0.6429,NaN,NaN
2003-11-24,0.6419,0.64235,0.63605,0.6397,NaN,NaN
2003-12-01,0.6407,0.64655,0.6407,0.6451,NaN,NaN
2003-12-08,0.6456,0.64885,0.6456,0.648,NaN,NaN
2003-12-15,0.64525,0.65085,0.6447,0.6447,NaN,NaN
2003-12-22,0.6452,0.6475,0.64125,0.6468,NaN,-1
2003-12-29,0.6469,0.659,0.6469,0.659,NaN,-1
2004-01-05,0.6594,0.6819,0.6594,0.6819,NaN,-1
2004-01-12,0.6818,0.68295,0.6645,0.6645,NaN,-1
2004-01-19,0.6645,0.67705,0.65545,0.6728,NaN,-1
2004-01-26,0.6716,0.67825,0.66995,0.6739,NaN,-1
2004-02-02,0.6739,0.6939,0.67345,0.6939,NaN,-1
2004-02-09,0.6894,0.7016,0.6894,0.7016,NaN,-1
2004-02-16,0.7006,0.70945,0.6839,0.6839,NaN,NaN
2004-02-23,0.6839,0.69055,0.68165,0.6871,NaN,NaN
2004-03-01,0.6866,0.68905,0.66715,0.6748,NaN,NaN
2004-03-08,0.6758,0.67585,0.644,0.644,NaN,NaN
2004-03-15,0.6487,0.65935,0.64625,0.6548,NaN,NaN
2004-03-22,0.655,0.66145,0.64525,0.6515,NaN,NaN
2004-03-29,0.6513,0.66875,0.6513,0.6587,NaN,NaN
2004-04-05,0.6574,0.6602,0.6509,0.6602,NaN,NaN
2004-04-12,0.6608,0.66295,0.6351,0.6393,NaN,NaN
2004-04-19,0.6415,0.6445,0.62115,0.6288,NaN,NaN
2004-04-26,0.6267,0.6312,0.6224,0.6258,NaN,NaN
2004-05-03,0.627,0.636,0.6183,0.6183,NaN,NaN
2004-05-10,0.6163,0.6163,0.5999,0.6044,NaN,NaN
2004-05-17,0.6044,0.6079,0.5977,0.6079,NaN,NaN
2004-05-24,0.6088,0.63435,0.60755,0.6324,NaN,NaN
2004-05-31,0.6315,0.63215,0.6175,0.622,NaN,NaN
2004-06-07,0.6233,0.6339,0.6179,0.6288,NaN,NaN
2004-06-14,0.6289,0.63805,0.6221,0.6267,NaN,NaN
2004-06-21,0.6271,0.6357,0.62425,0.6357,NaN,NaN
2004-06-28,0.636,0.6473,0.6309,0.6473,NaN,NaN
2004-07-05,0.6479,0.657,0.64725,0.657,NaN,NaN
2004-07-12,0.6572,0.66085,0.6506,0.6592,NaN,NaN
2004-07-19,0.6595,0.6595,0.6354,0.6354,NaN,NaN
2004-07-26,0.6353,0.6369,0.62745,0.6369,NaN,NaN
2004-08-02,0.6378,0.6521,0.6378,0.6521,NaN,NaN
2004-08-09,0.653,0.6664,0.65265,0.6664,NaN,NaN
2004-08-16,0.6643,0.6725,0.66385,0.6725,NaN,NaN
2004-08-23,0.6724,0.6724,0.64785,0.6532,NaN,NaN
2004-08-30,0.6532,0.65555,0.646,0.646,NaN,NaN
2004-09-06,0.6466,0.6548,0.6466,0.6548,NaN,NaN
2004-09-13,0.6561,0.66185,0.6561,0.6606,NaN,NaN
2004-09-20,0.6606,0.6687,0.6606,0.6687,NaN,NaN
2004-09-27,0.6684,0.6777,0.66565,0.6748,NaN,NaN
2004-10-04,0.6719,0.6853,0.66955,0.6853,NaN,NaN
2004-10-11,0.6841,0.6875,0.67665,0.6875,NaN,NaN
2004-10-18,0.6858,0.69305,0.68495,0.69305,NaN,NaN
2004-10-25,0.6972,0.70045,0.6833,0.6833,NaN,NaN
2004-11-01,0.6866,0.6951,0.68365,0.6951,NaN,NaN
2004-11-08,0.69615,0.69615,0.6836,0.6935,NaN,NaN
2004-11-15,0.6944,0.7089,0.6944,0.7089,NaN,NaN
2004-11-22,0.7102,0.717,0.70935,0.717,NaN,NaN
2004-11-29,0.7167,0.7213,0.71505,0.7213,NaN,NaN
