time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,1.56675,1.57005,1.5585,1.5585,NaN,NaN
2002-05-13,1.5585,1.5585,1.55395,1.5547,NaN,NaN
2002-05-20,1.5465,1.5465,1.53185,1.533,NaN,NaN
2002-05-27,1.5329,1.5349,1.5282,1.5282,NaN,NaN
2002-06-03,1.5368,1.5368,1.52715,1.53325,NaN,NaN
2002-06-10,1.5329,1.5467,1.5329,1.5467,NaN,NaN
2002-06-17,1.5464,1.5464,1.5204,1.5204,NaN,NaN
2002-06-24,1.5209,1.5209,1.51065,1.5188,NaN,NaN
2002-07-01,1.5188,1.5314,1.51635,1.5224,NaN,NaN
2002-07-08,1.5225,1.5335,1.51195,1.5335,NaN,NaN
2002-07-15,1.5331,1.5449,1.5331,1.543,NaN,NaN
2002-07-22,1.5431,1.5865,1.5431,1.5865,NaN,NaN
2002-07-29,1.5862,1.59055,1.5724,1.5847,NaN,NaN
2002-08-05,1.5838,1.59635,1.5732,1.5732,NaN,NaN
2002-08-12,1.5733,1.57395,1.55885,1.559,NaN,NaN
2002-08-19,1.559,1.5747,1.55655,1.5567,NaN,NaN
2002-08-26,1.5564,1.55915,1.55425,1.559,NaN,NaN
2002-09-02,1.559,1.57235,1.55305,1.57235,NaN,NaN
2002-09-09,1.5591,1.58705,1.5591,1.58,NaN,NaN
2002-09-16,1.58,1.58115,1.5735,1.5735,NaN,NaN
2002-09-23,1.5736,1.58715,1.5736,1.5789,NaN,NaN
2002-09-30,1.5785,1.5919,1.5785,1.5919,NaN,NaN
2002-10-07,1.5921,1.59795,1.5869,1.5869,NaN,NaN
2002-10-14,1.5867,1.58725,1.56975,1.5736,NaN,NaN
2002-10-21,1.5741,1.5741,1.5642,1.5674,NaN,NaN
2002-10-28,1.5674,1.5674,1.55765,1.5578,NaN,-1
2002-11-04,1.5584,1.5646,1.55395,1.5646,NaN,-1
2002-11-11,1.5641,1.5843,1.5641,1.5843,NaN,-1
2002-11-18,1.5837,1.5905,1.5777,1.5783,NaN,-1
2002-11-25,1.5771,1.5771,1.565,1.565,NaN,-1
2002-12-02,1.5631,1.5656,1.5562,1.5656,NaN,-1
2002-12-09,1.5649,1.5649,1.5544,1.5609,NaN,-1
2002-12-16,1.5613,1.5613,1.54885,1.5497,NaN,-1
2002-12-23,1.5507,1.5697,1.5478,1.5697,NaN,NaN
2002-12-30,1.5681,1.573,1.5646,1.5646,1,NaN
2003-01-06,1.5642,1.5642,1.5454,1.5454,1,NaN
2003-01-13,1.5464,1.5464,1.5346,1.5354,1,NaN
2003-01-20,1.5349,1.5356,1.5184,1.5184,1,NaN
2003-01-27,1.5187,1.52835,1.5187,1.5218,1,NaN
2003-02-03,1.5206,1.52125,1.51465,1.5208,1,NaN
2003-02-10,1.5209,1.52965,1.51775,1.523,1,NaN
2003-02-17,1.5224,1.5224,1.505,1.505,1,NaN
2003-02-24,1.505,1.505,1.4841,1.4841,NaN,NaN
2003-03-03,1.4837,1.4837,1.4656,1.4656,1,NaN
2003-03-10,1.4658,1.48405,1.46525,1.4732,1,NaN
2003-03-17,1.4732,1.4944,1.4732,1.4944,1,NaN
2003-03-24,1.4918,1.4918,1.46285,1.4719,1,NaN
2003-03-31,1.4714,1.474,1.46775,1.4719,1,NaN
2003-04-07,1.4744,1.47735,1.4532,1.4532,1,NaN
2003-04-14,1.4531,1.45495,1.44975,1.4505,1,NaN
2003-04-21,1.4505,1.45675,1.4465,1.4465,1,NaN
2003-04-28,1.446,1.44765,1.4184,1.4184,NaN,NaN
2003-05-05,1.419,1.419,1.3925,1.3934,NaN,NaN
2003-05-12,1.3898,1.3898,1.3661,1.3661,NaN,NaN
2003-05-19,1.35315,1.3746,1.35035,1.3746,NaN,NaN
2003-05-26,1.37975,1.38545,1.3668,1.3668,NaN,NaN
2003-06-02,1.37205,1.37205,1.34205,1.3593,NaN,NaN
2003-06-09,1.35995,1.3624,1.3338,1.3338,NaN,NaN
2003-06-16,1.33425,1.3597,1.33425,1.3597,NaN,NaN
2003-06-23,1.35955,1.35955,1.34695,1.347,NaN,NaN
2003-06-30,1.34735,1.3525,1.33615,1.3402,NaN,NaN
2003-07-07,1.3402,1.38295,1.3402,1.3767,NaN,NaN
2003-07-14,1.37645,1.4067,1.37395,1.4067,NaN,-1
2003-07-21,1.4079,1.4167,1.3805,1.3805,NaN,-1
2003-07-28,1.3815,1.40425,1.3815,1.3989,NaN,-1
2003-08-04,1.3988,1.4045,1.3916,1.3916,NaN,-1
2003-08-11,1.3915,1.39415,1.37945,1.3867,NaN,-1
2003-08-18,1.3868,1.40685,1.3868,1.4011,NaN,-1
2003-08-25,1.402,1.40245,1.3865,1.3865,NaN,-1
2003-09-01,1.3849,1.39355,1.3685,1.3685,NaN,-1
2003-09-08,1.3704,1.37455,1.3654,1.3654,NaN,NaN
2003-09-15,1.3651,1.36905,1.3487,1.3487,NaN,NaN
2003-09-22,1.3431,1.357,1.3431,1.3532,NaN,NaN
2003-09-29,1.3539,1.3539,1.34045,1.3437,NaN,NaN
2003-10-06,1.34515,1.34515,1.3209,1.3209,NaN,NaN
2003-10-13,1.3198,1.3277,1.3157,1.3157,NaN,NaN
2003-10-20,1.3138,1.3204,1.3035,1.3072,NaN,NaN
2003-10-27,1.3075,1.3185,1.3075,1.3185,NaN,NaN
2003-11-03,1.3195,1.33835,1.3195,1.3231,1,NaN
2003-11-10,1.3225,1.3225,1.29935,1.3024,1,NaN
2003-11-17,1.3029,1.3126,1.2995,1.3023,1,NaN
2003-11-24,1.3017,1.3194,1.2988,1.2988,1,NaN
2003-12-01,1.2997,1.31215,1.29815,1.3052,1,NaN
2003-12-08,1.3049,1.3184,1.29835,1.317,1,NaN
2003-12-15,1.32205,1.3373,1.3126,1.3373,1,NaN
2003-12-22,1.3344,1.3344,1.3068,1.3068,1,NaN
2003-12-29,1.3098,1.3108,1.2884,1.2884,NaN,NaN
2004-01-05,1.2877,1.2899,1.2713,1.2713,NaN,NaN
2004-01-12,1.2723,1.3002,1.2717,1.3002,NaN,NaN
2004-01-19,1.2988,1.3131,1.2906,1.3131,1,NaN
2004-01-26,1.3141,1.3301,1.3052,1.3246,1,NaN
2004-02-02,1.3241,1.3386,1.3241,1.327,1,NaN
2004-02-09,1.3282,1.3302,1.31395,1.3163,1,NaN
2004-02-16,1.3161,1.337,1.3105,1.337,1,NaN
2004-02-23,1.3379,1.3422,1.3289,1.3355,1,NaN
2004-03-01,1.3347,1.3426,1.3217,1.3217,1,NaN
2004-03-08,1.3217,1.3355,1.3189,1.3355,1,NaN
2004-03-15,1.3338,1.3387,1.32795,1.3343,NaN,NaN
2004-03-22,1.3342,1.3413,1.3185,1.3185,NaN,-1
2004-03-29,1.3193,1.3193,1.3068,1.3147,NaN,-1
2004-04-05,1.3141,1.3297,1.3085,1.3297,NaN,-1
2004-04-12,1.3289,1.3449,1.3289,1.3449,NaN,-1
2004-04-19,1.346,1.3616,1.3443,1.3616,NaN,-1
2004-04-26,1.3606,1.37555,1.348,1.3723,NaN,-1
2004-05-03,1.3721,1.3827,1.3694,1.3827,NaN,-1
2004-05-10,1.3842,1.3933,1.3842,1.3894,NaN,-1
2004-05-17,1.3885,1.3968,1.3675,1.3732,NaN,NaN
2004-05-24,1.3731,1.3731,1.3567,1.3621,NaN,-1
2004-05-31,1.3623,1.3684,1.3513,1.3513,NaN,-1
2004-06-07,1.3515,1.3638,1.34685,1.3638,NaN,-1
2004-06-14,1.3636,1.375,1.3629,1.3629,NaN,-1
2004-06-21,1.3634,1.3654,1.3451,1.3497,NaN,-1
2004-06-28,1.3498,1.3498,1.324,1.324,NaN,-1
2004-07-05,1.3236,1.3281,1.3181,1.3181,NaN,-1
2004-07-12,1.3176,1.32345,1.3114,1.3114,NaN,-1
2004-07-19,1.3097,1.3214,1.3077,1.3211,NaN,NaN
2004-07-26,1.3213,1.333,1.3213,1.3313,NaN,NaN
2004-08-02,1.3285,1.33235,1.3126,1.3126,NaN,NaN
2004-08-09,1.3112,1.33145,1.3093,1.3093,NaN,NaN
2004-08-16,1.3088,1.3088,1.2972,1.2981,NaN,NaN
2004-08-23,1.2982,1.313,1.2982,1.313,NaN,NaN
2004-08-30,1.3132,1.318,1.2995,1.3003,NaN,NaN
2004-09-06,1.3001,1.3001,1.2871,1.2915,NaN,NaN
2004-09-13,1.2912,1.3014,1.2905,1.2975,NaN,NaN
2004-09-20,1.2973,1.2973,1.2741,1.2741,NaN,NaN
2004-09-27,1.2752,1.2752,1.2613,1.2613,1,NaN
2004-10-04,1.2629,1.2717,1.2517,1.2517,1,NaN
2004-10-11,1.2508,1.25695,1.2508,1.253,1,NaN
2004-10-18,1.2531,1.2585,1.2339,1.2339,1,NaN
2004-10-25,1.2329,1.2329,1.2177,1.2177,1,NaN
2004-11-01,1.2181,1.2241,1.1977,1.1977,1,NaN
2004-11-08,1.1945,1.2001,1.1927,1.1927,1,NaN
2004-11-15,1.1936,1.206,1.193,1.193,1,NaN
2004-11-22,1.1935,1.1935,1.1759,1.1759,NaN,NaN
2004-11-29,1.1779,1.1942,1.1779,1.1919,1,NaN
2004-12-06,1.1911,1.2253,1.1911,1.2253,1,NaN
2004-12-13,1.2253,1.2355,1.2248,1.2271,1,NaN
2004-12-20,1.2277,1.24165,1.2277,1.23235,1,NaN
2004-12-27,1.2306,1.2306,1.1996,1.1996,1,NaN
2005-01-03,1.2024,1.2396,1.2004,1.2316,1,NaN
2005-01-10,1.2332,1.234,1.1947,1.2175,1,NaN
2005-01-17,1.2171,1.2367,1.2122,1.2223,1,NaN
2005-01-24,1.2216,1.247,1.2144,1.2389,NaN,NaN
2005-01-31,1.2397,1.2503,1.2309,1.2496,NaN,-1
2005-02-07,1.2496,1.2582,1.236,1.2363,NaN,-1
2005-02-14,1.2363,1.2452,1.2266,1.2314,NaN,-1
2005-02-21,1.2318,1.24985,1.2232,1.2385,NaN,-1
2005-02-28,1.2394,1.2494,1.2276,1.2316,NaN,-1
2005-03-07,1.2318,1.2351,1.1996,1.2065,NaN,-1
2005-03-14,1.2057,1.2099,1.1979,1.2027,NaN,-1
2005-03-21,1.2037,1.21965,1.1986,1.2183,NaN,-1
2005-03-28,1.2184,1.22645,1.2057,1.2143,NaN,NaN
2005-04-04,1.2151,1.23215,1.2149,1.2289,NaN,NaN
2005-04-11,1.2288,1.2478,1.2238,1.2466,NaN,NaN
2005-04-18,1.2454,1.2498,1.2316,1.2348,NaN,NaN
2005-04-25,1.2332,1.2618,1.2331,1.2582,NaN,NaN
2005-05-02,1.2591,1.2638,1.2387,1.2424,NaN,NaN
2005-05-09,1.242,1.2658,1.2358,1.2653,NaN,-1
2005-05-16,1.2654,1.27335,1.2556,1.2661,NaN,-1
2005-05-23,1.2662,1.2694,1.2515,1.2542,NaN,-1
2005-05-30,1.2575,1.2633,1.2425,1.2468,NaN,-1
2005-06-06,1.2476,1.2587,1.2426,1.2517,NaN,-1
2005-06-13,1.2509,1.2589,1.2287,1.2293,NaN,-1
2005-06-20,1.2313,1.243,1.22675,1.2338,NaN,-1
2005-06-27,1.2343,1.24305,1.2234,1.2422,NaN,-1
2005-07-04,1.2442,1.2479,1.2175,1.219,NaN,NaN
2005-07-11,1.2192,1.2218,1.2023,1.2207,NaN,NaN
2005-07-18,1.2213,1.22475,1.2109,1.2194,NaN,NaN
2005-07-25,1.2189,1.2428,1.2155,1.2234,NaN,NaN
2005-08-01,1.2221,1.2262,1.20675,1.2163,NaN,NaN
2005-08-08,1.2164,1.21905,1.1925,1.1971,NaN,NaN
2005-08-15,1.1973,1.2219,1.1943,1.2113,NaN,NaN
2005-08-22,1.2108,1.2132,1.1862,1.1999,NaN,NaN
2005-08-29,1.1969,1.2031,1.1809,1.188,NaN,NaN
2005-09-05,1.1884,1.1943,1.1729,1.178,NaN,NaN
2005-09-12,1.177,1.1897,1.1763,1.1792,1,NaN
2005-09-19,1.1816,1.1831,1.1623,1.1703,1,NaN
2005-09-26,1.1728,1.182,1.1589,1.1632,1,NaN
2005-10-03,1.1624,1.1867,1.1623,1.1742,1,NaN
2005-10-10,1.1748,1.1894,1.1686,1.1868,1,NaN
2005-10-17,1.1863,1.1884,1.1708,1.188,1,NaN
2005-10-24,1.1884,1.1924,1.1642,1.1771,1,NaN
2005-10-31,1.1778,1.1866,1.1717,1.1836,1,NaN
2005-11-07,1.1845,1.1973,1.1802,1.1897,NaN,NaN
2005-11-14,1.1896,1.1977,1.1855,1.1886,NaN,NaN
2005-11-21,1.1886,1.1909,1.1677,1.1699,NaN,NaN
2005-11-28,1.169,1.1736,1.1604,1.1621,NaN,NaN
2005-12-05,1.1624,1.1641,1.15335,1.1574,NaN,NaN
2005-12-12,1.1577,1.1614,1.14275,1.1591,NaN,NaN
2005-12-19,1.1597,1.1753,1.1581,1.1657,NaN,NaN
2005-12-26,1.1657,1.1747,1.16075,1.1622,NaN,NaN
2006-01-02,1.1622,1.1727,1.1453,1.1656,NaN,NaN
2006-01-09,1.1657,1.1748,1.1561,1.1604,NaN,NaN
2006-01-16,1.159,1.1798,1.1517,1.1526,NaN,NaN
2006-01-23,1.1531,1.1583,1.1456,1.1496,NaN,NaN
2006-01-30,1.1485,1.1503,1.1377,1.1444,NaN,NaN
2006-02-06,1.1438,1.15625,1.142,1.1527,NaN,NaN
2006-02-13,1.1535,1.1612,1.1501,1.1503,NaN,NaN
2006-02-20,1.1506,1.1557,1.1454,1.1485,NaN,NaN
2006-02-27,1.1494,1.151,1.1299,1.1343,NaN,NaN
2006-03-06,1.1342,1.165,1.1334,1.1606,NaN,NaN
2006-03-13,1.16,1.1637,1.1515,1.1586,NaN,NaN
2006-03-20,1.1588,1.1722,1.1573,1.1675,NaN,NaN
2006-03-27,1.168,1.1746,1.1577,1.1686,NaN,NaN
2006-04-03,1.1682,1.1773,1.1438,1.1494,NaN,NaN
2006-04-10,1.1491,1.1535,1.1427,1.1518,NaN,NaN
2006-04-17,1.1506,1.1537,1.1352,1.1379,NaN,NaN
2006-04-24,1.13585,1.1398,1.1163,1.1169,NaN,NaN
2006-05-01,1.1167,1.11885,1.10145,1.1054,NaN,NaN
2006-05-08,1.1066,1.11645,1.09745,1.1095,NaN,NaN
2006-05-15,1.1087,1.12735,1.10115,1.1179,NaN,NaN
2006-05-22,1.1203,1.12675,1.10455,1.106,NaN,NaN
2006-05-29,1.1066,1.1101,1.09285,1.101,NaN,NaN
2006-06-05,1.101,1.1244,1.0977,1.1064,NaN,NaN
2006-06-12,1.1067,1.1253,1.0965,1.1229,NaN,NaN
2006-06-19,1.1226,1.1289,1.1032,1.1228,NaN,NaN
2006-06-26,1.1185,1.1267,1.1081,1.1164,NaN,NaN
2006-07-03,1.1156,1.1191,1.10405,1.1137,NaN,NaN
2006-07-10,1.1139,1.1399,1.1133,1.1285,NaN,NaN
2006-07-17,1.1283,1.14055,1.1263,1.1379,NaN,NaN
2006-07-24,1.1372,1.1457,1.1283,1.1316,NaN,NaN
2006-07-31,1.13,1.1374,1.1219,1.1274,NaN,NaN
2006-08-07,1.1272,1.1284,1.1171,1.1248,NaN,NaN
2006-08-14,1.125,1.1319,1.1143,1.1256,NaN,NaN
2006-08-21,1.1256,1.1258,1.1051,1.1091,NaN,NaN
2006-08-28,1.109,1.1129,1.10305,1.1042,NaN,NaN
2006-09-04,1.1043,1.1208,1.1041,1.1206,NaN,NaN
2006-09-11,1.1204,1.1236,1.1121,1.1191,NaN,NaN
2006-09-18,1.1196,1.1296,1.1121,1.1176,NaN,NaN
2006-09-25,1.1178,1.1191,1.1086,1.1179,NaN,-1
2006-10-02,1.1176,1.1305,1.1147,1.1256,NaN,-1
2006-10-09,1.126,1.1386,1.1212,1.1379,NaN,-1
2006-10-16,1.1372,1.1413,1.1205,1.1255,NaN,-1
2006-10-23,1.1252,1.1323,1.1179,1.1197,NaN,-1
2006-10-30,1.1196,1.1374,1.118,1.1299,NaN,-1
2006-11-06,1.1298,1.1365,1.1258,1.1321,NaN,-1
2006-11-13,1.1313,1.1475,1.1304,1.1468,NaN,-1
2006-11-20,1.1464,1.1494,1.1306,1.1348,NaN,NaN
2006-11-27,1.1317,1.1466,1.1288,1.1449,NaN,NaN
2006-12-04,1.1448,1.1516,1.1373,1.1496,NaN,NaN
2006-12-11,1.1488,1.1589,1.1457,1.1579,NaN,NaN
2006-12-18,1.1578,1.1589,1.1432,1.1586,NaN,NaN
2006-12-25,1.1586,1.1669,1.15725,1.1659,NaN,NaN
2007-01-01,1.1659,1.1788,1.1625,1.1732,NaN,NaN
2007-01-08,1.1732,1.1804,1.1685,1.1705,NaN,NaN
2007-01-15,1.1696,1.1774,1.1647,1.1724,NaN,NaN
2007-01-22,1.1723,1.18505,1.1715,1.1798,NaN,NaN
2007-01-29,1.1795,1.187,1.1738,1.1843,NaN,NaN
2007-02-05,1.1843,1.1875,1.1715,1.1725,NaN,NaN
2007-02-12,1.1734,1.1767,1.1622,1.1633,NaN,NaN
2007-02-19,1.1642,1.1715,1.1566,1.1598,NaN,NaN
2007-02-26,1.1596,1.1776,1.1576,1.1773,NaN,NaN
2007-03-05,1.1766,1.1826,1.1704,1.1724,NaN,NaN
2007-03-12,1.1726,1.178,1.1681,1.1759,NaN,NaN
2007-03-19,1.1773,1.1787,1.1529,1.1608,NaN,NaN
2007-03-26,1.1607,1.1638,1.15,1.15401,NaN,NaN
2007-04-02,1.1519,1.15976,1.1488,1.15141,NaN,NaN
2007-04-09,1.15085,1.15314,1.133,1.13786,NaN,NaN
2007-04-16,1.13675,1.13681,1.12145,1.12381,1,NaN
2007-04-23,1.12331,1.1249,1.11286,1.11631,1,NaN
2007-04-30,1.11591,1.11986,1.10326,1.10771,1,NaN
2007-05-07,1.107,1.11662,1.10071,1.11061,1,NaN
2007-05-14,1.11071,1.11267,1.087805,1.08866,1,NaN
2007-05-21,1.08966,1.09001,1.077755,1.08036,1,NaN
2007-05-28,1.07946,1.083635,1.059885,1.06085,1,NaN
2007-06-04,1.06115,1.071375,1.055005,1.0608,1,NaN
2007-06-11,1.06135,1.073925,1.059,1.0678,NaN,NaN
2007-06-18,1.067,1.075835,1.06161,1.06796,NaN,NaN
2007-06-25,1.0691,1.07341,1.046205,1.0652,NaN,NaN
2007-07-02,1.06315,1.0638,1.046375,1.04947,NaN,NaN
2007-07-09,1.04942,1.061175,1.044535,1.04762,NaN,NaN
2007-07-16,1.0483,1.049785,1.040005,1.04875,1,NaN
2007-07-23,1.0483,1.06485,1.034105,1.06425,1,NaN
2007-07-30,1.0644,1.070025,1.050205,1.05695,1,NaN
2007-08-06,1.0568,1.064275,1.046335,1.05325,1,NaN
2007-08-13,1.0538,1.086905,1.048505,1.05995,1,NaN
2007-08-20,1.05995,1.0665,1.047335,1.05201,1,NaN
2007-08-27,1.05201,1.06785,1.047135,1.05575,1,NaN
2007-09-03,1.05585,1.058325,1.04715,1.0552,1,NaN
2007-09-10,1.0552,1.05925,1.027755,1.02985,NaN,NaN
2007-09-17,1.03015,1.031305,0.9933,1.0009,NaN,NaN
2007-09-24,0.9998,1.009605,0.991505,0.99235,1,NaN
2007-10-01,0.9937,1.001645,0.978705,0.9806,1,NaN
2007-10-08,0.9811,0.989585,0.9718,0.9719,1,NaN
2007-10-15,0.97215,0.982185,0.96338,0.96683,1,NaN
2007-10-22,0.96698,0.982405,0.958965,0.96209,1,NaN
2007-10-29,0.9612,0.962775,0.932725,0.93473,1,NaN
2007-11-05,0.93515,0.94485,0.905845,0.9448,1,NaN
2007-11-12,0.94585,0.98876,0.9434,0.9733,1,NaN
