time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-05-06,1.5849,1.60955,1.5849,1.5912,NaN,NaN
2002-05-13,1.5912,1.6145,1.5803,1.5803,NaN,NaN
2002-05-20,1.5811,1.5811,1.5693,1.5782,NaN,NaN
2002-05-27,1.5826,1.5826,1.56225,1.568,NaN,NaN
2002-06-03,1.5697,1.5697,1.5558,1.5578,NaN,NaN
2002-06-10,1.5584,1.56605,1.55535,1.5608,NaN,NaN
2002-06-17,1.5609,1.56265,1.5106,1.5106,NaN,NaN
2002-06-24,1.5108,1.51215,1.4807,1.4807,NaN,NaN
2002-07-01,1.4814,1.5077,1.4814,1.5077,NaN,NaN
2002-07-08,1.5059,1.5059,1.4821,1.4824,NaN,NaN
2002-07-15,1.4833,1.4833,1.4423,1.4423,NaN,NaN
2002-07-22,1.4419,1.46925,1.43935,1.4658,NaN,NaN
2002-07-29,1.46635,1.4866,1.46635,1.4702,NaN,NaN
2002-08-05,1.4695,1.5128,1.4695,1.5031,NaN,NaN
2002-08-12,1.5031,1.5031,1.4857,1.4886,NaN,NaN
2002-08-19,1.4898,1.51945,1.4898,1.5131,NaN,NaN
2002-08-26,1.5124,1.51425,1.49245,1.4973,NaN,NaN
2002-09-02,1.4979,1.4979,1.47085,1.4731,NaN,NaN
2002-09-09,1.4848,1.5109,1.4848,1.5109,NaN,NaN
2002-09-16,1.5114,1.5155,1.4819,1.4913,NaN,NaN
2002-09-23,1.4924,1.5027,1.4908,1.4943,NaN,NaN
2002-09-30,1.4932,1.4932,1.4747,1.4928,NaN,NaN
2002-10-07,1.4919,1.4981,1.4791,1.4823,NaN,NaN
2002-10-14,1.4815,1.5119,1.48125,1.5118,NaN,NaN
2002-10-21,1.5117,1.5117,1.5005,1.5032,NaN,NaN
2002-10-28,1.5027,1.5027,1.4668,1.4668,NaN,-1
2002-11-04,1.4675,1.4675,1.4432,1.4432,NaN,-1
2002-11-11,1.4437,1.4606,1.4437,1.4521,NaN,-1
2002-11-18,1.4526,1.4765,1.4526,1.4765,NaN,-1
2002-11-25,1.4771,1.4893,1.4771,1.483,NaN,-1
2002-12-02,1.4833,1.4833,1.4573,1.4573,NaN,-1
2002-12-09,1.4554,1.4617,1.4444,1.4444,NaN,-1
2002-12-16,1.4426,1.4426,1.4229,1.4243,NaN,-1
2002-12-23,1.4233,1.4233,1.3904,1.3904,NaN,NaN
2002-12-30,1.392,1.40235,1.3839,1.3989,1,NaN
2003-01-06,1.3976,1.3997,1.3799,1.3799,1,NaN
2003-01-13,1.3801,1.3865,1.3687,1.3687,1,NaN
2003-01-20,1.3708,1.3708,1.3532,1.3532,1,NaN
2003-01-27,1.3528,1.3642,1.3524,1.3642,1,NaN
2003-02-03,1.3612,1.3613,1.3469,1.3547,1,NaN
2003-02-10,1.3568,1.3704,1.355,1.3622,1,NaN
2003-02-17,1.3663,1.3762,1.3573,1.3655,1,NaN
2003-02-24,1.3696,1.3696,1.3527,1.3527,NaN,NaN
2003-03-03,1.3551,1.3551,1.3312,1.3358,NaN,NaN
2003-03-10,1.3355,1.3666,1.325,1.3666,NaN,NaN
2003-03-17,1.3628,1.4029,1.3628,1.4029,NaN,NaN
2003-03-24,1.3925,1.3925,1.3699,1.3699,NaN,NaN
2003-03-31,1.36765,1.3856,1.3504,1.3856,NaN,NaN
2003-04-07,1.3931,1.3931,1.38,1.3929,NaN,NaN
2003-04-14,1.3941,1.3941,1.3707,1.38165,NaN,NaN
2003-04-21,1.38015,1.38775,1.36135,1.3618,NaN,NaN
2003-04-28,1.36055,1.3715,1.34385,1.3439,NaN,NaN
2003-05-05,1.3445,1.3445,1.313,1.3141,NaN,NaN
2003-05-12,1.3102,1.3249,1.3074,1.3074,NaN,NaN
2003-05-19,1.29655,1.3003,1.2886,1.2886,NaN,NaN
2003-05-26,1.29065,1.2979,1.28355,1.2979,NaN,NaN
2003-06-02,1.30515,1.3198,1.3005,1.3198,NaN,NaN
2003-06-09,1.32015,1.32015,1.298,1.298,NaN,NaN
2003-06-16,1.29725,1.3284,1.29725,1.3284,NaN,NaN
2003-06-23,1.33205,1.35135,1.32375,1.35,NaN,NaN
2003-06-30,1.35005,1.3513,1.34315,1.3489,NaN,NaN
2003-07-07,1.3489,1.3755,1.3489,1.3755,NaN,NaN
2003-07-14,1.37625,1.3856,1.3622,1.3622,NaN,-1
2003-07-21,1.3618,1.3619,1.3443,1.3443,NaN,-1
2003-07-28,1.34725,1.37095,1.3461,1.3648,NaN,-1
2003-08-04,1.3635,1.3635,1.3466,1.3595,NaN,-1
2003-08-11,1.3603,1.3709,1.35835,1.3709,NaN,-1
2003-08-18,1.3717,1.4175,1.3717,1.4175,NaN,-1
2003-08-25,1.4205,1.4205,1.4002,1.4002,NaN,-1
2003-09-01,1.4,1.41885,1.3826,1.3826,NaN,-1
2003-09-08,1.3833,1.391,1.3786,1.3791,NaN,NaN
2003-09-15,1.3804,1.3897,1.3681,1.3681,NaN,NaN
2003-09-22,1.3606,1.3606,1.3436,1.345,NaN,NaN
2003-09-29,1.3455,1.3455,1.3135,1.337,NaN,NaN
2003-10-06,1.3373,1.3373,1.3126,1.3132,NaN,NaN
2003-10-13,1.3119,1.3358,1.3119,1.3281,NaN,NaN
2003-10-20,1.326,1.3327,1.3131,1.3131,NaN,NaN
2003-10-27,1.3149,1.3407,1.3149,1.3407,NaN,NaN
2003-11-03,1.3394,1.3777,1.3394,1.3619,NaN,NaN
2003-11-10,1.3641,1.3688,1.3269,1.3269,NaN,NaN
2003-11-17,1.3268,1.3268,1.2946,1.298,NaN,NaN
2003-11-24,1.2983,1.321,1.2912,1.2912,NaN,NaN
2003-12-01,1.2926,1.2976,1.2747,1.2747,NaN,NaN
2003-12-08,1.2753,1.2753,1.2616,1.2616,NaN,NaN
2003-12-15,1.27735,1.27735,1.24845,1.2557,NaN,NaN
2003-12-22,1.2527,1.2591,1.2474,1.2541,1,NaN
2003-12-29,1.2517,1.2517,1.2383,1.2383,1,NaN
2004-01-05,1.2395,1.23975,1.2202,1.2202,1,NaN
2004-01-12,1.2209,1.2679,1.2209,1.2679,1,NaN
2004-01-19,1.2658,1.27015,1.23405,1.2423,1,NaN
2004-01-26,1.2426,1.25885,1.24045,1.2573,1,NaN
2004-02-02,1.2566,1.26145,1.2342,1.2342,1,NaN
2004-02-09,1.2412,1.2412,1.22985,1.2383,1,NaN
2004-02-16,1.2366,1.2601,1.22715,1.2601,NaN,NaN
2004-02-23,1.262,1.26775,1.24165,1.2621,NaN,NaN
2004-03-01,1.2624,1.29535,1.2624,1.2761,NaN,NaN
2004-03-08,1.2748,1.2871,1.2702,1.2834,NaN,NaN
2004-03-15,1.2793,1.2793,1.2569,1.27,NaN,NaN
2004-03-22,1.2701,1.2846,1.25845,1.2846,NaN,-1
2004-03-29,1.2848,1.29,1.26345,1.29,NaN,-1
2004-04-05,1.2913,1.30395,1.27695,1.2819,NaN,-1
2004-04-12,1.2818,1.29955,1.2818,1.2949,NaN,-1
2004-04-19,1.291,1.3148,1.2892,1.3148,NaN,-1
2004-04-26,1.3176,1.3176,1.29295,1.2954,NaN,-1
2004-05-03,1.2951,1.302,1.27425,1.302,NaN,-1
2004-05-10,1.3027,1.3027,1.29435,1.2958,NaN,-1
2004-05-17,1.2961,1.2961,1.27525,1.2832,NaN,NaN
2004-05-24,1.2826,1.2826,1.24555,1.2522,NaN,NaN
2004-05-31,1.249,1.25405,1.2395,1.2395,NaN,NaN
2004-06-07,1.2385,1.2598,1.23705,1.2598,NaN,NaN
2004-06-14,1.2599,1.26645,1.2448,1.2448,NaN,NaN
2004-06-21,1.2442,1.25305,1.2442,1.2467,NaN,NaN
2004-06-28,1.2472,1.2661,1.2333,1.2333,NaN,NaN
2004-07-05,1.2313,1.23695,1.2229,1.2229,NaN,NaN
2004-07-12,1.2232,1.2365,1.2232,1.2252,NaN,NaN
2004-07-19,1.2258,1.2674,1.2258,1.2674,NaN,NaN
2004-07-26,1.266,1.2818,1.26475,1.2818,NaN,NaN
2004-08-02,1.2759,1.2793,1.2507,1.2507,NaN,NaN
2004-08-09,1.2499,1.262,1.2384,1.2384,NaN,NaN
2004-08-16,1.2386,1.2504,1.2386,1.2504,NaN,NaN
2004-08-23,1.2508,1.2822,1.2508,1.2822,NaN,NaN
2004-08-30,1.2824,1.2824,1.2602,1.2713,NaN,NaN
2004-09-06,1.2711,1.2711,1.2584,1.2584,NaN,NaN
2004-09-13,1.2572,1.26985,1.2572,1.268,NaN,NaN
2004-09-20,1.2679,1.27145,1.25355,1.2613,NaN,NaN
2004-09-27,1.2604,1.26125,1.24615,1.2494,NaN,NaN
2004-10-04,1.2515,1.26455,1.251,1.251,NaN,NaN
2004-10-11,1.2489,1.25555,1.2341,1.2341,NaN,NaN
2004-10-18,1.2332,1.2332,1.21755,1.21755,NaN,NaN
2004-10-25,1.2088,1.2088,1.19655,1.2002,NaN,NaN
2004-11-01,1.1933,1.20415,1.1775,1.1775,1,NaN
2004-11-08,1.1766,1.18345,1.1715,1.1715,1,NaN
2004-11-15,1.1707,1.17945,1.1616,1.1616,1,NaN
2004-11-22,1.1604,1.16285,1.1389,1.1389,1,NaN
2004-11-29,1.1405,1.15135,1.1306,1.1306,1,NaN
2004-12-06,1.1319,1.1612,1.1319,1.1612,1,NaN
2004-12-13,1.1617,1.1617,1.14095,1.1581,1,NaN
2004-12-20,1.1547,1.1547,1.143,1.143,1,NaN
2004-12-27,1.1427,1.1427,1.1317,1.1396,NaN,NaN
2005-01-03,1.1405,1.18885,1.13695,1.1846,NaN,NaN
2005-01-10,1.1842,1.18705,1.16285,1.1798,NaN,NaN
2005-01-17,1.1806,1.19695,1.17495,1.1857,NaN,NaN
2005-01-24,1.1859,1.19725,1.17805,1.1866,NaN,NaN
2005-01-31,1.1877,1.2122,1.18555,1.2113,NaN,-1
2005-02-07,1.2121,1.22625,1.20415,1.2108,NaN,-1
2005-02-14,1.2095,1.2095,1.18115,1.183,NaN,-1
2005-02-21,1.1853,1.18625,1.15725,1.1619,NaN,-1
2005-02-28,1.162,1.18395,1.15785,1.1698,NaN,-1
2005-03-07,1.1691,1.17795,1.14885,1.1502,NaN,-1
2005-03-14,1.1502,1.16875,1.1484,1.1638,NaN,-1
2005-03-21,1.1646,1.20305,1.1643,1.1999,NaN,-1
2005-03-28,1.1994,1.2085,1.18815,1.2026,NaN,NaN
2005-04-04,1.2044,1.21465,1.19705,1.1974,NaN,NaN
2005-04-11,1.1972,1.21975,1.18985,1.2005,NaN,-1
2005-04-18,1.2009,1.20425,1.17445,1.1811,NaN,-1
2005-04-25,1.1813,1.19795,1.1807,1.1952,NaN,-1
2005-05-02,1.1963,1.20865,1.1881,1.2069,NaN,-1
2005-05-09,1.2069,1.2252,1.19625,1.2234,NaN,-1
2005-05-16,1.2245,1.23605,1.21515,1.2339,NaN,-1
2005-05-23,1.2345,1.23815,1.22445,1.2305,NaN,-1
