time,open,high,low,close,Long Bias Aktiv,Short Bias Aktiv
2002-04-29,1.5849,1.60955,1.5849,1.5912,,
2002-05-13,1.5912,1.6145,1.5693,1.5782,,
2002-05-27,1.5826,1.5826,1.5558,1.5578,,
2002-06-10,1.5584,1.56605,1.5106,1.5106,,
2002-06-24,1.5108,1.51215,1.4807,1.5077,,
2002-07-08,1.5059,1.5059,1.4423,1.4423,,
2002-07-22,1.4419,1.4866,1.43935,1.4702,,
2002-08-05,1.4695,1.5128,1.4695,1.4886,,
2002-08-19,1.4898,1.51945,1.4898,1.4973,,
2002-09-02,1.4979,1.5109,1.47085,1.5109,,
2002-09-16,1.5114,1.5155,1.4819,1.4943,,
2002-09-30,1.4932,1.4981,1.4747,1.4823,,
2002-10-14,1.4815,1.5119,1.48125,1.5032,,
2002-10-28,1.5027,1.5027,1.4432,1.4432,,
2002-11-11,1.4437,1.4765,1.4437,1.4765,,
2002-11-25,1.4771,1.4893,1.4573,1.4573,,
2002-12-09,1.4554,1.4617,1.4229,1.4243,,
2002-12-23,1.4233,1.4233,1.3839,1.3989,,
2003-01-06,1.3976,1.3997,1.3687,1.3687,,
2003-01-20,1.3708,1.3708,1.3524,1.3642,,
2003-02-03,1.3612,1.3704,1.3469,1.3622,,
2003-02-17,1.3663,1.3762,1.3527,1.3527,,
2003-03-03,1.3551,1.3666,1.325,1.3666,,
2003-03-17,1.3628,1.4029,1.3628,1.3699,,
2003-03-31,1.36765,1.3931,1.3504,1.3929,,
2003-04-14,1.3941,1.3941,1.36135,1.3618,,-1
2003-04-28,1.36055,1.3715,1.313,1.3141,,-1
2003-05-12,1.3102,1.3249,1.2886,1.2886,,-1
2003-05-26,1.29065,1.3198,1.28355,1.3198,,-1
2003-06-09,1.32015,1.3284,1.29725,1.3284,,-1
2003-06-23,1.33205,1.35135,1.32375,1.3489,,-1
2003-07-07,1.3489,1.3856,1.3489,1.3622,,-1
2003-07-21,1.3618,1.37095,1.3443,1.3648,,-1
2003-08-04,1.3635,1.3709,1.3466,1.3709,,
2003-08-18,1.3717,1.4205,1.3717,1.4002,,
2003-09-01,1.4,1.41885,1.3786,1.3791,,
2003-09-15,1.3804,1.3897,1.3436,1.345,,
2003-09-29,1.3455,1.3455,1.3126,1.3132,,
2003-10-13,1.3119,1.3358,1.3119,1.3131,,
2003-10-27,1.3149,1.3777,1.3149,1.3619,,
2003-11-10,1.3641,1.3688,1.2946,1.298,,-1
2003-11-24,1.2983,1.321,1.2747,1.2747,,-1
2003-12-08,1.2753,1.27735,1.24845,1.2557,,-1
2003-12-22,1.2527,1.2591,1.2383,1.2383,,-1
2004-01-05,1.2395,1.2679,1.2202,1.2679,,-1
2004-01-19,1.2658,1.27015,1.23405,1.2573,,-1
2004-02-02,1.2566,1.26145,1.22985,1.2383,,-1
2004-02-16,1.2366,1.26775,1.22715,1.2621,,-1
2004-03-01,1.2624,1.29535,1.2624,1.2834,,
2004-03-15,1.2793,1.2846,1.2569,1.2846,,
