pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,2W,ALL,H12,H4,2,1,1,0.08294468617284301,50.0,1.165889372345686,-1.0
AUDNZD,2W,ALL,H12,H4,2,2,0,1.1070827395407674,100.0,1.1070827395407674,
AUDUSD,2W,ALL,H12,H4,1,0,1,-1.0,0.0,,-1.0
CADJPY,2W,ALL,H12,H4,1,0,1,-1.0,0.0,,-1.0
CHFJPY,2W,ALL,H12,H4,3,1,2,-0.24777325019383975,33.33333333333333,1.2566802494184808,-1.0
EURAUD,2W,ALL,H12,H4,1,1,0,0.9785853131399055,100.0,0.9785853131399055,
EURCAD,2W,ALL,H12,H4,1,0,1,-1.0,0.0,,-1.0
EURGBP,2W,ALL,H12,H4,2,2,0,1.1082621820198728,100.0,1.1082621820198728,
EURUSD,2W,ALL,H12,H4,1,0,1,-1.0,0.0,,-1.0
NZDCAD,2W,ALL,H12,H4,2,0,2,-1.0,0.0,,-1.0
NZDCHF,2W,ALL,H12,H4,1,0,1,-1.0,0.0,,-1.0
NZDJPY,2W,ALL,H12,H4,2,1,1,0.15068010822430422,50.0,1.3013602164486084,-1.0
NZDUSD,2W,ALL,H12,H4,3,1,2,-0.34731393896127094,33.33333333333333,0.9580581831161872,-1.0
USDCAD,2W,ALL,H12,H4,3,1,2,-0.33188832936014295,33.33333333333333,1.004335011919571,-1.0
USDCHF,2W,ALL,H12,H4,1,1,0,1.0186835395543534,100.0,1.0186835395543534,
ALL,ALL,ALL,ALL,ALL,26,11,15,-0.11098916426676639,42.30769230769231,1.1012983390058246,-1.0
