pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,3D,ALL,3D,H4,1,0,1,-1.0,0.0,,-1.0
AUDCHF,3D,ALL,3D,H4,5,2,3,-0.07596121883656437,40.0,1.310096952908589,-1.0
AUDJPY,3D,ALL,3D,H4,1,0,1,-1.0,0.0,,-1.0
AUDNZD,3D,ALL,3D,H4,3,1,2,-0.17,33.33333333333333,1.49,-1.0
CADCHF,3D,ALL,3D,H4,1,1,0,1.49,100.0,1.49,
CADJPY,3D,ALL,3D,H4,4,2,2,0.12725107040391948,50.0,1.254502140807839,-1.0
CHFJPY,3D,ALL,3D,H4,1,1,0,1.4099981688335517,100.0,1.4099981688335517,
EURAUD,3D,ALL,3D,H4,1,1,0,1.0961634280020016,100.0,1.0961634280020016,
EURCAD,3D,ALL,3D,H4,5,4,1,0.962015170670038,80.0,1.4525189633375475,-1.0
EURCHF,3D,ALL,3D,H4,5,3,2,0.29617972590189867,60.0,1.160299543169831,-1.0
EURGBP,3D,ALL,3D,H4,2,2,0,1.4620165889061725,100.0,1.4620165889061725,
EURJPY,3D,ALL,3D,H4,1,1,0,1.0086004691165142,100.0,1.0086004691165142,
EURUSD,3D,ALL,3D,H4,3,0,3,-1.0,0.0,,-1.0
NZDCAD,3D,ALL,3D,H4,2,0,2,-1.0,0.0,,-1.0
NZDCHF,3D,ALL,3D,H4,3,3,0,1.3320943290286325,100.0,1.3320943290286325,
NZDJPY,3D,ALL,3D,H4,1,0,1,-1.0,0.0,,-1.0
NZDUSD,3D,ALL,3D,H4,3,1,2,-0.17,33.33333333333333,1.49,-1.0
USDCAD,3D,ALL,3D,H4,1,1,0,1.49,100.0,1.49,
USDCHF,3D,ALL,3D,H4,2,1,1,0.245,50.0,1.49,-1.0
USDJPY,3D,ALL,3D,H4,4,0,4,-1.0,0.0,,-1.0
ALL,ALL,ALL,ALL,ALL,49,24,25,0.1490867530845479,48.97959183673469,1.346052120880952,-1.0
