pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,3D,ALL,D1,H4,6,3,3,0.14856348355648266,50.0,1.2971269671129653,-1.0
AUDCHF,3D,ALL,D1,H4,6,3,3,0.17615341719182842,50.0,1.3523068343836568,-1.0
AUDJPY,3D,ALL,D1,H4,9,4,5,0.09312656948113315,44.44444444444444,1.4595347813325494,-1.0
AUDNZD,3D,ALL,D1,H4,11,6,5,0.2534107677234118,54.54545454545454,1.297919740826255,-1.0
AUDUSD,3D,ALL,D1,H4,5,0,5,-1.0,0.0,,-1.0
CADCHF,3D,ALL,D1,H4,9,6,3,0.596276386802247,66.66666666666666,1.3944145802033703,-1.0
CADJPY,3D,ALL,D1,H4,4,3,1,0.7893115371640629,75.0,1.3857487162187505,-1.0
CHFJPY,3D,ALL,D1,H4,10,3,7,-0.3192549661544194,30.0,1.269150112818602,-1.0
EURAUD,3D,ALL,D1,H4,8,5,3,0.4255458608472578,62.5,1.2808733773556127,-1.0
EURCAD,3D,ALL,D1,H4,10,4,6,-0.07915024156366608,40.0,1.3021243960908349,-1.0
EURCHF,3D,ALL,D1,H4,5,1,4,-0.5452115812917524,20.0,1.2739420935412382,-1.0
EURGBP,3D,ALL,D1,H4,9,2,7,-0.4466666666666667,22.22222222222222,1.4899999999999998,-1.0
EURJPY,3D,ALL,D1,H4,9,5,4,0.3248929893930834,55.55555555555556,1.38480738090755,-1.0
EURNZD,3D,ALL,D1,H4,5,3,2,0.40988721741416345,60.0,1.3498120290236058,-1.0
EURUSD,3D,ALL,D1,H4,10,3,7,-0.32287417218237907,30.0,1.257086092725403,-1.0
NZDCAD,3D,ALL,D1,H4,5,4,1,0.7498979731117107,80.0,1.1873724663896383,-1.0
NZDCHF,3D,ALL,D1,H4,10,7,3,0.6308136929855589,70.0,1.329733847122227,-1.0
NZDJPY,3D,ALL,D1,H4,8,2,6,-0.40004511443661833,25.0,1.3998195422535267,-1.0
NZDUSD,3D,ALL,D1,H4,4,1,3,-0.41202783300198753,25.0,1.3518886679920499,-1.0
USDCAD,3D,ALL,D1,H4,7,3,4,0.025351195039339025,42.857142857142854,1.3924861217584577,-1.0
USDCHF,3D,ALL,D1,H4,9,5,4,0.3344856693020745,55.55555555555556,1.4020742047437342,-1.0
USDJPY,3D,ALL,D1,H4,7,2,5,-0.3626955198786896,28.57142857142857,1.2305656804245864,-1.0
ALL,ALL,ALL,ALL,ALL,166,75,91,0.056474675152612994,45.18072289156627,1.3383306143377833,-1.0
