pair,mode,wd_variant,wd_entry_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,3D,ALL,H4,H4,14,10,4,0.47943637565526803,71.42857142857143,1.0712109259173752,-1.0,1.0789252576372912
AUDCHF,3D,ALL,H1,H4,28,13,15,-0.06267110797275534,46.42857142857143,1.0188622289817577,-1.0,1.0341770425767443
AUDCHF,3D,ALL,H4,H4,14,8,6,0.19401329185550814,57.14285714285714,1.0895232607471392,-1.0,1.0654615889229773
AUDJPY,3D,ALL,H1,H4,23,7,16,-0.3657635786367074,30.434782608695656,1.0839196701936753,-1.0,1.1169012103056415
AUDJPY,3D,ALL,H4,H4,19,11,8,0.21373465117726806,57.89473684210527,1.096450761124372,-1.0,1.08909859195069
AUDNZD,3D,ALL,H1,H4,22,10,12,-0.06357171752382906,45.45454545454545,1.0601422214475762,-1.0,1.0581810994404242
AUDNZD,3D,ALL,H4,H4,23,16,7,0.44997241721680326,69.56521739130434,1.0843353497491546,-1.0,1.0986966321659621
AUDUSD,3D,ALL,H1,H4,28,12,16,-0.11255686306551445,42.857142857142854,1.070700652847133,-1.0,1.0750216565177741
AUDUSD,3D,ALL,H4,H4,15,9,6,0.23668225987141334,60.0,1.0611370997856888,-1.0,1.1211332380670964
CADCHF,3D,ALL,H1,H4,20,10,10,0.04888406217936029,50.0,1.0977681243587205,-1.0,1.0539759069375323
CADCHF,3D,ALL,H4,H4,14,7,7,0.04091780888224883,50.0,1.0818356177644977,-1.0,1.0792730390053713
CADJPY,3D,ALL,H1,H4,15,12,3,0.6311732800880132,80.0,1.0389666001100164,-1.0,1.0418258115617882
CADJPY,3D,ALL,H4,H4,24,13,11,0.13086951828912213,54.166666666666664,1.08775911068761,-1.0,1.074205979521592
CHFJPY,3D,ALL,H1,H4,17,11,6,0.3160300640629565,64.70588235294117,1.0338646444609325,-1.0,1.0506828023668615
CHFJPY,3D,ALL,H4,H4,15,6,9,-0.19791624248040623,40.0,1.0052093937989843,-1.0,1.100413213594572
EURAUD,3D,ALL,H1,H4,27,16,11,0.23988134270484476,59.25925925925925,1.0922997658144256,-1.0,1.0945874090269878
EURAUD,3D,ALL,H4,H4,20,13,7,0.33942047676172576,65.0,1.0606468873257318,-1.0,1.0886129071236632
EURCAD,3D,ALL,H1,H4,18,13,5,0.4774769072955197,72.22222222222221,1.045737256255335,-1.0,1.0786732974210844
EURCAD,3D,ALL,H4,H4,13,8,5,0.23581855175372723,61.53846153846154,1.0082051465998068,-1.0,1.0634012532126753
EURCHF,3D,ALL,H1,H4,23,9,14,-0.19213947406219614,39.130434782608695,1.0645324551743878,-1.0,1.0911384632277785
EURCHF,3D,ALL,H4,H4,17,8,9,-0.022617167023071157,47.05882352941176,1.0769385200759738,-1.0,1.0711830694111997
EURGBP,3D,ALL,H1,H4,20,8,12,-0.1632108192676093,40.0,1.0919729518309769,-1.0,1.0646942623422009
