pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCHF,3D,ALL,H1,H4,21,10,11,-0.03843230561278754,47.61904761904761,1.0192921582131462,-1.0,1.0370056418027878
AUDJPY,3D,ALL,H1,H4,23,11,12,-0.019385474568002485,47.82608695652174,1.0503758259032676,-1.0,1.1025908032680714
AUDNZD,3D,ALL,H1,H4,23,13,10,0.16414720772417865,56.52173913043478,1.0596450598197007,-1.0,1.0856184823412054
AUDUSD,3D,ALL,H1,H4,30,16,14,0.09463569467466577,53.333333333333336,1.0524419275149983,-1.0,1.0632522845480055
CADCHF,3D,ALL,H1,H4,25,12,13,-0.004908638520861284,48.0,1.073107003081539,-1.0,1.0573135945535888
CADJPY,3D,ALL,H1,H4,27,19,8,0.45609652822631785,70.37037037037037,1.069189803268978,-1.0,1.0543294765459261
CHFJPY,3D,ALL,H1,H4,25,16,9,0.29545464376573044,64.0,1.0241478808839537,-1.0,1.047039674934268
EURAUD,3D,ALL,H1,H4,28,21,7,0.5669992909604417,75.0,1.0893323879472554,-1.0,1.0937675108474436
EURCAD,3D,ALL,H1,H4,24,17,7,0.4353853368622668,70.83333333333334,1.0264263579232005,-1.0,1.0661223618026514
EURCHF,3D,ALL,H1,H4,30,14,16,-0.04646014756688561,46.666666666666664,1.043299683785245,-1.0,1.0765546178495617
EURGBP,3D,ALL,H1,H4,22,14,8,0.3163929037017712,63.63636363636363,1.0686174201027836,-1.0,1.0763978210936074
EURJPY,3D,ALL,H1,H4,25,12,13,0.0036842959393272156,48.0,1.0910089498735982,-1.0,1.0972443324866967
EURNZD,3D,ALL,H1,H4,27,20,7,0.5268299968138126,74.07407407407408,1.061220495698647,-1.0,1.0699165495322833
EURUSD,3D,ALL,H1,H4,27,16,11,0.20870739549368997,59.25925925925925,1.039693729895602,-1.0,1.0610758692987112
NZDCAD,3D,ALL,H1,H4,32,18,14,0.17910450975242415,56.25,1.0961857951154204,-1.0,1.0932592404684982
NZDCHF,3D,ALL,H1,H4,24,15,9,0.30087251825525896,62.5,1.0813960292084144,-1.0,1.1037671190017289
NZDJPY,3D,ALL,H1,H4,20,11,9,0.1307126754598066,55.00000000000001,1.0558412281087395,-1.0,1.0662040217795068
NZDUSD,3D,ALL,H1,H4,17,9,8,0.11963938986499979,52.94117647058824,1.1148744030783329,-1.0,1.1146470129752297
USDCAD,3D,ALL,H1,H4,11,4,7,-0.23986988110795576,36.36363636363637,1.0903578269531216,-1.0,1.1081479927106501
USDCHF,3D,ALL,H1,H4,21,7,14,-0.32815453162477204,33.33333333333333,1.0155364051256837,-1.0,1.0500258220348666
USDJPY,3D,ALL,H1,H4,26,16,10,0.2644751326438373,61.53846153846154,1.0547720905462357,-1.0,1.082597999558028
ALL,ALL,ALL,ALL,ALL,508,291,217,0.18057165518609777,57.28346456692913,1.0609292124898202,-1.0,1.075536326324117
