pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,3D,ALL,H4,D1,22,13,9,0.34732747973791456,59.09090909090909,1.2800926580180092,-1.0
AUDCHF,3D,ALL,H4,D1,22,6,16,-0.37728344843911477,27.27272727272727,1.2832940223899127,-1.0
AUDJPY,3D,ALL,H4,D1,27,6,21,-0.4691516361900838,22.22222222222222,1.3888176371446226,-1.0
AUDNZD,3D,ALL,H4,D1,24,11,13,0.028647639892146776,45.83333333333333,1.2443221234010478,-1.0
AUDUSD,3D,ALL,H4,D1,29,7,22,-0.4936603157994875,24.137931034482758,1.0976929774021233,-1.0
CADCHF,3D,ALL,H4,D1,27,14,13,0.20231419905484954,51.85185185185185,1.318748812462924,-1.0
CADJPY,3D,ALL,H4,D1,23,9,14,-0.11734064330785021,39.130434782608695,1.2556850226577163,-1.0
CHFJPY,3D,ALL,H4,D1,24,7,17,-0.3188789663748855,29.166666666666668,1.335272115286107,-1.0
EURAUD,3D,ALL,H4,D1,29,12,17,-0.07414193281785239,41.37931034482759,1.2374903290235233,-1.0
EURCAD,3D,ALL,H4,D1,20,11,9,0.19492881082974828,55.00000000000001,1.1725978378722697,-1.0
EURCHF,3D,ALL,H4,D1,20,6,14,-0.30971996357034143,30.0,1.3009334547655287,-1.0
EURGBP,3D,ALL,H4,D1,23,14,9,0.37806838873976245,60.86956521739131,1.2639694957867527,-1.0
EURJPY,3D,ALL,H4,D1,23,12,11,0.21202653935414822,52.17391304347826,1.3230508670954508,-1.0
EURNZD,3D,ALL,H4,D1,24,11,13,0.028959959519841077,45.83333333333333,1.2450035480432897,-1.0
EURUSD,3D,ALL,H4,D1,23,11,12,0.08990617004841071,47.82608695652174,1.2788947191921316,-1.0
GBPAUD,3D,ALL,H4,D1,27,11,16,-0.11173500781701018,40.74074074074074,1.1802867989946113,-1.0
GBPCAD,3D,ALL,H4,D1,20,8,12,-0.04446561463111028,40.0,1.3888359634222243,-1.0
GBPCHF,3D,ALL,H4,D1,19,10,9,0.1800336089604362,52.63157894736842,1.2420638570248286,-1.0
GBPJPY,3D,ALL,H4,D1,12,5,7,-0.054624979577364674,41.66666666666667,1.268900049014325,-1.0
GBPNZD,3D,ALL,H4,D1,29,8,21,-0.40674445982363855,27.586206896551722,1.15055133313931,-1.0
GBPUSD,3D,ALL,H4,D1,20,10,10,0.15145298687832615,50.0,1.3029059737566524,-1.0
NZDCAD,3D,ALL,H4,D1,21,10,11,0.05290778630026258,47.61904761904761,1.2111063512305515,-1.0
NZDCHF,3D,ALL,H4,D1,29,9,20,-0.26795438387371384,31.03448275862069,1.3588136519624774,-1.0
NZDJPY,3D,ALL,H4,D1,21,9,12,0.017819379983067856,42.857142857142854,1.3749118866271581,-1.0
NZDUSD,3D,ALL,H4,D1,25,10,15,-0.024614559120570013,40.0,1.438463602198575,-1.0
USDCAD,3D,ALL,H4,D1,25,11,14,-0.008288627285136574,44.0,1.2538894834428715,-1.0
USDCHF,3D,ALL,H4,D1,22,12,10,0.2785737890330468,54.54545454545454,1.3440519465605858,-1.0
USDJPY,3D,ALL,H4,D1,25,10,15,-0.07298153864493802,40.0,1.317546153387655,-1.0
ALL,ALL,ALL,ALL,ALL,655,273,382,-0.049872522776055826,41.6793893129771,1.2796098812515877,-1.0
