pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCHF,3D,ALL,H4,H1,30,13,17,0.021243386535770657,43.333333333333336,1.35671550739024,-1.0
AUDJPY,3D,ALL,H4,H1,44,15,29,-0.24148919737684613,34.090909090909086,1.2249650210279177,-1.0
AUDNZD,3D,ALL,H4,H1,34,16,18,0.07489781286853997,47.05882352941176,1.2841578523456474,-1.0
AUDUSD,3D,ALL,H4,H1,30,11,19,-0.21412551151544565,36.666666666666664,1.14329405950333,-1.0
CADCHF,3D,ALL,H4,H1,27,14,13,0.19683706655609579,51.85185185185185,1.3081857712153275,-1.0
CADJPY,3D,ALL,H4,H1,27,13,14,0.08554301124490579,48.148148148148145,1.2545893310471121,-1.0
CHFJPY,3D,ALL,H4,H1,28,11,17,-0.12256953053403771,39.285714285714285,1.2334593768224495,-1.0
EURAUD,3D,ALL,H4,H1,50,25,25,0.13182536015775356,50.0,1.2636507203155072,-1.0
EURCAD,3D,ALL,H4,H1,31,17,14,0.22713379243207513,54.83870967741935,1.2377145626702546,-1.0
EURCHF,3D,ALL,H4,H1,34,13,21,-0.13681427648997282,38.23529411764706,1.2575626614877633,-1.0
EURGBP,3D,ALL,H4,H1,29,20,9,0.6087752764979292,68.96551724137932,1.3327241509219971,-1.0
EURJPY,3D,ALL,H4,H1,34,15,19,0.018667842126897184,44.11764705882353,1.3089804421543,-1.0
EURNZD,3D,ALL,H4,H1,27,14,13,0.2365202258088459,51.85185185185185,1.3847175783456311,-1.0
EURUSD,3D,ALL,H4,H1,25,9,16,-0.21449583825619037,36.0,1.1819560048439157,-1.0
GBPAUD,3D,ALL,H4,H1,32,11,21,-0.24036976705506896,34.375,1.2098334049307085,-1.0
GBPCAD,3D,ALL,H4,H1,25,11,14,0.032262861713460246,44.0,1.3460519584396826,-1.0
GBPCHF,3D,ALL,H4,H1,21,10,11,0.06354019691288723,47.61904761904761,1.2334344135170632,-1.0
GBPJPY,3D,ALL,H4,H1,27,10,17,-0.1927266974726095,37.03703703703704,1.1796379168239544,-1.0
GBPNZD,3D,ALL,H4,H1,34,14,20,-0.10070531187081502,41.17647058823529,1.184001385456592,-1.0
GBPUSD,3D,ALL,H4,H1,23,9,14,-0.09922201029950134,39.130434782608695,1.3019881959012745,-1.0
NZDCAD,3D,ALL,H4,H1,27,11,16,-0.07927106169024584,40.74074074074074,1.2599710303966694,-1.0
NZDCHF,3D,ALL,H4,H1,36,15,21,-0.060437734071444246,41.66666666666667,1.2549494382285338,-1.0
NZDJPY,3D,ALL,H4,H1,24,12,12,0.1655111420350123,50.0,1.3310222840700248,-1.0
NZDUSD,3D,ALL,H4,H1,36,17,19,0.10419991902450934,47.22222222222222,1.3383057108754317,-1.0
USDCAD,3D,ALL,H4,H1,20,10,10,0.1340408424552642,50.0,1.2680816849105283,-1.0
USDCHF,3D,ALL,H4,H1,21,11,10,0.21921769586725776,52.38095238095239,1.3275974193829465,-1.0
USDJPY,3D,ALL,H4,H1,32,13,19,-0.08312100847848365,40.625,1.2569329022068094,-1.0
ALL,ALL,ALL,ALL,ALL,808,360,448,0.012613491912812856,44.554455445544555,1.2727547262932022,-1.0
