pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,RR_MIN,RR_MAX,MAX_HOLD_DAYS
AUDCAD,3D,ALL,H4,H4,30,15,15,0.10486825843784656,50.0,1.1467978549808726,-0.9370613381051796,,,,,
AUDCHF,3D,ALL,H4,H4,32,17,15,0.10186136463165638,53.125,1.0377960619181719,-0.9588646256263946,,,,,
AUDJPY,3D,ALL,H4,H4,38,16,22,-0.06971057962731501,42.10526315789473,1.1031343949964434,-0.9226887429900485,,,,,
AUDNZD,3D,ALL,H4,H4,43,27,16,0.3337217540593104,62.7906976744186,1.1240753860944575,-1.0,,,,,
AUDUSD,3D,ALL,H4,H4,35,15,20,-0.09387797385482058,42.857142857142854,1.074862285427861,-0.9704331683168317,,,,,
CADCHF,3D,ALL,H4,H4,30,18,12,0.3442847461483215,60.0,1.1528544641227447,-0.8685698308133133,,,,,
CADJPY,3D,ALL,H4,H4,38,23,15,0.23979100734026523,60.526315789473685,1.0483503599534816,-1.0,,,,,
CHFJPY,3D,ALL,H4,H4,28,11,17,-0.153032165741186,39.285714285714285,1.0852550001515389,-0.954276802495302,,,,,
EURAUD,3D,ALL,H4,H4,44,24,20,0.13061394128230294,54.54545454545454,1.072792225684222,-1.0,,,,,
EURCAD,3D,ALL,H4,H4,28,18,10,0.384307796916572,64.28571428571429,1.1533676840924454,-1.0,,,,,
EURCHF,3D,ALL,H4,H4,34,14,20,-0.03163431414664494,41.17647058823529,1.15377282363589,-0.8614193105944195,,,,,
EURGBP,3D,ALL,H4,H4,26,19,7,0.6060477098076138,73.07692307692307,1.1977494976314715,-1.0,,,,,
EURJPY,3D,ALL,H4,H4,34,15,19,-0.06121796729415001,44.11764705882353,1.1279059407999266,-1.0,,,,,
EURNZD,3D,ALL,H4,H4,34,18,16,0.15856917848778468,52.94117647058824,1.133966808072739,-0.938753154795289,,,,,
EURUSD,3D,ALL,H4,H4,29,15,14,0.09209001671236193,51.724137931034484,1.1113740323105665,-1.0,,,,,
GBPAUD,3D,ALL,H4,H4,29,10,19,-0.2246403924547712,34.48275862068966,1.1587410160614025,-0.9527358706211785,,,,,
GBPCAD,3D,ALL,H4,H4,28,15,13,0.1448262388890392,53.57142857142857,1.13700897925954,-1.0,,,,,
GBPCHF,3D,ALL,H4,H4,27,15,12,0.1713287709231485,55.55555555555556,1.091937620995,-0.9794322916666659,,,,,
GBPJPY,3D,ALL,H4,H4,26,10,16,-0.15775929727533178,38.46153846153847,1.1013110046597174,-0.9446782359847377,,,,,
GBPNZD,3D,ALL,H4,H4,35,14,21,-0.13286201537831993,40.0,1.1150793900822646,-0.964822952352043,,,,,
GBPUSD,3D,ALL,H4,H4,27,15,12,0.19221318728137124,55.55555555555556,1.1459837371064685,-1.0,,,,,
NZDCAD,3D,ALL,H4,H4,27,14,13,0.14757419543016398,51.85185185185185,1.1831595004531543,-0.9676715176715176,,,,,
NZDCHF,3D,ALL,H4,H4,43,21,22,0.021903748805411526,48.837209302325576,1.0477767567323444,-0.9573386678521151,,,,,
NZDJPY,3D,ALL,H4,H4,36,20,16,0.19886511296955842,55.55555555555556,1.1241445158184153,-0.957734140591513,,,,,
NZDUSD,3D,ALL,H4,H4,36,20,16,0.22601212400880374,55.55555555555556,1.2068218232158467,-1.0,,,,,
USDCAD,3D,ALL,H4,H4,31,14,17,-0.024960587473208038,45.16129032258064,1.1590158420236107,-1.0,,,,,
USDCHF,3D,ALL,H4,H4,29,14,15,0.04213778741498836,48.275862068965516,1.1587139882167619,-1.0,,,,,
USDJPY,3D,ALL,H4,H4,37,16,21,-0.06062633387736107,43.24324324324324,1.1723016029086026,-1.0,,,,,
ALL,ALL,ALL,ALL,ALL,914,463,451,0.09209818940405468,50.65645514223195,1.1240057452982328,-0.9672658868243366,11.0,2024-05-14T21:00:00,0.9,1.3,30.0
