pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,ALL,H4,D1,10,4,6,-0.0040000000000000036,40.0,1.49,-1.0
AUDCHF,M,ALL,H4,D1,9,7,2,0.7709886702699602,77.77777777777779,1.2769854332042347,-1.0
AUDJPY,M,ALL,H4,D1,9,3,6,-0.21003260899566756,33.33333333333333,1.3699021730129974,-1.0
AUDNZD,M,ALL,H4,D1,10,7,3,0.6134583109604008,70.0,1.3049404442291441,-1.0
AUDUSD,M,ALL,H4,D1,6,3,3,0.17534466233740162,50.0,1.3506893246748035,-1.0
CADCHF,M,ALL,H4,D1,9,9,0,1.277459787602226,100.0,1.277459787602226,
CADJPY,M,ALL,H4,D1,9,6,3,0.6096011966311411,66.66666666666666,1.4144017949467116,-1.0
CHFJPY,M,ALL,H4,D1,8,4,4,0.11550657578088461,50.0,1.2310131515617693,-1.0
EURAUD,M,ALL,H4,D1,5,3,2,0.3733712071585405,60.0,1.2889520119309008,-1.0
EURCAD,M,ALL,H4,D1,13,5,8,-0.10896504609923577,38.46153846153847,1.316690880141987,-1.0
EURCHF,M,ALL,H4,D1,8,3,5,-0.1233760590186248,37.5,1.3376638426170004,-1.0
EURGBP,M,ALL,H4,D1,12,6,6,0.17036886493824666,50.0,1.3407377298764933,-1.0
EURJPY,M,ALL,H4,D1,6,3,3,0.11101586736906326,50.0,1.2220317347381264,-1.0
EURNZD,M,ALL,H4,D1,12,8,4,0.42736340646959325,66.66666666666666,1.1410451097043899,-1.0
EURUSD,M,ALL,H4,D1,10,5,5,0.12750061941566146,50.0,1.255001238831323,-1.0
GBPAUD,M,ALL,H4,D1,7,2,5,-0.3461184659765392,28.57142857142857,1.2885853690821127,-1.0
GBPCAD,M,ALL,H4,D1,11,8,3,0.732340683460033,72.72727272727273,1.3819684397575454,-1.0
GBPCHF,M,ALL,H4,D1,12,6,6,0.21140996816305604,50.0,1.422819936326112,-1.0
GBPJPY,M,ALL,H4,D1,14,8,6,0.33563047801789264,57.14285714285714,1.3373533365313122,-1.0
GBPNZD,M,ALL,H4,D1,9,5,4,0.23332257242672658,55.55555555555556,1.2199806303681078,-1.0
GBPUSD,M,ALL,H4,D1,15,11,4,0.6339438072477578,73.33333333333333,1.228105191701488,-1.0
NZDCAD,M,ALL,H4,D1,12,9,3,0.7656195070756294,75.0,1.3541593427675058,-1.0
NZDCHF,M,ALL,H4,D1,8,3,5,-0.10424914675768074,37.5,1.3886689419795182,-1.0
NZDJPY,M,ALL,H4,D1,10,2,8,-0.5445124958606504,20.0,1.2774375206967479,-1.0
NZDUSD,M,ALL,H4,D1,7,3,4,-0.05077092598020611,42.857142857142854,1.214867839379519,-1.0
USDCAD,M,ALL,H4,D1,11,4,7,-0.16448841914003418,36.36363636363637,1.2976568473649062,-1.0
USDCHF,M,ALL,H4,D1,9,6,3,0.6599999999999999,66.66666666666666,1.49,-1.0
USDJPY,M,ALL,H4,D1,14,3,11,-0.46642857142857136,21.428571428571427,1.49,-1.0
ALL,ALL,ALL,ALL,ALL,275,146,129,0.23022297965778032,53.090909090909086,1.3172008178485588,-1.0
