pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,ALL,H4,H4,9,4,5,0.10550354928711932,44.44444444444444,1.4873829858960186,-1.0
AUDCHF,M,ALL,H4,H4,9,7,2,0.7390752909992595,77.77777777777779,1.2359539455704767,-1.0
AUDJPY,M,ALL,H4,H4,10,3,7,-0.2927279029462733,30.0,1.3575736568457557,-1.0
AUDNZD,M,ALL,H4,H4,10,6,4,0.31434025307209223,60.0,1.1905670884534871,-1.0
AUDUSD,M,ALL,H4,H4,9,5,4,0.2412699197759183,55.55555555555556,1.234285855596653,-1.0
CADCHF,M,ALL,H4,H4,7,6,1,1.0005230175963213,85.71428571428571,1.3339435205290415,-1.0
CADJPY,M,ALL,H4,H4,6,4,2,0.5952333028345486,66.66666666666666,1.392849954251823,-1.0
CHFJPY,M,ALL,H4,H4,8,6,2,0.761727932223058,75.0,1.348970576297411,-1.0
EURAUD,M,ALL,H4,H4,7,5,2,0.6613403875024751,71.42857142857143,1.325876542503465,-1.0
EURCAD,M,ALL,H4,H4,12,6,6,0.1124774376536015,50.0,1.224954875307203,-1.0
EURCHF,M,ALL,H4,H4,9,6,3,0.4318713217896236,66.66666666666666,1.1478069826844353,-1.0
EURGBP,M,ALL,H4,H4,11,7,4,0.45514580931692306,63.63636363636363,1.2866577003551647,-1.0
EURJPY,M,ALL,H4,H4,6,4,2,0.5232821111406566,66.66666666666666,1.2849231667109848,-1.0
EURNZD,M,ALL,H4,H4,10,7,3,0.6162395274710015,70.0,1.3089136106728592,-1.0
EURUSD,M,ALL,H4,H4,11,4,7,-0.2176474723222435,36.36363636363637,1.1514694511138304,-1.0
GBPAUD,M,ALL,H4,H4,7,3,4,-0.03734907879571587,42.857142857142854,1.2461854828099963,-1.0
GBPCAD,M,ALL,H4,H4,11,8,3,0.7497205168358275,72.72727272727273,1.4058657106492627,-1.0
GBPCHF,M,ALL,H4,H4,11,6,5,0.23421578454123673,54.54545454545454,1.2627289383256006,-1.0
GBPJPY,M,ALL,H4,H4,13,9,4,0.5667314373705297,69.23076923076923,1.2630565206463205,-1.0
GBPNZD,M,ALL,H4,H4,9,5,4,0.23598186401477023,55.55555555555556,1.2247673552265863,-1.0
GBPUSD,M,ALL,H4,H4,15,10,5,0.5519305079197093,66.66666666666666,1.3278957618795642,-1.0
NZDCAD,M,ALL,H4,H4,12,7,5,0.36038011204877757,58.333333333333336,1.3320801920836185,-1.0
NZDCHF,M,ALL,H4,H4,6,4,2,0.5368524346232156,66.66666666666666,1.3052786519348234,-1.0
NZDJPY,M,ALL,H4,H4,9,3,6,-0.24129450320135643,33.33333333333333,1.2761164903959308,-1.0
NZDUSD,M,ALL,H4,H4,11,6,5,0.23994277208983347,54.54545454545454,1.273228415498028,-1.0
USDCAD,M,ALL,H4,H4,9,4,5,-0.01377107363967187,44.44444444444444,1.2190150843107381,-1.0
USDCHF,M,ALL,H4,H4,8,6,2,0.8166894347300724,75.0,1.4222525796400964,-1.0
USDJPY,M,ALL,H4,H4,17,4,13,-0.43955792672204574,23.52941176470588,1.3818788114313059,-1.0
ALL,ALL,ALL,ALL,ALL,272,155,117,0.30779711790580866,56.98529411764706,1.294973006905677,-1.0
