pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,RR_MIN,RR_MAX,MAX_HOLD_DAYS
AUDCAD,M,ALL,H4,H4,16,8,8,0.06271296786480654,50.0,0.7843400983117972,-0.6589141625821842,,,,,
AUDCHF,M,ALL,H4,H4,18,15,3,0.5203330260835927,83.33333333333334,0.7785809934760303,-0.7709068108785951,,,,,
AUDJPY,M,ALL,H4,H4,14,7,7,0.0607423342403336,50.0,0.912540917197112,-0.7910562487164449,,,,,
AUDNZD,M,ALL,H4,H4,13,10,3,0.44177643388393856,76.92307692307693,0.8210642214282023,-0.8225161912636066,,,,,
AUDUSD,M,ALL,H4,H4,12,7,5,0.2478286142854261,58.333333333333336,0.9354558407607838,-0.7148495027800748,,,,,
CADCHF,M,ALL,H4,H4,12,9,3,0.6847028800705206,75.0,1.0077907779342925,-0.28456081352079526,,,,,
CADJPY,M,ALL,H4,H4,8,6,2,0.410005414415495,75.0,0.7526915635722765,-0.6180530330548498,,,,,
CHFJPY,M,ALL,H4,H4,12,9,3,0.4777047206875041,75.0,0.8928064034501149,-0.767600327600328,,,,,
EURAUD,M,ALL,H4,H4,12,11,1,0.5406295207674313,91.66666666666666,0.6806867499281067,-1.0,,,,,
EURCAD,M,ALL,H4,H4,19,11,8,0.12311911614079406,57.89473684210527,0.7065121907925349,-0.6790463615053497,,,,,
EURCHF,M,ALL,H4,H4,15,12,3,0.4444949402101793,80.0,0.7431379212227465,-0.7500769838400897,,,,,
EURGBP,M,ALL,H4,H4,15,9,6,0.16243337981680053,60.0,0.7258257744162173,-0.6826552120823247,,,,,
EURJPY,M,ALL,H4,H4,10,6,4,-0.11633111776343563,60.0,0.47278147039427393,-1.0,,,,,
EURNZD,M,ALL,H4,H4,14,7,7,0.13208723577687898,50.0,0.9193566468193003,-0.6551821752655423,,,,,
EURUSD,M,ALL,H4,H4,11,7,4,-0.004694757826699188,63.63636363636363,0.44531763947428166,-0.7922164531034156,,,,,
GBPAUD,M,ALL,H4,H4,9,4,5,0.12471206790455448,44.44444444444444,0.8788643866976833,-0.47860978712994856,,,,,
GBPCAD,M,ALL,H4,H4,14,12,2,0.6017684594855827,85.71428571428571,0.8687298693998465,-1.0,,,,,
GBPCHF,M,ALL,H4,H4,14,8,6,0.14782418743900486,57.14285714285714,0.7049549005325199,-0.5950167633523483,,,,,
GBPJPY,M,ALL,H4,H4,18,12,6,0.3136853553802132,66.66666666666666,0.9050754340998858,-0.8690948020591319,,,,,
GBPNZD,M,ALL,H4,H4,14,9,5,0.36972594381240326,64.28571428571429,0.9231245982705999,-0.6263916342123503,,,,,
GBPUSD,M,ALL,H4,H4,19,12,7,0.21074992541706658,63.1578947368421,0.8023260703656115,-0.8033806087804393,,,,,
NZDCAD,M,ALL,H4,H4,12,7,5,0.1728821367624934,58.333333333333336,0.6687615028839035,-0.5213489758074807,,,,,
NZDCHF,M,ALL,H4,H4,12,7,5,0.11891074831958885,58.333333333333336,0.791673567436138,-0.8229571984435798,,,,,
NZDJPY,M,ALL,H4,H4,12,5,7,-0.036512513873239304,41.66666666666667,0.8200315276248678,-0.6483296863718874,,,,,
NZDUSD,M,ALL,H4,H4,13,5,8,0.11863717461472888,38.46153846153847,1.2472416374453335,-0.5867406146543991,,,,,
USDCAD,M,ALL,H4,H4,12,6,6,0.16386341986676908,50.0,1.0661011385283727,-0.7383742987948345,,,,,
USDCHF,M,ALL,H4,H4,10,6,4,0.44267693086544807,60.0,0.9870304280985182,-0.37385331498415697,,,,,
USDJPY,M,ALL,H4,H4,18,6,12,-0.3375586310590587,33.33333333333333,0.6023435389943436,-0.8075097160857597,,,,,
ALL,ALL,ALL,ALL,ALL,378,233,145,0.23041521901639486,61.64021164021164,0.8098254077015935,-0.7006370152156829,11.0,2025-07-02T13:00:00,0.9,1.3,30.0
