pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,special_wd_events
AUDCAD,M,ALL,H4,H4,1,1,0,0.9845071291895494,100.0,0.9845071291895494,,,,
AUDCHF,M,ALL,H4,H4,4,4,0,1.0643671270422954,100.0,1.0643671270422954,,,,
AUDNZD,M,ALL,H4,H4,2,2,0,1.054471229796175,100.0,1.054471229796175,,,,
AUDUSD,M,ALL,H4,H4,1,1,0,0.9225005853430177,100.0,0.9225005853430177,,,,
CADCHF,M,ALL,H4,H4,3,3,0,1.0477705366574743,100.0,1.0477705366574743,,,,
CADJPY,M,ALL,H4,H4,1,1,0,1.1053195635229716,100.0,1.1053195635229716,,,,
CHFJPY,M,ALL,H4,H4,3,3,0,1.2181026401430994,100.0,1.2181026401430994,,,,
EURAUD,M,ALL,H4,H4,1,1,0,0.903911004302492,100.0,0.903911004302492,,,,
EURCAD,M,ALL,H4,H4,2,2,0,0.9605071931796584,100.0,0.9605071931796584,,,,
EURCHF,M,ALL,H4,H4,1,1,0,0.9020732245258051,100.0,0.9020732245258051,,,,
EURGBP,M,ALL,H4,H4,1,1,0,1.114093959731541,100.0,1.114093959731541,,,,
EURNZD,M,ALL,H4,H4,2,2,0,0.948995020888107,100.0,0.948995020888107,,,,
EURUSD,M,ALL,H4,H4,1,1,0,1.0847561599018594,100.0,1.0847561599018594,,,,
GBPAUD,M,ALL,H4,H4,1,1,0,1.2198186877300128,100.0,1.2198186877300128,,,,
GBPCAD,M,ALL,H4,H4,1,1,0,1.1462840658923683,100.0,1.1462840658923683,,,,
GBPCHF,M,ALL,H4,H4,2,2,0,1.0701871190731609,100.0,1.0701871190731609,,,,
GBPJPY,M,ALL,H4,H4,2,2,0,1.122076073082117,100.0,1.122076073082117,,,,
GBPNZD,M,ALL,H4,H4,3,1,2,1.0588342838302174,33.33333333333333,0.9034749034749102,1.1365139740078711,,,
GBPUSD,M,ALL,H4,H4,4,4,0,1.1617696275855613,100.0,1.1617696275855613,,,,
NZDCHF,M,ALL,H4,H4,2,2,0,1.101108561448082,100.0,1.101108561448082,,,,
NZDJPY,M,ALL,H4,H4,1,1,0,1.2754423307170326,100.0,1.2754423307170326,,,,
NZDUSD,M,ALL,H4,H4,1,1,0,1.036208187226668,100.0,1.036208187226668,,,,
USDCAD,M,ALL,H4,H4,3,3,0,1.0082025155324603,100.0,1.0082025155324603,,,,
USDCHF,M,ALL,H4,H4,1,1,0,1.2049275324573878,100.0,1.2049275324573878,,,,
ALL,ALL,ALL,ALL,ALL,44,42,2,1.0754047675562837,95.45454545454545,1.0724948053443033,1.1365139740078711,2.0,2015-09-03T13:00:00,42.0
