pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,M,ALL,H4,H4,3,3,0,1.0303113644337163,100.0,1.0303113644337163,,1.0303113644337163
AUDCHF,M,ALL,H4,H4,9,8,1,0.8205644337182303,88.88888888888889,1.048134987933009,-1.0,1.0342682725174037
AUDJPY,M,ALL,H4,H4,3,2,1,0.37433992730165583,66.66666666666666,1.0615098909524838,-1.0,1.137421462568513
AUDNZD,M,ALL,H4,H4,5,5,0,1.1730885212866085,100.0,1.1730885212866085,,1.1730885212866085
AUDUSD,M,ALL,H4,H4,3,2,1,0.39145203413792734,66.66666666666666,1.087178051206891,-1.0,1.054104038559874
CADCHF,M,ALL,H4,H4,4,4,0,0.9828605232480074,100.0,0.9828605232480074,,0.9828605232480074
CADJPY,M,ALL,H4,H4,2,2,0,1.1418578177680365,100.0,1.1418578177680365,,1.1418578177680365
CHFJPY,M,ALL,H4,H4,4,2,2,0.1441979928777552,50.0,1.2883959857555105,-1.0,1.176550282961575
EURAUD,M,ALL,H4,H4,4,3,1,0.5625911419252507,75.0,1.0834548559003343,-1.0,1.0458113206808375
EURCAD,M,ALL,H4,H4,5,2,3,-0.21874542277572523,40.0,0.9531364430606869,-1.0,1.0625796742100853
EURCHF,M,ALL,H4,H4,7,5,2,0.42926709701689025,71.42857142857143,1.0009739358236462,-1.0,1.0317147027516402
EURGBP,M,ALL,H4,H4,3,3,0,1.0401746773677873,100.0,1.0401746773677873,,1.0401746773677873
EURJPY,M,ALL,H4,H4,4,2,2,0.09254373335204819,50.0,1.1850874667040965,-1.0,1.0953343988767257
EURNZD,M,ALL,H4,H4,6,4,2,0.4155508683793592,66.66666666666666,1.1233263025690385,-1.0,1.1112616461613003
EURUSD,M,ALL,H4,H4,4,3,1,0.5517124761029191,75.0,1.0689499681372254,-1.0,1.0836026809684762
GBPAUD,M,ALL,H4,H4,3,2,1,0.4161854828099963,66.66666666666666,1.1242782242149945,-1.0,1.152713013243507
GBPCAD,M,ALL,H4,H4,3,3,0,1.084452442319602,100.0,1.084452442319602,,1.084452442319602
GBPCHF,M,ALL,H4,H4,5,4,1,0.6505013622734094,80.0,1.0631267028417617,-1.0,1.0539680721389533
GBPJPY,M,ALL,H4,H4,6,3,3,-0.006432420187387396,50.0,0.9871351596252252,-1.0,1.0468442693951885
GBPNZD,M,ALL,H4,H4,5,4,1,0.6707653342998409,80.0,1.088456667874801,-1.0,1.1053772879126837
GBPUSD,M,ALL,H4,H4,7,6,1,0.8035487597987583,85.71428571428571,1.104140219765218,-1.0,1.1210573122841194
NZDCAD,M,ALL,H4,H4,3,2,1,0.4587169665313458,66.66666666666666,1.1880754497970187,-1.0,1.136154539648455
NZDCHF,M,ALL,H4,H4,3,1,2,-0.27133105802048196,33.33333333333333,1.186006825938554,-1.0,1.1222750377699449
NZDJPY,M,ALL,H4,H4,4,3,1,0.6534479504762061,75.0,1.204597267301608,-1.0,1.1610553326579045
NZDUSD,M,ALL,H4,H4,2,1,1,0.018104093613333982,50.0,1.036208187226668,-1.0,1.0381555626247052
USDCAD,M,ALL,H4,H4,3,2,1,0.3018761316359837,66.66666666666666,0.9528141974539756,-1.0,0.9398650078947268
USDCHF,M,ALL,H4,H4,2,0,2,-1.0,0.0,,-1.0,1.1865831060190497
ALL,ALL,ALL,ALL,ALL,112,81,31,0.5053162818391982,72.32142857142857,1.0814249822961752,-1.0,1.083107033132175
