pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,INNER,H4,D1,8,4,4,0.245,50.0,1.49,-1.0
AUDCHF,M,INNER,H4,D1,4,3,1,0.7715817047484477,75.0,1.362108939664597,-1.0
AUDJPY,M,INNER,H4,D1,5,1,4,-0.502,20.0,1.49,-1.0
AUDNZD,M,INNER,H4,D1,7,5,2,0.6566244501031008,71.42857142857143,1.3192742301443412,-1.0
AUDUSD,M,INNER,H4,D1,2,1,1,0.245,50.0,1.49,-1.0
CADCHF,M,INNER,H4,D1,4,4,0,1.4119385912101161,100.0,1.4119385912101161,
CADJPY,M,INNER,H4,D1,7,5,2,0.7137729670971814,71.42857142857143,1.399282153936054,-1.0
CHFJPY,M,INNER,H4,D1,4,3,1,0.7306271324713715,75.0,1.3075028432951619,-1.0
EURAUD,M,INNER,H4,D1,4,2,2,0.1832492136808055,50.0,1.366498427361611,-1.0
EURCAD,M,INNER,H4,D1,4,2,2,0.1784570258833842,50.0,1.3569140517667684,-1.0
EURCHF,M,INNER,H4,D1,5,2,3,-0.004221309310722177,40.0,1.4894467267231946,-1.0
EURGBP,M,INNER,H4,D1,7,4,3,0.3628155865467848,57.14285714285714,1.3849272764568734,-1.0
EURJPY,M,INNER,H4,D1,5,3,2,0.3332190408428759,60.0,1.2220317347381264,-1.0
EURNZD,M,INNER,H4,D1,6,3,3,0.12639192172966063,50.0,1.2527838434593213,-1.0
EURUSD,M,INNER,H4,D1,4,2,2,0.13165886315097786,50.0,1.2633177263019557,-1.0
GBPAUD,M,INNER,H4,D1,6,1,5,-0.585,16.666666666666664,1.49,-1.0
GBPCAD,M,INNER,H4,D1,10,7,3,0.6935585501858739,70.0,1.419369357408391,-1.0
GBPCHF,M,INNER,H4,D1,7,4,3,0.4050946643717728,57.14285714285714,1.4589156626506024,-1.0
GBPJPY,M,INNER,H4,D1,10,6,4,0.45478392314925087,60.0,1.424639871915418,-1.0
GBPNZD,M,INNER,H4,D1,5,3,2,0.3723402624282041,60.0,1.2872337707136736,-1.0
GBPUSD,M,INNER,H4,D1,8,6,2,0.7333901326291601,75.0,1.3111868435055467,-1.0
NZDCAD,M,INNER,H4,D1,9,7,2,0.8745195659297115,77.77777777777779,1.410096584766772,-1.0
NZDCHF,M,INNER,H4,D1,4,2,2,0.16900170648463853,50.0,1.338003412969277,-1.0
NZDJPY,M,INNER,H4,D1,5,1,4,-0.5597085952646749,20.0,1.2014570236766253,-1.0
NZDUSD,M,INNER,H4,D1,4,1,3,-0.3775,25.0,1.49,-1.0
USDCAD,M,INNER,H4,D1,9,3,6,-0.20962216271374148,33.33333333333333,1.3711335118587755,-1.0
USDCHF,M,INNER,H4,D1,7,5,2,0.7785714285714285,71.42857142857143,1.4899999999999998,-1.0
USDJPY,M,INNER,H4,D1,11,1,10,-0.7736363636363636,9.090909090909092,1.49,-1.0
ALL,ALL,ALL,ALL,ALL,171,91,80,0.26862767002652327,53.216374269005854,1.383904742577313,-1.0
