pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,INNER,H4,H4,7,3,4,0.014351662040145945,42.857142857142854,1.3668205447603405,-1.0
AUDCHF,M,INNER,H4,H4,3,3,0,1.2003576277875727,100.0,1.2003576277875727,
AUDJPY,M,INNER,H4,H4,6,3,3,0.057884893748973765,50.0,1.1157697874979475,-1.0
AUDNZD,M,INNER,H4,H4,4,2,2,0.1557346609257263,50.0,1.3114693218514526,-1.0
AUDUSD,M,INNER,H4,H4,2,1,1,0.017520228232738688,50.0,1.0350404564654774,-1.0
CADCHF,M,INNER,H4,H4,3,2,1,0.66,66.66666666666666,1.49,-1.0
CADJPY,M,INNER,H4,H4,4,3,1,0.7990009974058693,75.0,1.3986679965411593,-1.0
CHFJPY,M,INNER,H4,H4,4,4,0,1.3590248371250504,100.0,1.3590248371250504,
EURAUD,M,INNER,H4,H4,5,3,2,0.40379645104364936,60.0,1.3396607517394157,-1.0
EURCAD,M,INNER,H4,H4,5,3,2,0.3519533806074841,60.0,1.253255634345807,-1.0
EURCHF,M,INNER,H4,H4,3,3,0,1.1436815955414275,100.0,1.1436815955414275,
EURGBP,M,INNER,H4,H4,5,3,2,0.3623648654491852,60.0,1.2706081090819754,-1.0
EURJPY,M,INNER,H4,H4,5,3,2,0.39125595399286345,60.0,1.318759923321439,-1.0
EURNZD,M,INNER,H4,H4,4,4,0,1.1375703454893162,100.0,1.1375703454893162,
EURUSD,M,INNER,H4,H4,5,2,3,-0.09694117470779724,40.0,1.257647063230507,-1.0
GBPAUD,M,INNER,H4,H4,5,1,4,-0.502,20.0,1.49,-1.0
GBPCAD,M,INNER,H4,H4,9,9,0,1.265101302142954,100.0,1.265101302142954,
GBPCHF,M,INNER,H4,H4,4,2,2,0.11383522956942965,50.0,1.2276704591388592,-1.0
GBPJPY,M,INNER,H4,H4,5,3,2,0.4851950278004046,60.0,1.4753250463340077,-1.0
GBPNZD,M,INNER,H4,H4,5,2,3,-0.10457347917333651,40.0,1.2385663020666589,-1.0
GBPUSD,M,INNER,H4,H4,9,6,3,0.5559001802732095,66.66666666666666,1.3338502704098143,-1.0
NZDCAD,M,INNER,H4,H4,8,4,4,0.2136375631023402,50.0,1.4272751262046803,-1.0
NZDCHF,M,INNER,H4,H4,5,3,2,0.41019440699038495,60.0,1.3503240116506416,-1.0
NZDJPY,M,INNER,H4,H4,5,1,4,-0.502,20.0,1.49,-1.0
NZDUSD,M,INNER,H4,H4,5,2,3,-0.06215247337859679,40.0,1.344618816553508,-1.0
USDCAD,M,INNER,H4,H4,5,1,4,-0.502,20.0,1.49,-1.0
USDCHF,M,INNER,H4,H4,5,4,1,0.9813554846635292,80.0,1.4766943558294114,-1.0
USDJPY,M,INNER,H4,H4,14,3,11,-0.46642857142857136,21.428571428571427,1.49,-1.0
ALL,ALL,ALL,ALL,ALL,149,83,66,0.29131509710263054,55.70469798657718,1.3181439694974935,-1.0
