pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,OUTSIDE,H4,D1,4,1,3,-0.3775,25.0,1.49,-1.0
AUDCHF,M,OUTSIDE,H4,D1,6,5,1,0.8138509274301482,83.33333333333334,1.1766211129161779,-1.0
AUDJPY,M,OUTSIDE,H4,D1,4,2,2,0.15492662975974802,50.0,1.309853259519496,-1.0
AUDNZD,M,OUTSIDE,H4,D1,5,3,2,0.3332063015508949,60.0,1.2220105025848251,-1.0
AUDUSD,M,OUTSIDE,H4,D1,4,2,2,0.14051699350610247,50.0,1.281033987012205,-1.0
CADCHF,M,OUTSIDE,H4,D1,4,4,0,1.2230727357047602,100.0,1.2230727357047602,
CADJPY,M,OUTSIDE,H4,D1,3,1,2,-0.17,33.33333333333333,1.49,-1.0
CHFJPY,M,OUTSIDE,H4,D1,5,2,3,-0.15654454885647265,40.0,1.1086386278588183,-1.0
EURAUD,M,OUTSIDE,H4,D1,2,1,1,0.06692959053474012,50.0,1.1338591810694802,-1.0
EURCAD,M,OUTSIDE,H4,D1,11,4,7,-0.1906073116190843,36.36363636363637,1.2258298930475182,-1.0
EURCHF,M,OUTSIDE,H4,D1,4,1,3,-0.4914754813988469,25.0,1.0340980744046124,-1.0
EURGBP,M,OUTSIDE,H4,D1,8,3,5,-0.17218984392665687,37.5,1.207493749528915,-1.0
EURJPY,M,OUTSIDE,H4,D1,3,2,1,0.5160824441723534,66.66666666666666,1.27412366625853,-1.0
EURNZD,M,OUTSIDE,H4,D1,7,5,2,0.48142990675102215,71.42857142857143,1.074001869451431,-1.0
EURUSD,M,OUTSIDE,H4,D1,7,3,4,-0.0359470369210424,42.857142857142854,1.249456913850901,-1.0
GBPAUD,M,OUTSIDE,H4,D1,4,1,3,-0.4782073154589437,25.0,1.0871707381642253,-1.0
GBPCAD,M,OUTSIDE,H4,D1,7,5,2,0.6120203888326005,71.42857142857143,1.2568285443656406,-1.0
GBPCHF,M,OUTSIDE,H4,D1,7,3,4,0.027322423907751796,42.857142857142854,1.3970856557847542,-1.0
GBPJPY,M,OUTSIDE,H4,D1,6,4,2,0.3615728512421421,66.66666666666666,1.042359276863213,-1.0
GBPNZD,M,OUTSIDE,H4,D1,6,2,4,-0.29363302671674696,33.33333333333333,1.119100919849759,-1.0
GBPUSD,M,OUTSIDE,H4,D1,10,6,4,0.25964418135734746,60.0,1.0994069689289125,-1.0
NZDCAD,M,OUTSIDE,H4,D1,6,3,3,0.09668248882248598,50.0,1.193364977644972,-1.0
NZDCHF,M,OUTSIDE,H4,D1,4,1,3,-0.3775,25.0,1.49,-1.0
NZDJPY,M,OUTSIDE,H4,D1,5,1,4,-0.529316396456626,20.0,1.3534180177168702,-1.0
NZDUSD,M,OUTSIDE,H4,D1,4,2,2,0.038650879534639304,50.0,1.0773017590692786,-1.0
USDCAD,M,OUTSIDE,H4,D1,4,2,2,0.030342907178446232,50.0,1.0606858143568925,-1.0
USDCHF,M,OUTSIDE,H4,D1,4,2,2,0.21040258739219153,50.0,1.420805174784383,-1.0
USDJPY,M,OUTSIDE,H4,D1,8,2,6,-0.3775,25.0,1.49,-1.0
ALL,ALL,ALL,ALL,ALL,152,73,79,0.060977729583280946,48.026315789473685,1.2091591081734068,-1.0
