pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,OUTSIDE,H4,H4,1,1,0,1.1231550395788938,100.0,1.1231550395788938,
AUDCHF,M,OUTSIDE,H4,H4,4,3,1,0.5555445100764833,75.0,1.0740593467686443,-1.0
AUDJPY,M,OUTSIDE,H4,H4,2,1,1,0.12003947125555237,50.0,1.2400789425111047,-1.0
AUDNZD,M,OUTSIDE,H4,H4,4,3,1,0.6067114731361416,75.0,1.142281964181522,-1.0
AUDUSD,M,OUTSIDE,H4,H4,4,2,2,0.14797170807771343,50.0,1.2959434161554269,-1.0
CADCHF,M,OUTSIDE,H4,H4,5,4,1,0.6587130549200191,80.0,1.073391318650024,-1.0
CHFJPY,M,OUTSIDE,H4,H4,3,2,1,0.38281756779142934,66.66666666666666,1.074226351687144,-1.0
EURAUD,M,OUTSIDE,H4,H4,1,1,0,0.9971046890854073,100.0,0.9971046890854073,
EURCAD,M,OUTSIDE,H4,H4,5,2,3,-0.20053196141641694,40.0,0.9986700964589577,-1.0
EURCHF,M,OUTSIDE,H4,H4,2,0,2,-1.0,0.0,,-1.0
EURGBP,M,OUTSIDE,H4,H4,2,2,0,1.1135616887466577,100.0,1.1135616887466577,
EURJPY,M,OUTSIDE,H4,H4,4,2,2,0.06485191694493286,50.0,1.1297038338898657,-1.0
EURNZD,M,OUTSIDE,H4,H4,2,2,0,1.2422770646310393,100.0,1.2422770646310393,
EURUSD,M,OUTSIDE,H4,H4,3,3,0,1.0310564810895524,100.0,1.0310564810895524,
GBPAUD,M,OUTSIDE,H4,H4,3,1,2,-0.33746734120315197,33.33333333333333,0.9875979763905439,-1.0
GBPCAD,M,OUTSIDE,H4,H4,3,2,1,0.47483139579535055,66.66666666666666,1.2122470936930259,-1.0
GBPCHF,M,OUTSIDE,H4,H4,8,4,4,0.04891542197634985,50.0,1.0978308439526998,-1.0
GBPJPY,M,OUTSIDE,H4,H4,5,5,0,1.1442887908414512,100.0,1.1442887908414512,
GBPNZD,M,OUTSIDE,H4,H4,2,1,1,0.16524230358357073,50.0,1.3304846071671415,-1.0
GBPUSD,M,OUTSIDE,H4,H4,5,2,3,-0.11154047811175487,40.0,1.2211488047206127,-1.0
NZDCAD,M,OUTSIDE,H4,H4,3,3,0,1.0709958274057219,100.0,1.0709958274057219,
NZDJPY,M,OUTSIDE,H4,H4,1,1,0,1.2726979259139808,100.0,1.2726979259139808,
NZDUSD,M,OUTSIDE,H4,H4,2,2,0,1.2101177729535078,100.0,1.2101177729535078,
USDCAD,M,OUTSIDE,H4,H4,2,1,1,7.095361660436339e-05,50.0,1.0001419072332087,-1.0
USDCHF,M,OUTSIDE,H4,H4,3,2,1,0.4807062912109951,66.66666666666666,1.2210594368164926,-1.0
USDJPY,M,OUTSIDE,H4,H4,3,0,3,-1.0,0.0,,-1.0
ALL,ALL,ALL,ALL,ALL,82,52,30,0.35061811793097825,63.41463414634146,1.1298208782757735,-1.0
