pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,D1,H4,15,9,6,0.3781101391372628,60.0,1.296850231895438,-1.0
AUDCHF,W,ALL,D1,H4,13,10,3,0.829656444787616,76.92307692307693,1.3785533782239008,-1.0
AUDJPY,W,ALL,D1,H4,16,7,9,0.021344492521864628,43.75,1.3345016971928334,-1.0
AUDNZD,W,ALL,D1,H4,14,8,6,0.42285714285714293,57.14285714285714,1.49,-1.0
AUDUSD,W,ALL,D1,H4,7,3,4,-0.06581590684175695,42.857142857142854,1.1797628840359005,-1.0
CADCHF,W,ALL,D1,H4,14,3,11,-0.46642857142857136,21.428571428571427,1.49,-1.0
CADJPY,W,ALL,D1,H4,10,6,4,0.44692632455744885,60.0,1.4115438742624147,-1.0
CHFJPY,W,ALL,D1,H4,11,6,5,0.33883426961421564,54.54545454545454,1.4545294942927285,-1.0
EURAUD,W,ALL,D1,H4,11,6,5,0.2240709810040266,54.54545454545454,1.2441301318407154,-1.0
EURCAD,W,ALL,D1,H4,13,6,7,0.14923076923076925,46.15384615384615,1.49,-1.0
EURCHF,W,ALL,D1,H4,13,5,8,-0.1480837883338815,38.46153846153847,1.214982150331908,-1.0
EURGBP,W,ALL,D1,H4,12,7,5,0.4221000083707335,58.333333333333336,1.437885728635543,-1.0
EURJPY,W,ALL,D1,H4,10,5,5,0.1419106366990927,50.0,1.2838212733981853,-1.0
EURNZD,W,ALL,D1,H4,7,4,3,0.32247748371530083,57.14285714285714,1.3143355965017764,-1.0
EURUSD,W,ALL,D1,H4,9,4,5,0.06675163295112865,44.44444444444444,1.4001911741400395,-1.0
NZDCAD,W,ALL,D1,H4,11,4,7,-0.1467861512653599,36.36363636363637,1.3463380840202603,-1.0
NZDCHF,W,ALL,D1,H4,13,5,8,-0.07083267678533024,38.46153846153847,1.4158350403581415,-1.0
NZDJPY,W,ALL,D1,H4,6,0,6,-1.0,0.0,,-1.0
NZDUSD,W,ALL,D1,H4,8,4,4,0.15423866509230133,50.0,1.3084773301846027,-1.0
USDCAD,W,ALL,D1,H4,10,4,6,-0.0813982630948041,40.0,1.2965043422629898,-1.0
USDCHF,W,ALL,D1,H4,7,4,3,0.4228571428571429,57.14285714285714,1.49,-1.0
USDJPY,W,ALL,D1,H4,15,5,10,-0.23707890586799282,33.33333333333333,1.2887632823960216,-1.0
ALL,ALL,ALL,ALL,ALL,245,115,130,0.11034613202220163,46.93877551020408,1.365520020395125,-1.0
