pair,mode,wd_variant,wd_entry_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,W,ALL,H4,H4,11,9,2,0.6921334761826815,81.81818181818183,1.0681631375566107,-1.0,1.0693281311391694
AUDCHF,W,ALL,H1,H4,12,6,6,0.03890375041520803,50.0,1.0778075008304162,-1.0,1.1196628672139424
AUDCHF,W,ALL,H4,H4,7,5,2,0.49501209551371667,71.42857142857143,1.0930169337192033,-1.0,1.088335304678952
AUDJPY,W,ALL,H1,H4,8,5,3,0.29551607940943664,62.5,1.0728257270550985,-1.0,1.107164970229583
AUDJPY,W,ALL,H4,H4,15,7,8,-0.030888926805201573,46.666666666666664,1.0766665854174253,-1.0,1.0670775383564424
AUDNZD,W,ALL,H1,H4,5,4,1,0.6858262725394814,80.0,1.1072828406743516,-1.0,1.1157365523651044
AUDNZD,W,ALL,H4,H4,16,9,7,0.15693511174887453,56.25,1.0567735319979992,-1.0,1.04928503020164
AUDUSD,W,ALL,H1,H4,10,6,4,0.26052767518772796,60.0,1.1008794586462132,-1.0,1.0619539210989273
AUDUSD,W,ALL,H4,H4,7,6,1,0.8464100519898948,85.71428571428571,1.1541450606548773,-1.0,1.1362714038096529
CADCHF,W,ALL,H1,H4,8,4,4,0.054494650612689516,50.0,1.1089893012253789,-1.0,1.086611165093031
CADCHF,W,ALL,H4,H4,11,7,4,0.3017849328044529,63.63636363636363,1.0456620372641403,-1.0,1.0894422729904345
CADJPY,W,ALL,H1,H4,10,5,5,0.04927941764840227,50.0,1.0985588352968045,-1.0,1.110356415885493
CADJPY,W,ALL,H4,H4,7,1,6,-0.6870314244696107,14.285714285714285,1.1907800287127246,-1.0,1.1009525134324791
CHFJPY,W,ALL,H1,H4,15,10,5,0.38099700288862187,66.66666666666666,1.0714955043329328,-1.0,1.0759620893799275
CHFJPY,W,ALL,H4,H4,7,6,1,0.865523209883757,85.71428571428571,1.1764437448643832,-1.0,1.1428615557484156
EURAUD,W,ALL,H1,H4,6,5,1,0.7433579660439364,83.33333333333334,1.0920295592527238,-1.0,1.080413947222224
EURAUD,W,ALL,H4,H4,8,6,2,0.5749548594342269,75.0,1.0999398125789692,-1.0,1.0934689881648536
EURCAD,W,ALL,H1,H4,13,6,7,-0.03243990286581874,46.15384615384615,1.096380210457393,-1.0,1.076073403266654
EURCAD,W,ALL,H4,H4,8,6,2,0.4954691519783234,75.0,0.9939588693044312,-1.0,0.9807406705325941
EURCHF,W,ALL,H1,H4,11,7,4,0.2898991820457899,63.63636363636363,1.0269844289290986,-1.0,1.0867988199919216
EURCHF,W,ALL,H4,H4,10,9,1,0.8683349193342907,90.0,1.075927688149212,-1.0,1.0693004260342456
EURGBP,W,ALL,H1,H4,10,5,5,0.047170341702482244,50.0,1.0943406834049645,-1.0,1.1063306433830995
EURGBP,W,ALL,H4,H4,4,3,1,0.6100576382956633,75.0,1.1467435177275511,-1.0,1.1194739515907486
EURJPY,W,ALL,H1,H4,4,3,1,0.46947852843989124,75.0,0.9593047045865216,-1.0,1.007940066901428
EURJPY,W,ALL,H4,H4,9,7,2,0.641886382197113,77.77777777777779,1.110996777110574,-1.0,1.096714089715994
EURNZD,W,ALL,H1,H4,9,5,4,0.1323250883317645,55.55555555555556,1.0381851589971762,-1.0,1.0906082479930874
EURNZD,W,ALL,H4,H4,10,6,4,0.23807093360222495,60.0,1.0634515560037083,-1.0,1.0685172370684435
