pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCHF,W,ALL,H1,H4,16,9,7,0.17798197168112645,56.25,1.094190171877558,-1.0,1.1238216595932595
AUDJPY,W,ALL,H1,H4,22,10,12,-0.05568878968217979,45.45454545454545,1.0774846626992045,-1.0,1.0853240288418329
AUDNZD,W,ALL,H1,H4,19,11,8,0.21156746204655866,57.89473684210527,1.092707434444056,-1.0,1.0682012242654977
AUDUSD,W,ALL,H1,H4,15,11,4,0.549781643727566,73.33333333333333,1.1133386050830447,-1.0,1.0840658076683656
CADCHF,W,ALL,H1,H4,19,10,9,0.08881103408256343,52.63157894736842,1.0687409647568704,-1.0,1.0867534116050157
CADJPY,W,ALL,H1,H4,14,6,8,-0.09403041391451804,42.857142857142854,1.1139290341994579,-1.0,1.1033914461413021
CHFJPY,W,ALL,H1,H4,21,15,6,0.5058610095242797,71.42857142857143,1.1082054133339918,-1.0,1.0947107580205748
EURAUD,W,ALL,H1,H4,9,8,1,0.8825732013255059,88.88888888888889,1.1178948514911942,-1.0,1.1072771887776978
EURCAD,W,ALL,H1,H4,19,11,8,0.1943374868963941,57.89473684210527,1.0629465682755896,-1.0,1.0538918129714998
EURCHF,W,ALL,H1,H4,17,12,5,0.42334368792503857,70.58823529411765,1.0164035578938047,-1.0,1.0571996340666265
EURGBP,W,ALL,H1,H4,16,10,6,0.33813049563127884,62.5,1.1410087930100463,-1.0,1.1274597625054361
EURJPY,W,ALL,H1,H4,11,8,3,0.4987723800104462,72.72727272727273,1.0608120225143636,-1.0,1.0646383536151054
EURNZD,W,ALL,H1,H4,13,7,6,0.11344284435613958,53.84615384615385,1.0678224252328306,-1.0,1.0908769578465494
EURUSD,W,ALL,H1,H4,15,7,8,-0.0050713459732364035,46.666666666666664,1.1319899729144933,-1.0,1.1359473551494663
NZDCAD,W,ALL,H1,H4,14,7,7,0.050648318725390426,50.0,1.1012966374507809,-1.0,1.09913547272254
NZDCHF,W,ALL,H1,H4,17,12,5,0.4670118938475184,70.58823529411765,1.0782668496173176,-1.0,1.076025201919576
NZDJPY,W,ALL,H1,H4,9,5,4,0.15469357415778814,55.55555555555556,1.0784484334840188,-1.0,1.10341906793757
NZDUSD,W,ALL,H1,H4,11,10,1,0.949116055639969,90.9090909090909,1.1440276612039662,-1.0,1.1513466001068204
USDCAD,W,ALL,H1,H4,10,5,5,0.05786381803376841,50.0,1.1157276360675368,-1.0,1.1159124151465731
USDCHF,W,ALL,H1,H4,12,5,7,-0.1339785005920098,41.66666666666667,1.0784515985791763,-1.0,1.0783117412617242
USDJPY,W,ALL,H1,H4,13,6,7,-0.02430786841824835,46.15384615384615,1.1139996184271286,-1.0,1.1247562989062674
ALL,ALL,ALL,ALL,ALL,312,185,127,0.24085418473466733,59.294871794871796,1.0926838142552227,-1.0,1.094324469674449
