pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,H4,D1,23,10,13,-0.011041466332949638,43.47826086956522,1.274604627434216,-1.0
AUDCHF,W,ALL,H4,D1,25,12,13,0.11674573307119608,48.0,1.3265536105649918,-1.0
AUDJPY,W,ALL,H4,D1,27,14,13,0.19512775065936705,51.85185185185185,1.3048892334144937,-1.0
AUDNZD,W,ALL,H4,D1,24,10,14,-0.03857628553774539,41.66666666666667,1.307416914709411,-1.0
AUDUSD,W,ALL,H4,D1,14,7,7,0.1377177304217488,50.0,1.2754354608434977,-1.0
CADCHF,W,ALL,H4,D1,28,8,20,-0.31963106730432195,28.57142857142857,1.381291264434873,-1.0
CADJPY,W,ALL,H4,D1,24,11,13,0.07546225785826226,45.83333333333333,1.3464631080543903,-1.0
CHFJPY,W,ALL,H4,D1,30,15,15,0.17654206612792755,50.0,1.3530841322558549,-1.0
EURAUD,W,ALL,H4,D1,26,12,14,0.05227298470929224,46.15384615384615,1.2799248002034664,-1.0
EURCAD,W,ALL,H4,D1,23,15,8,0.5093742731548229,65.21739130434783,1.3143738855040619,-1.0
EURCHF,W,ALL,H4,D1,32,17,15,0.2052398675613548,53.125,1.2686868095272563,-1.0
EURGBP,W,ALL,H4,D1,30,17,13,0.3128733992009939,56.666666666666664,1.316835410354695,-1.0
EURJPY,W,ALL,H4,D1,20,13,7,0.5101098294913955,65.0,1.3232458915252239,-1.0
EURNZD,W,ALL,H4,D1,33,14,19,-0.002904406135926631,42.42424242424242,1.350296756965316,-1.0
EURUSD,W,ALL,H4,D1,24,9,15,-0.09922729268386149,37.5,1.402060552843036,-1.0
GBPAUD,W,ALL,H4,D1,17,7,10,-0.08141793926176982,41.17647058823529,1.2308421475071305,-1.0
GBPCAD,W,ALL,H4,D1,20,6,14,-0.3509693673190542,30.0,1.1634354422698194,-1.0
GBPCHF,W,ALL,H4,D1,21,15,6,0.6500066357142605,71.42857142857143,1.3100092899999647,-1.0
GBPJPY,W,ALL,H4,D1,25,11,14,0.023161869551255477,44.0,1.3253678853437623,-1.0
GBPNZD,W,ALL,H4,D1,28,14,14,0.20135060038787062,50.0,1.4027012007757411,-1.0
GBPUSD,W,ALL,H4,D1,29,9,20,-0.2978650072217977,31.03448275862069,1.262434976729763,-1.0
NZDCAD,W,ALL,H4,D1,18,7,11,-0.07266020970075507,38.88888888888889,1.3845880321980586,-1.0
NZDCHF,W,ALL,H4,D1,25,7,18,-0.3567524303725628,28.000000000000004,1.2973127486694183,-1.0
NZDJPY,W,ALL,H4,D1,15,8,7,0.2504146659005494,53.333333333333336,1.34452749856353,-1.0
NZDUSD,W,ALL,H4,D1,14,8,6,0.4184041209894968,57.14285714285714,1.4822072117316192,-1.0
USDCAD,W,ALL,H4,D1,21,7,14,-0.23392527071266012,33.33333333333333,1.2982241878620198,-1.0
USDCHF,W,ALL,H4,D1,19,6,13,-0.24233722414990808,31.57894736842105,1.3992654568586245,-1.0
USDJPY,W,ALL,H4,D1,22,6,16,-0.3555369895738604,27.27272727272727,1.3630310382291786,-1.0
ALL,ALL,ALL,ALL,ALL,657,295,362,0.04371458010066429,44.90106544901065,1.3244762004275812,-1.0
